@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1.5109,1.4281,2,-22,1
1.5475,1.4647,2,-22,1
1.579,1.4963,2,-22,1
1.5851,1.5023,2,-22,1
1.563,1.4803,2,-22,1
1.567,1.4842,3,-21,1
1.5548,1.472,2,-22,1
1.5111,1.4283,2,-22,1
1.495,1.4122,2,-22,1
1.5156,1.4328,3,-21,1
1.4738,1.391,7,-17,1
1.4037,1.3209,11,-13,1
1.4073,1.3245,13,-11,1
1.4034,1.3206,13,-11,1
1.4017,1.3189,12,-12,1
1.4243,1.3415,8,-16,1
1.4254,1.3426,3,-21,1
1.4667,1.384,3,-21,1
1.4564,1.3736,4,-20,1
1.4185,1.3357,3,-21,1
1.3903,1.3075,4,-20,1
1.4145,1.3317,4,-20,1
1.4765,1.3937,2,-22,1
1.4856,1.4028,2,-22,1
1.4991,1.4163,2,-22,1
1.4656,1.3828,2,-22,1
1.4584,1.3756,5,-19,1
1.444,1.3612,9,-15,1
1.4106,1.3278,9,-15,1
1.2956,1.2129,8,-16,1
1.2175,1.1347,5,-19,1
1.1821,1.0993,5,-19,1
1.2098,1.127,5,-19,1
1.1936,1.1108,5,-19,1
1.1992,1.1165,5,-19,1
1.2226,1.1398,5,-19,1
1.2179,1.1352,5,-19,1
1.2204,1.1376,5,-19,1
1.2249,1.1421,6,-18,1
1.2347,1.1519,5,-19,1
1.3963,1.3136,8,-16,1
1.4617,1.3789,8,-16,1
1.5104,1.4276,8,-16,1
1.5096,1.4269,8,-16,1
1.495,1.4122,8,-16,1
1.4642,1.3814,9,-15,1
1.4348,1.352,9,-15,1
1.514,1.4312,5,-19,1
1.5597,1.4769,2,-22,1
1.5367,1.454,9,-15,1
1.5368,1.454,5,-19,1
1.5687,1.4859,2,-22,1
1.5821,1.4993,2,-22,1
1.5701,1.4873,2,-22,1
1.5675,1.4847,2,-22,1
1.5706,1.4879,2,-22,1
1.5701,1.4873,2,-22,1
1.5661,1.4833,2,-22,1
1.5555,1.4727,2,-22,1
1.5628,1.4801,2,-22,1
1.5506,1.4678,2,-22,1
1.5204,1.4376,2,-22,1
1.505,1.4222,2,-22,1
1.5193,1.4365,2,-22,1
1.502,1.4192,2,-22,1
1.4488,1.366,2,-22,1
1.3631,1.2803,3,-21,1
1.3068,1.224,5,-19,1
1.2969,1.2141,5,-19,1
1.2975,1.2147,5,-19,1
1.2862,1.2035,5,-19,1
1.2461,1.1633,5,-19,1
1.283,1.2002,4,-20,1
1.2351,1.1523,4,-20,1
1.3359,1.2532,3,-21,1
1.4526,1.3698,3,-21,1
1.5509,1.4681,3,-21,1
1.4876,1.4048,3,-21,1
1.4817,1.3989,3,-21,1
1.4242,1.3414,3,-21,1
1.3886,1.3058,3,-21,1
1.0132,0.93037,3,-21,1
0.41867,0.33588,3,-21,1
0.57269,0.4899,3,-21,1
0.52781,0.44503,3,-21,1
0.49905,0.41626,3,-21,1
0.78661,0.70382,3,-21,1
0.5668,0.48402,3,-21,1
0.65086,0.56808,3,-21,1
0.80738,0.7246,2,-22,1
1.1338,1.051,2,-22,1
1.5058,1.423,2,-22,1
1.6389,1.5561,2,-22,1
1.0455,0.96268,2,-22,1
1.3359,1.2531,2,-22,1
1.4705,1.3877,2,-22,1
1.3803,1.2975,2,-22,1
1.3343,1.2515,2,-22,1
1.5628,1.48,2,-22,1
1.6432,1.5604,2,-22,0
1.6478,1.565,2,-22,0
1.5955,1.5127,2,-22,0
1.0409,0.9581,3,-21,0
0.27649,0.1937,8,-16,0
0.37876,0.29598,9,-15,0
0.45043,0.36764,10,-14,0
0.33186,0.24908,10,-14,0
0.38635,0.30356,12,-12,0
0.35437,0.27159,9,-15,0
0.28974,0.20695,10,-14,0
0.20204,0.11925,10,-14,0
0.20361,0.12083,24,0,0
0.23362,0.15084,21,-3,0
0.2864,0.20361,17,-7,0
0.23546,0.15267,25,0,0
0.22973,0.14695,25,0,0
0.26332,0.18053,21,-4,0
0.30105,0.21826,19,-6,0
0.21128,0.1285,22,-3,0
0.25875,0.17596,23,-2,0
0.34098,0.25819,25,0,0
0.20821,0.12542,26,0,0
0.20203,0.11925,37,0,0
0.27987,0.19709,29,-8,0
0.23314,0.15035,29,-8,0
0.2286,0.14581,28,-9,0
0.24537,0.16259,33,-4,0
0.17273,0.089946,37,0,0
0.26398,0.18119,42,0,0
0.17895,0.09616,41,-1,0
0.25091,0.16813,21,-21,0
0.18731,0.10452,42,0,0
0.19978,0.117,29,-13,0
0.10931,0.026525,27,-15,0
0.11169,0.028908,40,-2,0
0.13084,0.048057,35,-7,0
0.11845,0.035666,23,-19,0
0.16215,0.079368,32,-10,0
0.23183,0.14905,22,-20,0
0.19722,0.11444,20,-22,0
0.21804,0.13525,19,-23,0
0.23415,0.15137,20,-22,0
0.21905,0.13626,23,-19,0
0.23423,0.15145,28,-14,0
0.16925,0.086467,35,-7,0
0.26105,0.17826,24,-18,0
0.25549,0.17271,23,-19,0
0.28423,0.20144,14,-28,0
0.27755,0.19476,18,-24,0
0.31524,0.23245,17,-25,0
0.29673,0.21395,11,-31,0
0.086571,0.0037857,13,-29,0
0.096536,0.01375,6,-36,0
0.49134,0.40855,8,-34,0
0.012231,0,9,-33,0
0.00043054,0,2,-40,0
0.035738,0.035307,21,-21,0
0.070158,0.069728,44,0,0
0.045828,0.045397,42,-2,0
0.082127,0.081697,29,-15,0
0.059591,0.059161,25,-19,0
0.05221,0.05178,31,-13,0
0.48432,0.48389,13,-31,0
0.78041,0.77998,6,-38,0
0.51042,0.50999,9,-35,0
0.096193,0.095763,20,-24,0
0.18337,0.18294,30,-14,0
0.71188,0.71145,18,-26,0
0.57283,0.5724,25,-19,0
0.22182,0.22139,21,-23,0
0.10929,0.10886,28,-16,0
0.23032,0.22989,36,-8,0
0.18574,0.18531,11,-33,0
0.30523,0.3048,10,-34,0
0.20973,0.2093,17,-27,0
0.098766,0.098336,33,-11,0
0.044338,0.043907,32,-12,0
0.019875,0.019445,37,-7,0
0.084372,0.083941,25,-19,0
0.31895,0.31851,22,-22,0
0.33993,0.3395,17,-27,0
0.095337,0.094906,31,-13,0
0.28518,0.28475,13,-31,0
0.44604,0.44561,14,-30,0
0.33269,0.33226,19,-25,0
0.051069,0.050638,30,-14,0
0.11641,0.11598,29,-15,0
0.065602,0.065171,52,0,0
0.0209,0.020469,50,-2,0
0.083109,0.082679,34,-18,0
0.096221,0.095791,31,-21,0
0.20216,0.20173,14,-38,0
0.24208,0.24165,10,-42,0
0.24686,0.24643,11,-41,0
0.16694,0.16651,11,-41,0
0.29538,0.29495,16,-36,0
0.23993,0.2395,17,-35,0
0.095166,0.094735,23,-29,0
0.28144,0.28101,16,-36,0
0.16126,0.16083,25,-27,0
0.24344,0.24301,27,-25,0
0.23369,0.23326,41,-11,0
0.076133,0.075702,54,0,0
0.097779,0.097349,54,0,0
0.12702,0.12659,46,-8,0
0.11211,0.11168,50,-4,0
0.22998,0.22955,40,-14,0
0.3942,0.39377,29,-25,0
