@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1105.3,4.9521,732.13,0.0029032,0,0,0,0,0,0,0,0,0
952.9,5.1861,150.73,0.019316,1,28,0,0.234,0,0.016413,1,28,0
898.56,5.23,1033.6,0.0065488,0,0,0,0.27786,882.86,0.0036456,0,0,0
628.86,5.3991,172.27,0.0089836,0,0,0,0.44701,21.533,0.0060804,0,0,0
478.21,5.4288,796.73,0.010476,1,23,0,0.47673,646,0.0075728,1,23,1
822.53,5.2,710.6,0.021606,1,28,344.32,0.24795,559.86,0.018702,1,28,1
1524.4,5.0981,495.26,0.011753,3,15,1046.2,0.14598,344.53,0.00885,3,15,1
2342.8,5.052,452.2,0.027092,2,15,1864.6,0.099907,301.46,0.024189,2,15,1
2095.5,5.1199,1270.5,0.023268,2,15,1617.3,0.16777,1119.7,0.020365,2,15,1
2590,5.1504,323,0.044351,2,15,2111.8,0.19827,172.27,0.041448,2,15,1
3476.5,5.1264,344.53,0.035876,3,15,2998.3,0.17428,193.8,0.032973,3,15,1
4295.4,5.2067,323,0.037721,2,15,3817.2,0.25461,172.27,0.034818,2,15,1
4902.2,5.1355,344.53,0.033533,2,15,4424,0.18345,193.8,0.03063,2,15,1
5146.1,5.135,344.53,0.046985,3,14,4667.9,0.1829,193.8,0.044081,3,14,1
5023.7,5.245,452.2,0.041486,3,14,4545.4,0.29288,301.46,0.038583,3,14,1
5317.3,5.3629,344.53,0.058336,3,13,4839.1,0.41082,193.8,0.055433,3,13,1
5321,5.2475,538.33,0.050472,3,14,4842.8,0.2954,387.6,0.047568,3,14,1
5497.9,5.2783,516.8,0.050421,3,4,5019.7,0.32621,366.06,0.047518,3,4,1
5752.7,5.1986,516.8,0.053386,4,4,5274.5,0.24652,366.06,0.050483,4,4,1
5124.6,5.2873,538.33,0.055622,4,4,4646.4,0.33522,387.6,0.052719,4,4,1
5375.4,5.0938,538.33,0.034695,3,15,4897.2,0.14168,387.6,0.031792,3,15,1
4789.5,5.2159,516.8,0.054446,3,13,4311.3,0.26376,366.06,0.051543,3,13,1
3765.2,5.2417,473.73,0.056417,3,15,3287,0.28966,323,0.053514,3,15,1
3027.9,5.1997,473.73,0.06223,4,4,2549.7,0.24762,323,0.059327,4,4,1
3015.4,5.1705,473.73,0.036358,3,14,2537.2,0.21838,323,0.033455,3,14,1
3090.4,5.1578,473.73,0.030413,3,13,2612.2,0.20569,323,0.02751,3,13,1
3374.3,5.1757,473.73,0.037086,3,13,2896,0.22361,323,0.034183,3,13,1
2756.5,5.2608,473.73,0.042911,3,13,2278.3,0.30871,323,0.040008,3,13,1
3097.8,5.1121,495.26,0.034303,4,4,2619.6,0.15997,344.53,0.0314,4,4,1
3138.7,5.0856,495.26,0.0332,3,4,2660.4,0.13351,344.53,0.030297,3,4,1
3079,5.1042,495.26,0.02587,4,4,2600.8,0.15211,344.53,0.022967,4,4,1
3891.8,5.1225,495.26,0.030095,3,11,3413.6,0.17042,344.53,0.027192,3,11,1
3618.1,5.2239,516.8,0.028537,5,4,3139.8,0.27181,366.06,0.025634,5,4,1
3491,5.1587,495.26,0.043215,3,11,3012.8,0.20665,344.53,0.040312,3,11,1
3221.5,5.2644,495.26,0.043364,5,5,2743.3,0.31236,344.53,0.04046,5,5,1
3532.6,5.1819,516.8,0.042122,3,4,3054.3,0.22981,366.06,0.039218,3,4,1
4211.5,5.2188,516.8,0.034627,3,11,3733.2,0.26669,366.06,0.031724,3,11,1
4990.2,5.1254,516.8,0.025984,4,11,4512,0.1733,366.06,0.023081,4,11,1
5386.5,5.178,516.8,0.035838,4,11,4908.3,0.2259,366.06,0.032935,4,11,1
5138.1,5.1261,516.8,0.028999,3,3,4659.9,0.17405,366.06,0.026096,3,3,1
4565.4,4.901,516.8,0.016567,4,10,4087.2,0,366.06,0.013664,4,10,1
4240.4,5.0631,516.8,0.039451,4,11,3762.2,0.16212,366.06,0.036548,4,11,1
4287.5,4.9948,516.8,0.03573,3,4,3809.3,0.093833,366.06,0.032827,3,4,1
4175.7,5.1107,516.8,0.037803,4,4,3697.5,0.20966,366.06,0.0349,4,4,1
3842.1,5.2569,516.8,0.057069,3,4,3363.9,0.35589,366.06,0.054166,3,4,1
4198.8,5.0965,516.8,0.036395,3,4,3720.6,0.19547,366.06,0.033492,3,4,1
4038.5,5.0572,516.8,0.037482,4,4,3560.3,0.15617,366.06,0.034579,4,4,1
3651.3,4.8799,516.8,0.024333,3,4,3173,0,366.06,0.021429,3,4,1
3589.7,4.8035,516.8,0.020954,4,3,3111.5,0,366.06,0.018051,4,3,1
3691.2,4.6818,516.8,0.026162,2,3,3213,0,366.06,0.023259,2,3,1
4003.2,4.6665,516.8,0.019419,2,21,3525,0,366.06,0.016516,2,21,1
3983.4,4.5637,538.33,0.012137,1,28,3505.2,0,387.6,0.0092336,1,28,1
3101.8,4.6237,538.33,0.027685,3,3,2623.6,0.059965,387.6,0.024782,3,3,1
2674.9,4.6709,538.33,0.024338,4,3,2196.7,0.10717,387.6,0.021435,4,3,1
1864.8,4.7751,538.33,0.027001,3,13,1386.6,0.21135,387.6,0.024098,3,13,1
2062.9,4.8432,516.8,0.031705,2,13,1584.7,0.27947,366.06,0.028802,2,13,1
975.58,5.4487,452.2,0.025858,1,13,497.38,0.88498,301.46,0.022955,1,13,1
1040.9,5.4397,473.73,0.03001,2,12,562.67,0.87603,323,0.027107,2,12,1
1075.8,5.2922,452.2,0.019904,2,12,597.62,0.72851,301.46,0.017001,2,12,1
1187,5.0877,323,0.01491,1,12,708.74,0.52399,172.27,0.012007,1,12,1
895.82,5.0652,344.53,0.011186,1,16,417.61,0.50149,193.8,0.0082824,1,16,1
790.95,5.0325,236.87,0.016885,1,14,312.74,0.46883,86.133,0.013982,1,14,0
641.03,5.0784,129.2,0.0041551,0,0,162.82,0.51468,0,0.0012519,0,0,0
758.12,4.887,409.13,0.0066398,0,0,279.91,0.32329,279.93,0.0037366,0,0,0
1001.8,4.7383,409.13,0.0053063,0,0,523.59,0.17457,279.93,0.0024031,0,0,0
757.46,4.9482,129.2,0.017994,1,15,279.25,0.38453,0,0.015091,1,15,0
1111.6,4.7816,323,0.0027033,0,0,633.43,0.21792,193.8,0,0,0,0
2283,4.4386,516.8,0.0019588,0,0,1804.8,0,387.6,0,0,0,0
3170.9,4.2611,516.8,0.0029255,0,0,2692.7,0,387.6,0.00096673,0,0,0
3934.2,4.3906,516.8,0.0083212,0,0,3456,0.1295,387.6,0.0063624,0,0,0
4228.2,4.4192,538.33,0.0024595,0,0,3750,0.15806,409.13,0.00050069,0,0,0
4396.1,4.4199,538.33,0.012337,1,25,3917.9,0.15874,409.13,0.010378,1,25,0
4351.9,4.4075,538.33,0.0085806,0,0,3873.7,0.14637,409.13,0.0066218,0,0,0
4644.8,4.4679,516.8,0.008928,0,0,4166.6,0.20674,387.6,0.0069692,0,0,0
4712.6,4.4534,516.8,0.0050115,0,0,4234.4,0.1923,387.6,0.0030527,0,0,0
3571.4,4.6598,516.8,0.0062543,0,0,3093.2,0.39871,387.6,0.0042955,0,0,0
3865.3,4.5981,495.26,0.0040413,0,0,3387.1,0.33697,366.06,0.0020825,0,0,0
4004.9,4.6034,495.26,0.024202,1,15,3526.7,0.34222,366.06,0.022243,1,15,0
3367.5,4.6454,215.33,0.026466,1,14,2889.3,0.38424,86.133,0.024507,1,14,0
3884.4,4.4724,409.13,0.016725,1,14,3406.2,0.2113,279.93,0.014766,1,14,0
3714,4.6477,387.6,0.023672,1,14,3235.8,0.3866,258.4,0.021713,1,14,0
3171.3,4.4781,495.26,0.010475,1,14,2693.1,0.21694,366.06,0.0085163,1,14,0
1959,4.7028,473.73,0.00314,0,0,1480.8,0.44167,344.53,0.0011812,0,0,0
1601.1,4.7882,516.8,0.0068965,0,0,1122.9,0.52708,387.6,0.0049377,0,0,0
1697.7,4.8781,516.8,0.012895,1,16,1219.5,0.61697,387.6,0.010937,1,16,0
1302.5,5.1388,409.13,0.027157,1,8,824.3,0.87768,279.93,0.025198,1,8,0
1098.6,5.2987,366.06,0.029631,3,9,620.43,1.0376,236.87,0.027673,3,9,1
1507.2,5.2318,538.33,0.0066941,0,0,1029,0.9707,409.13,0.0047353,0,0,1
1447.6,5.2645,473.73,0.013749,2,20,969.39,1.0034,344.53,0.01179,2,20,1
2360.3,5.1629,473.73,0.033054,1,13,1882.1,0.90177,344.53,0.031095,1,13,1
2635.3,5.085,473.73,0.039516,4,4,2157.1,0.82384,344.53,0.037557,4,4,1
2364.4,5.1052,473.73,0.044915,2,13,1886.2,0.84404,344.53,0.042956,2,13,1
3338.6,5.1021,495.26,0.025763,3,13,2860.4,0.84096,366.06,0.023804,3,13,1
3836.3,5.1595,495.26,0.048802,2,11,3358.1,0.8984,366.06,0.046843,2,11,1
3850.2,5.0691,473.73,0.033224,1,13,3372,0.80793,344.53,0.031265,1,13,1
3287.8,5.0998,495.26,0.031607,3,13,2809.6,0.83869,366.06,0.029649,3,13,1
2741.1,5.1655,495.26,0.053727,2,13,2262.9,0.90433,366.06,0.051768,2,13,1
2573.1,5.1418,495.26,0.042198,4,4,2094.9,0.88069,366.06,0.040239,4,4,1
3250.2,5.0931,473.73,0.033717,3,14,2772,0.83199,344.53,0.031758,3,14,1
2945.7,5.2433,495.26,0.04561,2,13,2467.4,0.9822,366.06,0.043651,2,13,1
2622.7,5.2547,495.26,0.038117,3,13,2144.4,0.99352,366.06,0.036159,3,13,1
3066,5.1392,473.73,0.045424,3,4,2587.8,0.87803,344.53,0.043465,3,4,1
3338.4,5.0821,473.73,0.038693,3,11,2860.2,0.821,344.53,0.036735,3,11,1
2465.1,5.1936,495.26,0.037859,4,4,1986.9,0.93251,366.06,0.035901,4,4,1
3046.6,5.0301,495.26,0.022268,2,11,2568.4,0.76897,366.06,0.020309,2,11,1
3439.5,5.0241,473.73,0.048761,1,13,2961.3,0.76292,344.53,0.046802,1,13,1
2951.7,5.0514,473.73,0.045195,4,4,2473.5,0.79029,344.53,0.043236,4,4,1
3510.3,5.1197,473.73,0.054404,4,4,3032.1,0.8586,344.53,0.052445,4,4,1
3475.9,5.1209,473.73,0.075009,3,4,2997.7,0.85981,344.53,0.07305,3,4,1
3206.2,5.0675,452.2,0.042378,1,12,2727.9,0.80633,323,0.040419,1,12,1
2897.3,5.0613,452.2,0.045811,2,13,2419.1,0.80018,323,0.043853,2,13,1
2779.4,5.1609,452.2,0.054922,2,12,2301.2,0.89973,323,0.052964,2,12,1
1943,5.3535,452.2,0.060149,2,13,1464.8,1.0923,323,0.05819,2,13,1
1795.1,5.2659,452.2,0.055653,3,4,1316.9,1.0048,323,0.053694,3,4,1
2148.1,5.167,452.2,0.052281,4,4,1669.9,0.90584,323,0.050322,4,4,1
1766.5,5.2578,452.2,0.054458,4,4,1288.3,0.99666,323,0.052499,4,4,1
2121.4,5.2692,452.2,0.060561,3,4,1643.2,1.008,323,0.058602,3,4,1
1954.2,5.239,452.2,0.060153,3,4,1475.9,0.97785,323,0.058194,3,4,1
2179.4,5.1583,452.2,0.052933,3,4,1701.2,0.89715,323,0.050974,3,4,1
2410.8,5.147,473.73,0.038622,4,4,1932.6,0.88582,344.53,0.036663,4,4,1
2703.7,5.1461,452.2,0.055982,4,4,2225.5,0.885,323,0.054023,4,4,1
3132.6,5.1216,452.2,0.052573,4,4,2654.4,0.86044,323,0.050614,4,4,1
2385.3,5.2844,452.2,0.04848,3,4,1907.1,1.0233,323,0.046522,3,4,1
2152.3,5.1621,473.73,0.055572,2,12,1674.1,0.90094,344.53,0.053613,2,12,1
2034.1,5.1844,473.73,0.053935,1,12,1555.9,0.92331,344.53,0.051976,1,12,1
2134.7,5.2175,473.73,0.055269,2,13,1656.4,0.95641,344.53,0.05331,2,13,1
2274,5.1826,473.73,0.053616,2,12,1795.8,0.92145,344.53,0.051657,2,12,1
2362.6,5.2091,473.73,0.040294,1,12,1884.4,0.94796,344.53,0.038335,1,12,1
2370.9,5.2133,473.73,0.032933,3,13,1892.6,0.95214,344.53,0.030974,3,13,1
2238.1,5.3396,452.2,0.062542,2,12,1759.9,1.0784,323,0.060583,2,12,1
2201.3,5.2576,452.2,0.062504,3,4,1723.1,0.99644,323,0.060545,3,4,1
2446.1,5.2378,452.2,0.056295,2,12,1967.9,0.9767,323,0.054336,2,12,1
2163.2,5.2133,430.66,0.061424,3,12,1685,0.95213,301.46,0.059465,3,12,1
2256.6,5.2747,452.2,0.052426,2,12,1778.4,1.0136,323,0.050467,2,12,1
2318.4,5.2864,452.2,0.051837,2,11,1840.2,1.0252,323,0.049878,2,11,1
2593.1,5.2487,430.66,0.057688,2,11,2114.9,0.98753,301.46,0.05573,2,11,1
2729.2,5.2018,452.2,0.059564,2,11,2251,0.94067,323,0.057605,2,11,1
2459.1,5.2347,452.2,0.049858,2,11,1980.9,0.9736,323,0.047899,2,11,1
2791.8,5.1274,430.66,0.040607,2,11,2313.6,0.86628,301.46,0.038648,2,11,1
2275.7,5.1162,452.2,0.031287,1,12,1797.5,0.85505,323,0.029328,1,12,1
2009.8,5.3117,452.2,0.04357,2,12,1531.5,1.0505,323,0.041611,2,12,1
2631.4,5.1541,452.2,0.036348,2,11,2153.2,0.89301,323,0.034389,2,11,1
2248.3,5.1083,452.2,0.052849,1,12,1770.1,0.84714,323,0.05089,1,12,1
2027.9,5.11,452.2,0.041391,1,13,1549.7,0.84889,323,0.039432,1,13,1
2022.5,4.9596,452.2,0.044858,2,12,1544.3,0.6985,323,0.042899,2,12,1
1978.8,4.9836,452.2,0.045843,2,12,1500.6,0.7225,323,0.043884,2,12,1
2170.9,5.0138,473.73,0.038549,1,13,1692.7,0.75262,344.53,0.03659,1,13,1
2343,5.0583,473.73,0.056576,3,13,1864.8,0.79715,344.53,0.054617,3,13,1
2547.6,4.9324,473.73,0.066938,2,13,2069.3,0.67124,344.53,0.064979,2,13,1
2575.6,5.0786,473.73,0.077602,3,13,2097.4,0.81742,344.53,0.075643,3,13,1
2268.4,4.9283,473.73,0.057124,2,13,1790.2,0.66716,344.53,0.055165,2,13,1
2599.6,4.9299,473.73,0.063556,2,13,2121.4,0.66873,344.53,0.061598,2,13,1
2400.7,4.8168,473.73,0.064259,3,13,1922.5,0.55568,344.53,0.0623,3,13,1
2458.5,4.8151,473.73,0.06827,4,4,1980.3,0.55397,344.53,0.066311,4,4,1
