@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.12309,0.030853,895.82,5.0652,344.53,0.042069,0.008167,417.61,0.50149,193.8,1
0.10045,0.032668,790.95,5.0325,236.87,0.019433,0.0099819,312.74,0.46883,86.133,0
0.097558,0.034483,641.03,5.0784,129.2,0.016536,0.011797,162.82,0.51468,0,0
0.1104,0.033575,758.12,4.887,409.13,0.029379,0.010889,279.91,0.32329,279.93,0
0.11892,0.022686,1001.8,4.7383,409.13,0.037896,0,523.59,0.17457,279.93,0
0.12138,0.016334,757.46,4.9482,129.2,0.040354,0,279.25,0.38453,0,0
0.15569,0.016334,1111.6,4.7816,323,0.074672,0,633.43,0.21792,193.8,0
0.23306,0.021779,2283,4.4386,516.8,0.15204,0.0054446,1804.8,0,387.6,0
0.33286,0.021779,3170.9,4.2611,516.8,0.25184,0.0054446,2692.7,0,387.6,0
0.37864,0.023593,3934.2,4.3906,516.8,0.29762,0.0072595,3456,0.1295,387.6,0
0.38441,0.022686,4228.2,4.4192,538.33,0.30339,0.0063521,3750,0.15806,409.13,0
0.41367,0.022686,4396.1,4.4199,538.33,0.33265,0.0063521,3917.9,0.15874,409.13,0
0.42621,0.023593,4351.9,4.4075,538.33,0.34518,0.0072595,3873.7,0.14637,409.13,0
0.42252,0.022686,4644.8,4.4679,516.8,0.3415,0.0063521,4166.6,0.20674,387.6,0
0.40001,0.023593,4712.6,4.4534,516.8,0.31899,0.0072595,4234.4,0.1923,387.6,0
0.3242,0.029038,3571.4,4.6598,516.8,0.24317,0.012704,3093.2,0.39871,387.6,0
0.31747,0.027223,3865.3,4.5981,495.26,0.23645,0.010889,3387.1,0.33697,366.06,0
0.32764,0.023593,4004.9,4.6034,495.26,0.24662,0.0072595,3526.7,0.34222,366.06,0
0.29687,0.020871,3367.5,4.6454,215.33,0.21584,0.0045372,2889.3,0.38424,86.133,0
0.32943,0.023593,3884.4,4.4724,409.13,0.24841,0.0072595,3406.2,0.2113,279.93,0
0.31557,0.034483,3714,4.6477,387.6,0.23455,0.018149,3235.8,0.3866,258.4,0
0.25615,0.032668,3171.3,4.4781,495.26,0.17513,0.016334,2693.1,0.21694,366.06,0
0.22409,0.022686,1959,4.7028,473.73,0.14307,0.0063521,1480.8,0.44167,344.53,0
0.16253,0.034483,1601.1,4.7882,516.8,0.081511,0.018149,1122.9,0.52708,387.6,0
0.1551,0.03902,1697.7,4.8781,516.8,0.074078,0.022686,1219.5,0.61697,387.6,0
0.1621,0.027223,1302.5,5.1388,409.13,0.081079,0.010889,824.3,0.87768,279.93,0
0.12463,0.024501,1098.6,5.2987,366.06,0.043607,0.008167,620.43,1.0376,236.87,1
0.14387,0.026316,1507.2,5.2318,538.33,0.062852,0.0099819,1029,0.9707,409.13,1
0.1714,0.033575,1447.6,5.2645,473.73,0.090381,0.017241,969.39,1.0034,344.53,1
0.19385,0.038113,2360.3,5.1629,473.73,0.11282,0.021779,1882.1,0.90177,344.53,1
0.22809,0.037205,2635.3,5.085,473.73,0.14706,0.020871,2157.1,0.82384,344.53,1
0.26391,0.030853,2364.4,5.1052,473.73,0.18289,0.014519,1886.2,0.84404,344.53,1
0.26974,0.036298,3338.6,5.1021,495.26,0.18871,0.019964,2860.4,0.84096,366.06,1
0.28303,0.044465,3836.3,5.1595,495.26,0.20201,0.028131,3358.1,0.8984,366.06,1
0.27684,0.043557,3850.2,5.0691,473.73,0.19582,0.027223,3372,0.80793,344.53,1
0.26312,0.039927,3287.8,5.0998,495.26,0.18209,0.023593,2809.6,0.83869,366.06,1
0.2547,0.036298,2741.1,5.1655,495.26,0.17368,0.019964,2262.9,0.90433,366.06,1
0.23618,0.046279,2573.1,5.1418,495.26,0.15516,0.029946,2094.9,0.88069,366.06,1
0.26203,0.044465,3250.2,5.0931,473.73,0.18101,0.028131,2772,0.83199,344.53,1
0.253,0.039927,2945.7,5.2433,495.26,0.17198,0.023593,2467.4,0.9822,366.06,1
0.23706,0.048094,2622.7,5.2547,495.26,0.15604,0.03176,2144.4,0.99352,366.06,1
0.25501,0.04265,3066,5.1392,473.73,0.17399,0.026316,2587.8,0.87803,344.53,1
0.2615,0.033575,3338.4,5.0821,473.73,0.18047,0.017241,2860.2,0.821,344.53,1
0.25246,0.03539,2465.1,5.1936,495.26,0.17144,0.019056,1986.9,0.93251,366.06,1
0.27432,0.041742,3046.6,5.0301,495.26,0.1933,0.025408,2568.4,0.76897,366.06,1
0.28348,0.046279,3439.5,5.0241,473.73,0.20246,0.029946,2961.3,0.76292,344.53,1
0.27681,0.047187,2951.7,5.0514,473.73,0.19578,0.030853,2473.5,0.79029,344.53,1
0.28956,0.044465,3510.3,5.1197,473.73,0.20853,0.028131,3032.1,0.8586,344.53,1
0.26408,0.050817,3475.9,5.1209,473.73,0.18306,0.034483,2997.7,0.85981,344.53,1
0.2518,0.045372,3206.2,5.0675,452.2,0.17078,0.029038,2727.9,0.80633,323,1
0.23544,0.051724,2897.3,5.0613,452.2,0.15442,0.03539,2419.1,0.80018,323,1
0.20557,0.064428,2779.4,5.1609,452.2,0.12454,0.048094,2301.2,0.89973,323,1
0.18997,0.065336,1943,5.3535,452.2,0.10895,0.049002,1464.8,1.0923,323,1
0.17326,0.072595,1795.1,5.2659,452.2,0.092242,0.056261,1316.9,1.0048,323,1
0.17037,0.071688,2148.1,5.167,452.2,0.089348,0.055354,1669.9,0.90584,323,1
0.18045,0.063521,1766.5,5.2578,452.2,0.099429,0.047187,1288.3,0.99666,323,1
0.17406,0.068058,2121.4,5.2692,452.2,0.093038,0.051724,1643.2,1.008,323,1
0.17384,0.065336,1954.2,5.239,452.2,0.092815,0.049002,1475.9,0.97785,323,1
0.20526,0.044465,2179.4,5.1583,452.2,0.12423,0.028131,1701.2,0.89715,323,1
0.21502,0.045372,2410.8,5.147,473.73,0.134,0.029038,1932.6,0.88582,344.53,1
0.22894,0.049002,2703.7,5.1461,452.2,0.14792,0.032668,2225.5,0.885,323,1
0.22628,0.058076,3132.6,5.1216,452.2,0.14526,0.041742,2654.4,0.86044,323,1
0.20253,0.062613,2385.3,5.2844,452.2,0.12151,0.046279,1907.1,1.0233,323,1
0.19255,0.053539,2152.3,5.1621,473.73,0.11153,0.037205,1674.1,0.90094,344.53,1
0.20046,0.049909,2034.1,5.1844,473.73,0.11944,0.033575,1555.9,0.92331,344.53,1
0.21265,0.046279,2134.7,5.2175,473.73,0.13163,0.029946,1656.4,0.95641,344.53,1
0.2007,0.058076,2274,5.1826,473.73,0.11968,0.041742,1795.8,0.92145,344.53,1
0.20804,0.065336,2362.6,5.2091,473.73,0.12702,0.049002,1884.4,0.94796,344.53,1
0.21367,0.067151,2370.9,5.2133,473.73,0.13264,0.050817,1892.6,0.95214,344.53,1
0.2045,0.076225,2238.1,5.3396,452.2,0.12348,0.059891,1759.9,1.0784,323,1
0.20139,0.071688,2201.3,5.2576,452.2,0.12036,0.055354,1723.1,0.99644,323,1
0.18433,0.064428,2446.1,5.2378,452.2,0.10331,0.048094,1967.9,0.9767,323,1
0.18065,0.058984,2163.2,5.2133,430.66,0.09963,0.04265,1685,0.95213,301.46,1
0.18669,0.053539,2256.6,5.2747,452.2,0.10566,0.037205,1778.4,1.0136,323,1
0.19173,0.048094,2318.4,5.2864,452.2,0.11071,0.03176,1840.2,1.0252,323,1
0.20186,0.048094,2593.1,5.2487,430.66,0.12083,0.03176,2114.9,0.98753,301.46,1
0.21009,0.052632,2729.2,5.2018,452.2,0.12906,0.036298,2251,0.94067,323,1
0.20687,0.049909,2459.1,5.2347,452.2,0.12584,0.033575,1980.9,0.9736,323,1
0.19454,0.059891,2791.8,5.1274,430.66,0.11352,0.043557,2313.6,0.86628,301.46,1
0.18805,0.059891,2275.7,5.1162,452.2,0.10703,0.043557,1797.5,0.85505,323,1
0.18972,0.054446,2009.8,5.3117,452.2,0.1087,0.038113,1531.5,1.0505,323,1
0.18986,0.058984,2631.4,5.1541,452.2,0.10884,0.04265,2153.2,0.89301,323,1
0.1958,0.049909,2248.3,5.1083,452.2,0.11478,0.033575,1770.1,0.84714,323,1
0.1916,0.047187,2027.9,5.11,452.2,0.11058,0.030853,1549.7,0.84889,323,1
0.18835,0.057169,2022.5,4.9596,452.2,0.10733,0.040835,1544.3,0.6985,323,1
0.19606,0.060799,1978.8,4.9836,452.2,0.11504,0.044465,1500.6,0.7225,323,1
0.20499,0.061706,2170.9,5.0138,473.73,0.12397,0.045372,1692.7,0.75262,344.53,1
0.23473,0.057169,2343,5.0583,473.73,0.1537,0.040835,1864.8,0.79715,344.53,1
0.2608,0.049909,2547.6,4.9324,473.73,0.17977,0.033575,2069.3,0.67124,344.53,1
0.25841,0.058076,2575.6,5.0786,473.73,0.17739,0.041742,2097.4,0.81742,344.53,1
0.24898,0.062613,2268.4,4.9283,473.73,0.16796,0.046279,1790.2,0.66716,344.53,1
0.26202,0.052632,2599.6,4.9299,473.73,0.181,0.036298,2121.4,0.66873,344.53,1
0.27535,0.049909,2400.7,4.8168,473.73,0.19432,0.033575,1922.5,0.55568,344.53,1
0.27321,0.047187,2458.5,4.8151,473.73,0.19219,0.030853,1980.3,0.55397,344.53,1
