@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.46422,23,0,0,0
0.43396,20,0,0,0
0.53025,22,0.096295,2,0
0.51252,20,0.078566,0,0
0.44568,19,0.011724,0,1
0.59642,15,0.16246,0,1
0.50097,15,0.067013,0,1
0.50173,23,0.067772,8,1
0.69438,27,0.26042,12,1
0.67899,27,0.24503,12,1
0.69237,23,0.25842,8,1
0.57169,31,0.13773,16,1
0.71063,29,0.27667,14,1
0.70719,26,0.27323,11,1
0.75991,22,0.32596,7,1
0.51375,26,0.0798,11,1
0.59893,33,0.16497,18,1
0.66323,31,0.22927,16,1
1.0038,16,0.56982,1,1
0.77198,18,0.33802,3,1
0.81027,28,0.37631,13,1
0.74182,37,0.30787,22,1
0.92365,40,0.4897,25,1
1.0775,33,0.64356,18,1
1.0533,34,0.61937,19,1
1.0478,34,0.6138,19,1
1.042,34,0.60803,19,1
1.0995,10,0.66557,0,1
1.3538,9,0.91988,0,1
1.4161,9,0.98218,0,1
1.4343,9,1.0003,0,1
1.367,9,0.93308,0,1
1.1848,9,0.75084,0,1
1.2233,9,0.78934,0,1
1.2208,9,0.78683,0,1
1.3798,11,0.94588,2,1
1.2681,9,0.83417,0,1
1.0468,11,0.61288,2,1
0.87001,10,0.43605,1,1
1.1569,9,0.72293,0,1
1.4678,10,1.0339,1,1
1.3913,10,0.95736,1,1
1.4815,10,1.0475,1,1
1.3228,9,0.88886,0,1
1.2309,11,0.7969,2,1
1.4398,9,1.0058,0,1
1.4752,9,1.0412,0,1
1.4502,9,1.0162,0,1
1.3756,9,0.94168,0,1
1.4166,9,0.9826,0,1
1.3741,10,0.94014,1,1
1.5091,10,1.0751,1,1
1.4878,10,1.0539,1,1
1.4695,10,1.0355,1,1
1.2011,10,0.76713,1,1
1.3219,9,0.8879,0,1
0.71995,8,0.286,0,1
0.44637,16,0.012418,8,1
0.32531,18,0,10,1
0.53292,9,0.20761,1,1
0.47692,10,0.15161,2,1
0.53466,24,0.20935,16,0
0.58892,8,0.26361,0,0
