@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11374,0.050817,0.46422,23,0,0,0,0,0
0.11036,0.052632,0.43396,20,0,0.0018149,0,0,0
0.095924,0.048094,0.53025,22,0,0,0.096295,2,0
0.08603,0.050817,0.51252,20,0,0.0027223,0.078566,0,0
0.081022,0.052632,0.44568,19,0,0.0045372,0.011724,0,1
0.10007,0.049909,0.59642,15,0.019053,0.0018149,0.16246,0,1
0.14551,0.047187,0.50097,15,0.064491,0,0.067013,0,1
0.17302,0.043557,0.50173,23,0.091996,0,0.067772,8,1
0.18675,0.049909,0.69438,27,0.10573,0.0063521,0.26042,12,1
0.21617,0.048094,0.67899,27,0.13515,0.0045372,0.24503,12,1
0.237,0.040835,0.69237,23,0.15598,0,0.25842,8,1
0.27783,0.04265,0.57169,31,0.19681,0.0018149,0.13773,16,1
0.34117,0.045372,0.71063,29,0.26015,0.0045372,0.27667,14,1
0.34191,0.050817,0.70719,26,0.26088,0.0099819,0.27323,11,1
0.32434,0.046279,0.75991,22,0.24332,0.0054446,0.32596,7,1
0.33743,0.043557,0.51375,26,0.25641,0.0027223,0.0798,11,1
0.33475,0.055354,0.59893,33,0.25373,0.014519,0.16497,18,1
0.33208,0.058984,0.66323,31,0.25106,0.018149,0.22927,16,1
0.35197,0.061706,1.0038,16,0.27095,0.020871,0.56982,1,1
0.39327,0.053539,0.77198,18,0.31225,0.012704,0.33802,3,1
0.36865,0.051724,0.81027,28,0.28763,0.010889,0.37631,13,1
0.32917,0.055354,0.74182,37,0.24815,0.014519,0.30787,22,1
0.28744,0.061706,0.92365,40,0.20642,0.020871,0.4897,25,1
0.23658,0.076225,1.0775,33,0.15556,0.03539,0.64356,18,1
0.25424,0.07441,1.0533,34,0.17322,0.033575,0.61937,19,1
0.23828,0.079855,1.0478,34,0.15726,0.03902,0.6138,19,1
0.25225,0.07078,1.042,34,0.17122,0.029946,0.60803,19,1
0.27674,0.053539,1.0995,10,0.19572,0.012704,0.66557,0,1
0.27881,0.049909,1.3538,9,0.19779,0.0090744,0.91988,0,1
0.28615,0.046279,1.4161,9,0.20513,0.0054446,0.98218,0,1
0.31013,0.040835,1.4343,9,0.22911,0,1.0003,0,1
0.32891,0.033575,1.367,9,0.24788,0,0.93308,0,1
0.31352,0.047187,1.1848,9,0.2325,0.013612,0.75084,0,1
0.29234,0.054446,1.2233,9,0.21132,0.020871,0.78934,0,1
0.28573,0.049002,1.2208,9,0.20471,0.015426,0.78683,0,1
0.30027,0.051724,1.3798,11,0.21925,0.018149,0.94588,2,1
0.32575,0.053539,1.2681,9,0.24473,0.019964,0.83417,0,1
