@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.44007,34,0
0.38939,31,0
0.3241,32,0
0.32796,31,0
0.57571,24,0
0.47053,22,0
0.62609,17,0
0.89769,8,0
1.1275,8,0
0.93699,8,0
0.55052,13,0
0.82023,14,0
0.73764,9,0
0.67433,15,0
0.61817,25,0
0.42759,40,0
0.37728,20,0
0.46073,17,0
0.40903,14,0
0.69473,11,0
0.47761,53,0
0.45737,53,0
0.49597,35,0
0.5269,21,0
0.47079,18,1
0.54233,13,1
0.70804,12,1
0.38658,13,1
0.85009,13,1
0.89687,21,1
0.90728,15,1
1.0712,19,1
1.1391,23,1
1.3912,40,1
1.2975,37,1
1.3957,40,1
1.2726,22,1
1.182,29,1
1.0319,10,1
1.0072,18,1
0.88964,23,1
0.96881,18,1
1.0017,14,1
1.0753,13,1
1.0936,12,1
1.1256,11,1
1.2878,11,1
1.1699,11,1
0.79559,12,1
0.86204,12,1
0.77434,16,1
0.79782,14,1
0.94721,17,1
0.9636,16,1
0.69544,15,1
0.66933,20,1
0.59684,16,1
0.53617,24,1
0.64315,16,1
0.83252,13,1
0.49719,20,1
0.76629,13,1
0.42505,21,1
0.47874,19,1
0.82227,17,1
0.88943,13,1
1.0334,12,1
0.96041,11,1
1.0673,14,1
0.82726,22,1
0.85039,30,1
0.32162,29,1
0.395,27,1
0.8217,16,1
1.5081,10,1
1.6602,10,1
1.4687,10,1
1.2654,10,1
1.5344,11,1
1.5708,11,1
1.6355,11,1
1.5516,11,1
1.5711,10,1
1.5665,10,1
1.5258,10,1
1.4471,10,1
1.4326,9,1
1.5447,9,1
1.4481,9,1
1.2163,9,1
1.2746,12,1
1.1429,10,1
1.0639,20,1
1.2367,23,1
1.3536,9,1
1.3544,16,1
1.4267,9,1
1.4086,13,1
1.4436,16,1
1.3967,23,1
1.1694,40,1
1.16,40,1
1.2908,40,1
1.3608,40,1
1.1862,40,1
1.0773,32,1
1.2966,26,1
1.4314,20,1
1.4425,14,1
1.3557,38,1
1.2829,41,1
1.3877,27,1
1.3266,12,1
1.3465,14,1
1.344,11,1
1.2855,9,1
1.3649,10,1
1.2288,19,1
1.3141,15,1
1.3834,9,1
1.4004,10,1
1.364,10,1
1.3659,10,1
1.3963,10,1
1.3478,10,1
1.3063,9,1
1.346,9,1
1.4717,9,1
1.4921,9,1
1.4819,9,1
1.55,9,1
1.4405,9,1
1.5076,9,1
1.4798,9,1
1.6024,9,1
1.5862,9,1
1.5812,9,1
1.5672,9,1
1.5662,9,1
1.4652,8,1
1.4024,8,1
1.0232,12,1
0.53823,35,1
0.48621,26,1
0.41664,29,1
0.4274,29,0
0.27412,38,0
0.33852,35,0
0.33745,36,0
0.26102,42,0
0.34934,34,0
0.356,45,0
0.34748,47,0
0.34167,33,0
0.38607,34,0
0.38303,31,0
0.43181,20,0
0.36124,31,0
0.36542,24,0
0.41123,21,0
0.34505,25,0
0.30593,29,0
0.28051,21,0
0.39829,24,0
0.26293,38,0
0.33149,38,0
0.38545,40,0
0.45825,27,0
0.17379,38,0
0.3732,35,0
0.36858,35,0
0.33901,37,0
0.41426,27,0
0.61779,26,0
0.34555,57,0
0.32195,67,0
0.2502,60,0
0.39691,50,0
0.41185,40,0
