@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
1482.2,-4.8587,279.93,1
1865.1,-4.7826,710.6,1
2278.3,-4.8436,107.67,1
1965.7,-5.3771,107.67,1
3222.8,-5.6116,344.53,1
2088.2,-5.4274,366.06,1
2109.5,-5.2749,495.26,1
1821.6,-5.1243,344.53,1
1501.2,-5.0981,344.53,1
774.59,-5.2882,366.06,1
369.39,-5.4503,646,1
829.47,-5.1367,279.93,1
564.21,-5.0627,107.67,1
522.6,-5.0986,258.4,1
356.69,-5.1963,258.4,0
196.48,-5.315,366.06,0
151.58,-5.2687,279.93,0
117.11,-5.3216,258.4,0
176.19,-5.1642,279.93,0
118.34,-5.1615,279.93,0
71.297,-5.2231,258.4,0
44.165,-5.2872,258.4,0
19.407,-5.3507,581.4,0
25.592,-5.3161,258.4,0
-35.451,-5.42,129.2,0
-76.76,-5.592,107.67,0
-31.862,-5.4581,559.86,0
-20.129,-5.4133,301.46,0
-51.918,-5.5397,258.4,0
-40.5,-5.4734,387.6,0
-1.6389,-5.3789,150.73,0
-46.959,-5.5092,279.93,0
-75.383,-5.6071,495.26,0
18.768,-5.4726,150.73,0
11.081,-5.4097,150.73,0
32.667,-5.3872,172.27,0
6.4531,-5.4119,409.13,0
8.9179,-5.4334,387.6,0
-6.3679,-5.3849,409.13,0
-28.502,-5.4539,581.4,0
-40.129,-5.6118,387.6,0
-39.679,-5.6444,236.87,0
8.098,-5.5721,387.6,0
27.341,-5.4843,409.13,0
39.619,-5.5428,215.33,0
30.208,-5.6895,236.87,0
172.62,-5.6098,409.13,0
106.26,-5.6494,236.87,0
269.33,-5.4397,775.2,0
214.08,-5.5293,796.73,0
163.77,-5.577,430.66,0
21.28,-5.7495,775.2,0
76.066,-5.622,775.2,0
7.7272,-5.7604,409.13,0
137.67,-5.5591,775.2,0
270.92,-5.5271,430.66,0
312.7,-5.4532,409.13,0
207.34,-5.4632,775.2,0
366.14,-5.3868,775.2,0
283.32,-5.4537,538.33,0
340.27,-5.4154,215.33,0
606.81,-5.3208,409.13,0
458.98,-5.4036,215.33,0
372.71,-5.3195,796.73,0
391.61,-5.2425,796.73,0
469.87,-5.3218,818.26,0
492.5,-5.2772,387.6,0
442.42,-5.1498,818.26,0
476.91,-5.1844,818.26,0
560.86,-5.3609,236.87,0
600.9,-5.2683,409.13,0
337.42,-5.3126,818.26,0
471.08,-5.2635,409.13,0
446.67,-5.1668,861.33,0
753.88,-4.9507,409.13,0
817.23,-4.8808,473.73,0
1147.7,-4.7563,516.8,0
1986.8,-4.4819,516.8,0
2095.1,-4.3903,516.8,0
1849,-4.6652,516.8,0
855.02,-4.9203,193.8,0
713.98,-4.9254,495.26,0
702.82,-5.0126,516.8,0
720.51,-5.4597,344.53,0
561.03,-5.2089,409.13,0
526.28,-5.1975,538.33,0
338.59,-5.3001,473.73,0
607.53,-5.0464,452.2,0
609.24,-5.2546,473.73,0
884.22,-5.3822,452.2,0
673.4,-5.2707,473.73,0
368.6,-5.4017,473.73,0
433.46,-5.3294,473.73,0
615.55,-5.2234,689.06,0
713.28,-5.2208,473.73,0
473.6,-5.3319,258.4,0
829.83,-5.2668,452.2,0
925.87,-5.2819,452.2,0
705.39,-5.2679,1055.1,0
387.8,-5.5011,1033.6,0
770.44,-5.4677,430.66,0
784.5,-5.3008,430.66,0
407.85,-5.4709,409.13,0
405.57,-5.4724,710.6,0
320.74,-5.4982,215.33,0
213.02,-5.5552,387.6,0
114.85,-5.7006,538.33,0
195.72,-5.5739,387.6,0
295.54,-5.55,753.66,0
426.1,-5.4369,710.6,0
477.16,-5.3296,409.13,0
318.81,-5.4919,279.93,0
666.86,-5.6224,215.33,0
395.52,-5.4569,236.87,0
415.08,-5.3913,409.13,0
321.23,-5.3925,129.2,0
176.06,-5.4643,107.67,0
215.69,-5.3163,107.67,0
303.21,-5.0474,387.6,0
240.3,-5.1648,409.13,0
111.46,-5.3063,129.2,0
52.876,-5.5374,366.06,0
93.563,-5.518,129.2,0
49.798,-5.506,129.2,0
-19.504,-5.6393,818.26,0
-5.3586,-5.6529,215.33,0
-35.915,-5.6805,129.2,0
-9.2414,-5.5808,409.13,0
63.205,-5.5613,150.73,0
31.892,-5.5482,107.67,0
166.02,-5.2644,107.67,0
262.96,-5.2579,925.93,0
291.73,-5.2256,925.93,0
201.78,-5.3791,150.73,0
243.2,-5.2815,452.2,0
227.14,-5.3741,452.2,0
102.95,-5.4908,430.66,0
283.72,-5.3709,107.67,0
82.061,-5.541,107.67,0
72.068,-5.6496,452.2,0
-9.3524,-5.7208,689.06,0
26.326,-5.5286,710.6,0
-11.694,-5.602,430.66,0
-43.045,-5.6249,452.2,0
44.133,-5.4149,323,0
211.04,-5.398,344.53,0
282.33,-5.3025,129.2,0
260.58,-5.3078,279.93,0
131.31,-5.4504,409.13,0
154.09,-5.3717,129.2,0
64.489,-5.5047,473.73,0
102.21,-5.4741,667.53,0
211.66,-5.393,624.46,0
162.35,-5.4229,107.67,0
89.786,-5.5615,258.4,0
40.401,-5.631,689.06,0
82.233,-5.5786,495.26,0
98.513,-5.5833,387.6,0
167.55,-5.5662,452.2,0
78.019,-5.6305,473.73,0
67.971,-5.6621,387.6,0
17.651,-5.6912,430.66,0
54.333,-5.5845,710.6,0
-3.0602,-5.6052,452.2,0
124.41,-5.6731,150.73,0
138.5,-5.7083,1744.2,0
173.18,-5.5169,452.2,0
140.29,-5.5614,452.2,0
372.37,-5.3787,452.2,0
353.37,-5.3366,430.66,0
448.71,-5.1433,430.66,0
374.7,-5.3311,430.66,0
454.65,-5.471,430.66,0
596.04,-5.4592,430.66,0
298.1,-5.5271,430.66,0
446.73,-5.6041,430.66,0
162.32,-5.805,452.2,0
145.81,-5.7136,430.66,0
30.213,-5.7118,710.6,0
36.839,-5.6197,732.13,0
113.82,-5.4253,732.13,0
200.87,-5.2669,473.73,0
