@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.15,0.076225,1603,-5.1171,452.2,1
0.16171,0.072595,1434.6,-5.1611,452.2,1
0.16095,0.068966,1694.8,-5.1437,452.2,1
0.16027,0.066243,1539.1,-5.1452,452.2,1
0.1793,0.049909,1678.8,-5.085,452.2,1
0.18945,0.047187,1906.6,-5.0448,452.2,1
0.19541,0.052632,2021.5,-5.0565,452.2,1
0.18833,0.058984,2190.6,-5.0591,452.2,1
0.17935,0.065336,1852.1,-5.1588,452.2,1
0.17928,0.067151,1800.3,-4.9945,473.73,1
0.18595,0.055354,1693,-5.0559,473.73,1
0.19631,0.046279,1785.4,-5.0447,473.73,1
0.19043,0.058076,1900.5,-5.0317,473.73,1
0.19566,0.065336,1983,-5.0257,473.73,1
0.19847,0.065336,1979.3,-5.0266,473.73,1
0.18556,0.065336,1804.3,-5.192,452.2,1
0.17232,0.071688,1683.5,-5.1815,452.2,1
0.15692,0.075318,1728.5,-5.1941,452.2,1
0.15644,0.063521,1604.4,-5.1206,452.2,1
0.16,0.060799,1666,-5.1577,452.2,1
0.16126,0.061706,1677.7,-5.1592,452.2,1
0.16523,0.067151,1813.3,-5.1745,430.66,1
0.16825,0.068058,1894.9,-5.1254,452.2,1
0.16452,0.062613,1644.7,-5.1561,452.2,1
0.16103,0.064428,1873,-5.0313,430.66,1
0.16452,0.058076,1718,-4.9284,452.2,1
0.16513,0.056261,1516.2,-5.1279,452.2,1
0.16596,0.057169,1907.8,-4.9865,452.2,1
0.17543,0.055354,1703.9,-4.9049,452.2,1
0.17488,0.060799,1682.6,-4.8501,452.2,1
0.17577,0.061706,1626.9,-4.7649,452.2,1
0.18495,0.061706,1700.2,-4.7555,452.2,1
0.19904,0.063521,1905.8,-4.7437,473.73,1
0.22474,0.057169,2084.4,-4.8242,473.73,1
0.24348,0.053539,2257.5,-4.7024,473.73,1
0.24503,0.054446,2287.1,-4.8561,473.73,1
0.23996,0.062613,2072.4,-4.6297,473.73,1
0.24476,0.065336,2235.7,-4.6427,473.73,1
0.25166,0.058984,2119.8,-4.5734,473.73,1
0.25494,0.051724,2210.9,-4.5785,495.26,1
0.2607,0.044465,2258.6,-4.6406,495.26,1
0.26662,0.034483,2369.1,-4.6264,495.26,1
0.27321,0.030853,2611.7,-4.6641,495.26,1
0.28496,0.026316,2712.3,-4.6564,495.26,1
0.27571,0.022686,2758.7,-4.8039,495.26,1
0.25164,0.029038,2426,-4.8311,495.26,1
0.24935,0.03539,2748.4,-4.8028,495.26,1
0.26437,0.03902,2678,-4.8448,495.26,1
0.27066,0.041742,2762.5,-4.8527,495.26,1
0.27894,0.03902,2879.1,-4.8485,473.73,1
0.27663,0.03176,2890.3,-4.7771,473.73,1
0.26483,0.03176,2576.2,-4.8117,473.73,1
0.25671,0.038113,2619.7,-4.801,473.73,1
0.24612,0.036298,2530.3,-4.8589,473.73,1
0.27263,0.03902,3560.3,-5.12,473.73,1
0.27362,0.050817,4994.1,-5.0339,473.73,1
0.33495,0.040835,4030.5,-5.026,452.2,1
0.41876,0.032668,7526.1,-4.9686,452.2,1
0.42434,0.034483,6494.9,-5.0005,258.4,1
0.39176,0.03539,7411.8,-4.8553,430.66,1
0.3755,0.032668,6086.4,-4.8394,258.4,1
0.38803,0.029038,5696.8,-4.84,258.4,1
0.36218,0.03539,5746.6,-4.7268,301.46,1
0.31175,0.037205,4482,-4.874,732.13,1
0.30901,0.025408,4654.2,-4.7879,430.66,1
0.2788,0.026316,3459.6,-4.7418,430.66,1
0.2266,0.039927,3515.6,-5.1251,107.67,1
0.2139,0.04265,3594.2,-5.1561,107.67,1
0.18093,0.039927,1928.6,-5.124,409.13,1
0.18501,0.029038,2383.4,-4.8971,86.133,1
0.20078,0.019964,2289.7,-4.7818,107.67,1
0.17036,0.026316,1694,-4.962,107.67,1
0.14668,0.033575,1482.2,-4.8587,279.93,1
0.17531,0.029946,1865.1,-4.7826,710.6,1
0.17267,0.026316,2278.3,-4.8436,107.67,1
0.1759,0.049909,1965.7,-5.3771,107.67,1
0.18835,0.068966,3222.8,-5.6116,344.53,1
0.18395,0.047187,2088.2,-5.4274,366.06,1
0.18114,0.033575,2109.5,-5.2749,495.26,1
0.16741,0.034483,1821.6,-5.1243,344.53,1
0.14554,0.030853,1501.2,-5.0981,344.53,1
0.09896,0.045372,774.59,-5.2882,366.06,1
0.077036,0.064428,369.39,-5.4503,646,1
0.084484,0.043557,829.47,-5.1367,279.93,1
0.087681,0.024501,564.21,-5.0627,107.67,1
0.076878,0.037205,522.6,-5.0986,258.4,1
0.062149,0.04265,356.69,-5.1963,258.4,0
0.053445,0.04265,196.48,-5.315,366.06,0
0.045215,0.044465,151.58,-5.2687,279.93,0
0.044332,0.043557,117.11,-5.3216,258.4,0
0.046071,0.040835,176.19,-5.1642,279.93,0
0.043523,0.029038,118.34,-5.1615,279.93,0
0.038639,0.025408,71.297,-5.2231,258.4,0
0.035128,0.034483,44.165,-5.2872,258.4,0
0.037851,0.03902,19.407,-5.3507,581.4,0
0.032359,0.044465,25.592,-5.3161,258.4,0
0.024129,0.046279,-35.451,-5.42,129.2,0
0.027208,0.046279,-76.76,-5.592,107.67,0
0.02716,0.044465,-31.862,-5.4581,559.86,0
0.025947,0.046279,-20.129,-5.4133,301.46,0
0.026624,0.049909,-51.918,-5.5397,258.4,0
0.0275,0.045372,-40.5,-5.4734,387.6,0
0.028416,0.047187,-1.6389,-5.3789,150.73,0
0.025329,0.057169,-46.959,-5.5092,279.93,0
0.024801,0.061706,-75.383,-5.6071,495.26,0
0.032326,0.050817,18.768,-5.4726,150.73,0
0.033961,0.043557,11.081,-5.4097,150.73,0
0.033056,0.04265,32.667,-5.3872,172.27,0
0.031049,0.055354,6.4531,-5.4119,409.13,0
0.032435,0.054446,8.9179,-5.4334,387.6,0
0.034098,0.043557,-6.3679,-5.3849,409.13,0
0.029225,0.054446,-28.502,-5.4539,581.4,0
0.027638,0.057169,-40.129,-5.6118,387.6,0
0.030465,0.050817,-39.679,-5.6444,236.87,0
0.037486,0.045372,8.098,-5.5721,387.6,0
0.041381,0.04265,27.341,-5.4843,409.13,0
0.040967,0.041742,39.619,-5.5428,215.33,0
0.044618,0.056261,30.208,-5.6895,236.87,0
0.051104,0.059891,172.62,-5.6098,409.13,0
0.056406,0.058076,106.26,-5.6494,236.87,0
0.060722,0.059891,269.33,-5.4397,775.2,0
0.061491,0.054446,214.08,-5.5293,796.73,0
0.053188,0.060799,163.77,-5.577,430.66,0
0.042736,0.067151,21.28,-5.7495,775.2,0
0.040581,0.058076,76.066,-5.622,775.2,0
0.041157,0.069873,7.7272,-5.7604,409.13,0
0.049187,0.071688,137.67,-5.5591,775.2,0
0.057431,0.054446,270.92,-5.5271,430.66,0
0.061382,0.050817,312.7,-5.4532,409.13,0
0.063413,0.049002,207.34,-5.4632,775.2,0
0.065029,0.049002,366.14,-5.3868,775.2,0
0.065332,0.047187,283.32,-5.4537,538.33,0
0.07134,0.053539,340.27,-5.4154,215.33,0
0.078244,0.054446,606.81,-5.3208,409.13,0
0.076636,0.046279,458.98,-5.4036,215.33,0
0.076082,0.044465,372.71,-5.3195,796.73,0
0.076612,0.040835,391.61,-5.2425,796.73,0
0.075487,0.037205,469.87,-5.3218,818.26,0
0.077823,0.043557,492.5,-5.2772,387.6,0
0.077156,0.045372,442.42,-5.1498,818.26,0
0.079438,0.046279,476.91,-5.1844,818.26,0
0.0775,0.048094,560.86,-5.3609,236.87,0
0.070963,0.04265,600.9,-5.2683,409.13,0
0.069913,0.043557,337.42,-5.3126,818.26,0
0.067156,0.048094,471.08,-5.2635,409.13,0
0.079744,0.038113,446.67,-5.1668,861.33,0
0.10068,0.029038,753.88,-4.9507,409.13,0
0.10582,0.029038,817.23,-4.8808,473.73,0
0.13047,0.024501,1147.7,-4.7563,516.8,0
0.17979,0.025408,1986.8,-4.4819,516.8,0
0.21538,0.027223,2095.1,-4.3903,516.8,0
0.18404,0.03176,1849,-4.6652,516.8,0
0.11745,0.036298,855.02,-4.9203,193.8,0
0.10375,0.03539,713.98,-4.9254,495.26,0
0.088458,0.03902,702.82,-5.0126,516.8,0
0.084514,0.036298,720.51,-5.4597,344.53,0
