@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
2035.4,-5.0454,495.26,332.88,0.41386,73.023,1
2412.1,-4.9027,495.26,783.67,0.43377,73.023,1
2544.6,-4.9687,473.73,429.28,0.19744,71.418,1
2267.2,-4.9184,473.73,212.49,0.38131,0,1
2584.4,-5.0278,473.73,480.95,0.69222,0,1
2446.2,-5.109,473.73,538.34,0.38983,71.418,1
2347.5,-4.9683,452.2,589.76,0.53278,69.776,1
2149.9,-4.9948,452.2,611.52,0.55881,0,1
1999.6,-5.0933,452.2,804.13,0.81919,0,1
1503.1,-5.2583,452.2,679.68,0.50624,0,1
1384.9,-5.1908,452.2,263.02,0.60525,0,1
1603,-5.1171,452.2,199.47,0.27577,0,1
1434.6,-5.1611,452.2,256.55,0.26209,0,1
1694.8,-5.1437,452.2,297.66,0.20192,0,1
1539.1,-5.1452,452.2,110.88,0.38867,0,1
1678.8,-5.085,452.2,555.38,0.50533,0,1
1906.6,-5.0448,452.2,571.56,0.26838,0,1
2021.5,-5.0565,452.2,535.81,0.19046,0,1
2190.6,-5.0591,452.2,430.8,0.50886,0,1
1852.1,-5.1588,452.2,601.21,0.40845,69.776,1
1800.3,-4.9945,473.73,378.44,0.50693,71.418,1
1693,-5.0559,473.73,112.35,0.35643,0,1
1785.4,-5.0447,473.73,430.46,0.2472,0,1
1900.5,-5.0317,473.73,433.34,0.2189,0,1
1983,-5.0257,473.73,279.45,0.11293,0,1
1979.3,-5.0266,473.73,420.54,0.64649,71.418,1
1804.3,-5.192,452.2,516.61,0.63409,69.776,1
1683.5,-5.1815,452.2,252.5,0.074871,0,1
1728.5,-5.1941,452.2,261.45,0.39786,0,1
