@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,378.19,5.0016,732.13,0,0,0,0,0,0
0.061444,0.049002,301.99,5.2119,150.73,0,0,0,0.21033,0,0
0.053477,0.049002,270.24,5.2737,1033.6,0,0,0,0.27217,882.86,0
0.048074,0.060799,143.07,5.4802,172.27,0,0.011797,0,0.47862,21.533,0
0.0453,0.060799,72.261,5.5579,796.73,0,0.011797,0,0.55628,646,1
0.062414,0.049002,230.79,5.3247,689.06,0.017114,0,158.53,0.3231,538.33,1
0.11699,0.049002,1039.8,5.0854,495.26,0.071691,0,967.51,0.083867,344.53,1
0.14549,0.049909,1682.5,5.0485,452.2,0.10019,0.00090744,1610.2,0.046975,301.46,1
0.15196,0.054446,1522.5,5.0278,1270.5,0.10666,0.0054446,1450.2,0.026222,1119.7,1
0.16855,0.058076,1732.1,5.1392,1270.5,0.12325,0.0090744,1659.9,0.13763,1119.7,1
0.18053,0.058076,2407.8,5.1716,430.66,0.13523,0.0090744,2335.5,0.17007,279.93,1
0.21462,0.058076,2911.8,5.1333,452.2,0.16932,0.0090744,2839.6,0.13176,301.46,1
0.26675,0.050817,3385.3,5.0361,452.2,0.22145,0.0018149,3313.1,0.034548,301.46,1
0.26697,0.056261,3538.9,5.0926,452.2,0.22167,0.0072595,3466.7,0.090987,301.46,1
0.25182,0.064428,3544,5.1943,452.2,0.20652,0.015426,3471.8,0.19271,301.46,1
0.26081,0.061706,3468.8,5.3706,473.73,0.21551,0.012704,3396.6,0.369,323,1
0.26094,0.068058,3729.4,5.1749,1808.8,0.21564,0.019056,3657.1,0.17331,1658.1,1
0.25732,0.075318,3879.1,5.2749,1787.3,0.21202,0.026316,3806.9,0.27336,1636.5,1
0.27439,0.072595,4358.8,5.1864,516.8,0.22909,0.023593,4286.5,0.18479,366.06,1
0.32387,0.058984,3790,5.2539,473.73,0.27857,0.0099819,3717.7,0.25235,323,1
0.30599,0.066243,4143.2,4.9626,495.26,0.26069,0.017241,4071,0,344.53,1
0.27933,0.068058,3673.5,5.036,495.26,0.23403,0.019056,3601.3,0.073484,344.53,1
0.2659,0.07078,3144.1,5.0459,473.73,0.2206,0.021779,3071.9,0.083362,323,1
0.23467,0.086207,2632.6,5.0159,473.73,0.18937,0.037205,2560.3,0.053357,323,1
0.2458,0.086207,2599.8,4.9733,473.73,0.2005,0.037205,2527.6,0.010733,323,1
0.23513,0.090744,2695.9,4.9499,473.73,0.18983,0.041742,2623.6,0,323,1
0.24446,0.083485,2868.6,4.989,473.73,0.19916,0.034483,2796.3,0.039018,323,1
0.26087,0.060799,2410.2,5.0502,473.73,0.21557,0.011797,2338,0.10026,323,1
0.26771,0.051724,2691.5,4.9306,495.26,0.22241,0.0027223,2619.2,0,344.53,1
0.28216,0.051724,2774.9,4.8653,495.26,0.23687,0.0027223,2702.7,0,344.53,1
0.30426,0.041742,2882.9,4.9027,495.26,0.25896,0,2810.6,0.037324,344.53,1
0.31609,0.037205,3289.4,4.9305,495.26,0.27079,0,3217.2,0.065133,344.53,1
0.30133,0.046279,3127.6,5.0322,516.8,0.25603,0.0090744,3055.4,0.16683,366.06,1
0.28428,0.052632,3048.1,4.9676,495.26,0.23898,0.015426,2975.8,0.10228,344.53,1
0.28008,0.051724,2881.1,5.0934,516.8,0.23478,0.014519,2808.9,0.22809,366.06,1
0.29564,0.049909,3169.9,4.9872,516.8,0.25034,0.012704,3097.7,0.12191,366.06,1
0.32139,0.047187,3580.9,5.024,516.8,0.27609,0.0099819,3508.7,0.15865,366.06,1
0.33868,0.046279,4088.8,4.9809,516.8,0.29338,0.0090744,4016.5,0.11555,366.06,1
0.34643,0.049909,4367.3,5.015,516.8,0.30113,0.012704,4295.1,0.14963,366.06,1
0.37074,0.043557,4104,4.9773,516.8,0.32544,0.0063521,4031.7,0.11196,366.06,1
0.40237,0.029946,4152.1,4.7876,516.8,0.35707,0,4079.8,0,366.06,1
0.39803,0.026316,3869.3,4.8514,516.8,0.35273,0,3797,0.063824,366.06,1
0.38175,0.033575,3978.2,4.7989,516.8,0.33645,0.0072595,3906,0.011241,366.06,1
