@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.081506,4,4,0.081008,4,4,1
0.057253,2,13,0.056755,2,13,1
0.077145,2,13,0.076646,2,13,1
0.069993,4,4,0.069495,4,4,1
0.071854,4,4,0.071356,4,4,1
0.073874,4,4,0.073375,4,4,1
0.066879,2,13,0.066381,2,13,1
0.080172,2,13,0.079674,2,13,1
0.07651,3,4,0.076012,3,4,1
0.080335,3,4,0.079837,3,4,1
0.082152,3,4,0.081654,3,4,1
0.077832,2,13,0.077334,2,13,1
0.078754,3,5,0.078255,3,5,1
0.075958,3,5,0.07546,3,5,1
0.062549,4,5,0.062051,4,5,1
0.047953,3,5,0.047455,3,5,1
0.058715,3,5,0.058217,3,5,1
0.062084,3,5,0.061586,3,5,1
0.07806,2,4,0.077562,2,4,1
0.042116,3,13,0.041618,3,13,1
0.012772,1,13,0.012274,1,13,1
0.031637,1,14,0.031138,1,14,1
0.022453,1,13,0.021955,1,13,1
0.019798,2,13,0.019299,2,13,1
0.014358,1,12,0.01386,1,12,1
0.030628,1,13,0.03013,1,13,1
0.033245,1,14,0.032747,1,14,1
0.026271,1,13,0.025772,1,13,1
0.040551,1,13,0.040053,1,13,1
0.013638,1,12,0.01314,1,12,1
0.01637,1,12,0.015871,1,12,1
0.045746,1,12,0.045247,1,12,1
0.045254,1,13,0.044756,1,13,1
0.03959,1,13,0.039092,1,13,1
0.035566,1,13,0.035067,1,13,1
0.024414,1,13,0.023915,1,13,1
0.024094,1,12,0.023596,1,12,1
0.0042744,0,0,0.0037761,0,0,1
0.018133,1,13,0.017634,1,13,1
0.019648,1,14,0.01915,1,14,1
0.029109,3,13,0.02861,3,13,1
0.064639,1,13,0.064141,1,13,1
0.028586,2,13,0.028088,2,13,1
0.052935,2,13,0.052437,2,13,1
0.016851,1,13,0.016353,1,13,1
0.015789,1,13,0.015291,1,13,1
0.017511,1,13,0.017013,1,13,1
0.010385,1,18,0.009887,1,18,1
0.017223,1,14,0.016724,1,14,1
0.012071,2,12,0.011572,2,12,1
0.001921,0,0,0.0014227,0,0,1
0.0017938,0,0,0.0012955,0,0,0
0.0091828,0,0,0.0086845,0,0,0
0.003922,0,0,0.0034237,0,0,0
0.0072803,0,0,0.006782,0,0,0
0.0023413,0,0,0.001843,0,0,0
0.004222,0,0,0.0037236,0,0,0
0.00051425,0,0,1.5928e-05,0,0,0
0.0050776,0,0,0.0045793,0,0,0
0.0057332,0,0,0.0052349,0,0,0
0.0012748,0,0,0.00077652,0,0,0
0.0038995,0,0,0.0034012,0,0,0
0.0026822,0,0,0.0021839,0,0,0
0.0084896,0,0,0.0079912,0,0,0
0.0045892,0,0,0.0040909,0,0,0
0.0018211,0,0,0.0013228,0,0,0
0.0048789,0,0,0.0043806,0,0,0
0.006002,0,0,0.0055037,0,0,0
0.0047016,0,0,0.0042032,0,0,0
0.0042172,0,0,0.0037188,0,0,0
0.015203,1,12,0.014705,1,12,0
0.0055432,0,0,0.0050449,0,0,0
0.0074417,0,0,0.0069434,0,0,0
0.0048458,0,0,0.0043475,0,0,0
0.0050197,0,0,0.0045214,0,0,0
0.0034342,0,0,0.0029358,0,0,0
0.0026225,0,0,0.0021241,0,0,0
0.01195,2,12,0.011452,2,12,0
0.002826,0,0,0.0023277,0,0,0
0.0092,0,0,0.0087017,0,0,0
0.0068255,0,0,0.0063272,0,0,0
0.0093862,0,0,0.0088878,0,0,0
0.012458,1,9,0.01196,1,9,0
0.011677,1,7,0.011179,1,7,0
0.011249,1,9,0.010751,1,9,0
0.0147,2,10,0.014202,2,10,0
0.0064735,0,0,0.0059751,0,0,0
0.0079749,0,0,0.0074766,0,0,0
0.0084302,0,0,0.0079319,0,0,0
0.0077837,0,0,0.0072854,0,0,0
0.016736,1,13,0.016238,1,13,0
0.011249,1,9,0.01075,1,9,0
0.0094006,0,0,0.0089023,0,0,0
0.004712,0,0,0.0042137,0,0,0
0.0050084,0,0,0.0045101,0,0,0
0.015817,1,10,0.015319,1,10,0
0.0041298,0,0,0.0036315,0,0,0
0.0028436,0,0,0.0023453,0,0,0
0.0054191,0,0,0.0049208,0,0,0
0.015194,1,26,0.014695,1,26,0
0.014863,1,26,0.014364,1,26,0
0.0036392,0,0,0.0031409,0,0,0
0.0073539,0,0,0.0068556,0,0,0
0.0050014,0,0,0.0045031,0,0,0
0.0072337,0,0,0.0067354,0,0,0
0.012223,1,28,0.011725,1,28,0
0.011661,1,19,0.011163,1,19,0
0.0022487,0,0,0.0017504,0,0,0
0.0095318,0,0,0.0090335,0,0,0
0.0074443,0,0,0.0069459,0,0,0
0.0058104,0,0,0.0053121,0,0,0
0.0030615,0,0,0.0025632,0,0,0
0.00098521,0,0,0.00048689,0,0,0
0.0026277,0,0,0.0021294,0,0,0
0.0010851,0,0,0.00058679,0,0,0
0,0,0,0,0,0,0
0.00055272,0,0,0.00055272,0,0,0
0.0026443,0,0,0.0026443,0,0,0
0.0007549,0,0,0.0007549,0,0,0
0.00136,0,0,0.00136,0,0,0
0.031662,1,12,0.031662,1,12,0
0.0045139,0,0,0.0045139,0,0,0
0.0013786,0,0,0.0013786,0,0,0
0.0024734,0,0,0.0024734,0,0,0
0.0057985,0,0,0.0057985,0,0,0
0.0069098,0,0,0.0069098,0,0,0
0.029805,1,23,0.029805,1,23,0
0.008011,0,0,0.008011,0,0,0
0.010856,1,23,0.010856,1,23,0
0.0052344,0,0,0.0052344,0,0,0
0.003555,0,0,0.003555,0,0,0
0.0026839,0,0,0.0026839,0,0,0
0.0039235,0,0,0.0039235,0,0,0
0.017644,1,23,0.017644,1,23,0
0.0079349,0,0,0.0079349,0,0,0
0.004132,0,0,0.004132,0,0,0
0.015381,1,11,0.015381,1,11,0
0.013429,3,11,0.013429,3,11,0
0.010763,1,9,0.010763,1,9,0
0.016846,1,10,0.016846,1,10,0
0.026315,1,9,0.026315,1,9,0
0.02352,1,9,0.02352,1,9,0
0.0059491,0,0,0.0059491,0,0,0
0.013749,1,12,0.013749,1,12,0
0.019064,1,11,0.019064,1,11,0
0.019929,2,10,0.019929,2,10,0
0.0238,2,11,0.0238,2,11,0
0.008882,0,0,0.008882,0,0,0
0.016693,1,10,0.016693,1,10,0
0.046034,2,11,0.046034,2,11,0
0.011997,1,9,0.011997,1,9,0
0.020226,1,11,0.020226,1,11,0
0.014302,2,11,0.014302,2,11,0
0.008916,0,0,0.008916,0,0,0
0.008874,0,0,0.008874,0,0,0
0.0077394,0,0,0.0077394,0,0,0
0.0056316,0,0,0.0056316,0,0,0
0.0016201,0,0,0.0016201,0,0,0
0.0088871,0,0,0.0088871,0,0,0
0.01563,1,13,0.01563,1,13,0
0.020766,1,12,0.020766,1,12,0
0.018944,1,13,0.018944,1,13,0
0.011972,1,15,0.011972,1,15,0
0.0036552,0,0,0.0036552,0,0,0
0.004201,0,0,0.004201,0,0,0
0.0088047,0,0,0.0088047,0,0,0
0.0075252,0,0,0.0075252,0,0,0
0.0084373,0,0,0.0084373,0,0,0
0.0075565,0,0,0.0075565,0,0,0
0.0011942,0,0,0.0011942,0,0,0
0.010084,1,28,0.010084,1,28,0
0.0046924,0,0,0.0046924,0,0,0
0.0091783,0,0,0.0091783,0,0,0
0.0062723,0,0,0.0062723,0,0,0
0.0080572,0,0,0.0080572,0,0,0
0.0056568,0,0,0.0056568,0,0,0
0.017395,1,13,0.017395,1,13,0
0.013407,1,12,0.013407,1,12,0
0.0031719,0,0,0.0031719,0,0,0
0.010126,1,12,0.010126,1,12,0
0.0056959,0,0,0.0056959,0,0,0
0.0073948,0,0,0.0073948,0,0,0
0.0050302,0,0,0.0050302,0,0,0
0.0056045,0,0,0.0056045,0,0,0
0.0061902,0,0,0.0061902,0,0,0
0.0039897,0,0,0.0039897,0,0,0
0.0027297,0,0,0.0027297,0,0,0
0.0024602,0,0,0.0024602,0,0,0
0.0023007,0,0,0.0023007,0,0,0
0.0048048,0,0,0.0048048,0,0,0
0.0054708,0,0,0.0054708,0,0,0
0.015747,1,21,0.015747,1,21,0
0.011497,1,13,0.011497,1,13,0
0.0094273,0,0,0.0094273,0,0,0
0.011584,1,13,0.011584,1,13,0
0.0098676,0,0,0.0098676,0,0,0
0.0094569,0,0,0.0094569,0,0,0
0.012047,1,13,0.012047,1,13,0
0.0099132,0,0,0.0099132,0,0,0
0.0078877,0,0,0.0078877,0,0,0
0.0087219,0,0,0.0087219,0,0,0
0.021693,1,28,0.021693,1,28,0
0.022148,1,20,0.022148,1,20,0
0.0062489,0,0,0.0062489,0,0,0
0.0088745,0,0,0.0088745,0,0,0
0.0068766,0,0,0.0068766,0,0,0
0.0032736,0,0,0.0032736,0,0,0
0.0073605,0,0,0.0073605,0,0,0
0.0079466,0,0,0.0079466,0,0,0
0.023631,2,13,0.023631,2,13,0
0.016811,2,9,0.016811,2,9,0
0.016741,2,9,0.016741,2,9,0
0.024389,3,9,0.024389,3,9,0
0.028761,4,2,0.028761,4,2,0
0.016801,4,9,0.016801,4,9,0
0.0098465,0,0,0.0098465,0,0,0
0.0068527,0,0,0.0068527,0,0,0
0.00072453,0,0,0.00072453,0,0,0
0.0010561,0,0,0.0010561,0,0,0
0.028907,2,11,0.028907,2,11,0
0.054281,3,11,0.054281,3,11,0
0.03949,2,12,0.03949,2,12,0
0.018953,1,12,0.018953,1,12,0
0.027406,1,12,0.027406,1,12,1
0.013663,1,13,0.013663,1,13,1
0.010491,1,9,0.010491,1,9,1
0.029613,2,9,0.029613,2,9,1
0.027284,1,14,0.027284,1,14,1
0.020515,1,15,0.020515,1,15,1
0.024729,1,15,0.024729,1,15,1
0.033711,1,14,0.033711,1,14,1
0.023531,1,14,0.023531,1,14,1
0.020126,1,13,0.020126,1,13,1
0.018622,1,14,0.018622,1,14,1
0.023265,2,12,0.023265,2,12,1
0.01807,1,19,0.01807,1,19,1
0.0054618,0,0,0.0054618,0,0,1
0.0097836,0,0,0.0097836,0,0,1
0.010762,1,12,0.010762,1,12,1
0.034008,1,13,0.034008,1,13,1
0.019669,1,12,0.019669,1,12,1
0.02884,1,13,0.02884,1,13,1
0.011637,1,10,0.011637,1,10,1
0.017894,1,11,0.017894,1,11,1
0.015996,2,13,0.015996,2,13,1
0.018312,1,13,0.018312,1,13,1
0.015339,1,11,0.015339,1,11,1
0.023771,2,11,0.023771,2,11,1
0.019795,1,12,0.019795,1,12,1
0.011693,1,21,0.011693,1,21,1
0.012835,1,10,0.012835,1,10,1
0.010011,1,12,0.010011,1,12,1
0.021996,1,11,0.021996,1,11,1
0.0068792,0,0,0.0068792,0,0,1
0.020502,1,12,0.020502,1,12,1
0.0066205,0,0,0.0066205,0,0,1
0.013355,1,26,0.013355,1,26,1
0.027419,1,13,0.027419,1,13,1
0.01534,1,13,0.01534,1,13,1
0.0071419,0,0,0.0071419,0,0,1
0.004909,0,0,0.004909,0,0,1
0.003591,0,0,0.003591,0,0,1
0.0095795,0,0,0.0095795,0,0,1
0.0060372,0,0,0.0060372,0,0,1
0.011483,1,21,0.011483,1,21,1
0.013962,1,12,0.013962,1,12,1
0.019027,1,17,0.019027,1,17,1
0.0062174,0,0,0.0062174,0,0,1
0.011478,1,10,0.011478,1,10,1
0.026112,1,18,0.026112,1,18,1
0.028503,1,18,0.028503,1,18,1
0.015,1,20,0.015,1,20,1
0.044232,1,17,0.044232,1,17,1
0.050284,5,5,0.050284,5,5,1
0.053801,5,5,0.053801,5,5,1
0.073658,4,3,0.073658,4,3,1
0.055045,4,5,0.055045,4,5,1
0.07601,3,13,0.07601,3,13,1
0.052855,2,13,0.052855,2,13,1
0.045415,1,17,0.045415,1,17,1
0.041256,2,13,0.041256,2,13,1
0.023924,2,16,0.023924,2,16,1
0.033079,5,5,0.033079,5,5,1
0.036156,4,10,0.036156,4,10,1
0.047679,4,10,0.047679,4,10,1
0.054478,5,10,0.054478,5,10,1
0.055605,4,10,0.055605,4,10,1
0.039335,5,5,0.039335,5,5,1
0.054609,2,10,0.054609,2,10,1
0.050501,2,10,0.050501,2,10,1
0.041571,3,13,0.041571,3,13,1
0.031793,3,10,0.031793,3,10,1
0.035414,2,10,0.035414,2,10,1
0.027602,1,13,0.027602,1,13,1
0.020769,3,10,0.020769,3,10,1
0.033758,2,13,0.033758,2,13,1
0.047741,2,13,0.047741,2,13,1
0.049075,2,13,0.049075,2,13,1
0.039074,1,13,0.039074,1,13,1
0.024284,2,13,0.024284,2,13,1
0.021595,2,13,0.021595,2,13,1
0.024976,3,13,0.024976,3,13,1
0.022368,1,13,0.022368,1,13,1
0.023456,1,21,0.023456,1,21,1
0.046466,2,14,0.046466,2,14,1
0.042925,1,14,0.042925,1,14,1
0.040335,1,14,0.040335,1,14,1
0.03139,1,14,0.03139,1,14,1
0.022502,1,14,0.022502,1,14,1
0.031036,2,13,0.031036,2,13,1
0.044208,1,14,0.044208,1,14,1
0.027746,2,13,0.027746,2,13,1
0.034808,2,14,0.034808,2,14,1
0.041639,2,14,0.041639,2,14,1
0.031282,2,14,0.031282,2,14,1
0.04006,2,14,0.04006,2,14,1
0.031898,2,14,0.031898,2,14,1
0.036416,3,14,0.036416,3,14,1
0.030718,2,13,0.030718,2,13,1
0.042428,2,14,0.042428,2,14,1
0.037177,2,14,0.037177,2,14,1
0.034965,3,14,0.034965,3,14,1
0.029867,3,14,0.029867,3,14,1
0.027696,3,14,0.027696,3,14,1
0.026148,2,14,0.026148,2,14,1
0.026768,2,14,0.026768,2,14,1
0.043642,2,14,0.043642,2,14,1
0.039994,3,12,0.039994,3,12,1
0.032491,2,7,0.032491,2,7,1
0.025669,2,9,0.025669,2,9,1
0.035837,1,14,0.035837,1,14,1
0.028992,2,12,0.028992,2,12,1
0.027551,2,11,0.027551,2,11,1
