@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
249.77,5.0753,236.87,0.011986,1,15,177.51,0.75251,86.133,0.010177,1,15,0
174.84,5.1331,129.2,0.0022754,0,0,102.58,0.81034,0,0.000466,0,0,0
250.72,4.9066,409.13,0.0027245,0,0,178.46,0.58385,279.93,0.00091511,0,0,0
347.81,4.7704,409.13,0.0017793,0,0,275.55,0.44764,279.93,0,0,0,0
242.08,4.9642,129.2,0.01115,1,15,169.82,0.64141,0,0.0093707,1,15,0
399.76,4.824,323,0.0014462,0,0,327.5,0.50117,193.8,0,0,0,0
928.75,4.4851,516.8,0.00049832,0,0,856.49,0.16229,387.6,0,0,0,0
1429.1,4.2801,516.8,0.0012033,0,0,1356.8,0,387.6,0.00070495,0,0,0
2096.7,4.286,516.8,0.0050828,0,0,2024.4,0.0058656,387.6,0.0045845,0,0,0
2189.2,4.3901,538.33,0.008781,0,0,2117,0.10996,409.13,0.0082827,0,0,0
2328.6,4.3746,538.33,0.013065,1,24,2256.3,0.094493,409.13,0.012567,1,24,0
2432.9,4.3321,538.33,0.017525,2,15,2360.6,0.051977,409.13,0.017027,2,15,0
2613.6,4.3822,516.8,0.010928,1,24,2541.3,0.10204,387.6,0.01043,1,24,0
2537.8,4.3628,516.8,0.0080894,0,0,2465.6,0.082731,387.6,0.0075911,0,0,0
1569.8,4.723,516.8,0.0066859,0,0,1497.6,0.4429,387.6,0.0061876,0,0,0
1779.1,4.613,495.26,0.0031726,0,0,1706.8,0.33292,366.06,0.0026742,0,0,0
2117.9,4.5088,495.26,0.016482,1,15,2045.6,0.22867,366.06,0.015983,1,15,0
1443.8,4.6597,215.33,0.018384,1,14,1371.5,0.37958,86.133,0.017885,1,14,0
1834.8,4.429,409.13,0.019061,1,14,1762.5,0.14889,279.93,0.018563,1,14,0
1809.3,4.5643,387.6,0.021064,1,13,1737,0.28419,258.4,0.020566,1,13,0
1453.3,4.408,495.26,0.0083881,0,0,1381,0.12788,366.06,0.0078897,0,0,0
782.22,4.716,473.73,0.0014289,0,0,709.96,0.43586,344.53,0.00093053,0,0,0
606.29,4.798,516.8,0.003333,0,0,534.02,0.51787,387.6,0.0028346,0,0,0
634.26,4.8978,516.8,0.0077064,0,0,561.99,0.61772,387.6,0.0072081,0,0,0
442.05,5.1613,409.13,0.014513,1,8,369.79,0.88115,279.93,0.014014,1,8,0
346.2,5.3249,366.06,0.015909,2,8,273.94,1.0448,236.87,0.015411,2,8,1
906.02,5.13,538.33,0.0040781,0,0,833.76,0.84989,409.13,0.0035798,0,0,1
1010.8,5.1222,473.73,0.011888,3,13,938.56,0.84206,344.53,0.011389,3,13,1
1690,5.0571,473.73,0.038145,1,13,1617.7,0.77697,344.53,0.037646,1,13,1
1890.7,5.0213,473.73,0.052036,4,4,1818.5,0.74121,344.53,0.051538,4,4,1
1774.2,4.9786,473.73,0.042951,3,4,1701.9,0.69844,344.53,0.042452,3,4,1
2449.8,4.9737,495.26,0.04254,3,4,2377.5,0.69362,366.06,0.042042,3,4,1
2692.3,5.0723,495.26,0.064254,4,4,2620,0.79214,366.06,0.063756,4,4,1
2764.8,4.9514,495.26,0.054261,3,4,2692.6,0.67125,366.06,0.053763,3,4,1
2571.1,4.9823,495.26,0.055585,3,4,2498.9,0.70221,366.06,0.055087,3,4,1
2192.9,4.9942,495.26,0.056245,3,4,2120.6,0.71407,366.06,0.055747,3,4,1
2066.9,5.0173,495.26,0.051167,4,4,1994.6,0.73714,366.06,0.050669,4,4,1
2532.4,4.9798,473.73,0.040174,4,4,2460.2,0.69968,344.53,0.039675,4,4,1
2255.5,5.088,495.26,0.050456,3,4,2183.2,0.80786,366.06,0.049958,3,4,1
2135.5,5.0977,495.26,0.042352,4,4,2063.2,0.81755,366.06,0.041853,4,4,1
2405.1,4.9979,473.73,0.055634,3,4,2332.9,0.71778,344.53,0.055136,3,4,1
2521,4.9706,473.73,0.041806,4,4,2448.7,0.69051,344.53,0.041308,4,4,1
2035.4,5.0454,495.26,0.045623,4,4,1963.1,0.7653,366.06,0.045125,4,4,1
2412.1,4.9027,495.26,0.039857,3,4,2339.8,0.62261,366.06,0.039359,3,4,1
2544.6,4.9687,473.73,0.060171,2,4,2472.3,0.68855,344.53,0.059672,2,4,1
2267.2,4.9184,473.73,0.057247,3,4,2195,0.6383,344.53,0.056749,3,4,1
2584.4,5.0278,473.73,0.067162,3,4,2512.2,0.74767,344.53,0.066664,3,4,1
2446.2,5.109,473.73,0.088165,2,4,2374,0.82891,344.53,0.087667,2,4,1
2347.5,4.9683,452.2,0.061685,2,4,2275.2,0.68818,323,0.061187,2,4,1
2149.9,4.9948,452.2,0.058366,3,4,2077.6,0.71465,323,0.057868,3,4,1
1999.6,5.0933,452.2,0.058386,4,4,1927.3,0.81322,323,0.057887,4,4,1
1503.1,5.2583,452.2,0.061965,3,4,1430.9,0.97815,323,0.061467,3,4,1
1384.9,5.1908,452.2,0.054527,3,4,1312.7,0.91069,323,0.054029,3,4,1
1603,5.1171,452.2,0.054462,4,4,1530.8,0.83701,323,0.053963,4,4,1
1434.6,5.1611,452.2,0.056075,4,4,1362.3,0.88097,323,0.055577,4,4,1
1694.8,5.1437,452.2,0.064579,4,4,1622.5,0.86363,323,0.064081,4,4,1
1539.1,5.1452,452.2,0.061665,3,4,1466.9,0.86512,323,0.061166,3,4,1
1678.8,5.085,452.2,0.054684,4,4,1606.6,0.80491,323,0.054185,4,4,1
1906.6,5.0448,452.2,0.050727,4,4,1834.3,0.76468,323,0.050228,4,4,1
2021.5,5.0565,452.2,0.061647,3,4,1949.2,0.77635,323,0.061148,3,4,1
2190.6,5.0591,452.2,0.05283,4,4,2118.4,0.77903,323,0.052332,4,4,1
1852.1,5.1588,452.2,0.052251,3,4,1779.8,0.87872,323,0.051753,3,4,1
1800.3,4.9945,473.73,0.054582,3,4,1728,0.71435,344.53,0.054084,3,4,1
1693,5.0559,473.73,0.054551,2,4,1620.7,0.77581,344.53,0.054053,2,4,1
1785.4,5.0447,473.73,0.055878,3,4,1713.1,0.7646,344.53,0.05538,3,4,1
1900.5,5.0317,473.73,0.057004,3,4,1828.3,0.75159,344.53,0.056506,3,4,1
1983,5.0257,473.73,0.047841,2,12,1910.7,0.74556,344.53,0.047343,2,12,1
1979.3,5.0266,473.73,0.043179,4,4,1907,0.74651,344.53,0.042681,4,4,1
1804.3,5.192,452.2,0.062132,3,4,1732,0.91185,323,0.061634,3,4,1
1683.5,5.1815,452.2,0.064334,3,4,1611.2,0.9014,323,0.063836,3,4,1
1728.5,5.1941,452.2,0.059731,3,4,1656.3,0.91402,323,0.059232,3,4,1
1604.4,5.1206,452.2,0.0588,3,4,1532.1,0.84044,323,0.058302,3,4,1
