@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.23544,0.03902,0.073433,43,1
0.23498,0.03176,0.071256,139,1
0.2215,0.03176,0.085551,43,1
0.21107,0.03902,0.08621,43,1
0.20086,0.036298,0.080556,45,1
0.24219,0.03902,0.044863,144,1
0.25427,0.049002,0.03689,47,1
0.31499,0.038113,0.032694,149,1
0.39598,0.030853,0.041799,48,1
0.40812,0.034483,0.048391,26,1
0.38228,0.03539,0.018698,24,1
0.36341,0.032668,0.017635,55,1
0.37193,0.029038,0.029549,61,1
0.33797,0.034483,0.017325,47,1
0.29349,0.037205,0.024134,71,1
0.30298,0.03176,0.026876,78,1
0.2731,0.03176,0.017709,29,1
0.22123,0.045372,0.023234,80,1
0.20245,0.049002,0.031861,84,1
0.1636,0.041742,0.015189,71,1
0.17557,0.029038,0.01402,67,1
0.19135,0.019964,0.019114,46,1
0.14864,0.029946,0.0097602,25,1
0.11956,0.03176,0.0090663,96,1
0.15516,0.026316,0.011321,56,1
0.15273,0.028131,0.0058238,81,1
0.15394,0.055354,0.039224,72,1
0.1694,0.075318,0.029796,29,1
0.16764,0.049002,0.025667,96,1
0.16304,0.043557,0.020701,34,1
0.15196,0.043557,0.022412,41,1
0.1293,0.032668,0.026485,70,1
0.068843,0.046279,0.02116,69,1
0.040902,0.062613,0.0095793,33,1
0.051571,0.04265,0.010283,62,1
0.055379,0.024501,0.019961,37,1
0.041137,0.043557,0.0087601,70,1
0.021989,0.048094,0.012915,158,0
0.01071,0.041742,0.0060126,88,0
0.00018353,0.045372,0.0091089,65,0
0,0.045372,0.0053181,72,0
0.0024166,0.040835,0.0042041,128,0
0,0.029038,0.0014345,113,0
0,0.025408,0.0019398,55,0
0,0.034483,0.0075618,35,0
0.0035338,0.038113,0.00079951,113,0
0,0.045372,0.0022275,85,0
0,0.048094,0.00047238,90,0
0.0039653,0.045372,0,98,0
0.0039728,0.044465,0.0013227,80,0
0.0023937,0.049002,0.0038388,109,0
0.0032743,0.050817,0.0047517,46,0
0.0044165,0.043557,0.0088826,34,0
0.0055423,0.045372,0.0069695,48,0
0.0015244,0.056261,0.0046211,21,0
0.00090627,0.062613,0.0052697,146,0
0.010645,0.051724,0.011342,96,0
0.012731,0.04265,0.012117,109,0
0.011565,0.04265,0.0093009,111,0
0.0089868,0.056261,0.0049421,115,0
0.010797,0.053539,0.0010529,15,0
0.012948,0.04265,0.0043338,106,0
0.0066487,0.053539,0.007164,37,0
0.0046077,0.057169,0.0059793,37,0
0.0082575,0.051724,0.0065576,89,0
0.017315,0.045372,0.013845,60,0
0.022394,0.043557,0.0099025,33,0
0.021912,0.041742,0.011219,34,0
0.026593,0.055354,0.010384,104,0
0.034994,0.059891,0.023243,51,0
0.041868,0.058076,0.016287,63,0
0.047435,0.059891,0.016009,63,0
0.04846,0.054446,0.026255,60,0
0.037698,0.060799,0.014422,66,0
0.024134,0.066243,0.012184,62,0
0.021358,0.057169,0.014239,119,0
0.022087,0.068058,0.012512,65,0
0.032487,0.068966,0.022702,62,0
0.043197,0.053539,0.012003,118,0
0.04835,0.053539,0.015406,64,0
0.050958,0.051724,0.0070249,67,0
0.053012,0.049909,0.016052,122,0
0.053415,0.048094,0.0088997,128,0
0.061213,0.053539,0.011793,76,0
0.07015,0.053539,0.018536,62,0
0.068055,0.043557,0.020588,52,0
0.067325,0.04265,0.016661,76,0
0.068001,0.040835,0.012851,118,0
0.066627,0.038113,0.01764,117,0
0.069634,0.044465,0.01956,33,0
0.068659,0.046279,0.02136,50,0
0.071673,0.047187,0.015463,116,0
0.0691,0.049909,0.013267,120,0
0.060604,0.044465,0.011168,72,0
0.059342,0.043557,0.0062875,73,0
0.055751,0.048094,0.018024,86,0
0.072064,0.038113,0.01585,113,0
0.099267,0.029038,0.014532,39,0
0.10596,0.029038,0.01475,46,0
0.13785,0.024501,0.020467,45,0
0.20144,0.025408,0.020859,31,0
0.24618,0.027223,0.024796,39,0
0.20558,0.03176,0.015968,23,0
0.12093,0.036298,0.01521,64,0
0.10316,0.03539,0.011271,45,0
0.083361,0.03902,0.014551,136,0
0.078281,0.036298,0.017058,35,0
0.084711,0.033575,0.012954,133,0
0.06307,0.040835,0.010218,40,0
0.051216,0.043557,0.0070164,89,0
0.07331,0.038113,0.011228,56,0
0.10073,0.03902,0.013431,47,0
0.10627,0.03539,0.028319,43,0
0.089418,0.03176,0.016627,15,0
0.066145,0.046279,0.01063,84,0
0.068553,0.044465,0.0089603,51,0
0.076516,0.036298,0.022414,70,0
0.077869,0.045372,0.024317,53,0
0.082318,0.049909,0.018199,16,0
0.091105,0.047187,0.016729,40,0
0.10089,0.051724,0.027608,40,0
0.082004,0.059891,0.022095,72,0
