@relation featureMatrix

@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.29429,6,0
0.49564,4,0
0.39708,5,0
0.44938,3,0
0.70918,2,0
1.082,2,0
0.95341,2,0
0.49297,4,0
0.71103,2,0
0.78191,2,0
0.61077,4,0
0.63516,3,0
0.43198,6,0
0.33993,5,0
0.35771,3,0
0.32195,3,0
0.47495,2,0
0.37361,14,0
0.38529,11,0
0.39046,7,0
0.42575,2,0
0.29641,5,1
0.26914,4,1
0.51837,4,1
0.32999,4,1
0.63506,3,1
0.70547,3,1
0.78223,3,1
1.0412,5,1
1.1925,7,1
1.3466,8,1
1.2646,8,1
1.3414,8,1
1.3496,8,1
1.1165,7,1
0.9795,5,1
0.86598,7,1
0.72455,8,1
0.77858,5,1
0.79076,4,1
0.85462,3,1
0.88816,3,1
0.89603,3,1
1.0937,3,1
1.0125,2,1
0.61184,2,1
0.69963,3,1
0.55728,2,1
0.60353,3,1
0.53195,4,1
0.51558,3,1
0.5687,2,1
0.4152,5,1
0.27707,4,1
0.27399,5,1
0.46052,4,1
0.64839,3,1
0.30583,5,1
0.58534,2,1
0.25928,6,1
0.43993,4,1
0.64102,5,1
0.69868,4,1
0.82349,2,1
0.74272,3,1
0.8633,3,1
0.55574,6,1
0.66766,5,1
0.46852,5,1
0.27374,5,1
1.0601,2,1
1.4493,2,1
1.587,2,1
1.4949,2,1
1.3489,2,1
1.4628,2,1
1.5105,2,1
1.5752,2,1
1.4791,2,1
1.4914,2,1
1.4985,2,1
1.4567,2,1
1.387,2,1
1.447,2,1
1.5314,2,1
1.4498,2,1
1.3013,2,1
1.3235,2,1
1.1457,3,1
1.0124,5,1
1.2228,4,1
1.3763,3,1
1.3865,2,1
1.4217,2,1
1.4531,4,1
1.4695,5,1
1.3543,2,1
1.0939,8,1
1.0068,8,1
1.1549,8,1
1.1882,9,1
0.91418,8,1
0.8888,9,1
1.2763,4,1
1.4723,2,1
1.4248,2,1
1.2354,8,1
1.0253,9,1
1.2232,5,1
1.2054,2,1
1.2045,2,1
1.2181,2,1
1.1992,2,1
1.3401,2,1
1.2596,3,1
1.335,3,1
1.3534,2,1
1.3441,2,1
1.2938,2,1
1.2644,2,1
1.322,2,1
1.3153,2,1
1.1915,2,1
1.3413,2,1
1.4359,2,1
1.4214,2,1
1.4859,2,1
1.5248,2,1
1.5047,2,1
1.543,2,1
1.57,2,1
1.655,2,1
1.6253,2,1
1.6383,2,1
1.6621,2,1
1.6366,2,1
1.5878,2,1
1.4863,2,1
1.097,4,1
0.42084,6,1
0.41385,4,1
0.23499,6,1
0.24327,9,0
0.16089,12,0
0.24688,8,0
0.25891,8,0
0.13261,10,0
0.15329,10,0
0.17741,8,0
0.21607,6,0
0.28241,4,0
0.33936,7,0
0.34084,5,0
0.29064,5,0
0.21058,7,0
0.28357,5,0
0.42569,4,0
0.2107,5,0
0.25736,6,0
0.23637,4,0
0.27195,4,0
0.14161,8,0
0.076299,9,0
0.30101,5,0
0.36564,6,0
0.099412,5,0
0,6,0
0.18901,6,0
0.0027361,12,0
0.48485,3,0
0.5469,4,0
0.28556,14,0
0.24456,14,0
0.22758,12,0
0.53921,11,0
0.53566,6,0
0.28563,6,0
0.3862,6,0
0.7284,3,0
1.0304,3,0
0.84176,3,0
0.73661,3,0
1.1807,3,0
1.2671,3,0
0.96859,3,0
0.86867,4,0
0.64908,5,0
0.29165,6,0
0.29941,14,0
0.24113,13,0
0.72832,3,0
0.61524,5,0
0.26316,7,0
0.26486,8,1
0.17853,8,1
0.58563,3,1
1.2963,2,1
1.1489,2,1
0.80423,2,1
0.81433,3,1
0.94848,2,1
1.3461,3,1
1.3343,2,1
1.1051,2,1
0.58253,6,1
0.49634,8,1
0.52954,7,1
0.26055,8,1
0.23587,8,1
0.23441,10,1
0.29042,8,0
0.74456,2,0
0.3945,9,0
0.30504,9,0
0.26345,9,0
0.10952,8,0
0.12546,9,0
0.16411,8,0
0.39298,8,0
0.42989,7,0
0.50614,7,0
0.78682,2,0
1.1479,2,0
1.1884,2,0
0.91125,2,0
0.99554,2,0
0.95475,2,0
0.83392,3,0
0.72193,2,0
0.47858,3,0
0.95745,2,0
1.2773,2,0
1.096,2,0
0.63514,3,0
0.66255,3,0
0.74567,2,0
0.97906,2,0
1.2224,2,0
1.1531,2,0
1.114,2,0
1.1495,2,0
1.0347,2,0
1.0178,2,0
0.60275,2,0
0.07235,2,0
0.09737,3,0
0.54412,2,0
0.50678,2,0
0.2892,2,0
0.13825,5,0
0.19248,7,0
0.28038,2,0
0.47819,2,0
0.36797,2,0
0.78899,2,0
1.1181,2,0
0.65711,3,0
0.52039,2,0
0.64428,2,0
0.31787,3,0
0.41823,3,0
0.37191,3,0
0.3747,4,0
0.42872,4,0
0.56083,4,0
0.37775,4,0
0.25425,2,0
0.34935,2,0
0.26637,3,0
0.65238,3,0
0.58745,2,0
0.52198,2,0
0.63899,3,0
0.82438,3,0
0.83196,1,0
