@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0,0.051724,0,4.6796,0,0
0,0.053539,0,4.9382,0,0
0,0.049909,9.3537,4.9371,882.86,0
0,0.055354,0,5.0939,21.533,0
0,0.057169,0,5.0679,646,1
0.017416,0.049002,190.41,4.9051,538.33,1
0.069928,0.049909,961.64,4.8266,344.53,1
0.098676,0.050817,1687.1,4.8239,301.46,1
0.10764,0.053539,1570.2,4.7914,1119.7,1
0.12896,0.054446,1810.6,4.8627,1119.7,1
0.14359,0.050817,2538.5,4.9133,193.8,1
0.1811,0.054446,2935.4,4.9451,172.27,1
0.24109,0.049002,3399.7,4.8651,301.46,1
0.24233,0.052632,3820.8,4.8772,301.46,1
0.22276,0.058984,3609.9,4.964,301.46,1
0.23247,0.051724,3880.5,5.1348,323,1
0.23216,0.058076,3937.7,4.9725,387.6,1
0.22902,0.071688,4244.7,5.0212,366.06,1
0.24786,0.067151,4841.1,4.9261,366.06,1
0.29579,0.051724,4139,4.9954,387.6,1
0.27381,0.064428,4449.2,4.7032,366.06,1
0.24098,0.066243,3900.6,4.8149,366.06,1
0.21888,0.067151,3122.3,4.8135,323,1
0.18041,0.084392,2617.1,4.7859,323,1
0.19298,0.084392,2627.6,4.7373,323,1
0.17958,0.087114,2668.6,4.6844,323,1
0.19081,0.07804,2910,4.7754,323,1
0.21111,0.060799,2401.9,4.8191,323,1
0.21662,0.055354,2715.8,4.6976,344.53,1
0.22823,0.051724,2714,4.6158,344.53,1
0.25135,0.044465,2760.2,4.6229,344.53,1
0.26583,0.03902,3303.1,4.6717,344.53,1
0.25026,0.047187,3187.7,4.7508,366.06,1
0.23098,0.053539,2995.6,4.6575,344.53,1
0.22561,0.053539,2896.4,4.7433,366.06,1
0.24107,0.051724,3166.1,4.6752,366.06,1
0.26739,0.049002,3502,4.7114,366.06,1
0.2867,0.046279,4065.3,4.7048,366.06,1
0.29544,0.051724,4396.3,4.7507,366.06,1
0.32124,0.047187,4097.2,4.712,366.06,1
0.35708,0.029946,4081.5,4.4253,366.06,1
0.3491,0.026316,3788.1,4.5569,366.06,1
0.32552,0.037205,3836.4,4.4638,366.06,1
0.30332,0.054446,3705.2,4.5998,366.06,1
0.27845,0.057169,3395.6,4.7,366.06,1
0.30493,0.048094,3742.9,4.5498,366.06,1
0.32434,0.039927,3641.3,4.4958,366.06,1
0.3155,0.03176,3309.6,4.3497,366.06,1
0.32043,0.028131,3216.5,4.2669,366.06,1
0.3317,0.025408,3249.7,4.1788,366.06,1
0.35606,0.024501,3528.3,4.2025,366.06,1
0.37466,0.025408,3582.3,3.9949,387.6,1
0.32788,0.023593,2720.5,4.0479,387.6,1
0.24887,0.022686,2284.9,4.1294,387.6,1
0.20128,0.022686,1328.1,4.2659,387.6,1
0.1499,0.023593,1451.5,4.3609,366.06,1
0.084225,0.036298,488.08,5.014,301.46,1
0.038312,0.044465,318.76,5.2233,323,1
0.029936,0.037205,295.84,5.1267,0,1
0.035134,0.029038,361.25,4.8879,172.27,1
0.030645,0.03176,192.53,4.8316,193.8,1
0.013944,0.03539,115.15,4.8061,86.133,0
0.012062,0.037205,41.352,4.8271,0,0
0.021088,0.03539,145.98,4.5488,279.93,0
0.026879,0.028131,248.63,4.4704,279.93,0
0.02911,0.019964,15.035,4.8067,0,0
0.052777,0.016334,352.63,4.5051,193.8,0
0.10784,0.022686,1111.7,4.1814,387.6,0
0.19455,0.022686,1777.1,3.985,387.6,0
0.2358,0.023593,2514.9,4.0556,387.6,0
0.23815,0.022686,2643.8,4.1077,409.13,0
0.27457,0.022686,2804.4,4.067,409.13,0
0.29469,0.023593,2967.1,4.0665,409.13,0
0.2907,0.022686,3109.3,4.1111,387.6,0
0.26528,0.023593,3150.7,4.1539,387.6,0
0.18946,0.027223,1954.3,4.4357,387.6,0
0.18555,0.025408,2110.2,4.3797,366.06,0
0.19407,0.023593,2538.1,4.3152,366.06,0
0.16187,0.020871,1543.6,4.4477,86.133,0
0.1932,0.023593,2035.1,4.2209,279.93,0
0.18385,0.034483,2097.7,4.3532,258.4,0
0.13223,0.032668,1644.5,4.1514,366.06,0
0.10374,0.022686,821.61,4.4716,344.53,0
0.057691,0.034483,573.89,4.5391,387.6,0
0.052328,0.040835,703.03,4.6188,387.6,0
0.057435,0.03176,401.43,4.8599,279.93,0
0.033125,0.026316,323.16,4.9818,236.87,1
0.062154,0.024501,893.88,4.881,409.13,1
0.097469,0.034483,951.99,4.8641,344.53,1
0.12476,0.043557,1762,4.851,344.53,1
0.15291,0.04265,2009.4,4.8055,344.53,1
0.17926,0.03539,1826.9,4.782,344.53,1
0.18665,0.03902,2606.1,4.7769,366.06,1
0.1962,0.044465,2842,4.8614,366.06,1
0.18984,0.046279,2950.9,4.7582,366.06,1
0.18495,0.043557,2569.9,4.7679,366.06,1
0.18341,0.043557,2145.1,4.8139,366.06,1
0.16858,0.049909,2003.2,4.8205,366.06,1
0.18585,0.04265,2620.4,4.7392,344.53,1
0.18038,0.047187,2316,4.9073,366.06,1
0.17014,0.052632,2158.3,4.8942,366.06,1
0.18217,0.043557,2469.6,4.7913,344.53,1
0.18845,0.040835,2602.7,4.7683,344.53,1
0.18216,0.04265,1937.3,4.8212,366.06,1
0.19665,0.039927,2500.1,4.6737,366.06,1
0.20056,0.048094,2659.6,4.7117,344.53,1
0.19602,0.054446,2307,4.6955,344.53,1
0.20521,0.044465,2680.6,4.7943,344.53,1
0.17923,0.04265,2517.8,4.8949,344.53,1
0.16749,0.039927,2402.9,4.7714,323,1
0.15714,0.049002,2078.2,4.7499,323,1
0.13362,0.069873,1940.2,4.859,323,1
0.11824,0.07441,1380.7,5.0201,323,1
0.10316,0.072595,1249.7,4.9619,323,1
0.10038,0.078947,1540.7,4.8698,323,1
0.11266,0.072595,1354.7,4.8843,323,1
0.11015,0.065336,1654.8,4.8885,323,1
0.10933,0.058984,1533.1,4.9044,323,1
0.13287,0.048094,1712,4.8087,323,1
0.14321,0.050817,1889.1,4.8085,344.53,1
0.15135,0.058076,1985,4.7974,323,1
0.14501,0.058076,2225.3,4.817,323,1
0.13137,0.056261,1783.3,4.9215,323,1
0.12835,0.059891,1708.9,4.7409,344.53,1
0.13557,0.051724,1600.2,4.7664,344.53,1
0.14689,0.044465,1765.2,4.7766,344.53,1
0.13899,0.058076,1859.5,4.7675,344.53,1
0.1449,0.067151,2014.4,4.7671,344.53,1
0.14849,0.07078,1983.9,4.7454,344.53,1
0.13668,0.076225,1808.1,4.8963,323,1
0.12653,0.073503,1650.8,4.9031,323,1
0.11013,0.071688,1723,4.9313,323,1
0.10859,0.062613,1555.9,4.8602,323,1
0.113,0.054446,1638.8,4.913,323,1
0.11572,0.049909,1638.2,4.916,323,1
0.12198,0.060799,1719,4.9579,301.46,1
0.12647,0.07078,1832.6,4.9041,323,1
0.12252,0.064428,1596.1,4.9254,323,1
0.11624,0.062613,1884.2,4.8022,301.46,1
0.11704,0.056261,1727.9,4.714,323,1
0.11785,0.058076,1424.1,4.9202,323,1
0.11818,0.066243,1769.3,4.8525,323,1
0.12707,0.057169,1619.8,4.6931,323,1
0.12548,0.053539,1580.6,4.6388,323,1
0.1251,0.058076,1549.3,4.548,323,1
0.13397,0.059891,1635.7,4.52,323,1
0.14628,0.061706,1828,4.5151,344.53,1
0.17363,0.057169,1978.1,4.6219,344.53,1
0.19531,0.051724,2229.2,4.4961,344.53,1
0.19556,0.054446,2268.7,4.6616,344.53,1
0.18886,0.062613,1972.9,4.4077,344.53,1
0.19662,0.059891,2226.3,4.4681,344.53,1
0.20615,0.053539,2073.7,4.3517,344.53,1
0.2078,0.049002,2157.3,4.3226,344.53,1
0.21003,0.044465,2193,4.4203,366.06,1
0.21445,0.034483,2308,4.4337,366.06,1
0.22238,0.032668,2492.3,4.4375,366.06,1
0.23765,0.028131,2699.1,4.4177,366.06,1
0.22786,0.026316,2746,4.5918,366.06,1
0.19998,0.036298,2319.3,4.6309,366.06,1
0.19517,0.03902,2684.3,4.62,366.06,1
0.21238,0.040835,2654.2,4.6345,366.06,1
0.22305,0.043557,2714.1,4.6689,366.06,1
0.23544,0.03902,2892.7,4.6196,344.53,1
0.23498,0.03176,2970.1,4.5457,344.53,1
0.2215,0.03176,2600.7,4.6169,344.53,1
0.21107,0.03902,2534.3,4.5855,344.53,1
0.20086,0.036298,2436.6,4.6408,344.53,1
0.24219,0.03902,3919.1,4.9343,323,1
0.25427,0.049002,5924.5,4.8411,344.53,1
0.31499,0.038113,4632.8,4.8481,323,1
0.39598,0.030853,8057.8,4.821,323,1
0.40812,0.034483,7327.9,4.8637,129.2,1
0.38228,0.03539,7570,4.7009,301.46,1
0.36341,0.032668,6760.7,4.6821,129.2,1
0.37193,0.029038,6186.1,4.6904,129.2,1
0.33797,0.034483,5850.3,4.6031,172.27,1
0.29349,0.037205,4648.1,4.7373,602.93,1
0.30298,0.03176,4824.4,4.616,301.46,1
0.2731,0.03176,3980.4,4.4982,301.46,1
0.22123,0.045372,3633.3,5.012,0,1
0.20245,0.049002,3833.7,5.0898,0,1
0.1636,0.041742,2131.9,4.9735,0,1
0.17557,0.029038,2423,4.7737,0,1
0.19135,0.019964,2022.5,4.674,21.533,1
0.14864,0.029946,1503.9,4.8352,21.533,1
0.11956,0.03176,1559.6,4.6311,193.8,1
0.15516,0.026316,1730.3,4.6244,624.46,1
0.15273,0.028131,2106.2,4.7526,21.533,1
0.15394,0.055354,2166.9,5.1618,21.533,1
0.1694,0.075318,3928,5.3954,258.4,1
0.16764,0.049002,2597.8,5.2084,279.93,1
0.16304,0.043557,2413.1,5.0989,258.4,1
0.15196,0.043557,1986.8,4.9352,258.4,1
0.1293,0.032668,1804.8,4.9115,258.4,1
0.068843,0.046279,923.3,5.0569,279.93,1
0.040902,0.062613,416.55,5.2012,559.86,1
0.051571,0.04265,906.18,4.9446,193.8,1
0.055379,0.024501,454.22,4.91,21.533,1
0.041137,0.043557,462.72,4.9182,172.27,1
0.021989,0.048094,343.51,4.9199,172.27,0
0.01071,0.041742,150.94,5.0332,279.93,0
0.00018353,0.045372,78.903,4.98,193.8,0
0,0.045372,55.293,4.971,172.27,0
0.0024166,0.040835,107.45,4.8658,193.8,0
0,0.029038,15.192,4.8316,193.8,0
0,0.025408,0,4.8482,172.27,0
0,0.034483,0,4.9448,172.27,0
0.0035338,0.038113,0,4.9856,495.26,0
0,0.045372,15.714,4.9162,172.27,0
0,0.048094,0,5.1063,43.066,0
0.0039653,0.045372,0,5.1439,21.533,0
0.0039728,0.044465,62.588,5.0406,473.73,0
0.0023937,0.049002,89.512,4.9987,215.33,0
0.0032743,0.050817,26.041,5.1502,172.27,0
0.0044165,0.043557,34.301,5.0889,301.46,0
0.0055423,0.045372,78.635,5.0291,64.6,0
0.0015244,0.056261,32.202,5.1089,193.8,0
0.00090627,0.062613,7.4967,5.2044,409.13,0
0.010645,0.051724,131.15,5.1532,64.6,0
0.012731,0.04265,80.446,5.1125,64.6,0
0.011565,0.04265,150.39,5.0154,86.133,0
0.0089868,0.056261,111.91,5.0236,323,0
0.010797,0.053539,131.63,5.0065,301.46,0
0.012948,0.04265,108.38,4.9514,323,0
0.0066487,0.053539,85.89,4.9948,495.26,0
