@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0,4.6796,0,0,121,0
0,4.9382,0,0,68,0
9.3537,4.9371,882.86,0,125,0
0,5.0939,21.533,0,14,0
0,5.0679,646,0.0010544,20,1
190.41,4.9051,538.33,0,141,1
961.64,4.8266,344.53,0.0062123,59,1
1687.1,4.8239,301.46,0.026271,55,1
1570.2,4.7914,1119.7,0.055818,54,1
1810.6,4.8627,1119.7,0.059972,53,1
2538.5,4.9133,193.8,0.047864,50,1
2935.4,4.9451,172.27,0.053873,48,1
3399.7,4.8651,301.46,0.063613,47,1
3820.8,4.8772,301.46,0.081731,47,1
3609.9,4.964,301.46,0.082239,49,1
3880.5,5.1348,323,0.069206,47,1
3937.7,4.9725,387.6,0.070065,45,1
4244.7,5.0212,366.06,0.094013,47,1
4841.1,4.9261,366.06,0.08368,45,1
4139,4.9954,387.6,0.12034,43,1
4449.2,4.7032,366.06,0.094194,42,1
3900.6,4.8149,366.06,0.11974,42,1
3122.3,4.8135,323,0.11839,43,1
2617.1,4.7859,323,0.10408,44,1
2627.6,4.7373,323,0.096838,44,1
2668.6,4.6844,323,0.090543,45,1
2910,4.7754,323,0.10707,44,1
2401.9,4.8191,323,0.091437,42,1
2715.8,4.6976,344.53,0.11862,41,1
2714,4.6158,344.53,0.10041,40,1
2760.2,4.6229,344.53,0.09765,39,1
3303.1,4.6717,344.53,0.076876,39,1
3187.7,4.7508,366.06,0.096795,130,1
2995.6,4.6575,344.53,0.11239,38,1
2896.4,4.7433,366.06,0.090908,38,1
3166.1,4.6752,366.06,0.098801,37,1
3502,4.7114,366.06,0.088712,37,1
4065.3,4.7048,366.06,0.088665,37,1
4396.3,4.7507,366.06,0.071911,36,1
4097.2,4.712,366.06,0.078853,124,1
4081.5,4.4253,366.06,0.093842,35,1
3788.1,4.5569,366.06,0.092816,35,1
3836.4,4.4638,366.06,0.10319,35,1
3705.2,4.5998,366.06,0.1082,36,1
3395.6,4.7,366.06,0.12174,36,1
3742.9,4.5498,366.06,0.093928,36,1
3641.3,4.4958,366.06,0.089102,36,1
3309.6,4.3497,366.06,0.087008,36,1
3216.5,4.2669,366.06,0.06976,37,1
3249.7,4.1788,366.06,0.055092,37,1
3528.3,4.2025,366.06,0.044392,34,1
3582.3,3.9949,387.6,0.048557,32,1
2720.5,4.0479,387.6,0.056483,30,1
2284.9,4.1294,387.6,0.042508,31,1
1328.1,4.2659,387.6,0.025143,30,1
1451.5,4.3609,366.06,0.01763,39,1
488.08,5.014,301.46,0.013952,47,1
318.76,5.2233,323,0.0058864,146,1
295.84,5.1267,0,0.0015493,28,1
361.25,4.8879,172.27,0.002173,38,1
192.53,4.8316,193.8,0.0017216,72,1
115.15,4.8061,86.133,0,130,0
41.352,4.8271,0,0,97,0
145.98,4.5488,279.93,0.0095548,71,0
248.63,4.4704,279.93,0.0076124,88,0
15.035,4.8067,0,0.0039073,72,0
352.63,4.5051,193.8,0.0029353,72,0
1111.7,4.1814,387.6,0.0026206,126,0
1777.1,3.985,387.6,0.0083277,114,0
2514.9,4.0556,387.6,0.015743,19,0
2643.8,4.1077,409.13,0.021806,15,0
2804.4,4.067,409.13,0.011601,39,0
2967.1,4.0665,409.13,0.012505,33,0
3109.3,4.1111,387.6,0.018265,103,0
3150.7,4.1539,387.6,0.0090051,36,0
1954.3,4.4357,387.6,0.013515,38,0
2110.2,4.3797,366.06,0.011498,27,0
2538.1,4.3152,366.06,0.013301,29,0
1543.6,4.4477,86.133,0.011947,24,0
2035.1,4.2209,279.93,0.025217,46,0
2097.7,4.3532,258.4,0.012484,21,0
1644.5,4.1514,366.06,0.014709,37,0
821.61,4.4716,344.53,0.0088632,39,0
573.89,4.5391,387.6,0.015173,24,0
703.03,4.6188,387.6,0.016642,22,0
401.43,4.8599,279.93,0.015787,44,0
323.16,4.9818,236.87,0.013553,93,1
893.88,4.881,409.13,0.01345,40,1
951.99,4.8641,344.53,0.041138,42,1
1762,4.851,344.53,0.052272,44,1
2009.4,4.8055,344.53,0.066101,44,1
1826.9,4.782,344.53,0.081816,44,1
2606.1,4.7769,366.06,0.085011,42,1
2842,4.8614,366.06,0.077927,41,1
2950.9,4.7582,366.06,0.089247,41,1
