@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0,121,0
0,68,0
0,125,0
0,14,0
0.0010544,20,1
0,141,1
0.0062123,59,1
0.026271,55,1
0.055818,54,1
0.059972,53,1
0.047864,50,1
0.053873,48,1
0.063613,47,1
0.081731,47,1
0.082239,49,1
0.069206,47,1
0.070065,45,1
0.094013,47,1
0.08368,45,1
0.12034,43,1
0.094194,42,1
0.11974,42,1
0.11839,43,1
0.10408,44,1
0.096838,44,1
0.090543,45,1
0.10707,44,1
0.091437,42,1
0.11862,41,1
0.10041,40,1
0.09765,39,1
0.076876,39,1
0.096795,130,1
0.11239,38,1
0.090908,38,1
0.098801,37,1
0.088712,37,1
0.088665,37,1
0.071911,36,1
0.078853,124,1
0.093842,35,1
0.092816,35,1
0.10319,35,1
0.1082,36,1
0.12174,36,1
0.093928,36,1
0.089102,36,1
0.087008,36,1
0.06976,37,1
0.055092,37,1
0.044392,34,1
0.048557,32,1
0.056483,30,1
0.042508,31,1
0.025143,30,1
0.01763,39,1
0.013952,47,1
0.0058864,146,1
0.0015493,28,1
0.002173,38,1
0.0017216,72,1
0,130,0
0,97,0
0.0095548,71,0
0.0076124,88,0
0.0039073,72,0
0.0029353,72,0
0.0026206,126,0
0.0083277,114,0
0.015743,19,0
0.021806,15,0
0.011601,39,0
0.012505,33,0
0.018265,103,0
0.0090051,36,0
0.013515,38,0
0.011498,27,0
0.013301,29,0
0.011947,24,0
0.025217,46,0
0.012484,21,0
0.014709,37,0
0.0088632,39,0
0.015173,24,0
0.016642,22,0
0.015787,44,0
0.013553,93,1
0.01345,40,1
0.041138,42,1
0.052272,44,1
0.066101,44,1
0.081816,44,1
0.085011,42,1
0.077927,41,1
0.089247,41,1
0.085972,41,1
0.079615,41,1
0.086806,42,1
0.077969,42,1
0.07719,42,1
0.086748,42,1
0.080448,42,1
0.080868,138,1
0.093388,42,1
0.085692,136,1
0.087777,42,1
0.1072,43,1
0.096407,44,1
0.073739,46,1
0.080766,47,1
0.093574,48,1
0.097386,48,1
0.074473,49,1
0.076675,49,1
0.086163,49,1
0.078801,50,1
0.089346,49,1
0.10617,49,1
0.10409,48,1
0.08688,47,1
0.096777,48,1
0.10103,48,1
0.093758,47,1
0.098027,46,1
0.099367,45,1
0.098766,46,1
0.090984,46,1
0.091782,46,1
0.08818,146,1
0.08767,48,1
0.088008,49,1
0.090999,50,1
0.097646,51,1
0.076222,52,1
0.071455,52,1
0.085194,51,1
0.085915,52,1
