@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
15.192,4.8316,193.8,0
0,4.8482,172.27,0
0,4.9448,172.27,0
0,4.9856,495.26,0
15.714,4.9162,172.27,0
0,5.1063,43.066,0
0,5.1439,21.533,0
62.588,5.0406,473.73,0
89.512,4.9987,215.33,0
26.041,5.1502,172.27,0
34.301,5.0889,301.46,0
78.635,5.0291,64.6,0
32.202,5.1089,193.8,0
7.4967,5.2044,409.13,0
131.15,5.1532,64.6,0
80.446,5.1125,64.6,0
150.39,5.0154,86.133,0
111.91,5.0236,323,0
131.63,5.0065,301.46,0
108.38,4.9514,323,0
85.89,4.9948,495.26,0
79.522,5.1967,301.46,0
80.272,5.2008,150.73,0
147.65,5.1494,301.46,0
176.63,5.0336,323,0
208.56,5.0861,129.2,0
222.81,5.2147,150.73,0
439.67,5.1927,323,0
342.29,5.1976,150.73,0
552.3,5.0325,689.06,0
502.07,5.1095,710.6,0
416.8,5.1777,344.53,0
223.86,5.3256,689.06,0
273.71,5.2105,689.06,0
195.78,5.312,323,0
368.45,5.1153,689.06,0
555.42,5.1546,344.53,0
632.39,5.0311,323,0
458.93,5.0551,689.06,0
683.86,4.9815,689.06,0
603.84,5.0191,452.2,0
658.48,5.0032,129.2,0
1047.4,4.9518,323,0
859.5,5.0227,129.2,0
716.32,4.9427,710.6,0
705.99,4.9075,710.6,0
830.53,4.9974,732.13,0
820.96,4.9871,301.46,0
746.8,4.8388,732.13,0
843.01,4.8842,732.13,0
973.16,5.0882,150.73,0
1005.8,5.0033,323,0
619.92,5.01,732.13,0
819.07,4.9879,323,0
760.7,4.8705,775.2,0
1124.6,4.6981,323,0
1191.1,4.6074,387.6,0
1736.7,4.5141,430.66,0
2844.1,4.2385,430.66,0
2982.6,4.1913,430.66,0
2540.4,4.4661,430.66,0
1216.8,4.6942,107.67,0
1087.2,4.6248,409.13,0
1114.4,4.7179,430.66,0
1186.8,5.2107,258.4,0
878.85,4.9153,323,0
858.84,4.9254,452.2,0
604.98,4.9879,387.6,0
979.99,4.7639,366.06,0
989.62,4.9681,387.6,0
1415.2,5.0885,366.06,0
1100.8,4.9661,387.6,0
656.37,5.0641,387.6,0
759.42,5.0229,387.6,0
991.35,4.9023,602.93,0
1110,4.9286,387.6,0
807.62,5.0371,172.27,0
1288.2,4.9781,366.06,0
1503.1,4.9878,366.06,0
1154.7,4.994,968.99,0
745.01,5.1278,947.46,0
1272.7,5.1167,344.53,0
1263.3,4.953,344.53,0
765.47,5.1082,323,0
752.67,5.0654,624.46,0
610.77,5.1063,129.2,0
459.15,5.1691,301.46,0
344.01,5.268,452.2,0
463.64,5.1724,301.46,0
586.39,5.1772,667.53,0
771.19,5.0532,624.46,0
784.87,4.9819,323,0
616.27,5.1328,193.8,0
1154.1,5.273,129.2,0
663.81,5.122,150.73,0
626.13,5.1282,323,0
480.54,5.124,43.066,0
297.05,5.2217,21.533,0
306,5.0902,21.533,0
412.23,4.7896,301.46,0
325.28,4.9372,323,0
181.79,5.0622,43.066,0
209.59,5.2119,279.93,0
209.91,5.2096,43.066,0
170.91,5.1557,43.066,0
127.79,5.22,732.13,0
119.11,5.2407,129.2,0
93.388,5.2601,43.066,0
117.9,5.1672,323,0
204.13,5.2336,64.6,0
161.16,5.2153,21.533,0
250.84,5.0073,21.533,0
455.44,4.9598,839.79,0
