@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
771.19,710.6,0
784.87,409.13,0
616.27,279.93,0
1154.1,215.33,0
663.81,236.87,0
626.13,409.13,0
480.54,129.2,0
297.05,107.67,0
306,107.67,0
412.23,387.6,0
325.28,409.13,0
181.79,129.2,0
209.59,366.06,0
209.91,129.2,0
170.91,129.2,0
127.79,818.26,0
119.11,215.33,0
93.388,129.2,0
117.9,409.13,0
204.13,150.73,0
161.16,107.67,0
250.84,107.67,0
455.44,925.93,0
477.87,925.93,0
340.98,150.73,0
413.23,452.2,0
412.99,452.2,0
242.48,430.66,0
344.74,107.67,0
169.52,107.67,0
271.76,452.2,0
154.73,689.06,0
169.81,710.6,0
123.91,430.66,0
58.649,452.2,0
202.98,323,0
364.29,344.53,0
435.81,129.2,0
395.06,279.93,0
339.73,409.13,0
252.62,129.2,0
230.47,473.73,0
259.29,667.53,0
411.91,624.46,0
311.11,107.67,0
294.92,258.4,0
219.57,689.06,0
291.61,495.26,0
317.73,387.6,0
394.53,452.2,0
296.34,473.73,0
275.16,387.6,0
215.49,430.66,0
257.17,710.6,0
141.97,452.2,0
325.53,150.73,0
374.83,1744.2,0
411.9,452.2,0
367.78,452.2,0
711.03,452.2,0
664.48,430.66,0
776.48,430.66,0
721.48,430.66,0
814.81,430.66,0
1016.7,430.66,0
614.45,430.66,0
782.36,430.66,0
415.02,452.2,0
357.14,430.66,0
180.85,710.6,0
192.41,732.13,0
267.41,732.13,0
421.97,473.73,0
1478.4,323,0
1992.6,279.93,0
1621,473.73,0
1393.5,473.73,0
1201.4,753.66,1
1512.5,710.6,1
1112.9,775.2,1
802.04,818.26,1
1738.9,646,1
1566.1,710.6,1
1012.3,430.66,1
1178.3,430.66,1
984.45,452.2,1
1329.8,452.2,1
1120.4,452.2,1
1286.7,452.2,1
1091.7,452.2,1
851.28,452.2,1
789.51,430.66,1
1275,430.66,1
1300.7,409.13,1
948.65,409.13,1
1080,753.66,1
1083.3,732.13,1
1176.9,689.06,1
1187.4,667.53,1
990.73,646,1
997.3,624.46,1
1112.8,559.86,1
886.63,538.33,1
1053.7,516.8,1
774.78,473.73,1
785.87,473.73,1
1048.5,473.73,1
996.83,473.73,1
1077.1,689.06,1
855.06,473.73,1
823.73,452.2,1
636.09,689.06,1
610.16,710.6,1
740.58,473.73,1
1057.4,495.26,1
973.68,624.46,1
828.04,624.46,1
821.87,495.26,1
714.53,516.8,1
975.92,516.8,1
719.65,516.8,1
799.11,538.33,1
770.26,538.33,1
1218.6,516.8,1
1015.7,559.86,1
1284.7,646,1
1925,473.73,1
3658.7,538.33,1
