@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4'

@attribute cepstralMostDominantPeak_min numeric
@attribute class {0,1}

@data
0,0
0,0
0,0
0,0
0.001054,1
0,1
0.006212,1
0.026271,1
0.055818,1
0.059972,1
0.047864,1
0.053873,1
0.063613,1
0.081731,1
0.082239,1
0.069206,1
0.070065,1
0.094013,1
0.08368,1
0.12034,1
0.094194,1
0.11974,1
0.11839,1
0.10408,1
0.096838,1
0.090543,1
0.10707,1
0.091437,1
0.11862,1
0.10041,1
0.09765,1
0.076876,1
0.096795,1
0.11239,1
0.090908,1
0.098801,1
0.088712,1
0.088665,1
0.071911,1
0.078853,1
0.093842,1
0.092816,1
0.10319,1
0.1082,1
0.12174,1
0.093928,1
0.089102,1
0.087008,1
0.06976,1
0.055092,1
0.044392,1
0.048557,1
0.056483,1
0.042508,1
0.025143,1
0.01763,1
0.013952,1
0.005886,1
0.001549,1
0.002173,1
0.001722,1
0,0
0,0
0.009555,0
0.007612,0
0.003907,0
0.002935,0
0.002621,0
0.008328,0
0.015743,0
0.021806,0
0.011601,0
0.012505,0
0.018265,0
0.009005,0
0.013515,0
0.011498,0
0.013301,0
0.011947,0
0.025217,0
0.012484,0
0.014709,0
0.008863,0
0.015173,0
0.016642,0
0.015787,0
0.013553,1
0.01345,1
0.041138,1
0.052272,1
0.066101,1
0.081816,1
0.085011,1
0.077927,1
0.089247,1
0.085972,1
0.079615,1
0.086806,1
0.077969,1
0.07719,1
0.086748,1
0.080448,1
0.080868,1
0.093388,1
0.085692,1
0.087777,1
0.1072,1
0.096407,1
0.073739,1
0.080766,1
0.093574,1
0.097386,1
0.074473,1
0.076675,1
0.086163,1
0.078801,1
0.089346,1
0.10617,1
0.10409,1
0.08688,1
0.096777,1
0.10103,1
0.093758,1
0.098027,1
0.099367,1
0.098766,1
0.090984,1
0.091782,1
0.08818,1
0.08767,1
0.088008,1
0.090999,1
0.097646,1
0.076222,1
0.071455,1
0.085194,1
0.085915,1
0.091546,1
0.088952,1
0.092429,1
0.087297,1
0.076733,1
0.083773,1
0.084994,1
0.090897,1
0.10579,1
0.11094,1
0.10511,1
0.10677,1
0.074559,1
0.092319,1
0.10834,1
0.097147,1
0.10175,1
0.085509,1
0.073873,1
0.085968,1
0.097142,1
0.074224,1
0.067185,1
0.076341,1
0.080447,1
0.07029,1
0.073433,1
0.071256,1
0.085551,1
0.08621,1
0.080556,1
0.044863,1
0.03689,1
0.032694,1
0.041799,1
0.048391,1
0.018698,1
0.017635,1
0.029549,1
0.017325,1
0.024134,1
0.026876,1
0.017709,1
0.023234,1
0.031861,1
0.015189,1
0.01402,1
0.019114,1
0.00976,1
