@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1.3359,1.2531,2,0,1
1.4705,1.3877,2,0,1
1.3803,1.2975,2,0,1
1.3343,1.2515,2,0,1
1.5628,1.48,2,0,1
1.6432,1.5604,2,0,0
1.6478,1.565,2,0,0
1.5955,1.5127,2,0,0
1.0409,0.9581,3,1,0
0.27649,0.1937,8,6,0
0.37876,0.29598,9,7,0
0.45043,0.36764,10,8,0
0.33186,0.24908,10,8,0
0.38635,0.30356,12,10,0
0.35437,0.27159,9,7,0
0.28974,0.20695,10,8,0
0.20204,0.11925,10,8,0
0.20361,0.12083,24,22,0
0.23362,0.15084,21,19,0
0.2864,0.20361,17,15,0
0.23546,0.15267,25,23,0
0.22973,0.14695,25,23,0
0.26332,0.18053,21,19,0
0.30105,0.21826,19,17,0
0.21128,0.1285,22,20,0
0.25875,0.17596,23,21,0
0.34098,0.25819,25,23,0
0.20821,0.12542,26,24,0
0.20203,0.11925,37,35,0
0.27987,0.19709,29,27,0
0.23314,0.15035,29,27,0
0.2286,0.14581,28,26,0
0.24537,0.16259,33,31,0
0.17273,0.089946,37,35,0
0.26398,0.18119,42,40,0
0.17895,0.09616,41,39,0
0.25091,0.16813,21,19,0
0.18731,0.10452,42,40,0
0.19978,0.117,29,27,0
0.10931,0.026525,27,25,0
0.11169,0.028908,40,38,0
0.13084,0.048057,35,33,0
0.11845,0.035666,23,21,0
0.16215,0.079368,32,30,0
0.23183,0.14905,22,20,0
0.19722,0.11444,20,18,0
0.21804,0.13525,19,17,0
0.23415,0.15137,20,18,0
0.21905,0.13626,23,21,0
0.23423,0.15145,28,26,0
0.16925,0.086467,35,33,0
0.26105,0.17826,24,22,0
0.25549,0.17271,23,21,0
0.28423,0.20144,14,12,0
0.27755,0.19476,18,16,0
0.31524,0.23245,17,15,0
0.29673,0.21395,11,9,0
0.086571,0.0037857,13,11,0
0.096536,0.01375,6,4,0
0.49134,0.40855,8,6,0
0.012231,0,9,7,0
0.00043054,0,2,0,0
0.035738,0.035307,21,19,0
0.070158,0.069728,44,42,0
0.045828,0.045397,42,40,0
0.082127,0.081697,29,27,0
0.059591,0.059161,25,23,0
0.05221,0.05178,31,29,0
0.48432,0.48389,13,11,0
0.78041,0.77998,6,4,0
0.51042,0.50999,9,7,0
0.096193,0.095763,20,18,0
0.18337,0.18294,30,28,0
0.71188,0.71145,18,16,0
0.57283,0.5724,25,23,0
0.22182,0.22139,21,19,0
0.10929,0.10886,28,26,0
0.23032,0.22989,36,34,0
0.18574,0.18531,11,9,0
0.30523,0.3048,10,8,0
0.20973,0.2093,17,15,0
0.098766,0.098336,33,31,0
0.044338,0.043907,32,30,0
0.019875,0.019445,37,35,0
0.084372,0.083941,25,23,0
0.31895,0.31851,22,20,0
0.33993,0.3395,17,15,0
0.095337,0.094906,31,29,0
0.28518,0.28475,13,11,0
0.44604,0.44561,14,12,0
0.33269,0.33226,19,17,0
0.051069,0.050638,30,28,0
0.11641,0.11598,29,27,0
0.065602,0.065171,52,50,0
0.0209,0.020469,50,48,0
0.083109,0.082679,34,32,0
0.096221,0.095791,31,29,0
0.20216,0.20173,14,12,0
0.24208,0.24165,10,8,0
0.24686,0.24643,11,9,0
0.16694,0.16651,11,9,0
0.29538,0.29495,16,14,0
0.23993,0.2395,17,15,0
0.095166,0.094735,23,21,0
0.28144,0.28101,16,14,0
0.16126,0.16083,25,23,0
0.24344,0.24301,27,25,0
0.23369,0.23326,41,39,0
0.076133,0.075702,54,52,0
0.097779,0.097349,54,52,0
0.12702,0.12659,46,44,0
0.11211,0.11168,50,48,0
0.22998,0.22955,40,38,0
0.3942,0.39377,29,27,0
0.32266,0.32223,9,7,0
0.28978,0.28935,6,4,0
0.13117,0.13074,12,10,0
0.25229,0.25186,29,27,0
0.28481,0.28438,18,16,0
0.31836,0.31793,25,23,0
0.20334,0.20291,29,27,0
0.040698,0.040268,27,25,0
0.10789,0.10746,27,25,0
0.19475,0.19432,10,8,0
0.24182,0.24139,11,9,0
0.20343,0.203,12,10,0
0.21241,0.21198,11,9,0
0.18877,0.18834,13,11,0
0.17058,0.17015,12,10,0
0.18923,0.1888,14,12,0
0.12324,0.12281,20,18,0
0.18117,0.18074,21,19,0
0.20525,0.20482,23,21,0
0.2025,0.20207,17,15,0
0.16856,0.16813,9,7,0
0.28703,0.2866,7,5,0
0.35312,0.35269,5,3,0
0.11515,0.11472,11,9,0
0.13939,0.13896,15,13,0
0.19844,0.19801,20,18,0
0.2098,0.20937,15,13,0
0.1728,0.17237,13,11,0
0.33571,0.33528,10,8,0
0.35354,0.35311,9,7,0
0.36897,0.36854,12,10,0
0.3153,0.31487,9,7,0
0.25159,0.25116,8,6,0
0.31323,0.3128,10,8,0
0.34629,0.34586,10,8,0
0.45147,0.45104,12,10,0
0.34687,0.34644,10,8,0
0.31002,0.30958,11,9,0
0.27434,0.27391,12,10,0
0.31169,0.31126,8,6,0
0.41028,0.40985,8,6,0
0.29598,0.29554,9,7,0
0.2438,0.24337,10,8,0
0.17686,0.17643,12,10,0
0.30037,0.29994,7,5,0
0.41045,0.41002,4,2,0
0.45844,0.45801,4,2,0
0.31622,0.31578,12,10,0
0.42603,0.4256,8,6,0
0.3349,0.33447,15,13,0
0.20031,0.19988,22,20,0
0.30854,0.30811,22,20,0
0.331,0.33057,29,27,0
0.28315,0.28272,29,27,0
0.20985,0.20942,30,28,0
0.19907,0.19864,15,13,0
0.27949,0.27906,12,10,0
0.20717,0.20674,8,6,0
0.11226,0.11183,9,7,0
0.0037314,0.0033009,3,1,0
0,0,1,0,0
0.0087333,0.0087333,3,2,0
0.034555,0.034555,12,11,0
0.74664,0.74664,3,2,1
0.45972,0.45972,3,2,1
1.1881,1.1881,3,2,1
0.62862,0.62862,2,1,1
1.0919,1.0919,3,2,1
1.1308,1.1308,3,2,1
1.0108,1.0108,3,2,1
1.3515,1.3515,5,4,1
1.515,1.515,5,4,1
1.6333,1.6333,9,8,1
1.6269,1.6269,8,7,1
1.6216,1.6216,8,7,1
1.5576,1.5576,8,7,1
1.4978,1.4978,5,4,1
1.4091,1.4091,5,4,1
1.2399,1.2399,5,4,1
1.2232,1.2232,4,3,1
1.2358,1.2358,6,5,1
1.3396,1.3396,3,2,1
1.3643,1.3643,3,2,1
1.3906,1.3906,3,2,1
1.4523,1.4523,3,2,1
1.5774,1.5774,3,2,1
1.3654,1.3654,2,1,1
1.179,1.179,2,1,1
1.1143,1.1143,2,1,1
1.2296,1.2296,3,2,1
1.0467,1.0467,3,2,1
1.0048,1.0048,3,2,1
0.93634,0.93634,4,3,1
0.91678,0.91678,4,3,1
0.62825,0.62825,4,3,1
0.49606,0.49606,5,4,1
0.72955,0.72955,5,4,1
0.90363,0.90363,4,3,1
1.1634,1.1634,5,4,1
1.2576,1.2576,5,4,1
1.2541,1.2541,4,3,1
1.2202,1.2202,4,3,1
1.2182,1.2182,4,3,1
1.3082,1.3082,4,3,1
1.3299,1.3299,5,4,1
1.3482,1.3482,5,4,1
1.3872,1.3872,4,3,1
1.3874,1.3874,2,1,1
1.3575,1.3575,2,1,1
1.2732,1.2732,4,3,1
0.75323,0.75323,2,1,1
0.3752,0.3752,5,4,1
1.1708,1.1708,2,1,1
1.5179,1.5179,2,1,1
1.6574,1.6574,2,1,1
1.5828,1.5828,2,1,1
1.4202,1.4202,2,1,1
1.5692,1.5692,2,1,1
1.5861,1.5861,2,1,1
1.631,1.631,2,1,1
1.5807,1.5807,2,1,1
1.6149,1.6149,2,1,1
1.6032,1.6032,2,1,1
1.5803,1.5803,2,1,1
1.5357,1.5357,2,1,1
1.5769,1.5769,2,1,1
1.6439,1.6439,2,1,1
1.6544,1.6544,2,1,1
1.6163,1.6163,2,1,1
1.6149,1.6149,2,1,1
1.5565,1.5565,2,1,1
1.5517,1.5517,2,1,1
1.6134,1.6134,2,1,1
1.6259,1.6259,2,1,1
1.6205,1.6205,2,1,1
1.6331,1.6331,2,1,1
1.6415,1.6415,7,6,1
1.6347,1.6347,9,8,1
1.6293,1.6293,9,8,1
1.5966,1.5966,8,7,1
1.5746,1.5746,8,7,1
1.6088,1.6088,8,7,1
1.6001,1.6001,9,8,1
1.4829,1.4829,8,7,1
1.3594,1.3594,9,8,1
1.4591,1.4591,9,8,1
1.4466,1.4466,9,8,1
1.4016,1.4016,9,8,1
1.3839,1.3839,9,8,1
1.3777,1.3777,9,8,1
1.3997,1.3997,7,6,1
1.4587,1.4587,2,1,1
1.5118,1.5118,2,1,1
1.5238,1.5238,2,1,1
1.5088,1.5088,2,1,1
1.518,1.518,2,1,1
1.5377,1.5377,2,1,1
1.572,1.572,3,2,1
1.6067,1.6067,2,1,1
1.6051,1.6051,2,1,1
1.5892,1.5892,2,1,1
1.6073,1.6073,2,1,1
1.6024,1.6024,2,1,1
1.6207,1.6207,2,1,1
1.6183,1.6183,2,1,1
1.6432,1.6432,2,1,1
1.6567,1.6567,2,1,1
1.6646,1.6646,2,1,1
1.6727,1.6727,2,1,1
1.6855,1.6855,2,1,1
1.6783,1.6783,2,1,1
1.6887,1.6887,2,1,1
1.728,1.728,2,1,1
1.7325,1.7325,2,1,1
1.7174,1.7174,2,1,1
1.7335,1.7335,2,1,1
1.7491,1.7491,2,1,1
1.7816,1.7816,2,1,1
1.7391,1.7391,2,1,1
1.7383,1.7383,2,1,1
1.6447,1.6447,2,1,1
1.5561,1.5561,1,0,1
1.1595,1.1595,2,1,1
1.5203,1.5203,2,1,1
1.5644,1.5644,2,1,0
1.2419,1.2419,2,1,0
1.4554,1.4554,2,1,0
0.96703,0.96703,3,2,0
0.98746,0.98746,3,2,0
0.80319,0.80319,8,7,0
0.45915,0.45915,8,7,0
0.51629,0.51629,8,7,0
0.36002,0.36002,11,10,0
0.20534,0.20534,10,9,0
0.37303,0.37303,8,7,0
0.42767,0.42767,8,7,0
0.42793,0.42793,8,7,0
0.33672,0.33672,8,7,0
0.33024,0.33024,9,8,0
0.35914,0.35914,11,10,0
0.23265,0.23265,18,17,0
0.11009,0.11009,15,14,0
0.11617,0.11617,18,17,0
0.14463,0.14463,20,19,0
0.21884,0.21884,18,17,0
0.17107,0.17107,20,19,0
0.15972,0.15972,20,19,0
0.19075,0.19075,20,19,0
0.25109,0.25109,19,18,0
0.20857,0.20857,6,5,0
0.42791,0.42791,3,2,0
0.80551,0.80551,3,2,0
0.44864,0.44864,3,2,0
0.2423,0.2423,4,3,0
0.57303,0.57303,3,2,0
0.50182,0.50182,3,2,0
0.49374,0.49374,3,2,0
0.55855,0.55855,3,2,0
0.47621,0.47621,3,2,0
0.32501,0.32501,3,2,0
0.40298,0.40298,5,4,0
0.495,0.495,3,2,0
