@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.030283,0.028613,42,38,1
0.08999,0.088321,42,38,1
0.087095,0.085425,43,39,1
0.10017,0.098501,44,40,1
0.1301,0.12843,44,40,1
0.1316,0.12993,42,38,1
0.12319,0.12152,41,37,1
0.12861,0.12694,41,37,1
0.13812,0.13645,41,37,1
0.11315,0.11148,41,37,1
0.12948,0.12781,42,38,1
0.12365,0.12199,42,38,1
0.13231,0.13065,42,38,1
0.13398,0.13231,42,38,1
0.12188,0.12021,137,133,1
0.13929,0.13762,138,134,1
0.12914,0.12747,137,133,1
0.13092,0.12925,136,132,1
0.13526,0.13359,42,38,1
0.14548,0.14381,43,39,1
0.13352,0.13185,44,40,1
0.11501,0.11334,46,42,1
0.1265,0.12483,147,143,1
0.13051,0.12884,48,44,1
0.12533,0.12366,48,44,1
0.12602,0.12435,49,45,1
0.1175,0.11583,49,45,1
0.11251,0.11084,50,46,1
0.12269,0.12102,50,46,1
0.13289,0.13122,49,45,1
0.13278,0.13111,49,45,1
0.14616,0.14449,48,44,1
0.12673,0.12506,47,43,1
0.13332,0.13165,48,44,1
0.13769,0.13602,48,44,1
0.13262,0.13095,47,43,1
0.12857,0.1269,46,42,1
0.12446,0.12279,45,41,1
0.11749,0.11582,46,42,1
0.12291,0.12124,46,42,1
0.14514,0.14348,146,142,1
0.12783,0.12616,146,142,1
0.1355,0.13383,48,44,1
0.13094,0.12927,49,45,1
0.14022,0.13855,50,46,1
0.13634,0.13467,51,47,1
0.12206,0.12039,51,47,1
0.1295,0.12783,52,48,1
0.12339,0.12172,51,47,1
0.13409,0.13242,52,48,1
0.1454,0.14373,51,47,1
0.14124,0.13957,51,47,1
0.15077,0.1491,51,47,1
0.14887,0.1472,50,46,1
0.13653,0.13487,49,45,1
0.14599,0.14432,49,45,1
0.1469,0.14523,48,44,1
0.14653,0.14486,48,44,1
0.15294,0.15127,48,44,1
0.16017,0.1585,47,43,1
0.15678,0.15511,45,41,1
0.13855,0.13688,43,39,1
0.10138,0.099715,44,40,1
0.15457,0.1529,44,40,1
0.1568,0.15513,43,39,1
0.14371,0.14204,43,39,1
0.14161,0.13994,42,38,1
0.1228,0.12113,41,37,1
0.11702,0.11535,41,37,1
0.10743,0.10576,133,129,1
0.12684,0.12517,40,36,1
0.10834,0.10667,41,37,1
0.1114,0.10973,41,37,1
0.11893,0.11726,136,132,1
0.12233,0.12066,42,38,1
0.12061,0.11894,43,39,1
0.12352,0.12185,43,39,1
0.12167,0.12,43,39,1
0.12838,0.12671,43,39,1
0.12289,0.12122,44,40,1
0.12259,0.12092,45,41,1
0.11267,0.111,46,42,1
0.13786,0.13619,47,43,1
0.12239,0.12072,48,44,1
0.12121,0.11954,49,45,1
0.11453,0.11286,50,46,1
0.11033,0.10866,53,49,1
0.1025,0.10083,55,51,1
0.10114,0.099471,60,56,1
0.088199,0.08653,67,63,1
0.099594,0.097925,71,67,1
0.08674,0.085071,78,74,1
0.070556,0.068886,78,74,1
0.060864,0.059194,77,73,1
0.0357,0.034031,79,75,1
0.032542,0.030872,72,68,1
0.012945,0.011275,71,67,1
0.01853,0.016861,69,65,1
0.017347,0.015678,76,72,1
0.02206,0.020391,66,62,1
0.013994,0.012325,10,6,1
0.017349,0.01568,28,24,1
0.014303,0.012633,32,28,1
0.022836,0.021167,24,20,1
0.017481,0.015811,131,127,1
0.027325,0.025655,125,121,1
0.030753,0.029084,39,35,1
0.012566,0.010897,41,37,1
0.014635,0.012965,39,35,1
0.011583,0.0099133,57,53,1
0.010285,0.0086158,41,37,1
0.011345,0.0096754,54,50,1
0.014957,0.013287,57,53,1
0.0164,0.01473,48,44,0
0.01176,0.01009,42,38,0
