@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.002228,0,0.10889,0.087114,0.0019944,0,85,81,0
0.0025667,0.00033878,0.11343,0.091652,0.0016694,0,43,39,0
0.0033937,0.0011657,0.12976,0.10799,0.003069,0.0013996,141,137,0
0.0065183,0.0042903,0.13067,0.10889,0.0050425,0.0033731,34,30,0
0.024363,0.022135,0.11162,0.089837,0.0073867,0.0057173,30,26,1
0.11391,0.11168,0.050817,0.029038,0.030283,0.028613,42,38,1
0.16967,0.16744,0.032668,0.010889,0.08999,0.088321,42,38,1
0.19672,0.1945,0.039927,0.018149,0.087095,0.085425,43,39,1
0.21092,0.20869,0.044465,0.022686,0.10017,0.098501,44,40,1
0.21602,0.21379,0.046279,0.024501,0.1301,0.12843,44,40,1
0.22268,0.22045,0.046279,0.024501,0.1316,0.12993,42,38,1
0.23152,0.22929,0.04265,0.020871,0.12319,0.12152,41,37,1
0.24095,0.23873,0.04265,0.020871,0.12861,0.12694,41,37,1
0.24761,0.24539,0.049002,0.027223,0.13812,0.13645,41,37,1
0.25067,0.24844,0.052632,0.030853,0.11315,0.11148,41,37,1
0.24985,0.24763,0.046279,0.024501,0.12948,0.12781,42,38,1
0.24884,0.24662,0.040835,0.019056,0.12365,0.12199,42,38,1
0.24834,0.24612,0.041742,0.019964,0.13231,0.13065,42,38,1
0.25189,0.24966,0.04265,0.020871,0.13398,0.13231,42,38,1
0.2509,0.24867,0.04265,0.020871,0.12188,0.12021,137,133,1
0.24898,0.24675,0.04265,0.020871,0.13929,0.13762,138,134,1
0.24826,0.24603,0.040835,0.019056,0.12914,0.12747,137,133,1
0.24449,0.24227,0.047187,0.025408,0.13092,0.12925,136,132,1
0.24278,0.24055,0.056261,0.034483,0.13526,0.13359,42,38,1
0.24214,0.23991,0.067151,0.045372,0.14548,0.14381,43,39,1
0.23477,0.23254,0.064428,0.04265,0.13352,0.13185,44,40,1
0.22563,0.22341,0.060799,0.03902,0.11501,0.11334,46,42,1
0.21726,0.21503,0.062613,0.040835,0.1265,0.12483,147,143,1
0.2115,0.20927,0.065336,0.043557,0.13051,0.12884,48,44,1
0.20068,0.19845,0.073503,0.051724,0.12533,0.12366,48,44,1
0.18541,0.18318,0.071688,0.049909,0.12602,0.12435,49,45,1
0.18279,0.18056,0.07078,0.049002,0.1175,0.11583,49,45,1
0.18015,0.17793,0.07441,0.052632,0.11251,0.11084,50,46,1
0.18306,0.18083,0.07441,0.052632,0.12269,0.12102,50,46,1
0.18726,0.18503,0.072595,0.050817,0.13289,0.13122,49,45,1
0.19059,0.18837,0.075318,0.053539,0.13278,0.13111,49,45,1
0.19811,0.19588,0.068058,0.046279,0.14616,0.14449,48,44,1
0.20414,0.20191,0.059891,0.038113,0.12673,0.12506,47,43,1
0.20354,0.20131,0.059891,0.038113,0.13332,0.13165,48,44,1
0.2016,0.19937,0.058984,0.037205,0.13769,0.13602,48,44,1
0.20293,0.20071,0.063521,0.041742,0.13262,0.13095,47,43,1
0.20913,0.2069,0.061706,0.039927,0.12857,0.1269,46,42,1
0.21498,0.21275,0.054446,0.032668,0.12446,0.12279,45,41,1
0.21867,0.21645,0.053539,0.03176,0.11749,0.11582,46,42,1
0.22058,0.21835,0.058984,0.037205,0.12291,0.12124,46,42,1
0.22253,0.22031,0.068966,0.047187,0.14514,0.14348,146,142,1
0.21953,0.2173,0.072595,0.050817,0.12783,0.12616,146,142,1
0.20568,0.20345,0.07441,0.052632,0.1355,0.13383,48,44,1
0.18649,0.18426,0.078947,0.057169,0.13094,0.12927,49,45,1
0.17452,0.17229,0.077132,0.055354,0.14022,0.13855,50,46,1
0.17778,0.17555,0.083485,0.061706,0.13634,0.13467,51,47,1
0.17969,0.17746,0.086207,0.064428,0.12206,0.12039,51,47,1
0.17559,0.17336,0.076225,0.054446,0.1295,0.12783,52,48,1
0.17528,0.17306,0.073503,0.051724,0.12339,0.12172,51,47,1
0.1767,0.17447,0.064428,0.04265,0.13409,0.13242,52,48,1
0.1736,0.17137,0.057169,0.03539,0.1454,0.14373,51,47,1
0.17565,0.17342,0.057169,0.03539,0.14124,0.13957,51,47,1
0.18215,0.17992,0.052632,0.030853,0.15077,0.1491,51,47,1
0.18521,0.18298,0.046279,0.024501,0.14887,0.1472,50,46,1
0.18929,0.18706,0.052632,0.030853,0.13653,0.13487,49,45,1
0.19494,0.19271,0.061706,0.039927,0.14599,0.14432,49,45,1
0.19677,0.19454,0.064428,0.04265,0.1469,0.14523,48,44,1
0.20469,0.20246,0.056261,0.034483,0.14653,0.14486,48,44,1
0.21633,0.2141,0.052632,0.030853,0.15294,0.15127,48,44,1
0.23246,0.23024,0.059891,0.038113,0.16017,0.1585,47,43,1
0.25156,0.24933,0.061706,0.039927,0.15678,0.15511,45,41,1
0.2638,0.26158,0.057169,0.03539,0.13855,0.13688,43,39,1
0.27256,0.27033,0.055354,0.033575,0.10138,0.099715,44,40,1
0.27303,0.2708,0.062613,0.040835,0.15457,0.1529,44,40,1
0.27065,0.26842,0.064428,0.04265,0.1568,0.15513,43,39,1
0.27041,0.26818,0.064428,0.04265,0.14371,0.14204,43,39,1
0.28026,0.27803,0.055354,0.033575,0.14161,0.13994,42,38,1
0.2976,0.29537,0.04265,0.020871,0.1228,0.12113,41,37,1
0.30672,0.30449,0.032668,0.010889,0.11702,0.11535,41,37,1
0.31004,0.30781,0.023593,0.0018149,0.10743,0.10576,133,129,1
0.30616,0.30393,0.021779,0,0.12684,0.12517,40,36,1
0.29965,0.29742,0.020871,0,0.10834,0.10667,41,37,1
0.29442,0.29219,0.022686,0.0018149,0.1114,0.10973,41,37,1
0.29787,0.29564,0.028131,0.0072595,0.11893,0.11726,136,132,1
0.30256,0.30033,0.028131,0.0072595,0.12233,0.12066,42,38,1
0.29563,0.2934,0.027223,0.0063521,0.12061,0.11894,43,39,1
0.28677,0.28454,0.033575,0.012704,0.12352,0.12185,43,39,1
0.27378,0.27155,0.04265,0.021779,0.12167,0.12,43,39,1
0.2671,0.26487,0.046279,0.025408,0.12838,0.12671,43,39,1
0.26601,0.26378,0.043557,0.022686,0.12289,0.12122,44,40,1
0.2554,0.25317,0.041742,0.020871,0.12259,0.12092,45,41,1
0.24925,0.24702,0.04265,0.021779,0.11267,0.111,46,42,1
0.24025,0.23802,0.034483,0.013612,0.13786,0.13619,47,43,1
0.23536,0.23313,0.033575,0.012704,0.12239,0.12072,48,44,1
0.22416,0.22193,0.051724,0.030853,0.12121,0.11954,49,45,1
0.20329,0.20106,0.052632,0.03176,0.11453,0.11286,50,46,1
0.20625,0.20402,0.041742,0.020871,0.11033,0.10866,53,49,1
0.19958,0.19735,0.039927,0.019056,0.1025,0.10083,55,51,1
0.19486,0.19263,0.037205,0.016334,0.10114,0.099471,60,56,1
0.22766,0.22543,0.033575,0.012704,0.088199,0.08653,67,63,1
0.245,0.24277,0.03539,0.014519,0.099594,0.097925,71,67,1
0.21104,0.20881,0.036298,0.015426,0.08674,0.085071,78,74,1
0.15962,0.15739,0.03176,0.010889,0.070556,0.068886,78,74,1
0.14229,0.14006,0.036298,0.015426,0.060864,0.059194,77,73,1
0.12834,0.12612,0.040835,0.019964,0.0357,0.034031,79,75,1
0.097579,0.095351,0.043557,0.022686,0.032542,0.030872,72,68,1
0.087752,0.085524,0.041742,0.020871,0.012945,0.011275,71,67,1
0.10492,0.1027,0.032668,0.011797,0.01853,0.016861,69,65,1
0.11139,0.10916,0.033575,0.012704,0.017347,0.015678,76,72,1
0.10817,0.10594,0.033575,0.012704,0.02206,0.020391,66,62,1
0.11913,0.1169,0.030853,0.0099819,0.013994,0.012325,10,6,1
0.11867,0.11644,0.03176,0.010889,0.017349,0.01568,28,24,1
0.11602,0.11379,0.029946,0.0090744,0.014303,0.012633,32,28,1
0.1162,0.11397,0.028131,0.0072595,0.022836,0.021167,24,20,1
0.11374,0.11152,0.024501,0.0036298,0.017481,0.015811,131,127,1
0.11198,0.10975,0.021779,0.00090744,0.027325,0.025655,125,121,1
0.079116,0.076888,0.028131,0.0072595,0.030753,0.029084,39,35,1
0.032012,0.029784,0.043557,0.022686,0.012566,0.010897,41,37,1
0.02062,0.018392,0.036298,0.015426,0.014635,0.012965,39,35,1
0.019472,0.017244,0.018149,0,0.011583,0.0099133,57,53,1
