@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
69.526,23.758,5.3216,0.2605,1981.1,1894.9,0.79791,0.71512,8,12,0
46.318,0.55085,5.2756,0.30648,1851.9,1765.7,0.73194,0.64916,7,13,0
81.392,35.624,5.4947,0.087401,258.4,172.27,0.4826,0.39981,10,10,0
81.186,35.419,5.5056,0.076452,2024.1,1938,0.29651,0.21372,10,10,0
98.854,53.087,5.5974,0,193.8,107.67,0.23949,0.15671,19,1,0
99.925,54.157,5.6045,0,2067.2,1981.1,0.25398,0.1712,17,3,0
83.651,37.883,5.4481,0.15631,2002.6,1916.5,0.46305,0.38027,10,10,0
93.892,48.124,5.5428,0.06169,215.33,129.2,0.37036,0.28757,15,5,0
93.921,48.154,5.564,0.040453,236.87,150.73,0.21116,0.12837,19,1,0
77.946,32.178,5.4406,0.16387,193.8,107.67,0.19363,0.11084,19,1,0
69.372,23.604,5.5286,0.0759,129.2,43.066,0.29624,0.21345,11,9,0
56.193,10.425,5.404,0.20048,258.4,172.27,0.18042,0.097634,11,9,0
45.479,0,5.3125,0.29194,236.87,150.73,0.24098,0.1582,12,8,0
38.274,0,5.3636,0.24085,387.6,301.46,0.21411,0.13132,24,0,0
39.659,1.3852,5.4497,0.15474,107.67,21.533,0.14244,0.05965,17,7,0
61.922,23.648,5.4852,0.11926,258.4,172.27,0.23946,0.15667,17,7,0
82.074,43.8,5.5506,0.053902,495.26,409.13,0.28883,0.20604,12,12,0
82.836,44.562,5.4407,0.16371,538.33,452.2,0.4615,0.37871,2,22,1
883.2,844.92,4.4832,1.1213,516.8,430.66,1.243,1.1602,2,22,1
1231.9,1193.6,4.2961,1.3084,495.26,409.13,1.4944,1.4117,2,22,1
1692.9,1654.7,4.5453,1.0592,473.73,387.6,1.5639,1.4811,2,22,1
1909.8,1871.5,4.5873,1.0171,473.73,387.6,1.5209,1.4382,2,22,1
1978.6,1940.3,4.4656,1.1388,473.73,387.6,1.488,1.4052,2,22,1
2124.8,2086.5,4.476,1.1285,473.73,387.6,1.4528,1.37,9,15,1
2304.5,2266.3,4.6013,1.0031,495.26,409.13,1.4193,1.3365,8,16,1
2281.7,2243.5,4.4307,1.1738,495.26,409.13,1.4246,1.3419,2,22,1
2348.4,2310.1,4.4819,1.1226,495.26,409.13,1.4568,1.374,2,22,1
2334.3,2296,4.4098,1.1946,495.26,409.13,1.4839,1.4011,2,22,1
2343.2,2304.9,4.4951,1.1093,495.26,409.13,1.4896,1.4068,2,22,1
2350.6,2312.3,4.4804,1.1241,495.26,409.13,1.5091,1.4263,2,22,1
2366,2327.7,4.422,1.1825,495.26,409.13,1.504,1.4213,2,22,1
2447.8,2409.6,4.5704,1.034,495.26,409.13,1.5007,1.418,2,22,1
2404.1,2365.9,4.464,1.1405,495.26,409.13,1.5109,1.4281,2,22,1
2336.9,2298.6,4.434,1.1705,473.73,387.6,1.5475,1.4647,2,22,1
2350.8,2312.5,4.4973,1.1072,495.26,409.13,1.579,1.4963,2,22,1
2309.4,2271.1,4.4008,1.2036,495.26,409.13,1.5851,1.5023,2,22,1
2325.5,2287.3,4.5523,1.0522,473.73,387.6,1.563,1.4803,2,22,1
2257.2,2218.9,4.4563,1.1481,473.73,387.6,1.567,1.4842,3,21,1
2314.2,2275.9,4.5984,1.0061,473.73,387.6,1.5548,1.472,2,22,1
2287.4,2249.1,4.7653,0.83919,473.73,387.6,1.5111,1.4283,2,22,1
2149.9,2111.7,4.5053,1.0992,452.2,366.06,1.495,1.4122,2,22,1
2098.3,2060.1,4.5778,1.0266,452.2,366.06,1.5156,1.4328,3,21,1
1998.9,1960.6,4.6164,0.98807,452.2,366.06,1.4738,1.391,7,17,1
1828.9,1790.6,4.7082,0.89623,452.2,366.06,1.4037,1.3209,11,13,1
1783.8,1745.5,4.6883,0.91614,452.2,366.06,1.4073,1.3245,13,11,1
1822.7,1784.4,4.6731,0.9314,452.2,366.06,1.4034,1.3206,13,11,1
1820.9,1782.6,4.6545,0.94994,452.2,366.06,1.4017,1.3189,12,12,1
1838.8,1800.6,4.6404,0.96403,452.2,366.06,1.4243,1.3415,8,16,1
