@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.45265,0,8,0,0
0.59141,0.13876,4,4,0
0.76695,0.31429,9,0,0
0.75318,0.30053,13,0,0
0.66697,0.21432,24,0,1
0.84675,0.3941,2,22,1
1.0195,0.56689,2,22,1
1.0426,0.58999,5,19,1
1.2993,0.84662,8,16,1
1.286,0.83336,8,16,1
1.1444,0.6918,8,16,1
1.3464,0.89374,8,16,1
1.4231,0.97049,8,16,1
1.357,0.90437,8,16,1
1.2939,0.84129,8,16,1
1.2429,0.79021,8,16,1
1.3676,0.91498,8,16,1
1.3086,0.856,8,16,1
1.2571,0.8044,8,16,1
1.3607,0.9081,9,15,1
1.3965,0.94384,9,15,1
1.3961,0.94346,9,15,1
1.4051,0.95245,9,15,1
1.4392,0.9865,9,15,1
1.4393,0.98663,9,15,1
1.4142,0.96155,9,15,1
1.4544,1.0017,9,15,1
1.518,1.0653,4,20,1
1.6044,1.1518,2,22,1
1.6837,1.231,2,22,1
1.7358,1.2831,2,22,1
1.7029,1.2502,2,22,1
1.6577,1.205,2,22,1
1.6632,1.2105,2,22,1
1.658,1.2054,2,22,1
1.6842,1.2316,2,22,1
1.7301,1.2775,2,22,1
1.7433,1.2906,2,22,1
1.7331,1.2805,2,22,1
1.7283,1.2757,2,22,1
1.733,1.2803,2,22,1
1.7413,1.2887,2,22,1
1.7414,1.2888,2,22,1
1.7339,1.2813,2,22,1
1.7307,1.278,2,22,1
1.7408,1.2882,2,22,1
1.7581,1.3054,2,22,1
1.7627,1.3101,2,22,1
1.7626,1.3099,2,22,1
1.7651,1.3125,2,22,1
1.7505,1.2978,2,22,1
1.7933,1.3407,2,22,1
1.788,1.3353,2,22,1
1.7938,1.3412,2,22,1
1.6904,1.2377,2,22,1
1.7455,1.2928,2,22,1
1.477,1.0243,2,22,1
1.2672,0.81455,2,22,1
0.65995,0.2073,8,16,1
0.66235,0.2097,9,15,1
0.98256,0.52991,3,21,1
1.5117,1.059,2,22,0
1.3732,0.92053,2,22,0
0.44804,0,2,22,0
0.27167,0,6,18,0
0.082786,0,8,16,0
0.12904,0.046257,9,15,0
0.37188,0.28909,11,13,0
0.58007,0.49728,9,15,0
0.97961,0.89683,10,14,0
0.95418,0.87139,9,15,0
0.54605,0.46327,12,12,0
0.33734,0.25456,12,12,0
0.23949,0.15671,23,1,0
0.42191,0.33913,21,3,0
0.46305,0.38027,13,11,0
0.37036,0.28757,19,5,0
0.21116,0.12837,23,1,0
0.21937,0.13658,23,1,0
0.29624,0.21345,13,11,0
0.18042,0.097634,12,12,0
0.24098,0.1582,12,12,0
0.21411,0.13132,25,0,0
0.14244,0.05965,18,7,0
0.23946,0.15667,19,6,0
0.28883,0.20604,16,9,0
0.4615,0.37871,2,23,1
1.243,1.1602,2,23,1
1.513,1.4302,2,23,1
1.595,1.5123,2,23,1
1.5727,1.4899,2,23,1
1.5601,1.4773,2,23,1
1.6136,1.5308,10,15,1
1.6105,1.5278,9,16,1
1.5877,1.5049,2,23,1
1.6038,1.521,2,23,1
1.625,1.5422,2,23,1
1.6135,1.5308,2,23,1
1.6241,1.5413,2,23,1
1.6408,1.558,2,23,1
1.6501,1.5673,2,23,1
1.6086,1.5258,2,23,1
1.5924,1.5096,2,23,1
1.6109,1.5281,2,23,1
1.6155,1.5328,2,23,1
1.604,1.5212,2,23,1
1.5995,1.5167,3,22,1
1.591,1.5082,2,23,1
1.5111,1.4283,2,23,1
1.495,1.4122,2,23,1
1.5156,1.4328,4,21,1
1.4738,1.391,8,17,1
1.4037,1.3209,14,11,1
1.4073,1.3245,16,9,1
1.4034,1.3206,16,9,1
1.4017,1.3189,15,10,1
1.4243,1.3415,10,15,1
1.4254,1.3426,5,20,1
1.4667,1.384,4,21,1
1.4564,1.3736,5,20,1
1.4185,1.3357,4,21,1
1.3903,1.3075,5,20,1
1.4337,1.3509,4,21,1
1.5177,1.4349,2,23,1
1.567,1.4842,2,23,1
1.5578,1.4751,2,23,1
1.5418,1.459,2,23,1
1.5278,1.445,6,19,1
1.5134,1.4306,10,15,1
1.441,1.3582,10,15,1
1.2956,1.2129,9,16,1
1.2175,1.1347,6,19,1
1.1821,1.0993,6,19,1
1.2098,1.127,6,19,1
1.1936,1.1108,6,19,1
1.1992,1.1165,6,19,1
1.2226,1.1398,6,19,1
1.2179,1.1352,6,19,1
1.2204,1.1376,6,19,1
1.2249,1.1421,8,17,1
1.2347,1.1519,6,19,1
1.3963,1.3136,9,16,1
1.4945,1.4117,9,16,1
1.5421,1.4593,9,16,1
1.5319,1.4491,9,16,1
1.5534,1.4706,9,16,1
1.5774,1.4946,10,15,1
1.5688,1.486,10,15,1
1.6684,1.5856,6,19,1
1.6763,1.5935,2,23,1
1.684,1.6013,10,15,1
1.6732,1.5904,6,19,1
1.6776,1.5948,2,23,1
1.6867,1.6039,2,23,1
1.6681,1.5853,2,23,1
1.6404,1.5576,2,23,1
1.6346,1.5518,2,23,1
1.6298,1.547,2,23,1
1.6067,1.5239,2,23,1
1.5858,1.503,2,23,1
1.5868,1.504,2,23,1
1.5794,1.4966,2,23,1
1.5314,1.4486,2,23,1
1.5142,1.4314,2,23,1
1.5193,1.4365,2,23,1
1.502,1.4192,2,23,1
1.4488,1.366,2,23,1
1.3631,1.2803,4,21,1
1.3068,1.224,6,19,1
1.2969,1.2141,6,19,1
1.2975,1.2147,6,19,1
1.2887,1.2059,6,19,1
1.2461,1.1633,6,19,1
