@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.016541,0.0090308,0.096189,0.068966,72.307,9.2935,5.4706,0.11147,516.8,86.133,1
0.014061,0.0065509,0.062613,0.10254,76.372,13.358,5.3391,0.24296,538.33,107.67,1
0.01402,0.0065101,0.045372,0.11978,45.768,0,4.8904,0.6917,516.8,86.133,0
0.011926,0.0044161,0.059891,0.10526,56.429,10.662,5.0393,0.54278,538.33,107.67,0
0.0076668,0.00015682,0.069873,0.095281,56.438,10.671,5.0413,0.54078,495.26,64.6,0
0.0063915,0,0.07804,0.087114,60.837,15.07,5.2364,0.34574,258.4,0,0
0.0078191,0.0014276,0.072595,0.092559,61.764,15.997,5.2043,0.37783,129.2,0,0
0.007924,0.0015325,0.058984,0.10617,69.115,23.348,5.3315,0.25058,86.133,0,0
0.0078277,0.0014362,0.087114,0.07804,76.022,30.255,5.3726,0.20951,301.46,215.33,0
0.0099073,0.0035158,0.10708,0.058076,82.524,36.757,5.4139,0.16818,1959.5,1873.4,0
0.015628,0.0092364,0.098911,0.066243,69.526,23.758,5.3216,0.2605,1981.1,1894.9,0
0.018007,0.011616,0.099819,0.065336,46.318,0.55085,5.2756,0.30648,1851.9,1765.7,0
0.016253,0.0098613,0.11343,0.051724,81.392,35.624,5.4947,0.087401,258.4,172.27,0
0.014892,0.0085003,0.13067,0.034483,81.186,35.419,5.5056,0.076452,2024.1,1938,0
0.012268,0.0058762,0.14882,0.016334,98.854,53.087,5.5974,0,193.8,107.67,0
0.010846,0.0044544,0.15789,0.0072595,99.925,54.157,5.6045,0,2067.2,1981.1,0
0.011069,0.004678,0.14519,0.019964,83.651,37.883,5.4481,0.15631,2002.6,1916.5,0
0.010501,0.0041098,0.12886,0.036298,93.892,48.124,5.5428,0.06169,215.33,129.2,0
0.0087814,0.0023899,0.1225,0.04265,93.921,48.154,5.564,0.040453,236.87,150.73,0
0.0062901,0,0.12886,0.036298,77.946,32.178,5.4406,0.16387,193.8,107.67,0
0.004438,0,0.1216,0.043557,69.372,23.604,5.5286,0.0759,129.2,43.066,0
0.0038568,0,0.094374,0.07078,56.193,10.425,5.404,0.20048,258.4,172.27,0
0.0030363,0,0.11434,0.050817,45.479,0,5.3125,0.29194,236.87,150.73,0
0.002228,0,0.10889,0.056261,38.274,0,5.3636,0.24085,387.6,301.46,0
0.0025667,0.00033878,0.11343,0.051724,39.659,1.3852,5.4497,0.15474,107.67,21.533,0
0.0033937,0.0011657,0.12976,0.03539,61.922,23.648,5.4852,0.11926,258.4,172.27,0
0.0065183,0.0042903,0.13067,0.034483,82.074,43.8,5.5506,0.053902,495.26,409.13,0
0.024363,0.022135,0.11162,0.053539,82.836,44.562,5.4407,0.16371,538.33,452.2,1
0.11391,0.11168,0.050817,0.11434,883.2,844.92,4.4832,1.1213,516.8,430.66,1
0.16967,0.16744,0.032668,0.13249,1231.9,1193.6,4.2961,1.3084,495.26,409.13,1
0.19672,0.1945,0.039927,0.12523,1692.9,1654.7,4.5453,1.0592,473.73,387.6,1
0.21092,0.20869,0.044465,0.12069,1909.8,1871.5,4.5873,1.0171,473.73,387.6,1
0.21602,0.21379,0.046279,0.11887,1978.6,1940.3,4.4656,1.1388,473.73,387.6,1
0.22268,0.22045,0.046279,0.11887,2124.8,2086.5,4.476,1.1285,473.73,387.6,1
0.23152,0.22929,0.04265,0.1225,2304.5,2266.3,4.6013,1.0031,495.26,409.13,1
0.24095,0.23873,0.04265,0.1225,2281.7,2243.5,4.4307,1.1738,495.26,409.13,1
0.24761,0.24539,0.049002,0.11615,2348.4,2310.1,4.4819,1.1226,495.26,409.13,1
0.25067,0.24844,0.052632,0.11252,2334.3,2296,4.4098,1.1946,495.26,409.13,1
0.24985,0.24763,0.046279,0.11887,2343.2,2304.9,4.4951,1.1093,495.26,409.13,1
0.24884,0.24662,0.040835,0.12432,2350.6,2312.3,4.4804,1.1241,495.26,409.13,1
0.24834,0.24612,0.041742,0.12341,2366,2327.7,4.422,1.1825,495.26,409.13,1
0.25189,0.24966,0.04265,0.1225,2447.8,2409.6,4.5704,1.034,495.26,409.13,1
0.2509,0.24867,0.04265,0.1225,2404.1,2365.9,4.464,1.1405,495.26,409.13,1
0.24898,0.24675,0.04265,0.1225,2336.9,2298.6,4.434,1.1705,473.73,387.6,1
0.24826,0.24603,0.040835,0.12432,2350.8,2312.5,4.4973,1.1072,495.26,409.13,1
0.24449,0.24227,0.047187,0.11797,2309.4,2271.1,4.4008,1.2036,495.26,409.13,1
0.24278,0.24055,0.056261,0.10889,2325.5,2287.3,4.5523,1.0522,473.73,387.6,1
0.24214,0.23991,0.067151,0.098004,2257.2,2218.9,4.4563,1.1481,473.73,387.6,1
0.23477,0.23254,0.064428,0.10073,2314.2,2275.9,4.5984,1.0061,473.73,387.6,1
0.22563,0.22341,0.060799,0.10436,2287.4,2249.1,4.7653,0.83919,473.73,387.6,1
0.21726,0.21503,0.062613,0.10254,2149.9,2111.7,4.5053,1.0992,452.2,366.06,1
0.2115,0.20927,0.065336,0.099819,2098.3,2060.1,4.5778,1.0266,452.2,366.06,1
0.20068,0.19845,0.073503,0.091652,1998.9,1960.6,4.6164,0.98807,452.2,366.06,1
0.18541,0.18318,0.071688,0.093466,1828.9,1790.6,4.7082,0.89623,452.2,366.06,1
0.18279,0.18056,0.07078,0.094374,1783.8,1745.5,4.6883,0.91614,452.2,366.06,1
0.18015,0.17793,0.07441,0.090744,1822.7,1784.4,4.6731,0.9314,452.2,366.06,1
0.18306,0.18083,0.07441,0.090744,1820.9,1782.6,4.6545,0.94994,452.2,366.06,1
0.18726,0.18503,0.072595,0.092559,1838.8,1800.6,4.6404,0.96403,452.2,366.06,1
0.19059,0.18837,0.075318,0.089837,1881.6,1843.4,4.6716,0.93289,452.2,366.06,1
0.19811,0.19588,0.068058,0.097096,1953.5,1915.2,4.612,0.99249,452.2,366.06,1
0.20414,0.20191,0.059891,0.10526,2037.7,1999.4,4.5662,1.0382,452.2,366.06,1
0.20354,0.20131,0.059891,0.10526,2038.6,2000.3,4.5699,1.0346,452.2,366.06,1
0.2016,0.19937,0.058984,0.10617,2031.7,1993.5,4.5764,1.028,452.2,366.06,1
0.20293,0.20071,0.063521,0.10163,2060.5,2022.3,4.5838,1.0206,473.73,387.6,1
0.20913,0.2069,0.061706,0.10345,2071.1,2032.8,4.472,1.1325,473.73,387.6,1
0.21498,0.21275,0.054446,0.11071,2114.1,2075.8,4.4937,1.1107,473.73,387.6,1
0.21867,0.21645,0.053539,0.11162,2184.7,2146.4,4.4884,1.1161,473.73,387.6,1
0.22058,0.21835,0.058984,0.10617,2185.4,2147.1,4.5165,1.0879,473.73,387.6,1
0.22253,0.22031,0.068966,0.096189,2233.7,2195.4,4.4116,1.1929,473.73,387.6,1
0.21953,0.2173,0.072595,0.092559,2209.6,2171.4,4.4455,1.159,473.73,387.6,1
0.20568,0.20345,0.07441,0.090744,2173.5,2135.3,4.5813,1.0232,452.2,366.06,1
0.18649,0.18426,0.078947,0.086207,1924.3,1886,4.6712,0.93325,452.2,366.06,1
0.17452,0.17229,0.077132,0.088022,1735.5,1697.2,4.661,0.94348,452.2,366.06,1
0.17778,0.17555,0.083485,0.08167,1765.7,1727.5,4.5676,1.0368,452.2,366.06,1
0.17969,0.17746,0.086207,0.078947,1869.5,1831.2,4.5541,1.0503,452.2,366.06,1
0.17559,0.17336,0.076225,0.088929,1798.6,1760.3,4.512,1.0925,452.2,366.06,1
0.17528,0.17306,0.073503,0.091652,1747.6,1709.3,4.6393,0.96518,452.2,366.06,1
0.1767,0.17447,0.064428,0.10073,1722.3,1684,4.5755,1.0289,452.2,366.06,1
0.1736,0.17137,0.057169,0.10799,1720.2,1682,4.363,1.2415,452.2,366.06,1
0.17565,0.17342,0.057169,0.10799,1711.9,1673.7,4.3348,1.2696,452.2,366.06,1
0.18215,0.17992,0.052632,0.11252,1762.5,1724.2,4.1706,1.4339,452.2,366.06,1
0.18521,0.18298,0.046279,0.11887,1824.1,1785.8,4.2908,1.3136,452.2,366.06,1
0.18929,0.18706,0.052632,0.11252,1832.6,1794.3,4.3072,1.2972,452.2,366.06,1
0.19494,0.19271,0.061706,0.10345,1824.5,1786.3,4.1329,1.4715,452.2,366.06,1
0.19677,0.19454,0.064428,0.10073,1920.3,1882,4.1325,1.472,452.2,366.06,1
0.20469,0.20246,0.056261,0.10889,1908,1869.7,4.0696,1.5349,452.2,366.06,1
0.21633,0.2141,0.052632,0.11252,2049.6,2011.3,4.1403,1.4642,452.2,366.06,1
0.23246,0.23024,0.059891,0.10526,2249.3,2211.1,4.0852,1.5192,473.73,387.6,1
0.25156,0.24933,0.061706,0.10345,2399.9,2361.6,4.2757,1.3287,473.73,387.6,1
0.2638,0.26158,0.057169,0.10799,2591.2,2552.9,4.3513,1.2531,473.73,387.6,1
0.27256,0.27033,0.055354,0.1098,2604.1,2565.8,4.5096,1.0948,473.73,387.6,1
0.27303,0.2708,0.062613,0.10254,2544.1,2505.8,4.0363,1.5682,473.73,387.6,1
0.27065,0.26842,0.064428,0.10073,2508,2469.7,4.0714,1.5331,473.73,387.6,1
0.27041,0.26818,0.064428,0.10073,2478.2,2439.9,4.1327,1.4718,473.73,387.6,1
0.28026,0.27803,0.055354,0.1098,2590.1,2551.8,4.1338,1.4707,495.26,409.13,1
