@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
607.13,361.25,4.8879,0.33531,323,172.27,0.40154,0.2002,1,7,1
438.41,192.53,4.8316,0.39168,344.53,193.8,0.42738,0.22604,5,3,1
361.03,115.15,4.8061,0.41718,236.87,86.133,0.046681,0,8,0,0
287.23,41.352,4.8271,0.39611,129.2,0,0.30288,0.2562,1,7,0
391.86,145.98,4.5488,0.67446,409.13,279.93,0.65681,0.61013,1,7,0
494.51,248.63,4.4704,0.7529,409.13,279.93,0.72916,0.68248,1,7,0
260.92,15.035,4.8067,0.41655,129.2,0,0.29155,0.24487,1,7,0
598.51,352.63,4.5051,0.71811,323,193.8,0.39399,0.3473,2,6,0
1357.6,1111.7,4.1814,1.0418,516.8,387.6,1.1277,1.081,2,6,0
2023,1777.1,3.985,1.2382,516.8,387.6,1.2195,1.1728,2,6,0
2760.8,2514.9,4.0556,1.1676,516.8,387.6,1.2639,1.2173,2,6,0
2889.6,2643.8,4.1077,1.1155,538.33,409.13,1.2762,1.2295,2,6,0
3050.3,2804.4,4.067,1.1562,538.33,409.13,1.3515,1.3048,2,6,0
3213,2967.1,4.0665,1.1568,538.33,409.13,1.3146,1.2679,2,6,0
3355.2,3109.3,4.1111,1.1121,516.8,387.6,1.2691,1.2224,2,6,0
3396.6,3150.7,4.1539,1.0694,516.8,387.6,1.2842,1.2375,2,6,0
2200.2,1954.3,4.4357,0.78755,516.8,387.6,0.94572,0.89904,2,6,0
2356.1,2110.2,4.3797,0.84351,495.26,366.06,1.0114,0.96474,2,6,0
2784,2538.1,4.3152,0.90807,495.26,366.06,0.96074,0.91406,2,6,0
1789.4,1543.6,4.4477,0.77551,215.33,86.133,0.7697,0.72301,2,6,0
2281,2035.1,4.2209,1.0023,409.13,279.93,1.0462,0.99953,2,6,0
2343.6,2097.7,4.3532,0.87008,387.6,258.4,0.97971,0.93303,1,7,0
1890.4,1644.5,4.1514,1.0718,495.26,366.06,0.79388,0.7472,2,6,0
1067.5,821.61,4.4716,0.75167,473.73,344.53,1.0831,1.0364,2,6,0
819.77,573.89,4.5391,0.68412,516.8,387.6,0.92656,0.87988,2,6,0
948.91,703.03,4.6188,0.60445,516.8,387.6,1.0042,0.95756,2,6,0
647.31,401.43,4.8599,0.36332,409.13,279.93,0.62014,0.57346,2,6,0
569.05,323.16,4.9818,0.24148,366.06,236.87,0.55381,0.50713,4,4,1
1139.8,893.88,4.881,0.34228,538.33,409.13,0.72662,0.67994,2,6,1
1197.9,951.99,4.8641,0.35915,473.73,344.53,1.0866,1.04,2,6,1
2007.9,1762,4.851,0.37225,473.73,344.53,1.3498,1.3031,2,6,1
2255.2,2009.4,4.8055,0.41775,473.73,344.53,1.4008,1.3541,2,6,1
2072.8,1826.9,4.782,0.44129,473.73,344.53,1.3727,1.326,2,6,1
2851.9,2606.1,4.7769,0.4464,495.26,366.06,1.4234,1.3768,2,6,1
3087.9,2842,4.8614,0.3619,495.26,366.06,1.1361,1.0894,2,6,1
3196.8,2950.9,4.7582,0.46501,495.26,366.06,1.1583,1.1116,3,5,1
2815.7,2569.9,4.7679,0.45531,495.26,366.06,1.2719,1.2252,2,6,1
2391,2145.1,4.8139,0.40933,495.26,366.06,1.2975,1.2508,2,6,1
2249.1,2003.2,4.8205,0.40278,495.26,366.06,1.2783,1.2317,3,5,1
2866.3,2620.4,4.7392,0.48406,473.73,344.53,1.4635,1.4168,2,6,1
2561.9,2316,4.9073,0.31597,495.26,366.06,1.3221,1.2754,3,5,1
2404.2,2158.3,4.8942,0.32904,495.26,366.06,1.3533,1.3066,6,2,1
2715.5,2469.6,4.7913,0.43193,473.73,344.53,1.372,1.3253,3,5,1
2848.5,2602.7,4.7683,0.45494,473.73,344.53,1.4308,1.3841,2,6,1
2183.2,1937.3,4.8212,0.40201,495.26,366.06,1.4108,1.3642,2,6,1
2746,2500.1,4.6737,0.54956,495.26,366.06,1.4122,1.3655,2,6,1
2905.5,2659.6,4.7117,0.51153,473.73,344.53,1.391,1.3443,2,6,1
2552.9,2307,4.6955,0.52778,473.73,344.53,1.3197,1.273,2,6,1
2926.5,2680.6,4.7943,0.42895,473.73,344.53,1.3851,1.3384,2,6,1
