@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.17577,0.061706,0.044444,2,12,1
0.18495,0.061706,0.044134,3,12,1
0.19904,0.063521,0.049563,1,13,1
0.22474,0.057169,0.057979,3,12,1
0.24348,0.053539,0.067424,2,12,1
0.24503,0.054446,0.081506,4,4,1
0.23996,0.062613,0.057253,2,13,1
0.24476,0.065336,0.077145,2,13,1
0.25166,0.058984,0.069993,4,4,1
0.25494,0.051724,0.071854,4,4,1
0.2607,0.044465,0.073874,4,4,1
0.26662,0.034483,0.066879,2,13,1
0.27321,0.030853,0.080172,2,13,1
0.28496,0.026316,0.07651,3,4,1
0.27571,0.022686,0.080335,3,4,1
0.25164,0.029038,0.082152,3,4,1
0.24935,0.03539,0.077832,2,13,1
0.26437,0.03902,0.078754,3,5,1
0.27066,0.041742,0.075958,3,5,1
0.27894,0.03902,0.062549,4,5,1
0.27663,0.03176,0.047953,3,5,1
0.26483,0.03176,0.058715,3,5,1
0.25671,0.038113,0.062084,3,5,1
0.24612,0.036298,0.07806,2,4,1
0.27263,0.03902,0.042116,3,13,1
0.27362,0.050817,0.012772,1,13,1
0.33495,0.040835,0.031637,1,14,1
0.41876,0.032668,0.022453,1,13,1
0.42434,0.034483,0.019798,2,13,1
0.39176,0.03539,0.014358,1,12,1
0.3755,0.032668,0.030628,1,13,1
0.38803,0.029038,0.033245,1,14,1
0.36218,0.03539,0.026271,1,13,1
0.31175,0.037205,0.040551,1,13,1
0.30901,0.025408,0.013638,1,12,1
0.2788,0.026316,0.01637,1,12,1
0.2266,0.039927,0.045746,1,12,1
0.2139,0.04265,0.045254,1,13,1
0.18093,0.039927,0.03959,1,13,1
0.18501,0.029038,0.035566,1,13,1
0.20078,0.019964,0.024414,1,13,1
0.17036,0.026316,0.024094,1,12,1
0.14668,0.033575,0.0042744,0,0,1
0.17531,0.029946,0.018133,1,13,1
0.17267,0.026316,0.019648,1,14,1
0.1759,0.049909,0.029109,3,13,1
0.18835,0.068966,0.064639,1,13,1
0.18395,0.047187,0.028586,2,13,1
0.18114,0.033575,0.052935,2,13,1
0.16741,0.034483,0.016851,1,13,1
0.14554,0.030853,0.015789,1,13,1
0.09896,0.045372,0.017511,1,13,1
0.077036,0.064428,0.010385,1,18,1
0.084484,0.043557,0.017223,1,14,1
0.087681,0.024501,0.012071,2,12,1
0.076878,0.037205,0.001921,0,0,1
0.062149,0.04265,0.0017938,0,0,0
0.053445,0.04265,0.0091828,0,0,0
0.045215,0.044465,0.003922,0,0,0
0.044332,0.043557,0.0072803,0,0,0
0.046071,0.040835,0.0023413,0,0,0
0.043523,0.029038,0.004222,0,0,0
0.038639,0.025408,0.00051425,0,0,0
0.035128,0.034483,0.0050776,0,0,0
0.037851,0.03902,0.0057332,0,0,0
0.032359,0.044465,0.0012748,0,0,0
0.024129,0.046279,0.0038995,0,0,0
0.027208,0.046279,0.0026822,0,0,0
0.02716,0.044465,0.0084896,0,0,0
0.025947,0.046279,0.0045892,0,0,0
0.026624,0.049909,0.0018211,0,0,0
0.0275,0.045372,0.0048789,0,0,0
0.028416,0.047187,0.006002,0,0,0
0.025329,0.057169,0.0047016,0,0,0
0.024801,0.061706,0.0042172,0,0,0
0.032326,0.050817,0.015203,1,12,0
0.033961,0.043557,0.0055432,0,0,0
0.033056,0.04265,0.0074417,0,0,0
0.031049,0.055354,0.0048458,0,0,0
0.032435,0.054446,0.0050197,0,0,0
0.034098,0.043557,0.0034342,0,0,0
0.029225,0.054446,0.0026225,0,0,0
0.027638,0.057169,0.01195,2,12,0
0.030465,0.050817,0.002826,0,0,0
0.037486,0.045372,0.0092,0,0,0
0.041381,0.04265,0.0068255,0,0,0
0.040967,0.041742,0.0093862,0,0,0
0.044618,0.056261,0.012458,1,9,0
0.051104,0.059891,0.011677,1,7,0
0.056406,0.058076,0.011249,1,9,0
