@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE class	{0,1}

@DATA
0.10068,0.029038,0
0.10582,0.029038,0
0.13047,0.024501,0
0.17979,0.025408,0
0.21538,0.027223,0
0.18404,0.03176,0
0.11745,0.036298,0
0.10375,0.03539,0
0.088458,0.03902,0
0.084514,0.036298,0
0.089476,0.033575,0
0.072776,0.040835,0
0.063586,0.044465,0
0.080707,0.040835,0
0.10189,0.041742,0
0.10612,0.036298,0
0.093063,0.03176,0
0.075103,0.045372,0
0.076991,0.043557,0
0.083161,0.036298,0
0.084231,0.045372,0
0.087637,0.049909,0
0.094409,0.047187,0
0.10194,0.051724,0
0.087345,0.059891,0
0.083341,0.056261,0
0.098782,0.046279,0
0.099821,0.04265,0
0.083442,0.053539,0
0.069086,0.057169,0
0.064929,0.061706,0
0.058517,0.066243,0
0.051675,0.068058,0
0.051658,0.075318,0
0.066063,0.051724,0
0.076006,0.03176,0
0.073159,0.03902,0
0.075218,0.049909,0
0.074371,0.065336,0
0.069592,0.062613,0
0.073046,0.053539,0
0.064203,0.056261,0
0.053755,0.049002,0
0.057696,0.04265,0
0.065913,0.032668,0
0.061645,0.029946,0
0.046806,0.036298,0
0.040432,0.049002,0
0.039136,0.057169,0
0.041312,0.054446,0
0.034828,0.073503,0
0.030693,0.077132,0
0.033357,0.061706,0
0.031373,0.067151,0
0.035054,0.062613,0
0.040713,0.048094,0
0.044361,0.041742,0
0.060275,0.041742,0
0.06367,0.04265,0
0.053179,0.040835,0
0.055817,0.041742,0
0.055719,0.041742,0
0.047433,0.044465,0
0.054388,0.045372,0
0.051699,0.049002,0
0.037665,0.061706,0
0.034749,0.061706,0
0.034479,0.067151,0
0.033872,0.066243,0
0.028522,0.059891,0
0.038485,0.050817,0
0.052006,0.034483,0
0.060716,0.038113,0
0.054234,0.054446,0
0.044913,0.052632,0
0.04473,0.045372,0
0.03945,0.045372,0
0.042355,0.048094,0
0.047376,0.053539,0
0.045213,0.046279,0
0.043067,0.055354,0
0.041835,0.068966,0
0.04224,0.073503,0
0.044509,0.064428,0
0.04489,0.058984,0
0.045016,0.065336,0
0.037895,0.084392,0
0.036997,0.07804,0
0.03773,0.068058,0
0.0361,0.07441,0
0.04606,0.068058,0
0.051892,0.068966,0
0.046874,0.068058,0
0.051143,0.055354,0
0.062801,0.048094,0
0.075789,0.048094,0
0.084307,0.03176,0
0.07809,0.029946,0
0.069597,0.049002,0
0.079034,0.056261,0
0.081584,0.053539,0
0.070699,0.068058,0
0.060154,0.076225,0
0.047221,0.071688,0
0.040515,0.058984,0
0.038071,0.046279,0
0.045764,0.039927,0
0.055151,0.038113,0
0.097872,0.055354,0
0.10634,0.07441,0
0.095459,0.059891,0
0.099095,0.049002,0
0.098085,0.058076,1
0.10546,0.049909,1
0.10119,0.040835,1
0.099743,0.043557,1
0.14411,0.03902,1
0.14989,0.038113,1
0.11756,0.044465,1
0.11913,0.041742,1
0.12394,0.047187,1
0.13527,0.047187,1
0.13924,0.04265,1
0.139,0.045372,1
0.12736,0.046279,1
0.10517,0.048094,1
0.10552,0.048094,1
0.11025,0.053539,1
0.10454,0.060799,1
0.097794,0.056261,1
0.09569,0.053539,1
0.099821,0.045372,1
0.11512,0.036298,1
0.12173,0.033575,1
0.11918,0.028131,1
0.11716,0.03176,1
0.10439,0.048094,1
0.088837,0.054446,1
0.087058,0.046279,1
0.088011,0.045372,1
0.085764,0.048094,1
0.08929,0.050817,1
0.08861,0.048094,1
0.086871,0.046279,1
0.086921,0.046279,1
0.077942,0.049002,1
0.071922,0.049002,1
0.071546,0.049002,1
0.08049,0.049909,1
0.087282,0.040835,1
0.085735,0.040835,1
0.084314,0.046279,1
0.08438,0.03902,1
0.089093,0.041742,1
0.087595,0.049909,1
0.085666,0.04265,1
0.080733,0.046279,1
0.079133,0.067151,1
0.089613,0.07804,1
