@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
2905.5,2659.6,4.7117,0.72668,473.73,344.53,1
2552.9,2307,4.6955,0.71043,473.73,344.53,1
2926.5,2680.6,4.7943,0.80925,473.73,344.53,1
2763.7,2517.8,4.8949,0.90983,473.73,344.53,1
2648.8,2402.9,4.7714,0.78632,452.2,323,1
2324.1,2078.2,4.7499,0.76488,452.2,323,1
2186.1,1940.2,4.859,0.87395,452.2,323,1
1626.6,1380.7,5.0201,1.035,452.2,323,1
1495.6,1249.7,4.9619,0.9769,452.2,323,1
1786.5,1540.7,4.8698,0.88471,452.2,323,1
1600.6,1354.7,4.8843,0.8993,452.2,323,1
1900.7,1654.8,4.8885,0.90349,452.2,323,1
1779,1533.1,4.9044,0.91934,452.2,323,1
1957.9,1712,4.8087,0.82367,452.2,323,1
2135,1889.1,4.8085,0.82346,473.73,344.53,1
2230.8,1985,4.7974,0.81232,452.2,323,1
2471.2,2225.3,4.817,0.83198,452.2,323,1
2029.2,1783.3,4.9215,0.93643,452.2,323,1
1954.8,1708.9,4.7409,0.75589,473.73,344.53,1
1846.1,1600.2,4.7664,0.78136,473.73,344.53,1
2011.1,1765.2,4.7766,0.79159,473.73,344.53,1
2105.4,1859.5,4.7675,0.78243,473.73,344.53,1
2260.3,2014.4,4.7671,0.78201,473.73,344.53,1
2229.8,1983.9,4.7454,0.76036,473.73,344.53,1
2054,1808.1,4.8963,0.91122,452.2,323,1
1896.7,1650.8,4.9031,0.91802,452.2,323,1
1968.8,1723,4.9313,0.94625,452.2,323,1
1801.8,1555.9,4.8602,0.87517,452.2,323,1
1884.6,1638.8,4.913,0.92793,452.2,323,1
1884.1,1638.2,4.916,0.93095,452.2,323,1
1964.9,1719,4.9579,0.97288,430.66,301.46,1
2078.4,1832.6,4.9041,0.91906,452.2,323,1
1842,1596.1,4.9254,0.94033,452.2,323,1
2130.1,1884.2,4.8022,0.81712,430.66,301.46,1
1973.8,1727.9,4.714,0.72894,452.2,323,1
1670,1424.1,4.9202,0.93513,452.2,323,1
2015.1,1769.3,4.8525,0.86747,452.2,323,1
1865.7,1619.8,4.6931,0.70809,452.2,323,1
1826.5,1580.6,4.6388,0.6538,452.2,323,1
1795.2,1549.3,4.548,0.56292,452.2,323,1
1881.6,1635.7,4.52,0.53498,452.2,323,1
2073.9,1828,4.5151,0.53008,473.73,344.53,1
2224,1978.1,4.6219,0.6369,473.73,344.53,1
2475,2229.2,4.4961,0.51102,473.73,344.53,1
2514.6,2268.7,4.6616,0.67656,473.73,344.53,1
2218.8,1972.9,4.4077,0.42263,473.73,344.53,1
2472.2,2226.3,4.4681,0.48301,473.73,344.53,1
2319.5,2073.7,4.3517,0.36666,473.73,344.53,1
2403.1,2157.3,4.3226,0.33758,473.73,344.53,1
2438.9,2193,4.4203,0.43525,495.26,366.06,1
2553.8,2308,4.4337,0.44867,495.26,366.06,1
2738.1,2492.3,4.4375,0.45241,495.26,366.06,1
2944.9,2699.1,4.4177,0.43269,495.26,366.06,1
2991.9,2746,4.5918,0.60677,495.26,366.06,1
2565.2,2319.3,4.6309,0.6459,495.26,366.06,1
2930.2,2684.3,4.62,0.63499,495.26,366.06,1
2900.1,2654.2,4.6345,0.64943,495.26,366.06,1
2960,2714.1,4.6689,0.68384,495.26,366.06,1
3138.6,2892.7,4.6196,0.63456,473.73,344.53,1
3216,2970.1,4.5457,0.5607,473.73,344.53,1
2846.5,2600.7,4.6169,0.63186,473.73,344.53,1
2780.1,2534.3,4.5855,0.60045,473.73,344.53,1
2682.5,2436.6,4.6408,0.65572,473.73,344.53,1
4165,3919.1,4.9343,0.94922,452.2,323,1
6170.4,5924.5,4.8411,0.85603,473.73,344.53,1
4878.6,4632.8,4.8481,0.86307,452.2,323,1
8303.6,8057.8,4.821,0.83595,452.2,323,1
7573.8,7327.9,4.8637,0.87865,258.4,129.2,1
7815.9,7570,4.7009,0.71586,430.66,301.46,1
7006.6,6760.7,4.6821,0.69705,258.4,129.2,1
6432,6186.1,4.6904,0.70538,258.4,129.2,1
6096.2,5850.3,4.6031,0.61809,301.46,172.27,1
4894,4648.1,4.7373,0.7523,732.13,602.93,1
5070.3,4824.4,4.616,0.63092,430.66,301.46,1
4226.3,3980.4,4.4982,0.51311,430.66,301.46,1
3879.2,3633.3,5.012,1.0269,107.67,0,1
4079.6,3833.7,5.0898,1.1048,107.67,0,1
2377.8,2131.9,4.9735,0.98847,86.133,0,1
2668.9,2423,4.7737,0.78869,86.133,0,1
2268.4,2022.5,4.674,0.68893,107.67,21.533,1
1749.8,1503.9,4.8352,0.8502,107.67,21.533,1
1805.5,1559.6,4.6311,0.64602,279.93,193.8,1
1976.2,1730.3,4.6244,0.63933,710.6,624.46,1
2352.1,2106.2,4.7526,0.76756,107.67,21.533,1
2412.7,2166.9,5.1618,1.1767,107.67,21.533,1
4173.9,3928,5.3954,1.4104,344.53,258.4,1
2843.7,2597.8,5.2084,1.2234,366.06,279.93,1
2659,2413.1,5.0989,1.1138,344.53,258.4,1
2232.7,1986.8,4.9352,0.95017,344.53,258.4,1
2050.7,1804.8,4.9115,0.92648,344.53,258.4,1
1169.2,923.3,5.0569,1.0718,366.06,279.93,1
662.43,416.55,5.2012,1.2162,646,559.86,1
1152.1,906.18,4.9446,0.95955,279.93,193.8,1
700.1,454.22,4.91,0.92491,107.67,21.533,1
708.6,462.72,4.9182,0.93317,258.4,172.27,1
589.39,343.51,4.9199,0.93483,258.4,172.27,0
396.82,150.94,5.0332,1.0481,366.06,279.93,0
324.78,78.903,4.98,0.99497,279.93,193.8,0
301.17,55.293,4.971,0.98596,258.4,172.27,0
353.33,107.45,4.8658,0.88071,279.93,193.8,0
261.07,15.192,4.8316,0.84656,279.93,193.8,0
228.71,0,4.8482,0.86315,258.4,172.27,0
147.72,0,4.9448,0.95971,258.4,172.27,0
141.77,0,4.9856,1.0005,581.4,495.26,0
157.48,15.714,4.9162,0.93117,258.4,172.27,0
21.059,0,5.1063,1.1212,129.2,43.066,0
7.3432,0,5.1439,1.1589,107.67,21.533,0
69.931,62.588,5.0406,1.0555,559.86,473.73,0
96.855,89.512,4.9987,1.0137,301.46,215.33,0
33.385,26.041,5.1502,1.1651,258.4,172.27,0
41.644,34.301,5.0889,1.1039,387.6,301.46,0
85.978,78.635,5.0291,1.0441,150.73,64.6,0
39.545,32.202,5.1089,1.1239,279.93,193.8,0
14.84,7.4967,5.2044,1.2193,495.26,409.13,0
138.5,131.15,5.1532,1.1681,150.73,64.6,0
87.789,80.446,5.1125,1.1275,150.73,64.6,0
157.73,150.39,5.0154,1.0303,172.27,86.133,0
119.25,111.91,5.0236,1.0386,409.13,323,0
138.97,131.63,5.0065,1.0215,387.6,301.46,0
115.72,108.38,4.9514,0.96631,409.13,323,0
93.233,85.89,4.9948,1.0097,581.4,495.26,0
86.866,79.522,5.1967,1.2116,387.6,301.46,0
87.615,80.272,5.2008,1.2157,236.87,150.73,0
155,147.65,5.1494,1.1643,387.6,301.46,0
183.97,176.63,5.0336,1.0485,409.13,323,0
215.9,208.56,5.0861,1.1011,215.33,129.2,0
230.15,222.81,5.2147,1.2297,236.87,150.73,0
447.01,439.67,5.1927,1.2076,409.13,323,0
349.63,342.29,5.1976,1.2125,236.87,150.73,0
559.65,552.3,5.0325,1.0475,775.2,689.06,0
509.41,502.07,5.1095,1.1245,796.73,710.6,0
424.15,416.8,5.1777,1.1927,430.66,344.53,0
231.21,223.86,5.3256,1.3406,775.2,689.06,0
281.05,273.71,5.2105,1.2255,775.2,689.06,0
203.12,195.78,5.312,1.3269,409.13,323,0
375.79,368.45,5.1153,1.1302,775.2,689.06,0
562.77,555.42,5.1546,1.1695,430.66,344.53,0
639.73,632.39,5.0311,1.0461,409.13,323,0
466.27,458.93,5.0551,1.0701,775.2,689.06,0
691.2,683.86,4.9815,0.99646,775.2,689.06,0
611.18,603.84,5.0191,1.034,538.33,452.2,0
665.82,658.48,5.0032,1.0182,215.33,129.2,0
1054.8,1047.4,4.9518,0.96674,409.13,323,0
866.84,859.5,5.0227,1.0376,215.33,129.2,0
723.66,716.32,4.9427,0.95761,796.73,710.6,0
713.34,705.99,4.9075,0.92245,796.73,710.6,0
837.87,830.53,4.9974,1.0124,818.26,732.13,0
828.3,820.96,4.9871,1.0021,387.6,301.46,0
754.14,746.8,4.8388,0.85375,818.26,732.13,0
850.36,843.01,4.8842,0.89911,818.26,732.13,0
980.5,973.16,5.0882,1.1031,236.87,150.73,0
1013.2,1005.8,5.0033,1.0183,409.13,323,0
627.27,619.92,5.01,1.0249,818.26,732.13,0
826.41,819.07,4.9879,1.0028,409.13,323,0
768.04,760.7,4.8705,0.88544,861.33,775.2,0
1131.9,1124.6,4.6981,0.71306,409.13,323,0
1198.5,1191.1,4.6074,0.62231,473.73,387.6,0
1744.1,1736.7,4.5141,0.52906,516.8,430.66,0
2851.5,2844.1,4.2385,0.25348,516.8,430.66,0
2989.9,2982.6,4.1913,0.20623,516.8,430.66,0
2547.7,2540.4,4.4661,0.48105,516.8,430.66,0
1224.1,1216.8,4.6942,0.7092,193.8,107.67,0
1094.5,1087.2,4.6248,0.63972,495.26,409.13,0
1121.8,1114.4,4.7179,0.73288,516.8,430.66,0
1194.1,1186.8,5.2107,1.2257,344.53,258.4,0
886.19,878.85,4.9153,0.93027,409.13,323,0
866.19,858.84,4.9254,0.94039,538.33,452.2,0
612.32,604.98,4.9879,1.0029,473.73,387.6,0
987.33,979.99,4.7639,0.77885,452.2,366.06,0
996.96,989.62,4.9681,0.98309,473.73,387.6,0
1422.5,1415.2,5.0885,1.1034,452.2,366.06,0
1108.2,1100.8,4.9661,0.98109,473.73,387.6,0
663.71,656.37,5.0641,1.079,473.73,387.6,0
766.77,759.42,5.0229,1.0379,473.73,387.6,0
998.69,991.35,4.9023,0.91725,689.06,602.93,0
1117.4,1110,4.9286,0.94358,473.73,387.6,0
814.96,807.62,5.0371,1.0521,258.4,172.27,0
1295.5,1288.2,4.9781,0.99305,452.2,366.06,0
1510.4,1503.1,4.9878,1.0027,452.2,366.06,0
1162.1,1154.7,4.994,1.009,1055.1,968.99,0
752.36,745.01,5.1278,1.1427,1033.6,947.46,0
1280.1,1272.7,5.1167,1.1317,430.66,344.53,0
1270.6,1263.3,4.953,0.96793,430.66,344.53,0
772.81,765.47,5.1082,1.1231,409.13,323,0
760.02,752.67,5.0654,1.0803,710.6,624.46,0
618.11,610.77,5.1063,1.1212,215.33,129.2,0
466.5,459.15,5.1691,1.1841,387.6,301.46,0
351.36,344.01,5.268,1.283,538.33,452.2,0
470.99,463.64,5.1724,1.1873,387.6,301.46,0
593.73,586.39,5.1772,1.1921,753.66,667.53,0
778.53,771.19,5.0532,1.0681,710.6,624.46,0
792.22,784.87,4.9819,0.99688,409.13,323,0
623.62,616.27,5.1328,1.1478,279.93,193.8,0
1161.4,1154.1,5.273,1.2879,215.33,129.2,0
671.15,663.81,5.122,1.1369,236.87,150.73,0
633.47,626.13,5.1282,1.1431,409.13,323,0
487.88,480.54,5.124,1.1389,129.2,43.066,0
304.39,297.05,5.2217,1.2367,107.67,21.533,0
313.34,306,5.0902,1.1052,107.67,21.533,0
419.57,412.23,4.7896,0.80457,387.6,301.46,0
