@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.32561,0.26739,0.049002,0.0099819,3747.8,3502,4.7114,0.09558,516.8,366.06,0.1086,0.088712,37,23,1.2986,1.0972,2,0,1
0.34492,0.2867,0.046279,0.0072595,4311.1,4065.3,4.7048,0.08899,516.8,366.06,0.10856,0.088665,37,23,1.2376,1.0363,2,0,1
0.35366,0.29544,0.051724,0.012704,4642.2,4396.3,4.7507,0.13492,516.8,366.06,0.091802,0.071911,36,22,1.145,0.94368,2,0,1
0.37946,0.32124,0.047187,0.008167,4343,4097.2,4.712,0.096161,516.8,366.06,0.098744,0.078853,124,110,1.3073,1.1059,2,0,1
0.4153,0.35708,0.029946,0,4327.4,4081.5,4.4253,0,516.8,366.06,0.11373,0.093842,35,21,1.5191,1.3178,2,0,1
0.40731,0.3491,0.026316,0,4034,3788.1,4.5569,0.13153,516.8,366.06,0.11271,0.092816,35,21,1.4716,1.2702,2,0,1
0.38374,0.32552,0.037205,0.010889,4082.3,3836.4,4.4638,0.038425,516.8,366.06,0.12308,0.10319,35,21,1.547,1.3457,2,0,1
0.36154,0.30332,0.054446,0.028131,3951,3705.2,4.5998,0.17442,516.8,366.06,0.12809,0.1082,36,22,1.412,1.2107,2,0,1
0.33667,0.27845,0.057169,0.030853,3641.5,3395.6,4.7,0.27469,516.8,366.06,0.14163,0.12174,36,22,1.3186,1.1172,2,0,1
0.36314,0.30493,0.048094,0.021779,3988.8,3742.9,4.5498,0.12449,516.8,366.06,0.11382,0.093928,36,22,1.4666,1.2653,2,0,1
0.38255,0.32434,0.039927,0.013612,3887.2,3641.3,4.4958,0.070427,516.8,366.06,0.10899,0.089102,36,22,1.4907,1.2894,2,0,1
0.37372,0.3155,0.03176,0.0054446,3555.5,3309.6,4.3497,0,516.8,366.06,0.1069,0.087008,36,22,1.534,1.3327,2,0,1
0.37865,0.32043,0.028131,0.0018149,3462.3,3216.5,4.2669,0,516.8,366.06,0.089651,0.06976,37,23,1.5531,1.3517,2,0,1
0.38991,0.3317,0.025408,0,3495.6,3249.7,4.1788,0,516.8,366.06,0.074984,0.055092,37,23,1.5332,1.3318,2,0,1
0.41427,0.35606,0.024501,0,3774.2,3528.3,4.2025,0.023645,516.8,366.06,0.064283,0.044392,34,20,1.4679,1.2666,2,0,1
0.43288,0.37466,0.025408,0.00090744,3828.2,3582.3,3.9949,0,538.33,387.6,0.068449,0.048557,32,18,1.5694,1.368,2,0,1
0.3861,0.32788,0.023593,0,2966.4,2720.5,4.0479,0.052994,538.33,387.6,0.076374,0.056483,30,16,1.5467,1.3454,2,0,1
0.30709,0.24887,0.022686,0,2530.8,2284.9,4.1294,0.13449,538.33,387.6,0.062399,0.042508,31,17,1.556,1.3546,2,0,1
0.2595,0.20128,0.022686,0,1574,1328.1,4.2659,0.27094,538.33,387.6,0.045035,0.025143,30,16,1.3828,1.1814,2,0,1
0.20812,0.1499,0.023593,0.00090744,1697.4,1451.5,4.3609,0.36596,516.8,366.06,0.037521,0.01763,39,25,1.5556,1.3543,2,0,1
0.14244,0.084225,0.036298,0.013612,733.96,488.08,5.014,1.0191,452.2,301.46,0.033844,0.013952,47,33,1.2571,1.0558,2,0,1
0.096529,0.038312,0.044465,0.021779,564.64,318.76,5.2233,1.2283,473.73,323,0.025778,0.0058864,146,132,0.59817,0.39683,3,1,1
0.088153,0.029936,0.037205,0.014519,541.72,295.84,5.1267,1.1317,150.73,0,0.021441,0.0015493,28,14,0.2304,0.02906,4,2,1
0.093351,0.035134,0.029038,0.0063521,607.13,361.25,4.8879,0.89299,323,172.27,0.022065,0.002173,38,24,0.40154,0.2002,1,0,1
0.088862,0.030645,0.03176,0.0090744,438.41,192.53,4.8316,0.83662,344.53,193.8,0.021613,0.0017216,72,58,0.42738,0.22604,5,4,1
0.072162,0.013944,0.03539,0.012704,361.03,115.15,4.8061,0.81112,236.87,86.133,0.014663,0,130,116,0.046681,0,8,7,0
0.07028,0.012062,0.037205,0.014519,287.23,41.352,4.8271,0.8322,129.2,0,0.012639,0,97,83,0.30288,0.2562,1,0,0
0.079306,0.021088,0.03539,0.012704,391.86,145.98,4.5488,0.55385,409.13,279.93,0.022194,0.0095548,71,57,0.65681,0.61013,1,0,0
0.085097,0.026879,0.028131,0.0054446,494.51,248.63,4.4704,0.47541,409.13,279.93,0.020252,0.0076124,88,74,0.72916,0.68248,1,0,0
0.087327,0.02911,0.019964,0,260.92,15.035,4.8067,0.81176,129.2,0,0.016546,0.0039073,72,58,0.29155,0.24487,1,0,0
