@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2023,1777.1,3.985,0,516.8,387.6,0.020967,0.0083277,114,100,0
2760.8,2514.9,4.0556,0.070571,516.8,387.6,0.028382,0.015743,19,5,0
2889.6,2643.8,4.1077,0.12266,538.33,409.13,0.034445,0.021806,15,1,0
3050.3,2804.4,4.067,0.081961,538.33,409.13,0.02424,0.011601,39,25,0
3213,2967.1,4.0665,0.081419,538.33,409.13,0.025144,0.012505,33,19,0
3355.2,3109.3,4.1111,0.12606,516.8,387.6,0.030904,0.018265,103,89,0
3396.6,3150.7,4.1539,0.16882,516.8,387.6,0.021644,0.0090051,36,22,0
2200.2,1954.3,4.4357,0.45066,516.8,387.6,0.026154,0.013515,38,24,0
2356.1,2110.2,4.3797,0.3947,495.26,366.06,0.024137,0.011498,27,13,0
2784,2538.1,4.3152,0.33013,495.26,366.06,0.025941,0.013301,29,15,0
1789.4,1543.6,4.4477,0.4627,215.33,86.133,0.024586,0.011947,24,10,0
2281,2035.1,4.2209,0.23587,409.13,279.93,0.037856,0.025217,46,32,0
2343.6,2097.7,4.3532,0.36813,387.6,258.4,0.025123,0.012484,21,7,0
1890.4,1644.5,4.1514,0.16637,495.26,366.06,0.027349,0.014709,37,23,0
1067.5,821.61,4.4716,0.48654,473.73,344.53,0.021502,0.0088632,39,25,0
819.77,573.89,4.5391,0.55409,516.8,387.6,0.027812,0.015173,24,10,0
948.91,703.03,4.6188,0.63375,516.8,387.6,0.029281,0.016642,22,8,0
647.31,401.43,4.8599,0.87488,409.13,279.93,0.028426,0.015787,44,30,0
569.05,323.16,4.9818,0.99673,366.06,236.87,0.026193,0.013553,93,79,1
1139.8,893.88,4.881,0.89592,538.33,409.13,0.026089,0.01345,40,26,1
1197.9,951.99,4.8641,0.87906,473.73,344.53,0.053777,0.041138,42,28,1
2007.9,1762,4.851,0.86596,473.73,344.53,0.064911,0.052272,44,30,1
2255.2,2009.4,4.8055,0.82045,473.73,344.53,0.07874,0.066101,44,30,1
2072.8,1826.9,4.782,0.79692,473.73,344.53,0.094455,0.081816,44,30,1
2851.9,2606.1,4.7769,0.79181,495.26,366.06,0.09765,0.085011,42,28,1
3087.9,2842,4.8614,0.87631,495.26,366.06,0.090566,0.077927,41,27,1
3196.8,2950.9,4.7582,0.7732,495.26,366.06,0.10189,0.089247,41,27,1
2815.7,2569.9,4.7679,0.78289,495.26,366.06,0.098611,0.085972,41,27,1
2391,2145.1,4.8139,0.82887,495.26,366.06,0.092254,0.079615,41,27,1
2249.1,2003.2,4.8205,0.83543,495.26,366.06,0.099445,0.086806,42,28,1
2866.3,2620.4,4.7392,0.75414,473.73,344.53,0.090608,0.077969,42,28,1
2561.9,2316,4.9073,0.92224,495.26,366.06,0.089829,0.07719,42,28,1
2404.2,2158.3,4.8942,0.90917,495.26,366.06,0.099387,0.086748,42,28,1
2715.5,2469.6,4.7913,0.80628,473.73,344.53,0.093088,0.080448,42,28,1
2848.5,2602.7,4.7683,0.78327,473.73,344.53,0.093507,0.080868,138,124,1
2183.2,1937.3,4.8212,0.8362,495.26,366.06,0.10603,0.093388,42,28,1
2746,2500.1,4.6737,0.68864,495.26,366.06,0.098331,0.085692,136,122,1
2905.5,2659.6,4.7117,0.72668,473.73,344.53,0.10042,0.087777,42,28,1
2552.9,2307,4.6955,0.71043,473.73,344.53,0.11984,0.1072,43,29,1
2926.5,2680.6,4.7943,0.80925,473.73,344.53,0.10905,0.096407,44,30,1
2763.7,2517.8,4.8949,0.90983,473.73,344.53,0.086379,0.073739,46,32,1
2648.8,2402.9,4.7714,0.78632,452.2,323,0.093406,0.080766,47,33,1
2324.1,2078.2,4.7499,0.76488,452.2,323,0.10621,0.093574,48,34,1
