@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.088862,0.030645,0.03176,0.0090744,438.41,192.53,4.8316,0.83662,344.53,193.8,1
0.072162,0.013944,0.03539,0.012704,361.03,115.15,4.8061,0.81112,236.87,86.133,0
0.07028,0.012062,0.037205,0.014519,287.23,41.352,4.8271,0.8322,129.2,0,0
0.079306,0.021088,0.03539,0.012704,391.86,145.98,4.5488,0.55385,409.13,279.93,0
0.085097,0.026879,0.028131,0.0054446,494.51,248.63,4.4704,0.47541,409.13,279.93,0
0.087327,0.02911,0.019964,0,260.92,15.035,4.8067,0.81176,129.2,0,0
0.11099,0.052777,0.016334,0,598.51,352.63,4.5051,0.5102,323,193.8,0
0.16606,0.10784,0.022686,0.0063521,1357.6,1111.7,4.1814,0.18649,516.8,387.6,0
0.25277,0.19455,0.022686,0.0063521,2023,1777.1,3.985,0,516.8,387.6,0
0.29402,0.2358,0.023593,0.0072595,2760.8,2514.9,4.0556,0.070571,516.8,387.6,0
0.29637,0.23815,0.022686,0.0063521,2889.6,2643.8,4.1077,0.12266,538.33,409.13,0
0.33279,0.27457,0.022686,0.0063521,3050.3,2804.4,4.067,0.081961,538.33,409.13,0
0.35291,0.29469,0.023593,0.0072595,3213,2967.1,4.0665,0.081419,538.33,409.13,0
0.34891,0.2907,0.022686,0.0063521,3355.2,3109.3,4.1111,0.12606,516.8,387.6,0
0.3235,0.26528,0.023593,0.0072595,3396.6,3150.7,4.1539,0.16882,516.8,387.6,0
0.24768,0.18946,0.027223,0.010889,2200.2,1954.3,4.4357,0.45066,516.8,387.6,0
0.24377,0.18555,0.025408,0.0090744,2356.1,2110.2,4.3797,0.3947,495.26,366.06,0
0.25229,0.19407,0.023593,0.0072595,2784,2538.1,4.3152,0.33013,495.26,366.06,0
0.22009,0.16187,0.020871,0.0045372,1789.4,1543.6,4.4477,0.4627,215.33,86.133,0
0.25142,0.1932,0.023593,0.0072595,2281,2035.1,4.2209,0.23587,409.13,279.93,0
0.24207,0.18385,0.034483,0.018149,2343.6,2097.7,4.3532,0.36813,387.6,258.4,0
0.19044,0.13223,0.032668,0.016334,1890.4,1644.5,4.1514,0.16637,495.26,366.06,0
0.16196,0.10374,0.022686,0.0063521,1067.5,821.61,4.4716,0.48654,473.73,344.53,0
0.11591,0.057691,0.034483,0.018149,819.77,573.89,4.5391,0.55409,516.8,387.6,0
0.11055,0.052328,0.040835,0.024501,948.91,703.03,4.6188,0.63375,516.8,387.6,0
0.11565,0.057435,0.03176,0.015426,647.31,401.43,4.8599,0.87488,409.13,279.93,0
0.091342,0.033125,0.026316,0.0099819,569.05,323.16,4.9818,0.99673,366.06,236.87,1
0.12037,0.062154,0.024501,0.008167,1139.8,893.88,4.881,0.89592,538.33,409.13,1
0.15569,0.097469,0.034483,0.018149,1197.9,951.99,4.8641,0.87906,473.73,344.53,1
0.18298,0.12476,0.043557,0.027223,2007.9,1762,4.851,0.86596,473.73,344.53,1
0.21113,0.15291,0.04265,0.026316,2255.2,2009.4,4.8055,0.82045,473.73,344.53,1
0.23747,0.17926,0.03539,0.019056,2072.8,1826.9,4.782,0.79692,473.73,344.53,1
0.24487,0.18665,0.03902,0.022686,2851.9,2606.1,4.7769,0.79181,495.26,366.06,1
0.25442,0.1962,0.044465,0.028131,3087.9,2842,4.8614,0.87631,495.26,366.06,1
0.24806,0.18984,0.046279,0.029946,3196.8,2950.9,4.7582,0.7732,495.26,366.06,1
0.24317,0.18495,0.043557,0.027223,2815.7,2569.9,4.7679,0.78289,495.26,366.06,1
0.24163,0.18341,0.043557,0.027223,2391,2145.1,4.8139,0.82887,495.26,366.06,1
0.2268,0.16858,0.049909,0.033575,2249.1,2003.2,4.8205,0.83543,495.26,366.06,1
