@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R4

@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
0.001904,0.000261,7,0
0.001535,0,28,0
0.001767,0.000232,106,0
0.001885,0.000349,42,0
0.001418,0,61,0
0.001272,0,45,0
0.001234,0,26,0
0.001563,0.000329,96,0
0.001263,0.000028,116,0
0.001201,0,111,0
0.001441,0.000241,60,0
0.000975,0,60,0
0.001341,0.000366,66,0
0.001036,0.000061,65,0
0.001232,0.000257,89,0
0.001226,0.000251,42,0
0.001204,0.000229,35,0
0.00191,0.000935,106,0
0.001506,0.000531,65,0
0.002659,0.001684,62,0
0.002782,0.001808,58,0
0.002351,0.001376,67,0
0.002384,0.001409,117,0
0.002397,0.001422,21,0
0.00258,0.001605,73,0
0.002477,0.001503,68,0
0.003039,0.002064,59,0
0.004432,0.003457,36,0
0.004329,0.003354,60,0
0.002582,0.001608,148,0
0.002353,0.001378,108,0
0.002297,0.001322,94,0
0.003185,0.00221,56,0
0.001415,0.00044,50,0
0.001213,0.000238,114,0
0.001019,0.000044,67,0
0.001565,0.000591,88,0
0.001142,0.000167,89,0
0.000948,0,105,0
0.000745,0,41,0
0.001314,0.00057,33,0
0.002442,0.001698,32,0
0.002252,0.001507,33,0
0.001884,0.00114,37,0
0.001137,0.000392,44,0
0.001497,0.000753,42,0
0.002401,0.001657,114,0
0.00164,0.000895,105,0
0.001369,0.000625,130,0
0.001959,0.001214,124,0
0.001833,0.001089,89,0
0.00103,0.000286,117,0
0.001438,0.000694,137,0
0.001074,0.000329,149,0
0.001028,0.000283,43,0
0.000755,0.000011,131,0
0.000711,0,110,0
0.001363,0.000653,142,0
0.001166,0.000456,120,0
0.001372,0.000661,139,0
0.001007,0.000297,40,0
0.00119,0.000479,81,0
0.001349,0.000639,153,0
0.000941,0.00023,114,0
0.00073,0.00002,76,0
0.001598,0.000887,28,0
0.001012,0.000301,80,0
0.001027,0.000316,141,0
0.000827,0.000117,127,0
0.000869,0.000158,57,0
0.002576,0.001866,123,0
0.002667,0.001956,57,0
0.002965,0.002254,56,0
0.002001,0.00129,105,0
0.002262,0.001551,72,0
0.002014,0.001304,57,0
0.000971,0.000261,74,0
0.00191,0.0012,117,0
0.00243,0.001719,38,0
0.001323,0.000613,38,0
0.001308,0.000598,71,0
0.00107,0.00036,43,0
0.000663,0,61,0
0.000933,0.00027,63,0
0.001046,0.000383,105,0
0.001433,0.000771,108,0
0.001825,0.001162,76,0
0.002098,0.001435,42,0
0.002011,0.001349,42,0
0.001263,0.0006,46,0
0.001267,0.000604,87,0
0.001597,0.000934,41,0
0.002084,0.001421,116,0
0.001358,0.000695,47,0
0.001552,0.000889,48,0
0.00129,0.000627,92,0
0.001305,0.000642,104,0
0.004705,0.004042,105,0
0.003722,0.003059,42,0
0.003968,0.003306,51,0
0.003573,0.00291,69,0
0.002724,0.002061,46,0
0.002648,0.001985,72,0
0.001716,0.001054,98,0
0.003616,0.002953,115,0
0.004615,0.003952,26,0
0.00398,0.003317,51,0
0.002926,0.002263,15,0
0.003907,0.003245,30,0
0.00525,0.004587,141,0
0.004473,0.00381,64,0
0.002837,0.002174,45,0
0.003546,0.002884,131,0
0.00235,0.001687,45,0
0.002449,0.001786,61,0
0.003911,0.003249,136,0
0.006805,0.006142,128,0
0.007735,0.007072,61,0
0.009698,0.009035,72,0
0.011915,0.011252,65,0
0.009702,0.009039,120,0
0.010729,0.010066,38,0
0.012497,0.011834,55,0
0.01236,0.011697,82,0
0.010309,0.009646,54,0
0.011816,0.011153,54,0
0.009369,0.008706,57,0
0.008021,0.007358,100,0
0.005584,0.004921,110,0
0.004232,0.003569,40,0
0.003778,0.003115,52,0
0.004453,0.00379,51,0
0.003054,0.002391,53,0
0.002987,0.002324,51,0
0.004477,0.003814,52,0
0.010494,0.009831,18,0
0.013976,0.013313,72,0
0.012426,0.011763,19,0
0.012081,0.011418,120,0
0.015167,0.014504,121,0
0.018132,0.017469,6,0
0.017599,0.016936,95,0
0.011569,0.010906,20,0
0.00818,0.007517,60,0
0.00527,0.004607,40,0
0.004312,0.003649,43,0
0.002095,0.001432,160,0
0.0023,0.001637,43,0
0.003378,0.002715,79,0
0.002555,0.001892,127,0
0.017645,0.016982,82,1
0.032325,0.031662,111,1
0.060562,0.0599,123,1
0.04315,0.042487,108,1
0.046361,0.045698,88,1
0.047623,0.04696,65,1
0.075471,0.074808,59,1
0.10072,0.10006,53,1
0.10214,0.10148,50,1
0.095733,0.09507,49,1
0.098613,0.09795,49,1
0.098951,0.098288,49,1
0.10526,0.1046,50,1
0.10059,0.099923,52,1
0.10098,0.10031,53,1
0.088955,0.088292,57,1
0.092101,0.091438,60,1
0.087283,0.08662,64,1
0.085024,0.084362,69,1
0.077359,0.076696,72,1
0.076585,0.075922,78,1
0.076085,0.075422,85,1
0.078603,0.07794,88,1
0.052956,0.052294,98,1
0.054415,0.053752,109,1
0.044448,0.043786,122,1
0.056596,0.055933,130,1
0.055392,0.054729,141,1
0.062906,0.062243,142,1
0.056453,0.05579,144,1
0.048973,0.04831,140,1
0.020853,0.02019,52,1
0.026944,0.026281,145,1
0.047087,0.046424,145,1
0.047673,0.04701,141,1
0.058909,0.058246,136,1
0.063903,0.06324,135,1
0.069316,0.068653,134,1
0.064541,0.063878,134,1
0.066307,0.065644,130,1
0.079049,0.078386,127,1
0.072415,0.071752,125,1
0.068207,0.067544,124,1
0.078116,0.077453,121,1
0.074289,0.073626,120,1
0.06648,0.065817,116,1
0.075581,0.074919,119,1
0.031954,0.031291,111,1
0.030536,0.029873,74,1
0.048143,0.047481,43,1
0.063786,0.063123,34,1
0.090003,0.08934,34,1
0.064187,0.063524,34,1
0.075114,0.074451,28,1
0.083355,0.082692,25,1
0.081932,0.081269,103,1
0.096418,0.095755,24,1
0.097769,0.097106,26,1
0.1401,0.13944,28,1
0.14708,0.14642,29,1
0.15262,0.15196,31,1
0.12152,0.12086,34,1
0.12366,0.12299,36,1
0.12672,0.12606,38,1
0.11302,0.11236,39,1
0.1114,0.11073,41,1
0.11408,0.11341,44,1
0.1223,0.12163,46,1
0.11603,0.11537,46,1
0.11569,0.11503,46,1
0.11817,0.11751,46,1
0.11852,0.11785,46,1
0.12309,0.12242,46,1
0.12264,0.12198,47,1
0.11788,0.11721,48,1
0.11416,0.11349,48,1
0.11477,0.11411,49,1
0.11174,0.11108,49,1
0.11521,0.11455,48,1
0.10694,0.10628,48,1
0.090169,0.089506,48,1
0.12148,0.12082,46,1
0.12014,0.11948,45,1
0.11981,0.11915,44,1
0.12307,0.12241,45,1
0.12244,0.12178,44,1
0.11546,0.1148,43,1
0.12119,0.12053,41,1
0.11622,0.11556,40,1
0.12915,0.12849,40,1
0.13255,0.13189,40,1
0.13265,0.13199,39,1
0.13875,0.13809,38,1
0.13959,0.13892,37,1
0.13082,0.13016,36,1
0.1302,0.12954,35,1
0.13219,0.13153,35,1
0.1218,0.12114,35,1
0.12281,0.12215,35,1
0.13321,0.13255,35,1
0.13186,0.13119,35,1
0.12656,0.1259,36,1
0.1225,0.12184,36,1
0.11781,0.11715,36,1
0.11576,0.1151,37,1
0.11438,0.11372,37,1
0.1227,0.12204,38,1
0.1282,0.12754,39,1
0.11831,0.11765,40,1
0.10709,0.10642,41,1
0.098702,0.098039,41,1
0.10012,0.099459,40,1
0.094929,0.094266,40,1
0.088817,0.088154,41,1
0.10369,0.10303,43,1
0.085311,0.084648,45,1
0.060695,0.060032,48,1
0.045291,0.044628,52,1
0.030322,0.029659,52,1
0.016236,0.015573,52,1
0.016478,0.015815,44,1
0.013512,0.012849,48,0
0.005491,0.004828,51,0
0.007272,0.006609,36,0
0.003427,0.002764,44,0
0.005001,0.004338,37,0
0.003984,0.003321,76,0
0.00273,0.002067,12,0
0.004642,0.003979,35,0
0.00364,0.002977,52,0
0.003074,0.002411,31,0
0.003338,0.002675,94,0
0.003369,0.002706,71,0
0.003121,0.002458,12,0
0.005017,0.004354,64,0
0.002658,0.001995,91,0
0.002598,0.001935,139,0
0.002452,0.001789,70,0
0.00234,0.001678,94,0
0.002617,0.001954,86,0
0.003258,0.002595,26,0
0.002816,0.002153,61,0
0.002528,0.001865,27,0
0.003567,0.002904,20,0
0.004179,0.003516,51,0
0.003513,0.00285,73,0
0.00312,0.002457,78,0
0.009692,0.009029,14,0
0.007483,0.00682,14,0
0.005336,0.004674,124,0
0.00643,0.005767,55,0
0.00888,0.008217,54,0
0.004866,0.004204,124,0
0.006254,0.005591,55,0
0.005475,0.004812,55,0
0.008793,0.00813,60,0
0.008492,0.007829,62,0
0.007603,0.00694,60,0
0.008255,0.007592,60,0
0.009426,0.008763,14,0
0.009568,0.008905,12,0
0.010192,0.009529,56,0
0.011502,0.010839,140,0
0.00931,0.008647,14,0
0.009179,0.008516,14,0
0.011536,0.010873,56,0
0.010998,0.010335,15,0
0.015999,0.015336,54,0
0.008955,0.008292,54,0
0.008771,0.008108,57,0
0.008798,0.008135,56,0
0.007528,0.006865,54,0
0.013529,0.012595,12,1
0.027956,0.02691,125,1
0.060208,0.058946,41,1
0.077998,0.076735,38,1
0.046671,0.045408,36,1
0.044712,0.04345,129,1
0.029566,0.028303,26,1
0.039907,0.03864,112,1
0.10997,0.10868,33,1
0.16807,0.16678,33,1
0.11808,0.11679,37,1
0.066725,0.065435,48,1
0.052503,0.051213,62,1
0.030336,0.029031,86,1
0.027258,0.025542,153,1
0.011208,0.009492,25,1
0.01041,0.008693,120,1
0.008648,0.006931,44,0
0.005355,0.003638,45,0
0.003819,0.002103,67,0
0.003215,0.001499,65,0
0.002751,0.000656,129,0
0.002671,0.000576,129,0
0.001862,0,34,0
0.001946,0.000084,57,0
