@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11591,0.057691,0.034483,0.018149,0.027812,0.015173,24,10,0
0.11055,0.052328,0.040835,0.024501,0.029281,0.016642,22,8,0
0.11565,0.057435,0.03176,0.015426,0.028426,0.015787,44,30,0
0.091342,0.033125,0.026316,0.0099819,0.026193,0.013553,93,79,1
0.12037,0.062154,0.024501,0.008167,0.026089,0.01345,40,26,1
0.15569,0.097469,0.034483,0.018149,0.053777,0.041138,42,28,1
0.18298,0.12476,0.043557,0.027223,0.064911,0.052272,44,30,1
0.21113,0.15291,0.04265,0.026316,0.07874,0.066101,44,30,1
0.23747,0.17926,0.03539,0.019056,0.094455,0.081816,44,30,1
0.24487,0.18665,0.03902,0.022686,0.09765,0.085011,42,28,1
0.25442,0.1962,0.044465,0.028131,0.090566,0.077927,41,27,1
0.24806,0.18984,0.046279,0.029946,0.10189,0.089247,41,27,1
0.24317,0.18495,0.043557,0.027223,0.098611,0.085972,41,27,1
0.24163,0.18341,0.043557,0.027223,0.092254,0.079615,41,27,1
0.2268,0.16858,0.049909,0.033575,0.099445,0.086806,42,28,1
0.24407,0.18585,0.04265,0.026316,0.090608,0.077969,42,28,1
0.2386,0.18038,0.047187,0.030853,0.089829,0.07719,42,28,1
0.22836,0.17014,0.052632,0.036298,0.099387,0.086748,42,28,1
0.24039,0.18217,0.043557,0.027223,0.093088,0.080448,42,28,1
0.24667,0.18845,0.040835,0.024501,0.093507,0.080868,138,124,1
0.24038,0.18216,0.04265,0.026316,0.10603,0.093388,42,28,1
0.25487,0.19665,0.039927,0.023593,0.098331,0.085692,136,122,1
0.25877,0.20056,0.048094,0.03176,0.10042,0.087777,42,28,1
0.25423,0.19602,0.054446,0.038113,0.11984,0.1072,43,29,1
0.26343,0.20521,0.044465,0.028131,0.10905,0.096407,44,30,1
0.23745,0.17923,0.04265,0.026316,0.086379,0.073739,46,32,1
0.22571,0.16749,0.039927,0.023593,0.093406,0.080766,47,33,1
0.21536,0.15714,0.049002,0.032668,0.10621,0.093574,48,34,1
0.19184,0.13362,0.069873,0.053539,0.11003,0.097386,48,34,1
0.17646,0.11824,0.07441,0.058076,0.087112,0.074473,49,35,1
0.16137,0.10316,0.072595,0.056261,0.089314,0.076675,49,35,1
0.15859,0.10038,0.078947,0.062613,0.098802,0.086163,49,35,1
0.17088,0.11266,0.072595,0.056261,0.091441,0.078801,50,36,1
0.16837,0.11015,0.065336,0.049002,0.10199,0.089346,49,35,1
0.16755,0.10933,0.058984,0.04265,0.11881,0.10617,49,35,1
0.19109,0.13287,0.048094,0.03176,0.11673,0.10409,48,34,1
0.20143,0.14321,0.050817,0.034483,0.099519,0.08688,47,33,1
0.20957,0.15135,0.058076,0.041742,0.10942,0.096777,48,34,1
0.20323,0.14501,0.058076,0.041742,0.11367,0.10103,48,34,1
0.18958,0.13137,0.056261,0.039927,0.1064,0.093758,47,33,1
0.18657,0.12835,0.059891,0.043557,0.11067,0.098027,46,32,1
0.19379,0.13557,0.051724,0.03539,0.11201,0.099367,45,31,1
0.20511,0.14689,0.044465,0.028131,0.1114,0.098766,46,32,1
0.19721,0.13899,0.058076,0.041742,0.10362,0.090984,46,32,1
0.20312,0.1449,0.067151,0.050817,0.10442,0.091782,46,32,1
0.20671,0.14849,0.07078,0.054446,0.10082,0.08818,146,132,1
0.1949,0.13668,0.076225,0.059891,0.10031,0.08767,48,34,1
0.18474,0.12653,0.073503,0.057169,0.10065,0.088008,49,35,1
0.16835,0.11013,0.071688,0.055354,0.10364,0.090999,50,36,1
0.1668,0.10859,0.062613,0.046279,0.11029,0.097646,51,37,1
0.17122,0.113,0.054446,0.038113,0.088861,0.076222,52,38,1
0.17394,0.11572,0.049909,0.033575,0.084094,0.071455,52,38,1
0.1802,0.12198,0.060799,0.044465,0.097834,0.085194,51,37,1
0.18469,0.12647,0.07078,0.054446,0.098555,0.085915,52,38,1
0.18074,0.12252,0.064428,0.048094,0.10418,0.091546,51,37,1
0.17445,0.11624,0.062613,0.046279,0.10159,0.088952,51,37,1
0.17525,0.11704,0.056261,0.039927,0.10507,0.092429,51,37,1
0.17607,0.11785,0.058076,0.041742,0.099936,0.087297,50,36,1
0.1764,0.11818,0.066243,0.049909,0.089372,0.076733,49,35,1
0.18529,0.12707,0.057169,0.040835,0.096412,0.083773,49,35,1
0.1837,0.12548,0.053539,0.037205,0.097633,0.084994,48,34,1
0.18332,0.1251,0.058076,0.041742,0.10354,0.090897,48,34,1
0.19218,0.13397,0.059891,0.043557,0.11843,0.10579,48,34,1
0.2045,0.14628,0.061706,0.045372,0.12357,0.11094,47,33,1
0.23185,0.17363,0.057169,0.040835,0.11775,0.10511,45,31,1
0.25353,0.19531,0.051724,0.03539,0.11941,0.10677,43,29,1
0.25378,0.19556,0.054446,0.038113,0.087198,0.074559,44,30,1
0.24708,0.18886,0.062613,0.046279,0.10496,0.092319,44,30,1
0.25483,0.19662,0.059891,0.043557,0.12098,0.10834,43,29,1
0.26437,0.20615,0.053539,0.037205,0.10979,0.097147,43,29,1
0.26602,0.2078,0.049002,0.032668,0.11439,0.10175,42,28,1
0.26825,0.21003,0.044465,0.028131,0.098148,0.085509,41,27,1
0.27267,0.21445,0.034483,0.018149,0.086512,0.073873,41,27,1
0.28059,0.22238,0.032668,0.016334,0.098607,0.085968,40,26,1
0.29587,0.23765,0.028131,0.011797,0.10978,0.097142,40,26,1
0.28608,0.22786,0.026316,0.0099819,0.086863,0.074224,41,27,1
0.2582,0.19998,0.036298,0.019964,0.079824,0.067185,42,28,1
0.25339,0.19517,0.03902,0.022686,0.088981,0.076341,136,122,1
0.27059,0.21238,0.040835,0.024501,0.093086,0.080447,42,28,1
0.28127,0.22305,0.043557,0.027223,0.082929,0.07029,42,28,1
