@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.038307,0.025667,96,82,1
0.03334,0.020701,34,20,1
0.035051,0.022412,41,27,1
0.039125,0.026485,70,56,1
0.033799,0.02116,69,55,1
0.022218,0.0095793,33,19,1
0.022922,0.010283,62,48,1
0.0326,0.019961,37,23,1
0.021399,0.0087601,70,56,1
0.025555,0.012915,158,144,0
0.018652,0.0060126,88,74,0
0.021748,0.0091089,65,51,0
0.017957,0.0053181,72,58,0
0.016843,0.0042041,128,114,0
0.014074,0.0014345,113,99,0
0.014579,0.0019398,55,41,0
0.020201,0.0075618,35,21,0
0.013439,0.00079951,113,99,0
0.014867,0.0022275,85,71,0
0.013112,0.00047238,90,76,0
0.010079,0,98,84,0
0.011402,0.0013227,80,66,0
0.013918,0.0038388,109,95,0
0.014831,0.0047517,46,32,0
0.018962,0.0088826,34,20,0
0.017049,0.0069695,48,34,0
0.0147,0.0046211,21,7,0
0.015349,0.0052697,146,132,0
0.021421,0.011342,96,82,0
0.022196,0.012117,109,95,0
0.01938,0.0093009,111,97,0
0.015021,0.0049421,115,101,0
0.011132,0.0010529,15,1,0
0.014413,0.0043338,106,92,0
0.017243,0.007164,37,23,0
0.016058,0.0059793,37,23,0
0.016637,0.0065576,89,75,0
0.023924,0.013845,60,46,0
0.019982,0.0099025,33,19,0
0.021298,0.011219,34,20,0
0.020463,0.010384,104,90,0
0.033322,0.023243,51,37,0
0.026366,0.016287,63,49,0
0.026088,0.016009,63,49,0
0.036335,0.026255,60,46,0
0.024501,0.014422,66,52,0
0.022263,0.012184,62,48,0
0.024319,0.014239,119,105,0
0.022591,0.012512,65,51,0
0.032781,0.022702,62,48,0
0.022082,0.012003,118,104,0
0.025485,0.015406,64,50,0
0.017104,0.0070249,67,52,0
0.026131,0.016052,122,107,0
0.018979,0.0088997,128,113,0
0.021872,0.011793,76,61,0
0.028615,0.018536,62,47,0
0.030667,0.020588,52,37,0
0.026741,0.016661,76,61,0
0.022931,0.012851,118,103,0
0.027719,0.01764,117,102,0
0.029639,0.01956,33,18,0
0.031439,0.02136,50,35,0
0.025542,0.015463,116,101,0
0.023346,0.013267,120,105,0
0.021247,0.011168,72,57,0
0.016367,0.0062875,73,58,0
0.028103,0.018024,86,71,0
0.025929,0.01585,113,98,0
0.024611,0.014532,39,24,0
0.02483,0.01475,46,31,0
0.030546,0.020467,45,30,0
0.030938,0.020859,31,16,0
0.034875,0.024796,39,24,0
0.026047,0.015968,23,8,0
0.025289,0.01521,64,49,0
0.02135,0.011271,45,30,0
0.02463,0.014551,136,121,0
0.027137,0.017058,35,20,0
0.023033,0.012954,133,118,0
0.020297,0.010218,40,25,0
0.017095,0.0070164,89,74,0
0.021307,0.011228,56,41,0
0.02351,0.013431,47,32,0
0.038398,0.028319,43,28,0
0.026706,0.016627,15,0,0
0.020709,0.01063,84,69,0
0.019039,0.0089603,51,36,0
0.032494,0.022414,70,55,0
0.034396,0.024317,53,38,0
0.028278,0.018199,16,1,0
0.026808,0.016729,40,25,0
0.037687,0.027608,40,25,0
0.032175,0.022095,72,57,0
0.033827,0.023748,33,18,0
0.033146,0.023067,74,59,0
0.036401,0.026322,75,60,0
0.032897,0.022818,22,7,0
0.02927,0.019191,13,0,0
0.01854,0.0084608,36,23,0
0.023659,0.01358,76,63,0
0.02017,0.010091,39,26,0
0.025628,0.015549,50,37,0
0.024438,0.014359,125,112,0
0.034785,0.024706,135,122,0
0.026459,0.01638,9,0,0
0.019926,0.0098473,9,0,0
0.038867,0.028788,33,24,0
0.027874,0.017795,128,119,0
0.025273,0.015194,60,51,0
0.023038,0.012959,76,67,0
0.016881,0.0068022,113,104,0
0.01899,0.0089111,58,49,0
0.028166,0.018087,37,28,0
0.029503,0.019424,52,43,0
0.014712,0.0046331,39,30,0
0.02059,0.010511,83,74,0
0.022705,0.012626,46,37,0
0.022512,0.012433,56,47,0
0.019929,0.0098495,111,102,0
0.02157,0.011491,82,73,0
0.01914,0.0090605,75,66,0
0.014572,0.0044931,58,49,0
0.023345,0.013266,70,61,0
0.014508,0.0044287,45,36,0
0.025698,0.015619,74,65,0
0.028928,0.018849,40,31,0
0.022441,0.012362,113,104,0
0.022856,0.012777,142,133,0
0.020889,0.01081,38,29,0
0.027445,0.017366,41,32,0
0.022916,0.012837,40,31,0
0.019146,0.0090672,104,95,0
0.027486,0.017407,37,28,0
0.024,0.013921,54,45,0
0.022452,0.012372,75,66,0
0.020665,0.010586,87,78,0
0.014232,0.004153,81,72,0
0.017663,0.007584,48,39,0
0.015758,0.0056791,22,13,0
0.022077,0.011997,51,42,0
0.02751,0.017431,144,135,0
0.018633,0.0085544,143,134,0
0.021257,0.011178,44,35,0
0.027821,0.017742,51,42,0
0.0273,0.017221,53,44,0
0.020672,0.010593,18,9,0
0.017781,0.0077022,43,34,0
0.02097,0.010891,54,45,0
0.020224,0.010144,85,76,0
0.023574,0.013494,72,63,0
0.024652,0.014572,102,93,0
0.016047,0.0059681,52,43,0
0.020734,0.010655,115,106,0
0.025192,0.015113,76,67,0
0.023945,0.013866,23,14,0
0.019647,0.0095681,24,15,0
0.017469,0.0073899,71,62,0
0.022787,0.012707,25,16,0
0.023155,0.013076,91,82,0
0.03333,0.023251,25,16,0
0.025486,0.015407,34,25,0
0.025242,0.015162,47,38,0
0.025345,0.015266,25,16,0
0.023189,0.01311,47,38,0
0.030742,0.020663,47,38,0
0.031758,0.021679,72,63,0
0.024737,0.014658,47,38,0
0.032719,0.02264,59,50,0
0.025481,0.015402,50,41,0
0.028963,0.018884,49,40,0
0.033638,0.023559,29,20,0
0.025968,0.015888,60,51,0
0.025183,0.015104,136,127,0
0.021412,0.011333,21,12,0
0.02397,0.01389,69,60,0
0.021646,0.011567,43,34,0
0.038232,0.028153,73,64,0
0.038016,0.027937,76,67,0
0.024798,0.014719,149,140,0
0.027571,0.017492,54,45,0
0.032905,0.022826,125,116,1
0.024066,0.013987,119,110,1
0.039923,0.029844,121,112,1
0.032121,0.022041,107,98,1
0.030266,0.020187,7,0,1
0.031588,0.021509,67,60,1
0.04473,0.03465,59,52,1
0.061974,0.051895,53,46,1
0.063747,0.053668,49,42,1
0.062149,0.05207,49,42,1
0.066361,0.056282,49,42,1
0.060802,0.050723,49,42,1
0.068744,0.058665,50,43,1
0.060773,0.050694,51,44,1
0.059684,0.049605,53,46,1
0.057716,0.047637,58,51,1
0.041853,0.031774,59,52,1
0.045215,0.035136,65,58,1
0.034559,0.02448,53,46,1
0.035266,0.025187,72,65,1
0.039651,0.029572,77,70,1
0.043545,0.033466,85,78,1
0.040551,0.030472,89,82,1
0.033655,0.023575,95,88,1
0.041851,0.031772,40,33,1
0.031399,0.021319,121,114,1
0.026862,0.016783,33,26,1
0.02677,0.016691,67,60,1
0.031584,0.021505,25,18,1
0.031916,0.021837,34,27,1
0.033754,0.023675,140,133,1
0.022381,0.012302,17,10,1
0.022799,0.012719,86,79,1
0.026819,0.01674,45,38,1
0.022764,0.012685,141,134,1
0.031929,0.02185,95,88,1
0.031774,0.021695,137,130,1
0.032431,0.022352,134,127,1
0.027318,0.017239,33,26,1
0.032052,0.021972,92,85,1
0.028667,0.018588,32,25,1
0.030287,0.020208,123,116,1
0.032638,0.022559,124,117,1
0.037631,0.027552,120,113,1
0.041405,0.031326,120,113,1
0.04012,0.030041,114,107,1
0.035468,0.025389,121,114,1
0.029727,0.019648,117,110,1
0.032059,0.02198,74,67,1
0.034208,0.024129,51,44,1
0.064376,0.054297,124,117,1
0.061555,0.051476,34,27,1
0.058368,0.048289,34,27,1
0.063298,0.053219,28,21,1
0.086384,0.076305,25,18,1
0.070891,0.060812,23,16,1
0.080217,0.070137,24,17,1
0.083978,0.073898,26,19,1
0.082346,0.072267,110,103,1
0.093249,0.08317,29,22,1
0.10328,0.093202,31,24,1
0.087464,0.077384,34,27,1
0.08672,0.07664,36,29,1
0.083413,0.073334,38,31,1
0.070429,0.06035,39,32,1
0.067607,0.057528,41,34,1
0.075755,0.065676,44,37,1
0.073485,0.063406,46,39,1
0.054302,0.044223,46,39,1
0.070555,0.060476,46,39,1
0.071352,0.061272,46,39,1
0.063252,0.053173,45,38,1
0.073034,0.062955,46,39,1
