@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11055,0.052328,0.040835,0.024501,1.0042,0.95756,2,1,0
0.11565,0.057435,0.03176,0.015426,0.62014,0.57346,2,1,0
0.091342,0.033125,0.026316,0.0099819,0.55381,0.50713,4,3,1
0.12037,0.062154,0.024501,0.008167,0.72662,0.67994,2,1,1
0.15569,0.097469,0.034483,0.018149,1.0866,1.04,2,1,1
0.18298,0.12476,0.043557,0.027223,1.3498,1.3031,2,1,1
0.21113,0.15291,0.04265,0.026316,1.4008,1.3541,2,1,1
0.23747,0.17926,0.03539,0.019056,1.3727,1.326,2,1,1
0.24487,0.18665,0.03902,0.022686,1.4234,1.3768,2,1,1
0.25442,0.1962,0.044465,0.028131,1.1361,1.0894,2,1,1
0.24806,0.18984,0.046279,0.029946,1.1583,1.1116,3,2,1
0.24317,0.18495,0.043557,0.027223,1.2719,1.2252,2,1,1
0.24163,0.18341,0.043557,0.027223,1.2975,1.2508,2,1,1
0.2268,0.16858,0.049909,0.033575,1.2783,1.2317,3,2,1
0.24407,0.18585,0.04265,0.026316,1.4635,1.4168,2,1,1
0.2386,0.18038,0.047187,0.030853,1.3221,1.2754,3,2,1
0.22836,0.17014,0.052632,0.036298,1.3533,1.3066,6,5,1
0.24039,0.18217,0.043557,0.027223,1.372,1.3253,3,2,1
0.24667,0.18845,0.040835,0.024501,1.4308,1.3841,2,1,1
0.24038,0.18216,0.04265,0.026316,1.4108,1.3642,2,1,1
0.25487,0.19665,0.039927,0.023593,1.4122,1.3655,2,1,1
0.25877,0.20056,0.048094,0.03176,1.391,1.3443,2,1,1
0.25423,0.19602,0.054446,0.038113,1.3197,1.273,2,1,1
0.26343,0.20521,0.044465,0.028131,1.3851,1.3384,2,1,1
0.23745,0.17923,0.04265,0.026316,1.1411,1.0944,2,1,1
0.22571,0.16749,0.039927,0.023593,1.1409,1.0942,2,1,1
0.21536,0.15714,0.049002,0.032668,1.3063,1.2596,2,1,1
0.19184,0.13362,0.069873,0.053539,1.1929,1.1463,6,5,1
0.17646,0.11824,0.07441,0.058076,1.1775,1.1308,11,10,1
0.16137,0.10316,0.072595,0.056261,1.134,1.0873,13,12,1
0.15859,0.10038,0.078947,0.062613,1.1721,1.1254,14,13,1
0.17088,0.11266,0.072595,0.056261,1.2189,1.1723,11,10,1
0.16837,0.11015,0.065336,0.049002,1.3652,1.3186,9,8,1
0.16755,0.10933,0.058984,0.04265,1.2293,1.1826,9,8,1
0.19109,0.13287,0.048094,0.03176,1.3701,1.3234,2,1,1
0.20143,0.14321,0.050817,0.034483,1.3314,1.2847,2,1,1
0.20957,0.15135,0.058076,0.041742,1.0897,1.043,3,2,1
0.20323,0.14501,0.058076,0.041742,1.0055,0.95886,6,5,1
0.18958,0.13137,0.056261,0.039927,1.0742,1.0276,7,6,1
0.18657,0.12835,0.059891,0.043557,1.3177,1.271,3,2,1
0.19379,0.13557,0.051724,0.03539,1.3845,1.3378,2,1,1
0.20511,0.14689,0.044465,0.028131,1.4551,1.4084,2,1,1
0.19721,0.13899,0.058076,0.041742,1.3839,1.3373,3,2,1
0.20312,0.1449,0.067151,0.050817,1.3852,1.3385,5,4,1
0.20671,0.14849,0.07078,0.054446,1.373,1.3263,4,3,1
0.1949,0.13668,0.076225,0.059891,1.2892,1.2425,9,8,1
0.18474,0.12653,0.073503,0.057169,1.0421,0.99544,6,5,1
0.16835,0.11013,0.071688,0.055354,0.85428,0.80759,5,4,1
0.1668,0.10859,0.062613,0.046279,0.90963,0.86295,5,4,1
0.17122,0.113,0.054446,0.038113,0.91465,0.86797,5,4,1
0.17394,0.11572,0.049909,0.033575,0.86805,0.82137,5,4,1
0.1802,0.12198,0.060799,0.044465,0.70706,0.66038,6,5,1
0.18469,0.12647,0.07078,0.054446,0.72198,0.6753,4,3,1
0.18074,0.12252,0.064428,0.048094,0.80526,0.75858,5,4,1
0.17445,0.11624,0.062613,0.046279,0.91701,0.87033,5,4,1
0.17525,0.11704,0.056261,0.039927,1.0521,1.0054,4,3,1
0.17607,0.11785,0.058076,0.041742,0.88274,0.83606,5,4,1
0.1764,0.11818,0.066243,0.049909,0.96175,0.91507,8,7,1
0.18529,0.12707,0.057169,0.040835,1.1931,1.1464,8,7,1
0.1837,0.12548,0.053539,0.037205,1.3451,1.2984,8,7,1
0.18332,0.1251,0.058076,0.041742,1.3774,1.3307,8,7,1
0.19218,0.13397,0.059891,0.043557,1.3384,1.2918,8,7,1
0.2045,0.14628,0.061706,0.045372,1.3558,1.3091,9,8,1
0.23185,0.17363,0.057169,0.040835,1.3813,1.3346,8,7,1
0.25353,0.19531,0.051724,0.03539,1.5344,1.4878,2,1,1
0.25378,0.19556,0.054446,0.038113,1.5545,1.5078,2,1,1
0.24708,0.18886,0.062613,0.046279,1.4966,1.45,9,8,1
0.25483,0.19662,0.059891,0.043557,1.5186,1.4719,2,1,1
0.26437,0.20615,0.053539,0.037205,1.6073,1.5606,2,1,1
0.26602,0.2078,0.049002,0.032668,1.6057,1.559,2,1,1
0.26825,0.21003,0.044465,0.028131,1.5387,1.492,2,1,1
0.27267,0.21445,0.034483,0.018149,1.4964,1.4498,2,1,1
0.28059,0.22238,0.032668,0.016334,1.5027,1.4561,2,1,1
0.29587,0.23765,0.028131,0.011797,1.478,1.4314,2,1,1
0.28608,0.22786,0.026316,0.0099819,1.4714,1.4248,2,1,1
0.2582,0.19998,0.036298,0.019964,1.3165,1.2699,2,1,1
0.25339,0.19517,0.03902,0.022686,1.3758,1.3291,2,1,1
0.27059,0.21238,0.040835,0.024501,1.37,1.3234,2,1,1
0.28127,0.22305,0.043557,0.027223,1.3264,1.2797,2,1,1
0.29366,0.23544,0.03902,0.022686,1.4111,1.3644,2,1,1
0.29319,0.23498,0.03176,0.015426,1.469,1.4223,2,1,1
0.27972,0.2215,0.03176,0.015426,1.4293,1.3827,2,1,1
0.26929,0.21107,0.03902,0.022686,1.4329,1.3862,2,1,1
0.25907,0.20086,0.036298,0.019964,1.2337,1.187,2,1,1
0.30041,0.24219,0.03902,0.022686,0.73738,0.6907,2,1,1
0.31248,0.25427,0.049002,0.032668,0.47615,0.42947,3,2,1
0.37321,0.31499,0.038113,0.021779,0.84782,0.80114,2,1,1
0.45419,0.39598,0.030853,0.014519,0.89758,0.8509,2,1,1
0.46634,0.40812,0.034483,0.018149,0.28174,0.23506,4,3,1
0.4405,0.38228,0.03539,0.019056,0.25338,0.20669,4,3,1
0.42163,0.36341,0.032668,0.016334,0.11352,0.066843,2,1,1
0.43015,0.37193,0.029038,0.012704,0.48937,0.44269,1,0,1
0.39619,0.33797,0.034483,0.018149,0.40741,0.36073,3,2,1
0.35171,0.29349,0.037205,0.020871,0.35441,0.30773,3,2,1
0.3612,0.30298,0.03176,0.015426,0.5855,0.53882,2,1,1
0.33131,0.2731,0.03176,0.015426,0.78445,0.73777,2,1,1
0.27945,0.22123,0.045372,0.029038,0.2439,0.19722,5,4,1
0.26067,0.20245,0.049002,0.032668,0.25236,0.20568,8,7,1
0.22182,0.1636,0.041742,0.025408,0.21047,0.16379,5,4,1
0.23379,0.17557,0.029038,0.012704,0.1135,0.066819,5,4,1
0.24957,0.19135,0.019964,0.0036298,0.14189,0.095208,1,0,1
0.20686,0.14864,0.029946,0.013612,0.09136,0.044678,6,5,1
0.17777,0.11956,0.03176,0.015426,0.1475,0.10082,5,4,1
0.21337,0.15516,0.026316,0.0099819,0.34301,0.29633,3,2,1
0.21095,0.15273,0.028131,0.011797,0.1016,0.054919,3,2,1
0.21216,0.15394,0.055354,0.03902,0.2731,0.22642,8,7,1
0.22761,0.1694,0.075318,0.058984,0.34397,0.29729,10,9,1
0.22586,0.16764,0.049002,0.032668,0.49771,0.45103,3,2,1
0.22126,0.16304,0.043557,0.027223,0.62844,0.58176,2,1,1
0.21018,0.15196,0.043557,0.027223,0.85266,0.80597,1,0,1
0.18751,0.1293,0.032668,0.016334,0.85817,0.81149,1,0,1
0.12706,0.068843,0.046279,0.029946,0.47974,0.43306,6,5,1
0.09912,0.040902,0.062613,0.046279,0.18673,0.14005,8,7,1
0.10979,0.051571,0.04265,0.026316,0.25973,0.21305,6,5,1
0.1136,0.055379,0.024501,0.008167,0.16867,0.12199,4,3,1
0.099355,0.041137,0.043557,0.027223,0.16793,0.12125,4,3,1
0.080206,0.021989,0.048094,0.03176,0.32632,0.27964,2,1,0
0.068927,0.01071,0.041742,0.025408,0.24895,0.20227,5,4,0
0.058401,0.00018353,0.045372,0.029038,0.088521,0.04184,6,5,0
0.057256,0,0.045372,0.029038,0.30397,0.25729,5,4,0
0.059673,0.0024166,0.040835,0.024501,0.25726,0.21058,3,2,0
0.056333,0,0.029038,0.012704,0.28844,0.24176,2,1,0
0.049991,0,0.025408,0.0090744,0.11426,0.067577,2,1,0
0.045485,0,0.034483,0.018149,0.19686,0.15018,4,3,0
0.049019,0.0035338,0.038113,0.021779,0.19457,0.14789,4,3,0
0.04193,0,0.045372,0.029038,0.29062,0.24394,4,3,0
0.031241,0,0.048094,0.03176,0.16631,0.11962,5,4,0
0.035206,0.0039653,0.045372,0.029038,0.12038,0.073696,5,4,0
0.035214,0.0039728,0.044465,0.028131,0.36809,0.3214,2,1,0
0.033634,0.0023937,0.049002,0.032668,0.24393,0.19725,3,2,0
0.034515,0.0032743,0.050817,0.034483,0.26336,0.21668,5,4,0
0.035657,0.0044165,0.043557,0.027223,0.12123,0.074544,5,4,0
0.036783,0.0055423,0.045372,0.029038,0.23442,0.18774,6,5,0
0.032765,0.0015244,0.056261,0.039927,0.12837,0.081689,6,5,0
0.032147,0.00090627,0.062613,0.046279,0.15527,0.10859,7,6,0
0.041886,0.010645,0.051724,0.03539,0.11898,0.072301,6,5,0
0.043972,0.012731,0.04265,0.026316,0.077391,0.030709,5,4,0
0.042806,0.011565,0.04265,0.026316,0.16779,0.12111,6,5,0
0.040228,0.0089868,0.056261,0.039927,0.34642,0.29974,3,2,0
0.042038,0.010797,0.053539,0.037205,0.14888,0.1022,4,3,0
0.044189,0.012948,0.04265,0.026316,0.31924,0.27256,4,3,0
0.037889,0.0066487,0.053539,0.037205,0.24592,0.19924,5,4,0
0.035848,0.0046077,0.057169,0.040835,0.18646,0.13978,7,6,0
0.039498,0.0082575,0.051724,0.03539,0.2115,0.16482,6,5,0
0.048556,0.017315,0.045372,0.029038,0.44029,0.39361,2,1,0
0.053635,0.022394,0.043557,0.027223,0.69489,0.64821,1,0,0
0.053152,0.021912,0.041742,0.025408,0.20132,0.15464,3,2,0
0.057834,0.026593,0.055354,0.03902,0.22228,0.1756,2,1,0
0.066235,0.034994,0.059891,0.043557,0.35162,0.30494,1,0,0
0.073108,0.041868,0.058076,0.041742,0.37484,0.32816,3,2,0
0.078676,0.047435,0.059891,0.043557,0.72358,0.67689,3,2,0
0.0797,0.04846,0.054446,0.038113,0.81059,0.7639,3,2,0
0.068939,0.037698,0.060799,0.044465,0.66581,0.61913,4,3,0
0.055375,0.024134,0.066243,0.049909,0.42451,0.37783,3,2,0
0.052599,0.021358,0.057169,0.040835,0.36377,0.31709,4,3,0
0.053327,0.022087,0.068058,0.051724,0.31219,0.26551,7,6,0
0.063728,0.032487,0.068966,0.052632,0.55627,0.50959,3,2,0
0.074438,0.043197,0.053539,0.037205,0.38424,0.33756,4,3,0
0.07959,0.04835,0.053539,0.037205,0.66342,0.61674,3,2,0
0.082199,0.050958,0.051724,0.03539,0.70903,0.66235,3,2,0
0.084253,0.053012,0.049909,0.033575,0.61962,0.57294,3,2,0
0.084656,0.053415,0.048094,0.03176,0.25147,0.20479,3,2,0
0.092453,0.061213,0.053539,0.037205,0.21332,0.16664,2,1,0
0.10139,0.07015,0.053539,0.037205,0.27638,0.2297,3,2,0
0.099295,0.068055,0.043557,0.027223,0.36575,0.31907,3,2,0
0.098566,0.067325,0.04265,0.026316,0.68569,0.639,3,2,0
0.099242,0.068001,0.040835,0.024501,0.80846,0.76178,3,2,0
0.097868,0.066627,0.038113,0.021779,0.73606,0.68938,2,1,0
0.10087,0.069634,0.044465,0.028131,0.54108,0.49439,2,1,0
0.0999,0.068659,0.046279,0.029946,0.63123,0.58455,2,1,0
0.10291,0.071673,0.047187,0.030853,0.75631,0.70963,3,2,0
0.10034,0.0691,0.049909,0.033575,0.20713,0.16045,5,4,0
0.091845,0.060604,0.044465,0.028131,0.23009,0.18341,5,4,0
0.090582,0.059342,0.043557,0.027223,0.37421,0.32753,2,1,0
0.086992,0.055751,0.048094,0.03176,0.22482,0.17814,6,5,0
0.1033,0.072064,0.038113,0.021779,0.34135,0.29467,4,3,0
0.13051,0.099267,0.029038,0.012704,0.80324,0.75656,2,1,0
0.1372,0.10596,0.029038,0.012704,0.8767,0.83001,2,1,0
0.16909,0.13785,0.024501,0.008167,0.80513,0.75845,2,1,0
0.23268,0.20144,0.025408,0.0090744,1.0121,0.96541,2,1,0
0.27742,0.24618,0.027223,0.010889,1.1002,1.0536,2,1,0
0.23682,0.20558,0.03176,0.015426,0.95752,0.91083,2,1,0
