@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
81.392,35.624,5.4947,0.087401,258.4,172.27,0.012501,0.0092151,15,0
81.186,35.419,5.5056,0.076452,2024.1,1938,0.011225,0.0079397,32,0
98.854,53.087,5.5974,0,193.8,107.67,0.010911,0.007625,41,0
99.925,54.157,5.6045,0,2067.2,1981.1,0.010537,0.0072515,4,0
83.651,37.883,5.4481,0.15631,2002.6,1916.5,0.014168,0.010882,58,0
93.892,48.124,5.5428,0.06169,215.33,129.2,0.016143,0.012858,34,0
93.921,48.154,5.564,0.040453,236.87,150.73,0.010786,0.0075008,20,0
77.946,32.178,5.4406,0.16387,193.8,107.67,0.0077365,0.0044509,31,0
69.372,23.604,5.5286,0.0759,129.2,43.066,0.0050428,0.0017572,60,0
56.193,10.425,5.404,0.20048,258.4,172.27,0.003457,0.00017143,137,0
45.479,0,5.3125,0.29194,236.87,150.73,0.0024863,0,134,0
38.274,0,5.3636,0.24085,387.6,301.46,0.0019944,0,85,0
39.659,1.3852,5.4497,0.15474,107.67,21.533,0.0016694,0,43,0
61.922,23.648,5.4852,0.11926,258.4,172.27,0.003069,0.0013996,141,0
82.074,43.8,5.5506,0.053902,495.26,409.13,0.0050425,0.0033731,34,0
82.836,44.562,5.4407,0.16371,538.33,452.2,0.0073867,0.0057173,30,1
883.2,844.92,4.4832,1.1213,516.8,430.66,0.030283,0.028613,42,1
1231.9,1193.6,4.2961,1.3084,495.26,409.13,0.08999,0.088321,42,1
1692.9,1654.7,4.5453,1.0592,473.73,387.6,0.087095,0.085425,43,1
1909.8,1871.5,4.5873,1.0171,473.73,387.6,0.10017,0.098501,44,1
1978.6,1940.3,4.4656,1.1388,473.73,387.6,0.1301,0.12843,44,1
2124.8,2086.5,4.476,1.1285,473.73,387.6,0.1316,0.12993,42,1
2304.5,2266.3,4.6013,1.0031,495.26,409.13,0.12319,0.12152,41,1
2281.7,2243.5,4.4307,1.1738,495.26,409.13,0.12861,0.12694,41,1
2348.4,2310.1,4.4819,1.1226,495.26,409.13,0.13812,0.13645,41,1
2334.3,2296,4.4098,1.1946,495.26,409.13,0.11315,0.11148,41,1
2343.2,2304.9,4.4951,1.1093,495.26,409.13,0.12948,0.12781,42,1
2350.6,2312.3,4.4804,1.1241,495.26,409.13,0.12365,0.12199,42,1
2366,2327.7,4.422,1.1825,495.26,409.13,0.13231,0.13065,42,1
2447.8,2409.6,4.5704,1.034,495.26,409.13,0.13398,0.13231,42,1
2404.1,2365.9,4.464,1.1405,495.26,409.13,0.12188,0.12021,137,1
2336.9,2298.6,4.434,1.1705,473.73,387.6,0.13929,0.13762,138,1
2350.8,2312.5,4.4973,1.1072,495.26,409.13,0.12914,0.12747,137,1
2309.4,2271.1,4.4008,1.2036,495.26,409.13,0.13092,0.12925,136,1
2325.5,2287.3,4.5523,1.0522,473.73,387.6,0.13526,0.13359,42,1
2257.2,2218.9,4.4563,1.1481,473.73,387.6,0.14548,0.14381,43,1
2314.2,2275.9,4.5984,1.0061,473.73,387.6,0.13352,0.13185,44,1
