@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.00751,0,0.10254,0,0.45265,0,8,0,0
0.0080354,0.0005254,0.098004,0.0045372,0.59141,0.13876,3,5,0
0.0087752,0.0012652,0.097096,0.0054446,0.55676,0.10411,7,1,0
0.010187,0.002677,0.12976,0,0.48503,0.032376,11,0,0
0.010509,0.0029987,0.16515,0,0.52677,0.074116,20,0,1
0.050137,0.042627,0.12432,0.040835,0.84675,0.3941,2,18,1
0.12549,0.11798,0.054446,0.11071,1.0195,0.56689,2,18,1
0.16054,0.15303,0.043557,0.1216,1.0426,0.58999,3,17,1
0.16062,0.15311,0.052632,0.11252,1.2993,0.84662,6,14,1
0.17314,0.16563,0.056261,0.10889,1.286,0.83336,6,14,1
0.1817,0.17419,0.059891,0.10526,1.1444,0.6918,6,14,1
0.19365,0.18614,0.069873,0.095281,1.3464,0.89374,6,14,1
0.21998,0.21247,0.083485,0.08167,1.4231,0.97049,6,14,1
0.22573,0.21822,0.092559,0.072595,1.357,0.90437,6,14,1
0.2201,0.21259,0.092559,0.072595,1.2939,0.84129,6,14,1
0.23167,0.22416,0.087114,0.07804,1.2429,0.79021,6,14,1
0.25168,0.24417,0.087114,0.07804,1.3676,0.91498,6,14,1
0.25385,0.24634,0.10436,0.060799,1.3086,0.856,6,14,1
0.264,0.25649,0.10799,0.057169,1.2571,0.8044,6,14,1
0.29419,0.28668,0.090744,0.07441,1.3607,0.9081,7,13,1
0.30447,0.29696,0.084392,0.080762,1.3965,0.94384,7,13,1
0.30349,0.29598,0.077132,0.088022,1.3961,0.94346,7,13,1
0.29497,0.28746,0.076225,0.088929,1.4051,0.95245,7,13,1
0.28445,0.27694,0.089837,0.075318,1.4392,0.9865,7,13,1
0.27865,0.27114,0.10073,0.064428,1.4393,0.98663,7,13,1
0.27298,0.26547,0.082577,0.082577,1.4142,0.96155,7,13,1
0.28062,0.27311,0.068058,0.097096,1.4544,1.0017,7,13,1
0.28573,0.27822,0.062613,0.10254,1.518,1.0653,3,17,1
0.29361,0.2861,0.057169,0.10799,1.5364,1.0837,2,18,1
0.31875,0.31124,0.049909,0.11525,1.5587,1.1061,2,18,1
0.33865,0.33114,0.029946,0.13521,1.5852,1.1326,2,18,1
0.33978,0.33227,0.03176,0.13339,1.53,1.0773,2,18,1
0.32885,0.32134,0.043557,0.1216,1.4693,1.0166,2,18,1
0.31922,0.31171,0.044465,0.12069,1.4585,1.0059,2,18,1
0.31597,0.30846,0.047187,0.11797,1.414,0.96132,2,18,1
0.32684,0.31933,0.049909,0.11525,1.3841,0.93145,2,18,1
0.35059,0.34308,0.045372,0.11978,1.4741,1.0214,2,18,1
0.36701,0.3595,0.043557,0.1216,1.5245,1.0718,2,18,1
0.37725,0.36974,0.044465,0.12069,1.5479,1.0953,2,18,1
0.38641,0.3789,0.046279,0.11887,1.572,1.1194,2,18,1
0.3928,0.38529,0.046279,0.11887,1.575,1.1223,2,18,1
0.406,0.39849,0.033575,0.13158,1.5859,1.1333,2,18,1
0.41429,0.40678,0.024501,0.14065,1.5848,1.1322,2,18,1
0.41087,0.40336,0.033575,0.13158,1.5538,1.1011,2,18,1
