@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
221.8,48.137,5.3623,0.10477,172.27,43.066,0
312.26,138.6,5.2823,0.18479,193.8,64.6,0
322.87,149.21,5.2497,0.21739,258.4,129.2,0
453.57,279.91,5.1477,0.31941,279.93,150.73,0
440.02,266.36,5.2253,0.24185,215.33,86.133,0
392.23,218.57,5.2549,0.21218,215.33,86.133,0
432.64,258.98,5.2627,0.20442,258.4,129.2,0
913.53,739.87,5.1807,0.28645,258.4,129.2,0
1339.9,1166.3,5.3792,0.087903,796.73,667.53,0
1294,1120.3,5.387,0.080114,818.26,689.06,0
894.2,720.54,5.3911,0.075977,172.27,43.066,0
859.87,686.2,5.3526,0.11454,1658.1,1528.9,0
1115.7,942,5.2775,0.18959,258.4,129.2,0
862.02,688.36,5.229,0.23815,193.8,64.6,0
905.17,731.51,5.1845,0.28265,215.33,86.133,0
777.91,604.24,5.2175,0.24961,193.8,64.6,0
524.98,351.32,5.2587,0.20843,172.27,43.066,0
431.49,257.82,5.271,0.19608,150.73,21.533,0
577.71,404.04,5.1234,0.34375,236.87,107.67,0
485.7,312.03,5.2686,0.19851,172.27,43.066,0
328.14,154.48,5.3653,0.10176,193.8,64.6,0
384.51,210.85,5.2337,0.23343,236.87,107.67,0
340.1,166.44,5.2104,0.25676,236.87,107.67,0
330.43,156.77,5.3387,0.12845,193.8,64.6,0
346.24,172.58,5.1987,0.26844,193.8,64.6,0
284.99,111.32,5.351,0.11615,193.8,64.6,0
516.27,342.61,5.0601,0.40702,193.8,64.6,0
233.28,59.62,5.3565,0.11063,258.4,129.2,0
267.17,93.512,5.376,0.091086,236.87,107.67,0
313.42,139.76,5.2829,0.18418,193.8,64.6,0
271.3,97.638,5.2841,0.18305,301.46,172.27,0
412.07,238.41,5.1635,0.30361,258.4,129.2,0
281.29,107.63,5.3199,0.14719,258.4,129.2,0
428.93,255.27,5.0762,0.39092,236.87,107.67,0
319.54,145.88,5.189,0.27812,258.4,129.2,0
287,113.33,5.3454,0.12174,193.8,64.6,0
629.44,455.77,4.8925,0.57463,236.87,107.67,0
508.61,334.95,5.0695,0.3976,193.8,64.6,0
738.91,565.25,4.9418,0.52527,193.8,64.6,0
366.62,192.96,5.2401,0.22704,193.8,64.6,0
349.74,176.08,5.2337,0.23339,172.27,43.066,0
389.05,215.39,5.2151,0.25199,236.87,107.67,0
530.17,356.5,5.0768,0.39031,215.33,86.133,0
784.39,610.73,4.8285,0.63857,236.87,107.67,0
451.02,277.36,5.1999,0.26723,215.33,86.133,1
1007.5,833.89,5.5165,0,215.33,86.133,1
2230.1,2056.4,5.5078,0.0086846,215.33,86.133,1
2401.7,2228,5.4321,0.084414,6287.7,6158.5,1
2636.2,2462.5,5.0811,0.43538,6287.7,6158.5,1
3116.1,2942.4,5.214,0.30253,6244.6,6115.4,1
4031.9,3858.3,5.2936,0.22292,258.4,129.2,1
3520.7,3347.1,5.5056,0.010913,236.87,107.67,1
2585.1,2411.4,5.5789,0,6266.2,6137,1
2130.7,1957.1,5.5373,0.041629,236.87,107.67,1
1097.7,924,5.5011,0.077838,193.8,64.6,1
829.86,656.19,5.4021,0.17677,193.8,64.6,1
663.52,489.86,5.4863,0.092572,258.4,129.2,1
523.73,350.07,5.2715,0.30738,258.4,129.2,1
838.58,664.92,5.407,0.17189,279.93,150.73,1
1033.4,859.74,5.5781,0.00084734,215.33,86.133,1
1292.4,1118.8,5.5285,0.050446,6352.3,6223.1,1
1871.2,1697.6,5.5161,0.062807,150.73,21.533,1
2425.9,2252.2,5.4658,0.11312,6223.1,6093.9,1
3330.7,3157.1,5.4251,0.15383,6201.6,6072.4,1
3492.1,3318.4,5.4176,0.1613,6201.6,6072.4,1
3578.3,3404.7,5.4692,0.10967,6287.7,6158.5,1
3688.3,3514.6,5.4436,0.13532,6137,6007.8,1
4074.2,3900.6,5.5059,0.072976,6309.2,6180,1
3881.8,3708.1,5.3666,0.21231,6330.8,6201.6,1
4828.7,4655.1,5.4925,0.086356,6180,6050.8,1
4961.3,4787.6,5.4464,0.13248,6373.8,6244.6,1
5198.2,5024.6,5.4613,0.11762,6395.4,6266.2,1
5274.3,5100.6,5.2933,0.28555,6287.7,6158.5,1
4824.5,4650.9,5.3574,0.2215,6395.4,6266.2,1
4932.5,4758.8,5.3022,0.27667,6115.4,5986.2,1
5331.9,5158.3,5.3718,0.20708,6309.2,6180,1
4628.5,4454.9,5.3454,0.23346,6180,6050.8,1
4384.2,4210.6,5.2254,0.35351,6287.7,6158.5,1
5519.6,5346,5.3602,0.21868,6072.4,5943.2,1
5148.7,4975,5.2849,0.29404,6072.4,5943.2,1
5902.5,5728.8,5.2916,0.28725,6115.4,5986.2,1
6600.7,6427.1,5.3319,0.24698,6158.5,6029.3,1
6394.3,6220.7,5.3298,0.24906,6029.3,5900.1,1
6013.5,5839.9,5.1484,0.43045,6115.4,5986.2,1
5907.5,5733.8,4.9801,0.59883,6137,6007.8,1
5796.9,5623.3,4.8904,0.68853,6244.6,6115.4,1
4916.7,4743,4.8388,0.7401,6287.7,6158.5,1
4782.9,4609.3,4.9857,0.59319,6309.2,6180,1
5369.5,5195.8,5.0134,0.56549,1485.8,1356.6,1
5261.3,5087.7,4.9487,0.63023,1012.1,882.86,1
5987.5,5813.9,5.0461,0.53279,1012.1,882.86,1
6556.6,6382.9,5.0066,0.57231,6093.9,5964.7,1
7076.2,6902.5,4.9848,0.59406,6180,6050.8,1
6412.2,6238.6,4.8768,0.70213,6244.6,6115.4,1
6137.7,5964,4.895,0.68386,1055.1,925.93,1
6121.9,5948.2,4.8053,0.77364,6201.6,6072.4,1
5893.5,5719.9,4.8973,0.6816,6137,6007.8,1
5830.3,5656.6,5.0386,0.54027,6050.8,5921.6,1
5657.5,5483.9,5.1088,0.47009,1012.1,882.86,1
5346.5,5172.9,4.9523,0.62657,990.53,861.33,1
5606.6,5432.9,4.9827,0.59616,990.53,861.33,1
6005.6,5831.9,5.0053,0.5736,1012.1,882.86,1
5811.1,5637.5,5.0186,0.56031,1012.1,882.86,1
6468.3,6294.7,5.134,0.44485,1012.1,882.86,1
6100.6,5926.9,5.1103,0.46856,1012.1,882.86,1
5751.3,5577.6,4.978,0.60087,1012.1,882.86,1
5707.7,5534.1,4.9536,0.62534,1012.1,882.86,1
6015.5,5841.9,5.132,0.44689,1012.1,882.86,1
5878.1,5704.4,5.1318,0.4471,990.53,861.33,1
6335.3,6161.6,5.3058,0.27313,6029.3,5900.1,1
4851.8,4678.2,5.17,0.40887,5964.7,5835.5,1
