@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.079493,0,0.047187,0,0.02429,0,154,0
0.07014,0,0.066243,0,0.025046,0.00075557,150,0
0.08202,0.01188,0.053539,0.012704,0.019648,0,133,0
0.091853,0.021713,0.041742,0.024501,0.023224,0.0035752,118,0
0.086009,0.015869,0.048094,0.018149,0.022477,0.0028285,162,0
0.10344,0.033297,0.039927,0.026316,0.020039,0.0003907,76,0
0.087612,0.017472,0.059891,0.0063521,0.020244,0.00059544,142,0
0.061617,0,0.068966,0,0.027849,0.0082005,43,0
0.087263,0.025646,0.040835,0.028131,0.022778,0.0031298,47,0
0.097855,0.036237,0.033575,0.03539,0.023848,0.0041991,151,0
0.081593,0.019976,0.054446,0.014519,0.026012,0.0063635,185,0
0.062549,0.0009316,0.069873,0,0.024889,0.0052403,82,0
0.073668,0.012051,0.048094,0.021779,0.02273,0.0030812,16,0
0.07301,0.011393,0.049909,0.019964,0.023012,0.0033633,113,0
0.06379,0.0021725,0.066243,0.0036298,0.023184,0.003536,78,0
0.070638,0.0090207,0.051724,0.018149,0.02742,0.0077721,17,0
0.080627,0.01901,0.046279,0.023593,0.021472,0.0018238,106,0
0.090585,0.028968,0.038113,0.03176,0.01954,0,80,0
0.079989,0.018372,0.043557,0.026316,0.028424,0.0088844,120,0
0.083289,0.021672,0.045372,0.024501,0.024805,0.0052647,157,0
0.083839,0.022222,0.041742,0.028131,0.025327,0.0057869,110,0
0.069429,0.0078123,0.048094,0.021779,0.022081,0.0025415,168,0
0.082637,0.02102,0.034483,0.03539,0.025895,0.0063554,22,0
0.079941,0.018324,0.040835,0.029038,0.020366,0.00082646,179,0
0.079062,0.017445,0.043557,0.026316,0.022087,0.0025475,110,0
0.074564,0.012947,0.043557,0.026316,0.021618,0.0020781,82,0
0.096939,0.035322,0.043557,0.026316,0.02502,0.0054798,161,0
0.10917,0.047556,0.044465,0.025408,0.023289,0.0037488,114,0
0.09992,0.038303,0.039927,0.029946,0.021385,0.0018451,48,0
0.11484,0.053227,0.022686,0.047187,0.029289,0.0097495,114,0
0.10265,0.041037,0.03539,0.034483,0.020266,0.00072631,167,0
0.087497,0.02588,0.038113,0.03176,0.023725,0.0041851,42,0
0.10143,0.039811,0.033575,0.036298,0.027516,0.0079761,150,0
0.10374,0.042122,0.040835,0.029038,0.023434,0.0038938,16,0
0.10548,0.043862,0.046279,0.023593,0.023363,0.0038232,73,0
0.12077,0.059153,0.03539,0.034483,0.023119,0.0035786,148,0
0.12547,0.063852,0.021779,0.048094,0.022342,0.0028019,82,0
0.11552,0.053903,0.043557,0.026316,0.03362,0.01408,46,0
0.12963,0.068014,0.047187,0.022686,0.033916,0.014376,76,0
0.12853,0.066911,0.039927,0.029946,0.029568,0.010029,145,0
0.10035,0.038737,0.057169,0.012704,0.039147,0.019607,74,0
0.1011,0.03948,0.053539,0.016334,0.029401,0.009861,73,0
0.12169,0.060073,0.052632,0.017241,0.033873,0.014333,97,0
0.11964,0.058022,0.060799,0.0090744,0.026225,0.0066852,75,0
0.10047,0.038849,0.053539,0.016334,0.032786,0.013246,183,0
0.096645,0.035028,0.049909,0.019964,0.036534,0.016994,80,0
