@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.20296,0.18792,69,1
0.23549,0.22045,70,1
0.25265,0.23761,72,1
0.15323,0.13819,75,1
0.19661,0.18157,76,1
0.22069,0.20565,77,1
0.12577,0.11073,80,1
0.12795,0.11291,85,1
0.12243,0.10739,84,1
0.10137,0.086327,89,1
0.095345,0.080302,94,1
0.085477,0.070433,100,1
0.06783,0.052786,115,1
0.072521,0.057477,133,1
0.18584,0.1708,134,1
0.060869,0.045826,10,1
0.079526,0.064483,172,1
0.074869,0.059826,183,1
0.04236,0.027317,18,1
0.045791,0.030748,18,1
0.031552,0.016509,26,1
0.068027,0.052983,190,1
0.079523,0.06448,150,1
0.083444,0.0684,120,1
0.083789,0.068745,104,1
0.087543,0.072499,91,1
0.14226,0.12721,85,1
0.14183,0.12679,79,1
0.12598,0.11094,168,1
0.19547,0.18043,72,1
0.28939,0.27434,69,1
0.31373,0.29868,68,1
0.29645,0.28141,68,1
0.36252,0.34747,67,1
0.28511,0.27007,153,1
0.29041,0.27537,153,1
0.29887,0.28382,153,1
0.30867,0.29363,153,1
0.31978,0.30474,153,1
0.28101,0.26596,66,1
0.40042,0.38538,66,1
0.30458,0.28954,65,1
0.33151,0.31647,65,1
0.34397,0.32892,64,1
0.35316,0.33812,63,1
0.27819,0.26315,62,1
0.16589,0.15085,59,1
0.081181,0.066138,65,1
0.066185,0.051142,80,1
0.067241,0.052198,61,1
0.040489,0.025446,60,1
0.049889,0.034845,61,1
0.10499,0.089948,73,1
0.066337,0.051294,79,1
0.077283,0.06224,79,1
0.060353,0.045309,82,1
0.039064,0.024021,87,1
0.027939,0.012896,86,1
0.020948,0.0059046,123,1
0.023853,0.0088096,28,1
0.021881,0.0068376,74,1
0.039254,0.024211,148,1
0.034784,0.01974,83,1
0.038279,0.023236,180,0
0.036319,0.021275,30,0
0.029813,0.014769,146,0
0.0304,0.015357,145,0
0.029476,0.014433,138,0
0.023213,0.0081695,136,0
0.027059,0.012015,141,0
0.021589,0.0065458,123,0
0.021446,0.0064029,86,0
0.024169,0.0091257,136,0
0.017759,0.0027162,83,0
0.026206,0.011163,141,0
0.028067,0.013024,164,0
0.019026,0.0039826,111,0
0.023694,0.0086508,40,0
0.023576,0.008533,43,0
0.02986,0.014817,56,0
0.025303,0.01026,54,0
0.025597,0.010554,169,0
0.027698,0.012655,42,0
0.031719,0.016676,121,0
0.023619,0.0085754,129,0
0.030848,0.015805,41,0
0.020406,0.0053625,30,0
0.03343,0.018386,41,0
0.02835,0.013306,44,0
0.02388,0.0088368,184,0
0.022879,0.0078357,107,0
0.025702,0.010659,190,0
0.020844,0.0058008,181,0
0.027267,0.012223,45,0
0.023302,0.0082587,132,0
0.022367,0.007324,132,0
0.021814,0.0067705,104,0
0.024355,0.0093116,111,0
0.030363,0.015319,130,0
0.020131,0.0050872,26,0
0.021024,0.0059804,114,0
0.022906,0.0078631,10,0
0.020142,0.0050987,82,0
0.018958,0.0039142,50,0
