@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
437.31,263.65,5.1639,0.299,258.4,129.2,0.021089,0.0025849,86,0
317.06,143.4,5.3398,0.1231,279.93,150.73,0.024937,0.006433,21,0
212.96,39.299,5.4527,0.010156,279.93,150.73,0.028427,0.0099227,102,0
235.75,62.088,5.3068,0.15605,430.66,301.46,0.018742,0.00023841,39,0
216.3,42.641,5.3406,0.12221,193.8,64.6,0.020328,0.0018243,112,0
346.27,172.61,5.3279,0.13498,215.33,86.133,0.025646,0.0071417,46,0
232.8,59.141,5.3579,0.10493,344.53,215.33,0.030036,0.011532,105,0
228.52,54.854,5.2813,0.1816,172.27,43.066,0.021769,0.0032656,84,0
369,195.34,5.2718,0.19105,193.8,64.6,0.016354,0,151,0
514.51,340.85,5.0909,0.37193,258.4,129.2,0.019983,0.0036284,166,0
465.47,291.81,5.0959,0.36693,193.8,64.6,0.020377,0.0040222,19,0
445.94,272.28,5.1529,0.30999,193.8,64.6,0.03052,0.014166,119,0
634.59,460.93,4.9339,0.52897,236.87,107.67,0.021675,0.0053208,151,0
512.12,338.46,5.0196,0.44331,215.33,86.133,0.019362,0.003008,149,0
200.47,26.803,5.3621,0.10074,279.93,150.73,0.021768,0.0054134,140,0
640.26,466.59,4.8252,0.63769,215.33,86.133,0.020931,0.0045765,116,0
180.68,7.0227,5.4119,0.050965,172.27,43.066,0.022256,0.0059014,35,0
281.51,107.85,5.2768,0.18611,215.33,86.133,0.024148,0.0077935,74,0
276.4,102.74,5.3793,0.08354,258.4,129.2,0.024058,0.0077032,169,0
292.13,118.47,5.2294,0.23345,193.8,64.6,0.027777,0.011423,51,0
350.79,177.13,5.1731,0.2898,236.87,107.67,0.024748,0.0083934,166,0
302.97,129.3,5.3403,0.12251,323,193.8,0.027201,0.010846,81,0
198.84,25.175,5.4122,0.050657,279.93,150.73,0.019018,0.0026637,155,0
406.85,233.18,5.1784,0.28447,193.8,64.6,0.0224,0.0060458,84,0
386.2,212.53,5.118,0.34487,193.8,64.6,0.026151,0.009797,178,0
334.94,161.28,5.2657,0.19718,193.8,64.6,0.022101,0.0057468,51,0
438.02,264.35,5.17,0.29289,193.8,64.6,0.025541,0.0091867,190,0
555.06,381.4,5.1144,0.34847,172.27,43.066,0.017546,0.0011913,180,0
447.24,273.58,5.2567,0.20612,516.8,387.6,0.025603,0.0092489,87,0
355.45,181.78,5.3527,0.11017,172.27,43.066,0.023876,0.0075214,42,0
426.93,253.27,5.2225,0.24037,172.27,43.066,0.025566,0.0092113,98,0
575.71,402.05,5.0027,0.46013,215.33,86.133,0.022074,0.00572,44,0
