@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
1.3083,1.3083,27,2,1
1.3353,1.3353,27,2,1
1.1921,1.1921,27,2,1
1.4161,1.4161,28,1,1
1.314,1.314,28,1,1
1.2655,1.2655,28,1,1
1.2798,1.2798,28,1,1
1.2132,1.2132,27,2,1
1.3129,1.3129,28,1,1
1.2998,1.2998,27,2,1
1.421,1.421,27,2,1
1.4545,1.4545,28,1,1
1.3911,1.3911,27,2,1
1.3185,1.3185,27,2,1
1.2163,1.2163,28,1,1
1.0848,1.0848,27,2,1
1.2917,1.2917,28,1,1
1.3199,1.3199,28,1,1
1.2681,1.2681,26,3,1
1.3519,1.3519,27,2,1
1.26,1.26,26,3,1
1.2615,1.2615,25,4,1
1.3853,1.3853,27,2,1
1.3685,1.3685,27,2,1
1.0852,1.0852,23,6,1
1.1053,1.1053,28,1,1
0.69305,0.69305,27,2,1
1.0764,1.0764,27,2,1
1.1001,1.1001,27,2,1
0.54012,0.54012,27,2,1
0.70269,0.70269,25,4,1
0.58081,0.58081,27,2,1
0.41511,0.41511,27,2,1
0.57743,0.57743,27,2,1
0.43023,0.43023,22,7,1
0.46488,0.46488,26,3,1
0.48208,0.48208,26,3,1
0.6306,0.6306,26,3,1
0.53606,0.53606,26,3,1
0.34245,0.34245,26,3,1
0.17734,0.17734,26,3,1
0.20159,0.20159,26,3,1
0.27271,0.27271,26,3,1
0.15228,0.15228,26,3,1
0.31688,0.31688,26,3,1
0.58855,0.58855,28,1,1
0.70143,0.70143,28,1,1
0.65817,0.65817,28,1,1
0.55623,0.55623,28,1,1
0.52694,0.52694,28,1,1
0.44722,0.44722,17,12,1
0.67111,0.67111,24,5,1
0.95102,0.95102,18,11,1
1.2551,1.2551,12,17,1
1.4378,1.4378,21,8,1
1.4924,1.4924,27,2,1
1.4907,1.4907,27,2,1
1.5512,1.5512,27,2,1
1.5702,1.5702,27,2,1
1.56,1.56,27,2,1
1.5638,1.5638,27,2,1
1.5912,1.5912,27,2,1
1.5684,1.5684,16,13,1
1.5337,1.5337,10,19,1
1.5192,1.5192,27,2,1
1.4347,1.4347,28,1,1
1.3249,1.3249,28,1,1
1.2281,1.2281,25,4,1
1.2763,1.2763,29,0,1
1.2099,1.2099,9,20,1
0.79402,0.79402,9,20,1
0.42575,0.42575,13,16,1
0.32183,0.32183,18,11,1
0.35227,0.35227,13,16,1
1.1243,1.1243,4,25,1
1.5587,1.5587,4,25,1
1.5228,1.5228,4,25,1
1.6635,1.6635,4,25,1
1.6253,1.6253,4,25,1
1.3511,1.3511,4,25,1
0.18312,0.18312,2,27,1
0.16698,0.16698,1,28,1
0.13974,0.13974,8,21,1
0.059375,0.059375,10,19,1
0.11719,0.11719,10,19,1
0.14727,0.14727,14,15,1
0.097511,0.097511,13,16,0
0.06329,0.06329,3,26,0
0.028766,0.028766,9,20,0
0.044445,0.044445,9,20,0
0.15088,0.15088,8,21,0
0.077776,0.077776,6,23,0
0.017279,0.017279,6,23,0
