@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
1804.3,-5.192,452.2,1.1047,23,1
1683.5,-5.1815,452.2,0.98888,24,1
1728.5,-5.1941,452.2,0.9031,24,1
1604.4,-5.1206,452.2,0.9942,23,1
1666,-5.1577,452.2,1.0116,22,1
1677.7,-5.1592,452.2,0.97815,24,1
1813.3,-5.1745,430.66,0.84909,22,1
1894.9,-5.1254,452.2,0.86549,18,1
1644.7,-5.1561,452.2,0.91432,21,1
1873,-5.0313,430.66,1.0142,21,1
1718,-4.9284,452.2,1.1135,17,1
1516.2,-5.1279,452.2,0.98631,22,1
1907.8,-4.9865,452.2,1.0032,39,1
1703.9,-4.9049,452.2,1.1788,40,1
1682.6,-4.8501,452.2,1.2647,40,1
1626.9,-4.7649,452.2,1.2526,40,1
1700.2,-4.7555,452.2,1.2583,40,1
1905.8,-4.7437,473.73,1.3222,40,1
2084.4,-4.8242,473.73,1.2719,24,1
2257.5,-4.7024,473.73,1.4728,10,1
2287.1,-4.8561,473.73,1.4861,9,1
2072.4,-4.6297,473.73,1.4916,34,1
2235.7,-4.6427,473.73,1.4765,14,1
2119.8,-4.5734,473.73,1.5036,9,1
2210.9,-4.5785,495.26,1.5215,9,1
2258.6,-4.6406,495.26,1.4738,9,1
2369.1,-4.6264,495.26,1.4122,9,1
2611.7,-4.6641,495.26,1.4524,9,1
2712.3,-4.6564,495.26,1.4223,9,1
2758.7,-4.8039,495.26,1.3535,9,1
2426,-4.8311,495.26,1.2218,9,1
2748.4,-4.8028,495.26,1.3728,9,1
2678,-4.8448,495.26,1.2971,9,1
2762.5,-4.8527,495.26,1.197,9,1
2879.1,-4.8485,473.73,1.2798,9,1
2890.3,-4.7771,473.73,1.345,9,1
2576.2,-4.8117,473.73,1.3389,9,1
2619.7,-4.801,473.73,1.2934,9,1
2530.3,-4.8589,473.73,1.1186,9,1
3560.3,-5.12,473.73,0.83022,14,1
4994.1,-5.0339,473.73,0.59826,24,1
4030.5,-5.026,452.2,0.74884,14,1
7526.1,-4.9686,452.2,0.96818,12,1
6494.9,-5.0005,258.4,0.58862,17,1
7411.8,-4.8553,430.66,0.52436,17,1
6086.4,-4.8394,258.4,0.45971,16,1
5696.8,-4.84,258.4,0.6219,12,1
5746.6,-4.7268,301.46,0.55564,14,1
4482,-4.874,732.13,0.46143,13,1
4654.2,-4.7879,430.66,0.63061,13,1
3459.6,-4.7418,430.66,0.64435,8,1
3515.6,-5.1251,107.67,0.41764,25,1
3594.2,-5.1561,107.67,0.30303,28,1
1928.6,-5.124,409.13,0.39105,29,1
2383.4,-4.8971,86.133,0.30924,15,1
2289.7,-4.7818,107.67,0.44294,9,1
1694,-4.962,107.67,0.44064,13,1
1482.2,-4.8587,279.93,0.35317,14,1
1865.1,-4.7826,710.6,0.43318,14,1
2278.3,-4.8436,107.67,0.40908,12,1
1965.7,-5.3771,107.67,0.2566,26,1
3222.8,-5.6116,344.53,0.35309,35,1
2088.2,-5.4274,366.06,0.54349,25,1
2109.5,-5.2749,495.26,0.67218,17,1
1821.6,-5.1243,344.53,0.8453,11,1
1501.2,-5.0981,344.53,0.86976,10,1
774.59,-5.2882,366.06,0.46593,24,1
369.39,-5.4503,646,0.30778,35,1
829.47,-5.1367,279.93,0.40453,26,1
564.21,-5.0627,107.67,0.42961,18,1
522.6,-5.0986,258.4,0.40645,19,1
356.69,-5.1963,258.4,0.49542,18,0
196.48,-5.315,366.06,0.68456,16,0
151.58,-5.2687,279.93,0.31689,31,0
117.11,-5.3216,258.4,0.48979,19,0
176.19,-5.1642,279.93,0.56947,15,0
118.34,-5.1615,279.93,0.62229,9,0
71.297,-5.2231,258.4,0.71007,12,0
44.165,-5.2872,258.4,0.40701,20,0
19.407,-5.3507,581.4,0.50266,15,0
25.592,-5.3161,258.4,0.48791,14,0
-35.451,-5.42,129.2,0.30251,26,0
-76.76,-5.592,107.67,0.36895,19,0
-31.862,-5.4581,559.86,0.41064,12,0
-20.129,-5.4133,301.46,0.29416,19,0
-51.918,-5.5397,258.4,0.31692,25,0
-40.5,-5.4734,387.6,0.31743,29,0
-1.6389,-5.3789,150.73,0.52536,22,0
-46.959,-5.5092,279.93,0.38283,29,0
-75.383,-5.6071,495.26,0.2943,37,0
18.768,-5.4726,150.73,0.47495,25,0
11.081,-5.4097,150.73,0.46263,22,0
32.667,-5.3872,172.27,0.51553,22,0
6.4531,-5.4119,409.13,0.54855,17,0
8.9179,-5.4334,387.6,0.52892,17,0
-6.3679,-5.3849,409.13,0.40987,13,0
-28.502,-5.4539,581.4,0.41745,18,0
-40.129,-5.6118,387.6,0.32427,26,0
-39.679,-5.6444,236.87,0.26365,32,0
8.098,-5.5721,387.6,0.53228,22,0
27.341,-5.4843,409.13,0.71496,12,0
39.619,-5.5428,215.33,0.46802,19,0
30.208,-5.6895,236.87,0.46332,19,0
172.62,-5.6098,409.13,0.67788,22,0
106.26,-5.6494,236.87,0.78319,22,0
269.33,-5.4397,775.2,0.97971,14,0
214.08,-5.5293,796.73,0.84779,15,0
163.77,-5.577,430.66,0.66521,18,0
21.28,-5.7495,775.2,0.48502,20,0
76.066,-5.622,775.2,0.53159,25,0
7.7272,-5.7604,409.13,0.33194,41,0
137.67,-5.5591,775.2,0.7018,20,0
270.92,-5.5271,430.66,0.54463,18,0
312.7,-5.4532,409.13,0.8169,15,0
207.34,-5.4632,775.2,0.70963,14,0
366.14,-5.3868,775.2,0.62027,13,0
283.32,-5.4537,538.33,0.49556,14,0
340.27,-5.4154,215.33,0.49277,18,0
606.81,-5.3208,409.13,0.82178,13,0
458.98,-5.4036,215.33,0.71922,16,0
372.71,-5.3195,796.73,0.77073,14,0
391.61,-5.2425,796.73,0.8395,14,0
469.87,-5.3218,818.26,0.78291,14,0
492.5,-5.2772,387.6,0.68803,14,0
442.42,-5.1498,818.26,0.81006,15,0
476.91,-5.1844,818.26,0.81551,15,0
560.86,-5.3609,236.87,0.37629,24,0
600.9,-5.2683,409.13,0.35825,22,0
337.42,-5.3126,818.26,0.37381,22,0
471.08,-5.2635,409.13,0.32374,26,0
446.67,-5.1668,861.33,0.45425,20,0
753.88,-4.9507,409.13,0.66494,10,0
817.23,-4.8808,473.73,0.64832,8,0
1147.7,-4.7563,516.8,0.46486,9,0
1986.8,-4.4819,516.8,0.7457,10,0
2095.1,-4.3903,516.8,0.79786,10,0
1849,-4.6652,516.8,0.59108,11,0
855.02,-4.9203,193.8,0.35692,17,0
713.98,-4.9254,495.26,0.579,11,0
702.82,-5.0126,516.8,0.5945,14,0
720.51,-5.4597,344.53,0.3485,19,0
561.03,-5.2089,409.13,0.44225,14,0
526.28,-5.1975,538.33,0.41704,15,0
338.59,-5.3001,473.73,0.48902,20,0
607.53,-5.0464,452.2,0.62176,10,0
609.24,-5.2546,473.73,0.5947,9,0
884.22,-5.3822,452.2,0.94953,8,0
673.4,-5.2707,473.73,0.7401,8,0
368.6,-5.4017,473.73,0.41627,14,0
433.46,-5.3294,473.73,0.55716,12,0
615.55,-5.2234,689.06,0.52753,13,0
713.28,-5.2208,473.73,0.49039,15,0
473.6,-5.3319,258.4,0.37751,18,0
829.83,-5.2668,452.2,0.52716,22,0
925.87,-5.2819,452.2,0.75331,15,0
705.39,-5.2679,1055.1,0.58308,20,0
387.8,-5.5011,1033.6,0.76521,21,0
770.44,-5.4677,430.66,0.55202,16,0
784.5,-5.3008,430.66,0.84287,12,0
407.85,-5.4709,409.13,0.44891,18,0
405.57,-5.4724,710.6,0.466,14,0
320.74,-5.4982,215.33,0.56622,24,0
213.02,-5.5552,387.6,0.62921,25,0
114.85,-5.7006,538.33,0.44025,29,0
195.72,-5.5739,387.6,0.4492,37,0
295.54,-5.55,753.66,0.40573,16,0
426.1,-5.4369,710.6,0.57263,17,0
477.16,-5.3296,409.13,0.60646,16,0
318.81,-5.4919,279.93,0.43208,21,0
666.86,-5.6224,215.33,0.5085,33,0
395.52,-5.4569,236.87,0.44892,28,0
415.08,-5.3913,409.13,0.4957,24,0
321.23,-5.3925,129.2,0.54215,35,0
176.06,-5.4643,107.67,0.51429,23,0
215.69,-5.3163,107.67,0.52183,11,0
303.21,-5.0474,387.6,0.7089,7,0
240.3,-5.1648,409.13,0.59588,8,0
111.46,-5.3063,129.2,0.4448,11,0
52.876,-5.5374,366.06,0.25002,29,0
93.563,-5.518,129.2,0.28774,35,0
49.798,-5.506,129.2,0.40544,31,0
-19.504,-5.6393,818.26,0.3586,29,0
-5.3586,-5.6529,215.33,0.33533,41,0
-35.915,-5.6805,129.2,0.28503,28,0
-9.2414,-5.5808,409.13,0.38742,26,0
63.205,-5.5613,150.73,0.29037,34,0
31.892,-5.5482,107.67,0.38425,22,0
