@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE cepstralMostDominantPeak_delta REAL
@ATTRIBUTE cepstralNumPeaks_delta REAL
@ATTRIBUTE cepstralLocFirstPeak_delta REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.28216,0.051724,2774.9,-4.8653,495.26,0.036451,3,4,1.4882,9,0.018277,-0.0049909,95.702,0.013994,0,-0.0010001,-0.5,0,0.051987,0,1
0.30426,0.041742,2882.9,-4.9027,495.26,0.038154,3,4,1.514,9,0.016963,-0.0072595,257.25,-0.032567,0,0.0032316,0,0,-0.0030471,0,1
0.31609,0.037205,3289.4,-4.9305,495.26,0.042914,3,4,1.4822,9,-0.001465,0.0022686,122.38,-0.064755,10.767,-0.0006578,1,0,-0.069258,0,1
0.30133,0.046279,3127.6,-5.0322,516.8,0.036839,5,4,1.3755,9,-0.015904,0.0077132,-120.69,-0.018574,0,0.0010075,0.5,0,-0.039578,0,1
0.28428,0.052632,3048.1,-4.9676,495.26,0.044929,4,4,1.403,9,-0.010626,0.0027223,-123.25,-0.030629,0,0.0033267,-0.5,0.5,-0.0018821,0,1
0.28008,0.051724,2881.1,-5.0934,516.8,0.043492,4,5,1.3717,9,0.0056777,-0.0013612,60.921,-0.0098121,10.767,0.0052098,0.5,0.5,0.028464,0,1
0.29564,0.049909,3169.9,-4.9872,516.8,0.055349,5,5,1.4599,9,0.020656,-0.0022686,349.91,0.03472,0,0.0012842,0,-1,0.027492,0,1
0.32139,0.047187,3580.9,-5.024,516.8,0.046061,4,3,1.4267,9,0.021521,-0.0018149,459.45,0.0031786,0,-0.0095626,0,-1,-0.040651,0,1
0.33868,0.046279,4088.8,-4.9809,516.8,0.036224,5,3,1.3786,9,0.012521,0.0013612,393.19,0.0045124,0,0.00046646,0.5,0,-0.063694,0,1
0.34643,0.049909,4367.3,-5.015,516.8,0.046994,5,3,1.2993,9,0.01603,-0.0013612,7.6007,0.0017938,0,0.0010788,-1,0,0.0015444,0,1
