@relation featureMatrix


@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
2255.5,-5.088,495.26,-198.49,-0.058936,10.767,1
2135.5,-5.0977,495.26,74.826,0.045036,-10.767,1
2405.1,-4.9979,473.73,192.75,0.063523,-10.767,1
2521,-4.9706,473.73,-184.89,-0.023759,10.767,1
2035.4,-5.0454,495.26,-54.442,0.033948,10.767,1
2412.1,-4.9027,495.26,254.61,0.038378,-10.767,1
2544.6,-4.9687,473.73,-72.42,-0.0078454,-10.767,1
2267.2,-4.9184,473.73,19.915,-0.029562,0,1
2584.4,-5.0278,473.73,89.505,-0.095305,0,1
2446.2,-5.109,473.73,-118.47,0.029745,-10.767,1
2347.5,-4.9683,452.2,-148.17,0.057134,-10.767,1
2149.9,-4.9948,452.2,-173.94,-0.062518,0,1
1999.6,-5.0933,452.2,-323.38,-0.13175,0,1
1503.1,-5.2583,452.2,-307.34,-0.048738,0,1
1384.9,-5.1908,452.2,49.952,0.070572,0,1
1603,-5.1171,452.2,24.821,0.014861,0,1
1434.6,-5.1611,452.2,45.879,-0.013309,0,1
1694.8,-5.1437,452.2,52.28,0.0079265,0,1
1539.1,-5.1452,452.2,-7.9878,0.02936,0,1
1678.8,-5.085,452.2,183.73,0.050219,0,1
1906.6,-5.0448,452.2,171.34,0.014278,0,1
2021.5,-5.0565,452.2,142.02,-0.0071739,0,1
2190.6,-5.0591,452.2,-84.719,-0.051183,0,1
1852.1,-5.1588,452.2,-195.16,0.032339,10.767,1
1800.3,-4.9945,473.73,-79.552,0.051452,10.767,1
1693,-5.0559,473.73,-7.4557,-0.025127,0,1
1785.4,-5.0447,473.73,103.79,0.012113,0,1
1900.5,-5.0317,473.73,98.807,0.0095233,0,1
1983,-5.0257,473.73,39.38,0.0025377,0,1
1979.3,-5.0266,473.73,-89.353,-0.083148,-10.767,1
1804.3,-5.192,452.2,-147.92,-0.077442,-10.767,1
1683.5,-5.1815,452.2,-37.871,-0.0010819,0,1
1728.5,-5.1941,452.2,-39.546,0.030476,0,1
1604.4,-5.1206,452.2,-31.284,0.018209,0,1
1666,-5.1577,452.2,36.679,-0.019318,0,1
1677.7,-5.1592,452.2,73.65,-0.0083997,-10.767,1
1813.3,-5.1745,430.66,108.61,0.016911,0,1
1894.9,-5.1254,452.2,-84.265,0.0092103,10.767,1
1644.7,-5.1561,452.2,-10.957,0.047049,-10.767,1
1873,-5.0313,430.66,36.605,0.11384,0,1
1718,-4.9284,452.2,-178.4,-0.048306,10.767,1
1516.2,-5.1279,452.2,94.945,-0.029053,0,1
1907.8,-4.9865,452.2,93.836,0.11152,0,1
1703.9,-4.9049,452.2,-112.64,0.06821,0,1
1682.6,-4.8501,452.2,-38.5,0.06999,0,1
1626.9,-4.7649,452.2,8.8099,0.047306,0,1
1700.2,-4.7555,452.2,139.44,0.010582,10.767,1
1905.8,-4.7437,473.73,192.13,-0.03437,10.767,1
2084.4,-4.8242,473.73,175.88,0.020637,0,1
2257.5,-4.7024,473.73,101.34,-0.015961,0,1
2287.1,-4.8561,473.73,-92.593,0.036349,0,1
2072.4,-4.6297,473.73,-25.721,0.10673,0,1
2235.7,-4.6427,473.73,23.709,0.028184,0,1
2119.8,-4.5734,473.73,-12.385,0.032106,10.767,1
2210.9,-4.5785,495.26,69.394,-0.033603,10.767,1
2258.6,-4.6406,495.26,79.072,-0.023981,0,1
2369.1,-4.6264,495.26,176.56,-0.011742,0,1
2611.7,-4.6641,495.26,171.63,-0.014977,0,1
2712.3,-4.6564,495.26,73.518,-0.069897,0,1
2758.7,-4.8039,495.26,-143.16,-0.087356,0,1
2426,-4.8311,495.26,-5.1386,0.0005395,0,1
2748.4,-4.8028,495.26,126.02,-0.0068595,0,1
2678,-4.8448,495.26,7.0322,-0.024939,0,1
2762.5,-4.8527,495.26,100.52,-0.0018345,-10.767,1
2879.1,-4.8485,473.73,63.919,0.037756,-10.767,1
2890.3,-4.7771,473.73,-151.43,0.018404,0,1
2576.2,-4.8117,473.73,-135.31,-0.011925,0,1
2619.7,-4.801,473.73,-22.982,-0.023634,0,1
2530.3,-4.8589,473.73,470.31,-0.15951,0,1
3560.3,-5.12,473.73,1231.9,-0.087485,0,1
4994.1,-5.0339,473.73,235.06,0.047017,-10.767,1
4030.5,-5.026,452.2,1266,0.032666,-10.767,1
7526.1,-4.9686,452.2,1232.2,0.012753,-96.899,1
6494.9,-5.0005,258.4,-57.134,0.056646,-10.767,1
7411.8,-4.8553,430.66,-204.21,0.08056,0,1
6086.4,-4.8394,258.4,-857.53,0.0076555,-86.133,1
5696.8,-4.84,258.4,-169.93,0.056267,21.533,1
5746.6,-4.7268,301.46,-607.37,-0.01701,236.87,1
4482,-4.874,732.13,-546.16,-0.03052,64.6,1
4654.2,-4.7879,430.66,-511.23,0.066107,-150.73,1
3459.6,-4.7418,430.66,-569.33,-0.16864,-161.5,1
3515.6,-5.1251,107.67,67.303,-0.20718,-161.5,1
3594.2,-5.1561,107.67,-793.5,0.00054483,150.73,1
1928.6,-5.124,409.13,-605.41,0.12951,-10.767,1
2383.4,-4.8971,86.133,180.56,0.17113,-150.73,1
2289.7,-4.7818,107.67,-344.68,-0.03244,10.767,1
1694,-4.962,107.67,-403.74,-0.038442,86.133,1
1482.2,-4.8587,279.93,85.547,0.089685,301.46,1
1865.1,-4.7826,710.6,398.03,0.007524,-86.133,1
2278.3,-4.8436,107.67,50.302,-0.29722,-301.46,1
1965.7,-5.3771,107.67,472.25,-0.38398,118.43,1
3222.8,-5.6116,344.53,61.256,-0.025179,129.2,1
2088.2,-5.4274,366.06,-556.64,0.16835,75.366,1
2109.5,-5.2749,495.26,-133.3,0.15155,-10.767,1
1821.6,-5.1243,344.53,-304.15,0.088375,-75.366,1
1501.2,-5.0981,344.53,-523.51,-0.081929,10.767,1
774.59,-5.2882,366.06,-565.9,-0.1761,150.73,1
369.39,-5.4503,646,27.437,0.075746,-43.066,1
829.47,-5.1367,279.93,97.411,0.19382,-269.17,1
564.21,-5.0627,107.67,-153.44,0.019066,-10.767,1
522.6,-5.0986,258.4,-103.76,-0.066824,75.366,1
356.69,-5.1963,258.4,-163.06,-0.10821,53.833,0
196.48,-5.315,366.06,-102.56,-0.03619,10.767,0
151.58,-5.2687,279.93,-39.686,-0.0033269,-53.833,0
117.11,-5.3216,258.4,12.304,0.052265,0,0
176.19,-5.1642,279.93,0.61423,0.080069,10.767,0
118.34,-5.1615,279.93,-52.446,-0.029466,-10.767,0
71.297,-5.2231,258.4,-37.087,-0.062844,-10.767,0
44.165,-5.2872,258.4,-25.945,-0.063784,161.5,0
19.407,-5.3507,581.4,-9.2866,-0.014441,0,0
25.592,-5.3161,258.4,-27.429,-0.034635,-226.1,0
-35.451,-5.42,129.2,-51.176,-0.13797,-75.366,0
-76.76,-5.592,107.67,1.7947,-0.019082,215.33,0
-31.862,-5.4581,559.86,28.316,0.089338,96.899,0
-20.129,-5.4133,301.46,-10.028,-0.040804,-150.73,0
-51.918,-5.5397,258.4,-10.186,-0.030009,43.066,0
-40.5,-5.4734,387.6,25.139,0.080431,-53.833,0
-1.6389,-5.3789,150.73,-3.2298,-0.017947,-53.833,0
-46.959,-5.5092,279.93,-36.872,-0.11412,172.27,0
-75.383,-5.6071,495.26,32.864,0.018331,-64.6,0
18.768,-5.4726,150.73,43.232,0.098713,-172.27,0
11.081,-5.4097,150.73,6.9494,0.042694,10.767,0
32.667,-5.3872,172.27,-2.3138,-0.0010997,129.2,0
6.4531,-5.4119,409.13,-11.874,-0.023115,107.67,0
8.9179,-5.4334,387.6,-6.4105,0.013469,0,0
-6.3679,-5.3849,409.13,-18.71,-0.010241,96.899,0
-28.502,-5.4539,581.4,-16.881,-0.11345,-10.767,0
-40.129,-5.6118,387.6,-5.5882,-0.095258,-172.27,0
-39.679,-5.6444,236.87,24.114,0.019849,0,0
8.098,-5.5721,387.6,33.51,0.080087,86.133,0
27.341,-5.4843,409.13,15.76,0.014674,-86.133,0
39.619,-5.5428,215.33,1.4339,-0.10261,-86.133,0
30.208,-5.6895,236.87,66.501,-0.033522,96.899,0
172.62,-5.6098,409.13,38.025,0.020059,0,0
106.26,-5.6494,236.87,48.357,0.085089,183.03,0
269.33,-5.4397,775.2,53.909,0.060045,279.93,0
214.08,-5.5293,796.73,-52.78,-0.068672,-172.27,0
163.77,-5.577,430.66,-96.398,-0.11013,-10.767,0
21.28,-5.7495,775.2,-43.854,-0.02247,172.27,0
76.066,-5.622,775.2,-6.7764,-0.0054378,-183.03,0
7.7272,-5.7604,409.13,30.802,0.03141,0,0
137.67,-5.5591,775.2,131.6,0.11663,10.767,0
270.92,-5.5271,430.66,87.516,0.052989,-183.03,0
312.7,-5.4532,409.13,-31.787,0.031951,172.27,0
207.34,-5.4632,775.2,26.72,0.033168,183.03,0
366.14,-5.3868,775.2,37.989,0.0047892,-118.43,0
283.32,-5.4537,538.33,-12.938,-0.014289,-279.93,0
340.27,-5.4154,215.33,161.74,0.066426,-64.6,0
606.81,-5.3208,409.13,59.355,0.0059159,0,0
458.98,-5.4036,215.33,-117.05,0.00066073,193.8,0
372.71,-5.3195,796.73,-33.682,0.080545,290.7,0
391.61,-5.2425,796.73,48.581,-0.0011481,10.767,0
469.87,-5.3218,818.26,50.444,-0.017349,-204.57,0
492.5,-5.2772,387.6,-13.726,0.08599,0,0
442.42,-5.1498,818.26,-7.7963,0.046381,215.33,0
476.91,-5.1844,818.26,59.218,-0.10554,-290.7,0
560.86,-5.3609,236.87,61.998,-0.041953,-204.57,0
600.9,-5.2683,409.13,-111.72,0.024142,290.7,0
337.42,-5.3126,818.26,-64.91,0.002384,0,0
471.08,-5.2635,409.13,54.625,0.072882,21.533,0
446.67,-5.1668,861.33,141.4,0.15642,0,0
753.88,-4.9507,409.13,185.28,0.14302,-193.8,0
817.23,-4.8808,473.73,196.92,0.097222,53.833,0
1147.7,-4.7563,516.8,584.81,0.19946,21.533,0
1986.8,-4.4819,516.8,473.67,0.18297,0,0
2095.1,-4.3903,516.8,-68.928,-0.091677,0,0
1849,-4.6652,516.8,-620.01,-0.265,-161.5,0
855.02,-4.9203,193.8,-567.5,-0.1301,-10.767,0
713.98,-4.9254,495.26,-76.1,-0.046168,161.5,0
702.82,-5.0126,516.8,3.264,-0.26715,-75.366,0
720.51,-5.4597,344.53,-70.896,-0.098138,-53.833,0
561.03,-5.2089,409.13,-97.117,0.13112,96.899,0
526.28,-5.1975,538.33,-111.22,-0.045576,32.3,0
338.59,-5.3001,473.73,40.629,0.075508,-43.066,0
607.53,-5.0464,452.2,135.32,0.022753,0,0
609.24,-5.2546,473.73,138.34,-0.16786,0,0
884.22,-5.3822,452.2,32.082,-0.0080495,0,0
673.4,-5.2707,473.73,-257.81,-0.0097803,10.767,0
368.6,-5.4017,473.73,-119.97,-0.029388,0,0
433.46,-5.3294,473.73,123.48,0.08918,107.67,0
615.55,-5.2234,689.06,139.91,0.054337,0,0
713.28,-5.2208,473.73,-70.973,-0.05426,-215.33,0
473.6,-5.3319,258.4,58.273,-0.02299,-10.767,0
829.83,-5.2668,452.2,226.13,0.024974,96.899,0
925.87,-5.2819,452.2,-62.22,-0.00055546,301.46,0
705.39,-5.2679,1055.1,-269.03,-0.10957,290.7,0
387.8,-5.5011,1033.6,32.526,-0.099912,-312.23,0
770.44,-5.4677,430.66,198.35,0.10014,-301.46,0
784.5,-5.3008,430.66,-181.29,-0.0016052,-10.767,0
407.85,-5.4709,409.13,-189.46,-0.085777,139.97,0
405.57,-5.4724,710.6,-43.557,-0.01365,-96.899,0
320.74,-5.4982,215.33,-96.278,-0.041423,-161.5,0
213.02,-5.5552,387.6,-102.95,-0.10119,161.5,0
114.85,-5.7006,538.33,-8.6455,-0.0093516,0,0
195.72,-5.5739,387.6,90.348,0.075283,107.67,0
295.54,-5.55,753.66,115.19,0.068479,161.5,0
426.1,-5.4369,710.6,90.808,0.1102,-172.27,0
477.16,-5.3296,409.13,-53.647,-0.027489,-215.33,0
318.81,-5.4919,279.93,94.851,-0.14638,-96.899,0
666.86,-5.6224,215.33,38.357,0.017528,-21.533,0
395.52,-5.4569,236.87,-125.89,0.11556,96.899,0
415.08,-5.3913,409.13,-37.145,0.03219,-53.833,0
321.23,-5.3925,129.2,-119.51,-0.0365,-150.73,0
176.06,-5.4643,107.67,-52.772,0.03807,-10.767,0
215.69,-5.3163,107.67,63.572,0.20841,139.97,0
303.21,-5.0474,387.6,12.304,0.075799,150.73,0
240.3,-5.1648,409.13,-95.874,-0.12944,-129.2,0
111.46,-5.3063,129.2,-93.711,-0.18632,-21.533,0
52.876,-5.5374,366.06,-8.949,-0.10583,0,0
93.563,-5.518,129.2,-1.5389,0.01568,-118.43,0
49.798,-5.506,129.2,-56.534,-0.060652,344.53,0
-19.504,-5.6393,818.26,-27.578,-0.073439,43.066,0
-5.3586,-5.6529,215.33,-8.2055,-0.020607,-344.53,0
-35.915,-5.6805,129.2,-1.9414,0.036059,96.899,0
-9.2414,-5.5808,409.13,49.56,0.05958,10.767,0
63.205,-5.5613,150.73,20.567,0.016308,-150.73,0
31.892,-5.5482,107.67,51.406,0.14844,-21.533,0
166.02,-5.2644,107.67,115.53,0.14512,409.13,0
262.96,-5.2579,925.93,62.856,0.019408,409.13,0
291.73,-5.2256,925.93,-30.591,-0.060572,-387.6,0
201.78,-5.3791,150.73,-24.265,-0.027963,-236.87,0
243.2,-5.2815,452.2,12.679,0.002496,150.73,0
227.14,-5.3741,452.2,-70.123,-0.10461,-10.767,0
102.95,-5.4908,430.66,28.291,0.0016032,-172.27,0
283.72,-5.3709,107.67,-10.445,-0.025118,-161.5,0
82.061,-5.541,107.67,-105.83,-0.13935,172.27,0
72.068,-5.6496,452.2,-45.707,-0.089905,290.7,0
-9.3524,-5.7208,689.06,-22.871,0.060487,129.2,0
26.326,-5.5286,710.6,-1.1709,0.059391,-129.2,0
-11.694,-5.602,430.66,-34.686,-0.04815,-129.2,0
-43.045,-5.6249,452.2,27.914,0.093555,-53.833,0
44.133,-5.4149,323,127.04,0.11344,-53.833,0
211.04,-5.398,344.53,119.1,0.056188,-96.899,0
282.33,-5.3025,129.2,24.77,0.04508,-32.3,0
260.58,-5.3078,279.93,-75.509,-0.07391,139.97,0
131.31,-5.4504,409.13,-53.246,-0.031913,-75.366,0
154.09,-5.3717,129.2,-33.412,-0.027177,32.3,0
64.489,-5.5047,473.73,-25.943,-0.051199,269.17,0
102.21,-5.4741,667.53,73.587,0.055841,75.366,0
211.66,-5.393,624.46,30.073,0.025566,-279.93,0
162.35,-5.4229,107.67,-60.938,-0.084244,-183.03,0
89.786,-5.5615,258.4,-60.975,-0.10402,290.7,0
40.401,-5.631,689.06,-3.7763,-0.008547,118.43,0
82.233,-5.5786,495.26,29.056,0.023847,-150.73,0
98.513,-5.5833,387.6,42.657,0.0062061,-21.533,0
167.55,-5.5662,452.2,-10.247,-0.023616,43.066,0
78.019,-5.6305,473.73,-49.788,-0.047963,-32.3,0
67.971,-5.6621,387.6,-30.184,-0.030351,-21.533,0
17.651,-5.6912,430.66,-6.8189,0.038799,161.5,0
54.333,-5.5845,710.6,-10.356,0.042989,10.767,0
