@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0033937,0.0011657,0.12976,0.10799,0.23946,0.15667,17,15,0
0.0065183,0.0042903,0.13067,0.10889,0.28883,0.20604,12,10,0
0.024363,0.022135,0.11162,0.089837,0.4615,0.37871,2,0,1
0.11391,0.11168,0.050817,0.029038,1.243,1.1602,2,0,1
0.16967,0.16744,0.032668,0.010889,1.4944,1.4117,2,0,1
0.19672,0.1945,0.039927,0.018149,1.5639,1.4811,2,0,1
0.21092,0.20869,0.044465,0.022686,1.5209,1.4382,2,0,1
0.21602,0.21379,0.046279,0.024501,1.488,1.4052,2,0,1
0.22268,0.22045,0.046279,0.024501,1.4528,1.37,9,7,1
0.23152,0.22929,0.04265,0.020871,1.4193,1.3365,8,6,1
0.24095,0.23873,0.04265,0.020871,1.4246,1.3419,2,0,1
0.24761,0.24539,0.049002,0.027223,1.4568,1.374,2,0,1
0.25067,0.24844,0.052632,0.030853,1.4839,1.4011,2,0,1
0.24985,0.24763,0.046279,0.024501,1.4896,1.4068,2,0,1
0.24884,0.24662,0.040835,0.019056,1.5091,1.4263,2,0,1
0.24834,0.24612,0.041742,0.019964,1.504,1.4213,2,0,1
0.25189,0.24966,0.04265,0.020871,1.5007,1.418,2,0,1
0.2509,0.24867,0.04265,0.020871,1.5109,1.4281,2,0,1
0.24898,0.24675,0.04265,0.020871,1.5475,1.4647,2,0,1
0.24826,0.24603,0.040835,0.019056,1.579,1.4963,2,0,1
0.24449,0.24227,0.047187,0.025408,1.5851,1.5023,2,0,1
0.24278,0.24055,0.056261,0.034483,1.563,1.4803,2,0,1
0.24214,0.23991,0.067151,0.045372,1.567,1.4842,3,1,1
0.23477,0.23254,0.064428,0.04265,1.5548,1.472,2,0,1
0.22563,0.22341,0.060799,0.03902,1.5111,1.4283,2,0,1
0.21726,0.21503,0.062613,0.040835,1.495,1.4122,2,0,1
0.2115,0.20927,0.065336,0.043557,1.5156,1.4328,3,1,1
0.20068,0.19845,0.073503,0.051724,1.4738,1.391,7,5,1
0.18541,0.18318,0.071688,0.049909,1.4037,1.3209,11,9,1
0.18279,0.18056,0.07078,0.049002,1.4073,1.3245,13,11,1
0.18015,0.17793,0.07441,0.052632,1.4034,1.3206,13,11,1
0.18306,0.18083,0.07441,0.052632,1.4017,1.3189,12,10,1
0.18726,0.18503,0.072595,0.050817,1.4243,1.3415,8,6,1
0.19059,0.18837,0.075318,0.053539,1.4254,1.3426,3,1,1
0.19811,0.19588,0.068058,0.046279,1.4667,1.384,3,1,1
0.20414,0.20191,0.059891,0.038113,1.4564,1.3736,4,2,1
0.20354,0.20131,0.059891,0.038113,1.4185,1.3357,3,1,1
0.2016,0.19937,0.058984,0.037205,1.3903,1.3075,4,2,1
0.20293,0.20071,0.063521,0.041742,1.4145,1.3317,4,2,1
0.20913,0.2069,0.061706,0.039927,1.4765,1.3937,2,0,1
0.21498,0.21275,0.054446,0.032668,1.4856,1.4028,2,0,1
0.21867,0.21645,0.053539,0.03176,1.4991,1.4163,2,0,1
0.22058,0.21835,0.058984,0.037205,1.4656,1.3828,2,0,1
0.22253,0.22031,0.068966,0.047187,1.4584,1.3756,5,3,1
0.21953,0.2173,0.072595,0.050817,1.444,1.3612,9,7,1
0.20568,0.20345,0.07441,0.052632,1.4106,1.3278,9,7,1
0.18649,0.18426,0.078947,0.057169,1.2956,1.2129,8,6,1
0.17452,0.17229,0.077132,0.055354,1.2175,1.1347,5,3,1
0.17778,0.17555,0.083485,0.061706,1.1821,1.0993,5,3,1
0.17969,0.17746,0.086207,0.064428,1.2098,1.127,5,3,1
0.17559,0.17336,0.076225,0.054446,1.1936,1.1108,5,3,1
0.17528,0.17306,0.073503,0.051724,1.1992,1.1165,5,3,1
0.1767,0.17447,0.064428,0.04265,1.2226,1.1398,5,3,1
0.1736,0.17137,0.057169,0.03539,1.2179,1.1352,5,3,1
0.17565,0.17342,0.057169,0.03539,1.2204,1.1376,5,3,1
0.18215,0.17992,0.052632,0.030853,1.2249,1.1421,6,4,1
0.18521,0.18298,0.046279,0.024501,1.2347,1.1519,5,3,1
0.18929,0.18706,0.052632,0.030853,1.3963,1.3136,8,6,1
0.19494,0.19271,0.061706,0.039927,1.4617,1.3789,8,6,1
0.19677,0.19454,0.064428,0.04265,1.5104,1.4276,8,6,1
0.20469,0.20246,0.056261,0.034483,1.5096,1.4269,8,6,1
0.21633,0.2141,0.052632,0.030853,1.495,1.4122,8,6,1
0.23246,0.23024,0.059891,0.038113,1.4642,1.3814,9,7,1
0.25156,0.24933,0.061706,0.039927,1.4348,1.352,9,7,1
0.2638,0.26158,0.057169,0.03539,1.514,1.4312,5,3,1
0.27256,0.27033,0.055354,0.033575,1.5597,1.4769,2,0,1
0.27303,0.2708,0.062613,0.040835,1.5367,1.454,9,7,1
0.27065,0.26842,0.064428,0.04265,1.5368,1.454,5,3,1
0.27041,0.26818,0.064428,0.04265,1.5687,1.4859,2,0,1
0.28026,0.27803,0.055354,0.033575,1.5821,1.4993,2,0,1
0.2976,0.29537,0.04265,0.020871,1.5701,1.4873,2,0,1
0.30672,0.30449,0.032668,0.010889,1.5675,1.4847,2,0,1
0.31004,0.30781,0.023593,0.0018149,1.5706,1.4879,2,0,1
0.30616,0.30393,0.021779,0,1.5701,1.4873,2,0,1
0.29965,0.29742,0.020871,0,1.5661,1.4833,2,0,1
0.29442,0.29219,0.022686,0.0018149,1.5555,1.4727,2,0,1
0.29787,0.29564,0.028131,0.0072595,1.5628,1.4801,2,0,1
0.30256,0.30033,0.028131,0.0072595,1.5506,1.4678,2,0,1
0.29563,0.2934,0.027223,0.0063521,1.5204,1.4376,2,0,1
0.28677,0.28454,0.033575,0.012704,1.505,1.4222,2,0,1
0.27378,0.27155,0.04265,0.021779,1.5193,1.4365,2,0,1
0.2671,0.26487,0.046279,0.025408,1.502,1.4192,2,0,1
0.26601,0.26378,0.043557,0.022686,1.4488,1.366,2,0,1
0.2554,0.25317,0.041742,0.020871,1.3631,1.2803,3,1,1
0.24925,0.24702,0.04265,0.021779,1.3068,1.224,5,3,1
0.24025,0.23802,0.034483,0.013612,1.2969,1.2141,5,3,1
0.23536,0.23313,0.033575,0.012704,1.2975,1.2147,5,3,1
0.22416,0.22193,0.051724,0.030853,1.2862,1.2035,5,3,1
0.20329,0.20106,0.052632,0.03176,1.2461,1.1633,5,3,1
0.20625,0.20402,0.041742,0.020871,1.283,1.2002,4,2,1
0.19958,0.19735,0.039927,0.019056,1.2351,1.1523,4,2,1
0.19486,0.19263,0.037205,0.016334,1.3359,1.2532,3,1,1
0.22766,0.22543,0.033575,0.012704,1.4526,1.3698,3,1,1
0.245,0.24277,0.03539,0.014519,1.5509,1.4681,3,1,1
0.21104,0.20881,0.036298,0.015426,1.4876,1.4048,3,1,1
0.15962,0.15739,0.03176,0.010889,1.4817,1.3989,3,1,1
0.14229,0.14006,0.036298,0.015426,1.4242,1.3414,3,1,1
0.12834,0.12612,0.040835,0.019964,1.3886,1.3058,3,1,1
0.097579,0.095351,0.043557,0.022686,1.0132,0.93037,3,1,1
0.087752,0.085524,0.041742,0.020871,0.41867,0.33588,3,1,1
0.10492,0.1027,0.032668,0.011797,0.57269,0.4899,3,1,1
0.11139,0.10916,0.033575,0.012704,0.52781,0.44503,3,1,1
0.10817,0.10594,0.033575,0.012704,0.49905,0.41626,3,1,1
0.11913,0.1169,0.030853,0.0099819,0.78661,0.70382,3,1,1
0.11867,0.11644,0.03176,0.010889,0.5668,0.48402,3,1,1
0.11602,0.11379,0.029946,0.0090744,0.65086,0.56808,3,1,1
0.1162,0.11397,0.028131,0.0072595,0.80738,0.7246,2,0,1
0.11374,0.11152,0.024501,0.0036298,1.1338,1.051,2,0,1
0.11198,0.10975,0.021779,0.00090744,1.5058,1.423,2,0,1
0.079116,0.076888,0.028131,0.0072595,1.6389,1.5561,2,0,1
0.032012,0.029784,0.043557,0.022686,1.0455,0.96268,2,0,1
0.02062,0.018392,0.036298,0.015426,1.3359,1.2531,2,0,1
0.019472,0.017244,0.018149,0,1.4705,1.3877,2,0,1
0.011514,0.0092862,0.044465,0.026316,1.3803,1.2975,2,0,1
0.01036,0.0081317,0.053539,0.03539,1.3343,1.2515,2,0,1
0.013161,0.010933,0.03176,0.013612,1.5628,1.48,2,0,1
0.013776,0.011548,0.025408,0.0072595,1.6432,1.5604,2,0,0
