@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
69.526,23.758,5.3216,1.7413,1981.1,1894.9,0.79791,0.71512,8,6,0
46.318,0.55085,5.2756,1.6953,1851.9,1765.7,0.73194,0.64916,7,5,0
81.392,35.624,5.4947,1.9143,258.4,172.27,0.4826,0.39981,10,8,0
81.186,35.419,5.5056,1.9253,2024.1,1938,0.29651,0.21372,10,8,0
98.854,53.087,5.5974,2.0171,193.8,107.67,0.23949,0.15671,19,17,0
99.925,54.157,5.6045,2.0241,2067.2,1981.1,0.25398,0.1712,17,15,0
83.651,37.883,5.4481,1.8678,2002.6,1916.5,0.46305,0.38027,10,8,0
93.892,48.124,5.5428,1.9624,215.33,129.2,0.37036,0.28757,15,13,0
93.921,48.154,5.564,1.9837,236.87,150.73,0.21116,0.12837,19,17,0
77.946,32.178,5.4406,1.8602,193.8,107.67,0.19363,0.11084,19,17,0
69.372,23.604,5.5286,1.9482,129.2,43.066,0.29624,0.21345,11,9,0
56.193,10.425,5.404,1.8236,258.4,172.27,0.18042,0.097634,11,9,0
45.479,0,5.3125,1.7322,236.87,150.73,0.24098,0.1582,12,10,0
38.274,0,5.3636,1.7833,387.6,301.46,0.21411,0.13132,24,22,0
39.659,1.3852,5.4497,1.8694,107.67,21.533,0.14244,0.05965,17,15,0
61.922,23.648,5.4852,1.9048,258.4,172.27,0.23946,0.15667,17,15,0
82.074,43.8,5.5506,1.9702,495.26,409.13,0.28883,0.20604,12,10,0
82.836,44.562,5.4407,1.8604,538.33,452.2,0.4615,0.37871,2,0,1
883.2,844.92,4.4832,0.90284,516.8,430.66,1.243,1.1602,2,0,1
1231.9,1193.6,4.2961,0.71575,495.26,409.13,1.4944,1.4117,2,0,1
1692.9,1654.7,4.5453,0.96491,473.73,387.6,1.5639,1.4811,2,0,1
1909.8,1871.5,4.5873,1.007,473.73,387.6,1.5209,1.4382,2,0,1
1978.6,1940.3,4.4656,0.88529,473.73,387.6,1.488,1.4052,2,0,1
2124.8,2086.5,4.476,0.89561,473.73,387.6,1.4528,1.37,9,7,1
2304.5,2266.3,4.6013,1.021,495.26,409.13,1.4193,1.3365,8,6,1
2281.7,2243.5,4.4307,0.85031,495.26,409.13,1.4246,1.3419,2,0,1
2348.4,2310.1,4.4819,0.90151,495.26,409.13,1.4568,1.374,2,0,1
2334.3,2296,4.4098,0.82947,495.26,409.13,1.4839,1.4011,2,0,1
2343.2,2304.9,4.4951,0.91477,495.26,409.13,1.4896,1.4068,2,0,1
2350.6,2312.3,4.4804,0.90004,495.26,409.13,1.5091,1.4263,2,0,1
2366,2327.7,4.422,0.84161,495.26,409.13,1.504,1.4213,2,0,1
2447.8,2409.6,4.5704,0.99008,495.26,409.13,1.5007,1.418,2,0,1
2404.1,2365.9,4.464,0.88365,495.26,409.13,1.5109,1.4281,2,0,1
2336.9,2298.6,4.434,0.85362,473.73,387.6,1.5475,1.4647,2,0,1
2350.8,2312.5,4.4973,0.91693,495.26,409.13,1.579,1.4963,2,0,1
2309.4,2271.1,4.4008,0.82049,495.26,409.13,1.5851,1.5023,2,0,1
2325.5,2287.3,4.5523,0.97192,473.73,387.6,1.563,1.4803,2,0,1
2257.2,2218.9,4.4563,0.87597,473.73,387.6,1.567,1.4842,3,1,1
