@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
1709.3,4.6393,366.06,0.12172,51,1
1684,4.5755,366.06,0.13242,52,1
1682,4.363,366.06,0.14373,51,1
1673.7,4.3348,366.06,0.13957,51,1
1724.2,4.1706,366.06,0.1491,51,1
1785.8,4.2908,366.06,0.1472,50,1
1794.3,4.3072,366.06,0.13487,49,1
1786.3,4.1329,366.06,0.14432,49,1
1882,4.1325,366.06,0.14523,48,1
1869.7,4.0696,366.06,0.14486,48,1
2011.3,4.1403,366.06,0.15127,48,1
2211.1,4.0852,387.6,0.1585,47,1
2361.6,4.2757,387.6,0.15511,45,1
2552.9,4.3513,387.6,0.13688,43,1
2565.8,4.5096,387.6,0.099715,44,1
2505.8,4.0363,387.6,0.1529,44,1
2469.7,4.0714,387.6,0.15513,43,1
2439.9,4.1327,387.6,0.14204,43,1
2551.8,4.1338,409.13,0.13994,42,1
2666.9,4.1928,409.13,0.12113,41,1
2794.7,4.1412,409.13,0.11535,41,1
2849.9,4.2368,409.13,0.10576,133,1
2778.6,4.2059,409.13,0.12517,40,1
2781.1,4.3005,409.13,0.10667,41,1
2776,4.2836,409.13,0.10973,41,1
2878.7,4.3106,409.13,0.11726,136,1
2834.4,4.2781,409.13,0.12066,42,1
2790.3,4.3428,409.13,0.11894,43,1
2726.3,4.3345,387.6,0.12185,43,1
2539.9,4.1917,387.6,0.12,43,1
2486.8,4.1652,387.6,0.12671,43,1
2485.5,4.325,387.6,0.12122,44,1
2548.9,4.4136,387.6,0.12092,45,1
2570.1,4.411,387.6,0.111,46,1
2308.7,4.1003,387.6,0.13619,47,1
2314.8,4.2374,366.06,0.12072,48,1
2165.2,4.3355,366.06,0.11954,49,1
1996.1,4.3068,366.06,0.11286,50,1
2025.5,4.2084,344.53,0.10866,53,1
1821.3,4.4652,344.53,0.10083,55,1
1859.7,4.3652,710.6,0.099471,60,1
1999.6,4.32,667.53,0.08653,67,1
2108.4,4.2261,646,0.097925,71,1
1895,4.3082,624.46,0.085071,78,1
1149.7,4.3928,602.93,0.068886,78,1
1010.5,4.4876,602.93,0.059194,77,1
983.71,4.5219,646,0.034031,79,1
621.11,4.6122,301.46,0.030872,72,1
780.08,4.7145,646,0.011275,71,1
983.14,4.6123,646,0.016861,69,1
928.22,4.5398,602.93,0.015678,76,1
