@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
21.947,4.4768,387.6,0
32.332,4.8134,387.6,0
42.127,5.2624,387.6,0
45.873,5.4435,2153.3,0
39.456,5.476,387.6,0
37.816,5.3485,387.6,0
35.565,5.462,1916.5,0
30.738,5.5172,2217.9,0
32.843,5.4499,2217.9,0
29.594,5.4607,2239.5,0
29.015,5.5109,129.2,0
31.006,5.5835,2088.7,0
33.428,5.5383,1894.9,0
29.986,5.5134,473.73,0
26.987,5.4623,64.6,0
29.427,5.4663,107.67,0
30.429,5.5813,473.73,0
26.829,5.6439,452.2,0
28.45,5.6086,387.6,0
27.744,5.5888,215.33,0
24.707,5.6354,193.8,0
21.17,5.6076,64.6,0
19.643,5.5367,279.93,0
23.08,5.5329,236.87,0
25.659,5.612,409.13,0
21.382,5.5983,344.53,0
16.346,5.5745,323,0
18.96,5.4579,215.33,0
19.308,5.4393,215.33,0
18.37,5.479,215.33,0
14.414,5.4603,0,0
17.025,5.4828,366.06,0
17.689,5.4346,193.8,0
19.751,5.4653,129.2,0
17.72,5.5718,0,0
18.507,5.4901,0,0
19.328,5.5073,215.33,0
21.667,5.5451,193.8,0
21.006,5.551,236.87,0
22.692,5.5113,193.8,0
29.311,5.5868,0,0
40.282,5.6946,2347.1,0
32.772,5.6581,2347.1,0
33.072,5.6332,753.66,0
36.574,5.6879,409.13,0
41.301,5.687,1464.3,0
39.165,5.6596,1464.3,0
43.188,5.6241,2390.2,0
50.521,5.7018,1485.8,0
48.524,5.5993,2282.5,0
39.071,5.5316,2024.1,0
36.824,5.3725,236.87,0
36.272,5.1589,129.2,0
25.511,5.0582,430.66,0
29.854,5.2878,193.8,0
18.62,4.9608,215.33,0
16.951,5.2824,172.27,0
19.405,5.3975,129.2,0
19.598,5.6018,215.33,0
15.495,5.1735,236.87,0
14.887,5.2668,193.8,0
14.431,5.2573,387.6,0
17.248,5.0953,495.26,0
14.802,4.9816,495.26,0
18.551,5.2488,495.26,0
18.465,5.0912,215.33,0
21.714,5.409,258.4,0
17.282,5.2352,258.4,0
16.48,5.4072,258.4,0
17.655,5.3768,258.4,0
21.082,5.4953,215.33,0
18.333,5.3938,258.4,0
17.21,5.1854,279.93,0
17.221,5.0995,236.87,0
16.238,5.2741,236.87,0
15.52,5.2329,215.33,0
14.263,5.4014,172.27,0
15.374,5.4244,150.73,0
17.322,5.1381,172.27,0
14.787,5.2867,258.4,0
14.009,5.0739,236.87,0
14.272,5.3307,236.87,0
14.562,5.1141,236.87,0
12.62,4.9006,236.87,0
11.806,5.2641,258.4,0
12.799,5.2535,236.87,0
22.269,5.6371,409.13,0
16.159,5.4313,193.8,0
14.042,5.3278,193.8,0
11.736,5.335,236.87,0
12.125,5.4903,236.87,0
30.476,5.5848,215.33,0
32.088,5.5267,150.73,0
30.341,5.4482,193.8,0
26.639,5.5018,258.4,0
23.986,5.412,387.6,0
21.37,5.3726,344.53,0
20.183,5.4251,193.8,0
28.583,5.3947,258.4,0
31.483,5.6461,86.133,0
20.832,5.5366,323,0
14.559,5.4797,64.6,0
11.391,5.4215,43.066,0
10.116,5.2761,172.27,0
11.761,5.2367,193.8,0
11.428,5.2756,0,0
19.941,5.5021,344.53,0
11.97,5.2887,323,0
15.454,5.1069,473.73,0
16.867,4.9473,150.73,0
15.511,5.1318,193.8,0
15.342,5.2593,279.93,0
14.222,5.2539,279.93,0
18.431,5.2004,279.93,0
18.902,5.2442,172.27,0
15.937,5.2361,129.2,0
16.153,5.3168,129.2,0
40.643,5.5249,172.27,0
63.9,5.6513,1442.7,0
63.245,5.6323,2863.9,0
52.784,5.59,215.33,0
45.324,5.5188,215.33,0
32.104,5.4844,150.73,0
26.081,5.3796,215.33,0
31.809,5.6496,236.87,0
64.454,5.7457,3919,0
57.788,5.6987,2885.4,0
48.472,5.6569,129.2,0
50.296,5.5856,150.73,0
52.214,5.368,150.73,0
45.485,5.3267,1119.7,0
58.163,5.5954,172.27,0
54.9,5.6213,86.133,0
53.74,5.6607,129.2,0
39.085,5.6457,172.27,0
38.665,5.5691,172.27,0
48.535,5.4859,0,0
62.367,5.4481,904.39,0
72.271,5.4513,818.26,0
73.742,5.434,2433.3,0
73.851,5.4326,1894.9,0
75.433,5.4505,2304.1,0
83.882,5.5452,1916.5,0
80.607,5.5087,2325.6,0
85.652,5.5655,2433.3,0
83.92,5.5468,2174.9,0
78.944,5.4948,473.73,0
73.833,5.4542,2045.7,0
68.124,5.4121,279.93,0
60.467,5.4001,301.46,0
50.844,5.4686,495.26,0
46.467,5.3707,172.27,0
42.357,5.3677,452.2,0
41.351,5.3517,0,0
40.966,5.2755,409.13,0
60.309,5.4736,387.6,0
67.58,5.4284,1894.9,0
64.494,5.361,2045.7,0
73.444,5.461,279.93,0
72.729,5.4599,279.93,0
67.737,5.4285,215.33,0
90.667,5.6345,8053.4,0
52.01,5.472,344.53,0
76.397,5.4679,129.2,0
67.414,5.3528,2045.7,0
56.944,5.2355,150.73,0
40.418,5.0688,150.73,0
36.988,5.3423,43.066,0
37.333,5.4344,43.066,0
