@relation featureMatrix

@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.30033,0.028131,0.12066,42,1
0.2934,0.027223,0.11894,43,1
0.28454,0.033575,0.12185,43,1
0.27155,0.04265,0.12,43,1
0.26487,0.046279,0.12671,43,1
0.26378,0.043557,0.12122,44,1
0.25317,0.041742,0.12092,45,1
0.24702,0.04265,0.111,46,1
0.23802,0.034483,0.13619,47,1
0.23313,0.033575,0.12072,48,1
0.22193,0.051724,0.11954,49,1
0.20106,0.052632,0.11286,50,1
0.20402,0.041742,0.10866,53,1
0.19735,0.039927,0.10083,55,1
0.19263,0.037205,0.099471,60,1
0.22543,0.033575,0.08653,67,1
0.24277,0.03539,0.097925,71,1
0.20881,0.036298,0.085071,78,1
0.15739,0.03176,0.068886,78,1
0.14006,0.036298,0.059194,77,1
0.12612,0.040835,0.034031,79,1
0.095351,0.043557,0.030872,72,1
0.085524,0.041742,0.011275,71,1
0.1027,0.032668,0.016861,69,1
0.10916,0.033575,0.015678,76,1
0.10594,0.033575,0.020391,66,1
0.1169,0.030853,0.012325,10,1
0.11644,0.03176,0.01568,28,1
0.11379,0.029946,0.012633,32,1
0.11397,0.028131,0.021167,24,1
0.11152,0.024501,0.015811,131,1
0.10975,0.021779,0.025655,125,1
0.076888,0.028131,0.029084,39,1
0.029784,0.043557,0.010897,41,1
0.018392,0.036298,0.012965,39,1
0.017244,0.018149,0.0099133,57,1
0.0092862,0.044465,0.0086158,41,1
0.0081317,0.053539,0.0096754,54,1
0.010933,0.03176,0.013287,57,1
0.011548,0.025408,0.01473,48,0
0.010044,0.023593,0.01009,42,0
0.005248,0.038113,0.0081948,42,0
0.0020845,0.088929,0.0049164,53,0
0.00075788,0.11887,0.0018954,130,0
0.00016916,0.11434,0.0014139,46,0
0.00027855,0.11434,0.0033031,41,0
1.0106e-06,0.12704,0.00069403,102,0
0,0.14882,0.00050324,63,0
0,0.15064,0.001553,58,0
0,0.14701,0.0011373,61,0
0,0.13975,0.0004631,139,0
0,0.13884,0.00028822,136,0
2.7633e-05,0.14701,0.00069578,59,0
5.6604e-05,0.15245,0.00040983,102,0
5.1336e-05,0.12976,8.2091e-06,53,0
7.4598e-05,0.12341,0.00040258,33,0
0,0.15336,0.00094913,114,0
0,0.15971,0.00036389,35,0
5.9596e-05,0.16515,0.00052865,39,0
8.7509e-05,0.17695,0.00041248,120,0
0,0.18603,0,90,0
0,0.18421,0.00026117,7,0
7.1899e-05,0.17604,0,28,0
0.00024339,0.15426,0.00023169,106,0
0.00015508,0.16969,0.00034933,42,0
0,0.20871,0,61,0
0,0.22232,0,45,0
0.00014745,0.20236,0,26,0
0.00025095,0.16606,0.00032875,96,0
0.00011661,0.18421,2.8443e-05,116,0
0,0.22323,0,111,0
0,0.20599,0.00024058,60,0
0.00021293,0.15154,0,60,0
0.00034809,0.14247,0.00036578,66,0
0.00020177,0.16697,6.1027e-05,65,0
0.00017586,0.16243,0.00025737,89,0
0.00019072,0.1588,0.00025084,42,0
0.00010736,0.16788,0.00022903,35,0
0.00021436,0.16515,0.00093521,106,0
0.00038191,0.16969,0.00053119,65,0
0.00051866,0.18784,0.001684,62,0
0.0008113,0.20871,0.0018076,58,0
0.0007997,0.21234,0.0013759,67,0
0.00061142,0.21688,0.001409,117,0
0.00083367,0.20871,0.0014223,21,0
0.0010392,0.18784,0.0016054,73,0
0.0010359,0.19782,0.0015027,68,0
0.0012234,0.19056,0.0020639,59,0
0.0014884,0.19056,0.0034572,36,0
0.0015258,0.16969,0.0033537,60,0
0.0012594,0.14338,0.0016076,148,0
0.0023775,0.11162,0.0013782,108,0
0.0028125,0.056261,0.0013218,94,0
0.0019744,0.057169,0.0022101,56,0
0.0019713,0.058076,0.00044003,50,0
0.0015957,0.062613,0.00023841,114,0
0.00065501,0.10436,4.3821e-05,67,0
0.0003864,0.18149,0.00059063,88,0
0.00041048,0.17514,0.00016683,89,0
0.00035077,0.12613,0,105,0
0.00032659,0.11978,0,41,0
0.00056504,0.11434,0.00056952,33,0
0.00059519,0.13612,0.0016975,32,0
0.00071476,0.11525,0.0015071,33,0
0.00086906,0.087114,0.0011395,37,0
0.00083652,0.10254,0.00039221,44,0
0.00071063,0.10799,0.00075287,42,0
0.00050476,0.13067,0.0016566,114,0
0.00031368,0.17423,0.00089489,105,0
0.0003907,0.13158,0.00062482,130,0
0.00041637,0.13249,0.0012141,124,0
0.00035628,0.17423,0.0010888,89,0
0.00084759,0.11797,0.00028556,117,0
0.0010697,0.077132,0.00069377,137,0
0.00063524,0.11252,0.00032927,149,0
0.00030294,0.13521,0.0002834,43,0
0.00028847,0.11525,1.053e-05,131,0
0.00035413,0.14247,0,110,0
0.00051737,0.14882,0.00065285,142,0
0.0005182,0.12341,0.00045582,120,0
0.00044245,0.11797,0.00066144,139,0
0.00041346,0.098911,0.00029687,40,0
0.00066756,0.065336,0.00047918,81,0
0.00064446,0.088022,0.00063892,153,0
0.00037197,0.10889,0.00023021,114,0
0.00036535,0.11525,1.967e-05,76,0
0.00020303,0.19147,0.00088713,28,0
0.00016987,0.20599,0.00030119,80,0
0.00027651,0.16425,0.00031624,141,0
9.7487e-05,0.17604,0.00011669,127,0
0.00014248,0.1833,0.00015842,57,0
0.00050887,0.16425,0.0018655,123,0
0.00083794,0.12886,0.0019564,57,0
0.00081255,0.10799,0.0022541,56,0
0.00064619,0.12432,0.0012903,105,0
0.0005172,0.13702,0.001551,72,0
0.00040285,0.13339,0.0013035,57,0
0.00054472,0.13612,0.00026061,74,0
0.0005546,0.13702,0.0011999,117,0
0.00052764,0.16334,0.001719,38,0
0.00035793,0.17151,0.00061283,38,0
9.81e-05,0.14882,0.00059788,71,0
3.3739e-05,0.15789,0.00035983,43,0
8.421e-05,0.17604,0,61,0
8.6258e-05,0.18784,0.00027026,63,0
7.8802e-05,0.18603,0.00038304,105,0
0.00015504,0.15426,0.00077052,108,0
0.00019073,0.14065,0.0011624,76,0
0.00079638,0.11525,0.0014347,42,0
0.0010223,0.07441,0.0013486,42,0
0.00056282,0.097096,0.00059979,46,0
0.00054813,0.11343,0.0006039,87,0
0.00061732,0.11071,0.00093412,41,0
0.00054418,0.13702,0.0014209,116,0
0.00064215,0.11706,0.0006946,47,0
0.00060827,0.096189,0.00088891,48,0
0.0005313,0.12341,0.0006273,92,0
0.0015169,0.13067,0.00064159,104,0
0.0026282,0.13612,0.0040416,105,0
0.002709,0.13249,0.0030587,42,0
0.0022102,0.11797,0.0033055,51,0
0.0015136,0.12432,0.0029101,69,0
0.00091696,0.12341,0.0020609,46,0
0.00075627,0.12795,0.0019849,72,0
0.0013286,0.15426,0.0010535,98,0
