@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.23863,0.18041,0.084392,0,2863,2617.1,4.7859,0.3489,473.73,323,1
0.2512,0.19298,0.084392,0,2873.5,2627.6,4.7373,0.39754,473.73,323,1
0.23779,0.17958,0.087114,0,2914.5,2668.6,4.6844,0.45041,473.73,323,1
0.24903,0.19081,0.07804,0.0090744,3155.8,2910,4.7754,0.35945,473.73,323,1
0.26932,0.21111,0.060799,0.026316,2647.8,2401.9,4.8191,0.31573,473.73,323,1
0.27484,0.21662,0.055354,0.03176,2961.7,2715.8,4.6976,0.43723,495.26,344.53,1
0.28645,0.22823,0.051724,0.03539,2959.9,2714,4.6158,0.51902,495.26,344.53,1
0.30957,0.25135,0.044465,0.04265,3006.1,2760.2,4.6229,0.51189,495.26,344.53,1
0.32405,0.26583,0.03902,0.048094,3549,3303.1,4.6717,0.46308,495.26,344.53,1
0.30848,0.25026,0.047187,0.039927,3433.6,3187.7,4.7508,0.384,516.8,366.06,1
0.2892,0.23098,0.053539,0.033575,3241.5,2995.6,4.6575,0.4773,495.26,344.53,1
0.28383,0.22561,0.053539,0.033575,3142.3,2896.4,4.7433,0.3915,516.8,366.06,1
0.29929,0.24107,0.051724,0.03539,3412,3166.1,4.6752,0.45965,516.8,366.06,1
0.32561,0.26739,0.049002,0.038113,3747.8,3502,4.7114,0.42344,516.8,366.06,1
0.34492,0.2867,0.046279,0.040835,4311.1,4065.3,4.7048,0.43003,516.8,366.06,1
0.35366,0.29544,0.051724,0.03539,4642.2,4396.3,4.7507,0.3841,516.8,366.06,1
0.37946,0.32124,0.047187,0.039927,4343,4097.2,4.712,0.42286,516.8,366.06,1
0.4153,0.35708,0.029946,0.057169,4327.4,4081.5,4.4253,0.70947,516.8,366.06,1
0.40731,0.3491,0.026316,0.060799,4034,3788.1,4.5569,0.57794,516.8,366.06,1
0.38374,0.32552,0.037205,0.049909,4082.3,3836.4,4.4638,0.67105,516.8,366.06,1
0.36154,0.30332,0.054446,0.032668,3951,3705.2,4.5998,0.53506,516.8,366.06,1
0.33667,0.27845,0.057169,0.029946,3641.5,3395.6,4.7,0.43478,516.8,366.06,1
0.36314,0.30493,0.048094,0.03902,3988.8,3742.9,4.5498,0.58498,516.8,366.06,1
0.38255,0.32434,0.039927,0.047187,3887.2,3641.3,4.4958,0.63905,516.8,366.06,1
