@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.11051,562.97,516.8,0.022686,-4.4454,0.0022719,0,0,1.2316,10,0
0.12564,842.54,538.33,0.023593,-4.298,0.00020626,0,0,1.2731,10,0
0.12323,843.81,538.33,0.021779,-4.3693,0.001363,0,0,1.2285,10,0
0.13723,867,538.33,0.021779,-4.3842,0.0038389,0,0,1.2361,10,0
0.14798,993.95,538.33,0.023593,-4.2637,0.0013442,0,0,1.3305,10,0
0.15048,1043.6,516.8,0.022686,-4.4038,0.0018525,0,0,1.2011,10,0
0.14009,1083.7,516.8,0.021779,-4.5506,0.0089728,0,0,1.1092,9,0
0.10655,584.87,516.8,0.030853,-4.9459,0.011472,1,17,0.85649,9,0
0.10604,749.55,495.26,0.029946,-4.9717,0.019715,1,17,0.82978,9,0
0.10917,855.67,495.26,0.029038,-4.8623,0.013072,2,17,0.83041,9,0
0.095106,565.34,215.33,0.029946,-5.1375,0.022831,2,17,0.44345,15,0
0.10683,702.84,409.13,0.027223,-4.9174,0.031008,2,17,0.84379,7,0
0.1026,666.67,387.6,0.038113,-4.9873,0.020524,1,15,0.85697,8,0
0.082387,564.98,495.26,0.038113,-4.9464,0.02943,1,16,0.67261,12,0
0.068883,270.87,473.73,0.027223,-5.187,0.02748,1,17,0.64473,9,0
0.050299,173.5,516.8,0.038113,-5.2561,0.019405,1,17,0.44489,18,0
0.047406,174.82,516.8,0.045372,-5.1584,0.021881,1,16,0.69677,15,0
0.048896,83.197,409.13,0.041742,-5.2733,0.0064601,0,0,0.53417,14,0
0.037118,43.68,366.06,0.034483,-5.3543,0.012193,1,8,0.61917,17,0
0.037921,4.136,387.6,0.033575,-5.4378,0.007912,0,0,0.52933,13,0
0.036874,4.9676,495.26,0.03902,-5.3607,0.0029257,0,0,0.5977,12,1
0.031106,13.145,301.46,0.039927,-5.3105,0.0034993,0,0,0.38531,20,1
0.037335,92.376,387.6,0.037205,-5.0668,0.00020259,0,0,0.81393,10,1
0.049208,50.863,366.06,0.030853,-5.1626,0.0019064,0,0,0.46301,10,1
0.049772,188.67,473.73,0.029946,-5.0903,0.0051025,0,0,0.55682,10,1
0.057035,312.87,559.86,0.029946,-5.1273,0.0091353,0,0,0.52931,11,1
0.10654,352.43,495.26,0.027223,-4.9984,0.0084982,0,0,0.35901,9,1
0.18642,1936.6,473.73,0.025408,-4.7068,0.0091784,0,0,0.87594,9,1
0.24474,2117,452.2,0.036298,-4.7176,0.036048,3,15,1.3454,8,1
0.26592,2433.9,430.66,0.049909,-4.9942,0.037634,1,15,1.3671,8,1
0.28273,2751.1,430.66,0.051724,-5.0465,0.04995,4,4,1.4462,8,1
0.28468,2818.9,430.66,0.051724,-4.9731,0.045287,4,4,1.447,8,1
0.28113,2730.6,452.2,0.049002,-5.0073,0.039889,4,4,1.3855,11,1
0.28875,3013.1,452.2,0.045372,-5.0798,0.048305,4,4,1.4394,10,1
0.29842,3059.9,452.2,0.045372,-5.0484,0.041358,4,4,1.4345,8,1
0.3087,3081.3,452.2,0.043557,-4.9822,0.051537,4,5,1.4284,8,1
0.31481,3068.4,452.2,0.043557,-4.9982,0.040376,4,4,1.433,8,1
0.32013,3230,452.2,0.044465,-4.9061,0.032209,3,4,1.5145,8,1
0.31193,3066,452.2,0.04265,-5.0464,0.055826,4,4,1.4032,8,1
0.31431,3160.7,452.2,0.039927,-5.0404,0.049198,4,4,1.4349,8,1
0.32031,3251.5,452.2,0.040835,-4.9415,0.045725,4,4,1.4703,8,1
0.3143,3291.9,452.2,0.04265,-5.0673,0.054094,4,5,1.4742,8,1
0.31577,3129.3,452.2,0.039927,-5.0303,0.050143,4,4,1.4149,8,1
0.31727,3139,452.2,0.039927,-4.9682,0.042952,4,5,1.4644,8,1
0.32058,3116.3,452.2,0.040835,-5.0002,0.048172,4,4,1.4432,8,1
0.32148,3182.4,452.2,0.039927,-4.8567,0.038243,4,4,1.4877,8,1
0.31689,2986.2,452.2,0.047187,-5.0075,0.046541,3,5,1.396,8,1
0.31255,3217.8,452.2,0.058076,-5.0105,0.050752,4,5,1.4273,11,1
0.30933,3176.7,452.2,0.058076,-4.9962,0.063902,3,5,1.4483,8,1
0.30396,3202.7,430.66,0.053539,-5.0962,0.064914,4,5,1.3692,8,1
0.28495,3068.8,430.66,0.054446,-5.1084,0.057546,4,5,1.2714,8,1
0.27881,3028.1,430.66,0.054446,-5.0071,0.055838,4,5,1.3206,8,1
0.28361,3166,430.66,0.056261,-5.094,0.049852,3,5,1.3099,10,1
0.26992,3133.6,430.66,0.067151,-5.0538,0.061465,4,5,1.2639,15,1
0.25129,2699.7,409.13,0.07441,-5.1642,0.068074,4,4,1.1597,24,1
0.25287,2729.2,409.13,0.066243,-5.0985,0.070259,4,4,1.2338,34,1
0.25834,2862,409.13,0.057169,-5.0553,0.059776,4,4,1.2894,24,1
0.25417,2745.5,409.13,0.062613,-5.1156,0.062935,4,4,1.2263,37,1
0.25438,2807,409.13,0.069873,-5.0861,0.055327,4,4,1.2259,32,1
0.25511,2702.5,430.66,0.072595,-5.1104,0.056455,4,5,1.1925,35,1
0.2622,2887.8,430.66,0.07078,-5.1007,0.056323,4,4,1.2871,14,1
0.26543,2874,430.66,0.058076,-5.1481,0.058834,4,5,1.2846,8,1
0.26256,2907,430.66,0.052632,-5.1362,0.058665,4,5,1.2645,11,1
0.26056,2959.2,430.66,0.054446,-5.1298,0.061067,4,5,1.2446,13,1
0.26068,2833.5,430.66,0.056261,-5.1352,0.055479,4,5,1.2256,8,1
0.26308,2941.9,430.66,0.058076,-5.1184,0.048802,4,5,1.2711,11,1
0.27003,2920.3,430.66,0.055354,-5.0564,0.049612,3,4,1.3392,8,1
0.27936,3051.7,430.66,0.051724,-5.1604,0.052916,4,4,1.3866,8,1
0.28613,3065.7,430.66,0.049002,-5.0488,0.058979,4,4,1.3589,8,1
0.28288,3114.2,430.66,0.048094,-5.0911,0.057275,4,4,1.3406,12,1
0.28219,3256.9,430.66,0.060799,-5.0274,0.047004,3,4,1.3319,17,1
0.28237,3067.8,430.66,0.067151,-5.057,0.056045,3,4,1.3448,22,1
0.27129,3027.1,430.66,0.067151,-5.0906,0.060293,3,4,1.3159,37,1
0.2592,3024.4,430.66,0.07078,-5.1471,0.055977,3,4,1.2151,32,1
0.24322,2762.7,409.13,0.075318,-5.1359,0.055163,3,4,1.1759,22,1
0.2392,2686.8,409.13,0.08167,-5.06,0.050803,3,4,1.194,21,1
0.24423,2735.1,409.13,0.080762,-5.0496,0.045051,3,4,1.1555,21,1
0.24113,2809.9,409.13,0.073503,-4.9755,0.05064,3,4,1.1737,21,1
0.23727,2711,409.13,0.065336,-4.9336,0.057956,3,4,1.1958,21,1
0.23899,2727.3,409.13,0.066243,-5.0294,0.056987,4,4,1.1971,21,1
0.24249,2629.7,409.13,0.058076,-4.9511,0.058408,2,4,1.2288,24,1
