@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.16158,1897.2,732.13,0.049002,-4.9425,0.0037209,0,0,0.46256,23,0
0.15533,1662,150.73,0.053539,-5.1854,0.01976,1,29,0.43866,19,0
0.13603,1632.1,1033.6,0.053539,-5.2122,0.012069,1,21,0.56137,21,0
0.12303,1221.2,172.27,0.049002,-5.3554,0.013282,1,26,0.53,19,0
0.11498,937.68,150.73,0.044465,-5.4013,0.013029,2,16,0.4154,19,0
0.13982,1474.2,710.6,0.037205,-5.2167,0.021952,1,26,0.68088,12,0
0.1632,1836.3,172.27,0.034483,-5.0927,0.014121,1,24,0.4619,15,1
0.22379,3136.9,430.66,0.036298,-5.0616,0.015663,1,16,0.62488,13,1
0.26815,3794.2,409.13,0.040835,-5.0624,0.017955,3,17,0.58151,24,1
0.29237,3778.5,387.6,0.043557,-5.1352,0.035703,2,16,0.77493,22,1
0.30929,4619.2,344.53,0.038113,-5.0697,0.031902,3,15,0.66128,25,1
0.339,5585,323,0.034483,-5.2298,0.043756,2,16,0.57967,18,1
0.39855,6427,344.53,0.039927,-5.164,0.026844,2,17,0.67505,22,1
0.39543,6266.4,430.66,0.04265,-5.1568,0.017812,3,14,0.6785,26,1
0.3759,6180.2,344.53,0.043557,-5.3675,0.041647,2,16,0.53155,29,1
0.39669,7124.8,344.53,0.047187,-5.3299,0.02398,3,5,0.4755,27,1
0.40465,7355.2,538.33,0.049002,-5.3301,0.042661,3,17,0.63141,20,1
0.41901,7043.6,538.33,0.045372,-5.2946,0.029678,3,14,0.5512,15,1
0.43484,7462.5,516.8,0.041742,-5.2944,0.023365,3,17,0.92964,14,1
0.44369,7123.6,516.8,0.03902,-5.3573,0.061167,2,16,0.87822,13,1
0.43966,7156.8,538.33,0.049002,-5.3921,0.041781,4,5,0.90229,11,1
0.41248,7073.3,452.2,0.062613,-5.3269,0.039383,4,5,0.73226,25,1
0.36117,5310.4,452.2,0.069873,-5.3346,0.034811,3,16,0.78565,33,1
0.33564,4681,452.2,0.067151,-5.3297,0.058546,4,4,1.0618,32,1
0.35891,4970.8,452.2,0.057169,-5.2134,0.038087,4,5,1.1723,31,1
0.34569,4565,452.2,0.058984,-5.2842,0.047289,4,5,0.94967,31,1
0.32935,5036.1,430.66,0.058076,-5.2223,0.039686,4,6,0.93911,31,1
0.31946,4322,430.66,0.069873,-5.245,0.034955,2,7,0.93051,31,1
0.32413,4317.2,430.66,0.058984,-5.2715,0.033845,4,5,1.1345,30,1
0.35232,4412.7,452.2,0.03539,-5.2493,0.031378,2,5,1.2013,10,1
0.35616,4142.1,452.2,0.044465,-5.1045,0.025016,3,5,1.3342,8,1
0.34324,4856.7,452.2,0.048094,-5.2239,0.036558,4,5,1.0632,8,1
0.35602,4703.2,452.2,0.041742,-5.1448,0.017008,3,5,1.1195,8,1
0.39595,5028.1,452.2,0.029038,-5.0394,0.024014,4,5,1.2914,8,1
0.41067,4578.6,473.73,0.029038,-5.1061,0.038147,5,5,1.366,8,1
0.38555,4710.1,473.73,0.037205,-5.1849,0.034306,4,5,1.3403,8,1
0.37904,5092,473.73,0.041742,-5.22,0.023825,4,5,1.2807,8,1
0.40506,6080.5,452.2,0.03902,-5.2899,0.033538,3,5,0.96292,12,1
0.38403,6546.5,473.73,0.046279,-5.3994,0.046043,2,12,0.4927,25,1
0.38106,6432.2,473.73,0.049909,-5.2866,0.031337,2,12,0.85765,15,1
0.4271,5514.9,452.2,0.037205,-5.2596,0.040467,3,12,1.0366,9,1
0.42249,5294.8,473.73,0.03902,-5.2073,0.03423,4,4,1.3226,9,1
0.40788,5456.4,473.73,0.045372,-5.116,0.035621,2,12,1.3565,9,1
0.42902,5405.1,473.73,0.03902,-5.186,0.025015,3,4,1.1842,9,1
0.42591,5455.3,495.26,0.034483,-5.1968,0.031415,4,4,1.3064,9,1
0.41543,5062.3,473.73,0.034483,-5.0872,0.021422,3,11,1.4066,9,1
0.43339,5395,473.73,0.03176,-5.1651,0.045632,4,4,1.4301,9,1
0.44544,5097.4,473.73,0.032668,-5.0258,0.031191,3,4,1.5157,9,1
0.44079,5051.5,473.73,0.03539,-5.2602,0.048633,4,4,1.3662,9,1
0.44338,5241.3,473.73,0.03539,-5.1108,0.04255,3,4,1.4313,10,1
0.43887,5600.7,473.73,0.03539,-5.1441,0.048974,3,4,1.3545,9,1
0.43858,4910.6,473.73,0.033575,-4.9653,0.01809,3,4,1.4151,9,1
0.4465,4059.5,473.73,0.025408,-4.8035,0.026805,2,4,1.5117,9,1
0.43991,4050.7,473.73,0.022686,-4.8132,0.027554,3,4,1.5007,9,1
0.4442,3936.8,473.73,0.022686,-4.6784,0.020337,1,12,1.4798,9,1
0.46765,4291.2,495.26,0.020871,-4.7506,0.018683,2,12,1.4782,9,1
0.47231,4212.5,495.26,0.023593,-4.6132,0.0093824,0,0,1.5819,9,1
0.43133,4175.4,495.26,0.025408,-4.8617,0.022724,3,11,1.4934,9,1
0.38035,3788.4,495.26,0.025408,-4.8728,0.020266,2,11,1.4126,9,0
0.36427,3607.4,495.26,0.024501,-4.8404,0.015055,2,11,1.2067,9,0
0.32114,3413.1,473.73,0.022686,-4.8136,0.028633,2,14,1.1812,8,0
0.23278,2156.1,430.66,0.025408,-5.0886,0.039135,2,14,0.6753,8,0
0.16434,1582.4,366.06,0.039927,-5.2375,0.025957,1,13,0.51769,9,0
0.15564,1331.3,409.13,0.04265,-5.1838,0.024222,1,14,0.59639,12,0
0.17171,1817.3,409.13,0.032668,-4.899,0.013194,1,13,0.89865,7,0
0.17188,1350.4,409.13,0.024501,-5.002,0.029538,2,15,0.60677,7,0
0.21574,1883.7,409.13,0.019056,-4.7938,0.0039639,0,0,0.54663,12,0
0.30575,3446.6,516.8,0.020871,-4.5384,0.00077628,0,0,0.96943,10,0
0.40556,4243.1,516.8,0.022686,-4.4413,0.0065725,0,0,1.3476,10,0
0.45033,4884.1,516.8,0.023593,-4.5349,0.0033698,0,0,1.4066,10,0
0.45475,5246,538.33,0.022686,-4.5193,0.0074734,0,0,1.2598,10,0
0.47487,5427,538.33,0.022686,-4.5438,0.0084905,0,0,1.2218,10,0
0.48215,5478.8,538.33,0.023593,-4.5299,0.015351,1,31,1.2906,10,0
0.47951,5754.3,516.8,0.022686,-4.5956,0.023009,1,27,1.2422,10,0
0.46366,5917.6,516.8,0.023593,-4.6315,0.017429,1,29,1.0687,9,0
0.39609,5024.1,516.8,0.029038,-4.688,0.010925,1,26,0.92762,9,0
0.38898,5229.4,495.26,0.027223,-4.7146,0.0075421,0,0,0.87976,9,0
0.40171,5225,495.26,0.023593,-4.7574,0.011186,1,12,0.77658,9,0
0.37566,4913.3,215.33,0.020871,-4.7524,0.024247,1,15,0.45881,12,0
0.39672,5264.4,409.13,0.023593,-4.6664,0.0083358,0,0,0.8719,7,0
0.37661,4907.2,387.6,0.03539,-4.8085,0.015362,1,15,0.85372,9,0
0.32558,4472.4,495.26,0.03539,-4.6654,0.0075143,0,0,0.67021,10,0
0.30466,3214.7,473.73,0.024501,-4.7694,0.013069,1,17,0.74964,9,0
0.23131,2720.3,516.8,0.032668,-4.8413,0.015107,1,15,0.49361,9,0
0.22048,2876.4,516.8,0.03902,-4.8782,0.018548,1,16,0.68905,11,0
0.23021,2260.8,409.13,0.029946,-5.1359,0.034221,2,8,0.53003,12,0
0.16952,1955.9,366.06,0.029038,-5.2814,0.043491,3,9,0.60496,18,0
0.17583,1769.2,387.6,0.034483,-5.2854,0.026819,1,11,0.51871,11,0
0.17266,1589.5,495.26,0.033575,-5.2507,0.01089,1,28,0.61504,12,1
0.14726,1683.1,301.46,0.03902,-5.2083,0.016012,1,19,0.36688,21,1
0.17532,2148,387.6,0.041742,-4.9769,0.0064286,0,0,0.83245,10,1
0.22557,1829,366.06,0.029038,-5.0626,0.013311,1,17,0.47633,10,1
0.23018,3017.1,473.73,0.029946,-4.9008,0.0071533,0,0,0.54799,10,1
0.25793,3852,559.86,0.029946,-4.8968,0.0089301,0,0,0.53041,10,1
0.29526,3823.6,387.6,0.025408,-4.761,0.016906,1,16,0.46133,9,1
0.29389,3424.3,430.66,0.023593,-4.8927,0.0077477,0,0,0.75185,8,1
0.2708,3303.3,452.2,0.027223,-5.0279,0.02356,2,14,0.87041,9,1
0.27273,3362.2,430.66,0.03176,-5.1803,0.044501,3,14,0.85603,10,1
0.33262,4045.5,430.66,0.028131,-5.1762,0.031903,3,12,1.2902,8,1
0.33275,4091.1,452.2,0.033575,-5.1265,0.031588,2,12,1.2517,11,1
0.28466,3411.4,452.2,0.044465,-5.2517,0.041059,4,4,0.92193,25,1
0.27762,4100.2,430.66,0.049909,-5.2432,0.040471,4,4,0.81376,37,1
0.30289,4382.9,452.2,0.049002,-5.2095,0.032406,2,4,0.94006,18,1
0.32285,3973.9,452.2,0.041742,-5.1565,0.043017,2,14,1.1015,8,1
0.32566,3821.2,452.2,0.041742,-5.2168,0.029032,4,4,0.94774,8,1
0.33851,4781.7,452.2,0.04265,-4.9673,0.02216,1,12,1.0032,11,1
0.32382,3905.4,452.2,0.044465,-5.2694,0.034509,3,12,0.78624,14,1
0.32985,4330.9,452.2,0.044465,-5.1943,0.047387,5,4,0.9669,12,1
0.33276,4840.3,452.2,0.047187,-5.1032,0.032117,4,4,0.89504,12,1
0.31463,4567.5,452.2,0.052632,-5.1609,0.066532,3,4,0.79845,30,1
0.32065,3731.1,452.2,0.048094,-5.2597,0.036613,3,12,0.94144,9,1
0.30485,3991.4,452.2,0.043557,-5.1759,0.035723,2,12,1.1122,8,1
0.31177,3701,452.2,0.043557,-5.2562,0.053109,3,4,1.154,8,1
0.32581,3889.8,452.2,0.047187,-5.0463,0.024458,2,11,1.2856,9,1
0.30544,3194.2,452.2,0.052632,-5.3224,0.039998,3,4,0.91243,10,1
0.29081,3587.4,430.66,0.050817,-5.225,0.035237,4,5,1.2467,18,1
0.2763,3508.6,452.2,0.053539,-5.2416,0.060578,3,12,1.2786,18,1
0.27976,3550.1,430.66,0.054446,-5.2901,0.055737,4,4,1.0557,8,1
0.26436,3296.1,430.66,0.047187,-5.3251,0.055159,4,4,0.91852,8,1
0.25736,3543.8,430.66,0.043557,-5.2166,0.052432,2,14,1.0213,10,1
0.30146,4374.3,430.66,0.047187,-5.2088,0.042367,2,14,0.83966,12,1
0.29568,4432.2,409.13,0.058984,-5.1184,0.055553,3,4,0.78437,41,1
0.25079,3150.9,430.66,0.062613,-5.3139,0.055928,4,4,0.80963,58,1
0.26269,3132.4,409.13,0.04265,-5.2385,0.045636,2,14,1.0533,31,1
0.27629,3499.3,409.13,0.039927,-5.1823,0.03744,4,4,1.182,15,1
0.25271,3046.8,430.66,0.058984,-5.2918,0.064294,4,4,0.92371,37,1
0.24329,3282.8,409.13,0.055354,-5.3013,0.043735,4,4,0.95228,48,1
0.23905,2707.9,430.66,0.058076,-5.4445,0.063397,4,4,1.0112,41,1
0.2589,3358.5,409.13,0.052632,-5.2447,0.050741,4,4,1.1215,25,1
0.2638,3513.5,430.66,0.053539,-5.3545,0.057738,4,4,0.9404,12,1
0.26264,3384.3,430.66,0.068966,-5.3304,0.054222,4,4,0.78208,34,1
0.26043,3864.2,430.66,0.060799,-5.2766,0.045281,3,4,0.79047,41,1
0.26369,3323.4,430.66,0.054446,-5.3647,0.050532,3,4,0.85112,20,1
0.27226,3782.4,430.66,0.052632,-5.3217,0.0448,4,4,0.92877,16,1
0.28019,3769,430.66,0.044465,-5.3504,0.038741,2,14,1.0136,12,1
0.28918,4430.7,430.66,0.037205,-5.318,0.043311,2,11,0.85453,11,1
0.30548,4246.4,430.66,0.045372,-5.2784,0.052262,2,12,0.76944,18,1
0.302,4574.4,430.66,0.057169,-5.2934,0.046185,2,12,0.78794,24,1
0.28824,4643.4,430.66,0.055354,-5.2501,0.01961,2,4,0.82821,23,1
0.27748,3624.4,430.66,0.059891,-5.3359,0.032517,3,4,0.97785,23,1
0.26206,3706.7,430.66,0.07078,-5.3962,0.058553,2,4,0.81997,37,1
0.27509,4195.2,409.13,0.068966,-5.2964,0.040239,3,4,0.86292,27,1
0.26368,3427.6,409.13,0.061706,-5.3007,0.071617,3,4,0.89118,16,1
0.2456,3149.5,409.13,0.055354,-5.2568,0.050432,3,4,0.85412,21,1
