@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE entropy 	REAL
@ATTRIBUTE domfreq 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.15364,0.19743,0.0097561,1
0.14677,0.15074,0.019512,1
0.20111,0.19255,0.029268,1
0.19828,0.18132,0.029268,1
0.16783,0.17883,0.0097561,1
0.17005,0.21596,0.019512,1
0.15879,0.14883,1.2976,1
0.16089,0.16589,0.029268,1
0.17283,0.22236,0.0097561,1
0.19599,0.23081,1.3171,1
0.20269,0.18811,1.3073,1
0.18647,0.23785,0.019512,1
0.18489,0.25439,0.0097561,1
0.19849,0.20041,1.2683,1
0.19527,0.18789,0.029268,1
0.1847,0.23939,0.019512,1
0.16431,0.18126,0.0097561,1
0.16038,0.11491,0.029268,1
0.18107,0.14971,0.029268,1
0.18048,0.24122,0.0097561,1
0.1868,0.21492,0.0097561,1
0.18723,0.12792,0.029268,1
0.17582,0.15235,0.019512,1
0.18482,0.22446,0.0097561,1
0.17816,0.15463,0.019512,1
0.14989,0.12486,0.029268,1
0.14348,0.096182,1.4049,1
0.15603,0.17765,0.019512,1
0.16097,0.15213,0.019512,1
0.17316,0.1145,0.029268,1
0.1634,0.15831,0.0097561,1
0.16235,0.22221,0.0097561,1
0.18335,0.18938,0.029268,1
0.17615,0.16514,1.278,1
0.15728,0.19328,0.0097561,1
0.1602,0.19032,0.0097561,1
0.19519,0.16868,0.029268,1
0.21072,0.20256,0.029268,1
0.20009,0.19804,0.019512,1
0.19424,0.22061,0.0097561,1
0.19595,0.20397,0.029268,1
0.19041,0.17967,0.019512,1
0.16943,0.19509,0.019512,1
0.17586,0.20719,0.0097561,1
0.21571,0.22086,0.029268,1
0.23197,0.26878,0.019512,1
0.21426,0.29628,0.0097561,1
0.2042,0.22838,0.019512,1
0.21149,0.21274,1.278,1
0.20846,0.22333,0.019512,1
0.20886,0.25605,1.2878,1
0.23942,0.27991,1.3171,1
0.25128,0.28307,1.3268,1
0.23222,0.22918,1.3463,1
0.23378,0.31932,1.3561,1
0.23947,0.30867,1.3756,1
0.24735,0.37561,1.3951,1
0.26982,0.39916,0.019512,1
0.27596,0.37562,0.019512,1
0.26246,0.32609,0.029268,1
0.2384,0.32248,0.019512,1
0.25909,0.36619,0.0097561,1
0.26772,0.3678,2.1268,1
0.22956,0.29295,1.4146,1
0.23792,0.35007,0.019512,1
0.27101,0.41097,0.0097561,1
0.29109,0.42903,2.1756,1
0.27982,0.4092,0.029268,1
0.26962,0.38099,0.0097561,1
0.27921,0.38368,1.1707,1
0.28594,0.36392,1.1805,1
0.28834,0.40692,1.1707,1
0.25055,0.39587,0.0097561,1
0.21824,0.34349,0.0097561,1
0.26183,0.34564,0.029268,1
0.27742,0.34596,0.029268,1
0.23056,0.359,0.0097561,1
0.20986,0.31744,1.3171,1
0.24013,0.33788,0.029268,1
0.265,0.41021,0.029268,1
0.2797,0.4044,1.1707,1
0.29021,0.40249,1.1707,1
0.29371,0.37022,1.161,1
0.25805,0.32937,0.029268,1
0.1981,0.30518,0.0097561,1
0.20386,0.22785,0.019512,1
0.21397,0.1646,0.029268,1
0.17408,0.12432,0.019512,1
0.13408,0.12938,0.0097561,1
0.13671,0.10268,0.0097561,1
0.14059,0.072037,0.029268,1
0.14412,0.089817,0.019512,0
0.1731,0.13336,0.0097561,0
0.17888,0.11482,0.019512,0
0.14627,0.083253,0.0097561,0
0.13745,0.037852,0.039024,0
0.12088,0.097385,0.0097561,0
0.10338,0.040175,0.039024,0
0.1552,0.057089,0.029268,0
0.15915,0.10589,0.0097561,0
0.15829,0.12331,0.019512,0
0.14731,0.045668,0.078049,0
0.10606,0.045392,0.029268,0
0.13716,0.11527,0.0097561,0
0.13732,0.03489,0.029268,0
0.13831,0.027404,0.029268,0
0.1404,0.1149,0.0097561,0
0.10672,0.013454,0.078049,0
0.20952,0.16819,0.0097561,0
0.21075,0.095404,0.029268,0
0.11272,0.095245,0.0097561,0
0.13132,0.050132,0.029268,0
0.16148,0.069285,0.029268,0
0.13807,0.078736,0.019512,0
0.12736,0.055146,0.019512,0
0.19748,0.17647,0.0097561,1
0.20167,0.081085,0.029268,1
0.1648,0.12899,0.029268,1
0.18188,0.19413,0.0097561,1
0.21135,0.23249,0.58537,1
0.23095,0.19793,0.57561,1
0.2197,0.26398,0.029268,1
0.22042,0.25101,1.3854,1
0.24951,0.30798,1.3854,1
0.28154,0.34279,0.029268,1
0.31268,0.45311,0.019512,1
0.335,0.46759,1.1805,1
0.3901,0.50875,1.1805,1
0.43681,0.59782,1.1902,1
0.43573,0.62171,1.2,1
0.45216,0.65595,1.2,1
0.43195,0.6695,1.1805,1
0.39356,0.65951,1.1707,1
0.38295,0.66578,1.161,1
0.35557,0.70009,1.1902,1
0.34663,0.59717,1.1512,1
0.35253,0.65018,1.1902,1
0.35154,0.5915,1.1512,1
0.31888,0.60426,1.3951,1
0.29558,0.56434,0.019512,1
0.29107,0.4827,2.0878,1
0.29478,0.53728,0.0097561,1
0.30187,0.45036,0.019512,1
0.27684,0.42451,0.029268,1
0.24717,0.39118,2.0878,1
0.25232,0.39824,2.0878,1
0.2596,0.3674,0.029268,1
0.26217,0.34225,2.078,1
0.27223,0.35278,2.0976,1
0.32532,0.53602,0.0097561,1
0.33468,0.45754,1.3268,1
0.30993,0.43183,1.3561,1
0.30443,0.51315,1.3756,1
0.29713,0.46062,1.3951,1
0.32942,0.48712,1.1317,1
0.34529,0.47692,1.122,1
0.32484,0.48494,1.3951,1
0.30102,0.4475,1.4049,1
0.3063,0.42898,1.122,1
0.30008,0.39984,1.3951,1
0.28008,0.42841,0.0097561,1
0.27481,0.38947,1.3756,1
0.29042,0.38796,1.3561,1
0.31567,0.46918,1.3463,1
0.29185,0.47071,0.0097561,1
0.2523,0.42019,1.3073,1
0.27663,0.417,2.1073,1
0.30411,0.46286,1.3268,1
0.31427,0.48741,1.3561,1
0.33658,0.45062,1.3659,1
0.35655,0.54058,1.3659,1
0.34684,0.46697,1.0829,1
0.32803,0.46926,1.0732,1
0.30983,0.49112,1.0634,1
0.29145,0.40337,0.019512,1
0.33457,0.46473,1.0829,1
0.32201,0.41261,1.1024,1
0.25719,0.33288,1.1024,1
0.27547,0.35315,1.0927,1
0.32502,0.39202,1.0732,1
0.29838,0.41511,1.0829,1
0.22033,0.17769,0.029268,1
0.19416,0.2461,0.019512,1
0.21502,0.28442,0.0097561,1
0.23008,0.23834,0.019512,1
0.23081,0.24612,1.0829,1
0.1982,0.18905,0.019512,1
0.16676,0.20058,0.0097561,1
0.21693,0.22766,0.029268,1
0.21869,0.23786,0.029268,1
0.18981,0.1982,0.0097561,1
0.21682,0.29115,0.019512,1
0.22039,0.21387,0.029268,1
0.18569,0.15054,0.029268,1
0.16823,0.19607,0.0097561,1
0.1955,0.17851,0.019512,0
0.2061,0.16878,0.029268,0
0.1866,0.090621,0.029268,0
0.13793,0.10655,0.0097561,0
0.1427,0.095972,0.0097561,0
0.17909,0.091683,0.029268,0
0.15791,0.072895,0.029268,0
0.13426,0.092343,0.0097561,0
0.14749,0.069263,0.0097561,0
0.18565,0.098264,0.029268,0
0.17359,0.088278,0.029268,0
0.12478,0.069257,0.0097561,0
0.11806,0.039309,0.019512,0
0.16265,0.036644,0.029268,0
0.16386,0.10447,0.029268,0
0.1231,0.064308,0.0097561,0
0.13196,0.057327,0.029268,0
0.14613,0.033776,0.029268,0
0.12994,0.076597,0.0097561,0
0.13864,0.076996,0.0097561,0
0.14094,0.031535,0.029268,0
0.15243,0.062251,0.029268,0
0.17875,0.14344,0.0097561,0
0.18415,0.13855,0.0097561,0
0.17457,0.096732,0.029268,1
0.15577,0.13646,0.019512,1
0.16434,0.15251,0.019512,1
0.16539,0.13123,0.019512,1
0.15862,0.060224,0.029268,1
0.18124,0.15773,0.019512,1
0.18253,0.15127,0.0097561,1
0.17741,0.13059,0.019512,1
0.16099,0.065609,0.029268,1
0.1548,0.11614,0.0097561,1
0.18413,0.20947,0.029268,1
0.19527,0.13683,0.029268,1
0.19266,0.18418,0.029268,1
0.16724,0.18088,0.0097561,1
0.19022,0.23505,0.0097561,1
0.2363,0.23358,0.029268,1
0.21374,0.24019,0.029268,1
0.17269,0.19017,0.0097561,1
0.18523,0.21727,0.019512,1
0.19808,0.15889,0.029268,1
0.17054,0.12346,0.029268,1
0.13545,0.12408,0.0097561,1
0.1771,0.18248,0.019512,1
0.2093,0.18563,0.029268,1
0.19269,0.23121,0.019512,1
0.19303,0.23866,0.029268,1
0.24489,0.30502,0.0097561,1
0.23717,0.2578,0.019512,1
0.17364,0.25701,0.019512,1
0.18253,0.27621,0.0097561,1
0.23252,0.31926,0.019512,1
0.23707,0.25354,0.59512,1
0.20774,0.27769,0.029268,1
0.20541,0.27786,0.0097561,1
0.1914,0.16941,0.029268,1
0.18531,0.19093,0.029268,1
0.19124,0.23321,0.0097561,1
0.17403,0.22654,0.019512,1
0.21707,0.17193,0.019512,1
0.20557,0.19825,0.0097561,1
0.14509,0.094044,0.029268,1
0.16575,0.13307,0.0097561,1
0.18385,0.099416,0.029268,1
0.17306,0.11497,0.0097561,1
0.14273,0.089436,0.029268,1
0.15114,0.106,0.0097561,1
0.12769,0.05953,0.019512,1
0.12085,0.036021,0.058537,1
0.15797,0.11634,0.0097561,0
0.16199,0.091754,0.029268,0
0.13681,0.04262,0.029268,0
0.10202,0.050376,0.0097561,0
0.11681,0.081987,0.087805,0
0.12831,0.073127,0.019512,0
0.1125,0.039069,0.029268,0
0.095626,0.040297,0.0097561,0
0.14049,0.092515,0.0097561,1
0.17355,0.11688,0.029268,1
0.14046,0.071012,0.019512,1
0.11978,0.1076,0.0097561,1
0.14874,0.13095,0.019512,1
0.16789,0.093584,0.029268,1
0.15669,0.13577,0.029268,1
0.1743,0.16151,0.0097561,1
0.21208,0.21115,0.019512,1
0.20689,0.12194,0.029268,1
0.16773,0.16645,0.0097561,1
0.1802,0.15299,0.019512,1
0.19081,0.146,0.029268,1
0.14752,0.078995,0.029268,1
0.136,0.12399,0.029268,1
0.16513,0.17845,0.0097561,1
0.18665,0.17099,0.019512,1
0.2087,0.1745,0.029268,1
0.2151,0.26485,0.0097561,1
0.19698,0.24687,0.0097561,1
0.18635,0.20091,0.029268,1
0.2015,0.25648,0.019512,1
0.21119,0.25394,0.019512,1
0.19096,0.21973,0.019512,1
0.19285,0.19256,0.029268,1
0.23303,0.29188,0.019512,1
0.23559,0.30613,0.0097561,1
0.20548,0.21519,0.58537,1
0.19576,0.13101,0.029268,1
0.20429,0.24193,0.0097561,1
0.21384,0.20811,0.019512,1
0.18586,0.13547,0.019512,1
0.16584,0.12483,0.029268,1
0.15923,0.11931,0.0097561,1
0.17769,0.14149,0.019512,1
0.19239,0.12022,0.029268,1
0.15161,0.06166,0.029268,1
0.11029,0.085869,0.0097561,1
0.11465,0.068633,0.019512,1
0.15295,0.059162,0.019512,1
0.16578,0.060956,0.029268,0
0.15276,0.12177,0.0097561,0
0.15896,0.09398,0.019512,0
0.17245,0.078964,0.029268,0
0.14035,0.074709,0.0097561,0
0.09933,0.05221,0.0097561,0
0.1217,0.065949,0.029268,0
0.13219,0.031361,0.029268,0
0.1078,0.056992,0.019512,0
0.10569,0.053873,0.0097561,1
0.16433,0.091058,0.019512,1
0.18029,0.1648,0.029268,1
0.18616,0.17501,0.0097561,1
0.27253,0.308,0.58537,1
0.35683,0.33521,0.59512,1
0.36721,0.35316,0.59512,1
0.29488,0.32305,0.59512,1
0.23903,0.25719,0.57561,1
0.23514,0.22386,0.53659,1
0.24921,0.31767,0.019512,1
0.24252,0.35206,0.0097561,1
0.21202,0.22254,0.54634,1
0.2145,0.27491,0.57561,1
0.19575,0.25128,0.56585,1
0.19588,0.26225,0.019512,1
0.22119,0.26766,0.029268,1
0.24044,0.28592,1.1024,1
0.2451,0.35762,0.0097561,1
0.27167,0.46124,0.0097561,1
0.31692,0.52324,1.2683,1
0.3089,0.50973,1.2293,1
0.26393,0.3943,1.1805,1
0.24208,0.38808,0.019512,1
0.23229,0.28774,0.029268,1
0.22898,0.33216,0.029268,1
0.23087,0.35269,0.0097561,1
0.22965,0.34569,0.029268,1
0.21713,0.26305,0.029268,1
0.19251,0.27277,0.019512,1
0.18519,0.26258,0.0097561,1
0.19288,0.25691,0.029268,1
0.18792,0.23339,0.029268,1
0.16747,0.20038,0.0097561,1
0.18021,0.22857,0.0097561,1
0.19618,0.18063,0.029268,1
0.20934,0.22255,0.029268,1
0.19246,0.26746,0.0097561,1
0.17,0.19384,0.0097561,1
0.19018,0.20101,0.029268,1
0.18351,0.18629,0.029268,1
0.1592,0.19503,0.0097561,1
0.18363,0.19342,0.0097561,1
0.20799,0.22552,0.029268,1
0.19373,0.19179,0.019512,1
0.16887,0.22639,0.0097561,1
0.15115,0.15237,0.029268,1
0.17268,0.14695,0.029268,1
0.17409,0.16395,0.019512,1
0.14697,0.17204,0.0097561,1
0.14382,0.11914,0.019512,1
0.14483,0.10767,0.029268,1
0.15165,0.18269,0.0097561,1
0.16678,0.1695,0.019512,1
0.17408,0.17551,0.029268,1
0.17319,0.14953,0.029268,1
0.17233,0.2132,0.0097561,1
0.18288,0.23063,0.019512,1
0.17423,0.19885,0.11707,1
0.15715,0.13978,0.029268,1
0.15507,0.1667,0.0097561,1
0.2109,0.25373,0.029268,1
0.21344,0.16857,0.029268,1
0.14991,0.13975,0.0097561,1
0.13654,0.14116,0.0097561,1
0.13953,0.11554,0.029268,1
0.14496,0.11719,0.029268,1
0.14997,0.15028,0.019512,1
0.17911,0.21124,0.0097561,1
0.1921,0.16562,0.029268,1
0.19931,0.14571,0.029268,1
0.21214,0.2328,0.0097561,1
0.18095,0.16872,0.029268,1
0.14981,0.11888,0.019512,1
0.14839,0.11297,0.019512,1
0.15737,0.18006,0.0097561,1
0.16526,0.15493,0.029268,1
0.18306,0.14622,0.029268,1
0.17298,0.19251,0.019512,1
0.13036,0.11248,0.029268,1
0.15215,0.1429,0.0097561,1
0.16323,0.17632,0.029268,1
0.15858,0.15558,0.029268,1
0.16493,0.20264,0.0097561,1
0.14614,0.10714,0.029268,1
0.17766,0.14178,0.029268,1
0.19814,0.21542,0.0097561,1
0.17026,0.12748,0.029268,1
0.15276,0.13705,0.029268,1
0.15698,0.12977,0.029268,1
0.16473,0.20678,0.0097561,1
0.13603,0.095135,0.029268,1
0.15026,0.1353,0.019512,1
0.17254,0.15696,0.0097561,1
0.17791,0.20592,0.019512,1
0.20537,0.24187,0.019512,1
0.18382,0.15218,0.029268,1
0.1417,0.16586,0.019512,1
0.18592,0.23031,0.0097561,1
0.21914,0.24698,0.029268,1
0.19656,0.16542,0.029268,1
