@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3,5-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy_min numeric
@attribute class {0,1}

@data
0,0,0
0.15759,-0.025911,0
5.9154,0,0
21.998,0,0
24.071,0,1
0,-0.22337,1
1160.5,-0.77251,1
1670.4,-0.75264,1
1407.1,-0.96558,1
1598.3,-0.87232,1
1842.2,-0.69057,1
1952.5,-0.89651,1
2226.7,-1.1681,1
2375.4,-0.96535,1
2358.3,-0.87465,1
2597.1,-0.72725,1
2745.6,-0.99362,1
2886.2,-0.84055,1
3033.4,-0.72181,1
3725.3,-0.85364,1
3422.7,-1.1459,1
3511.9,-1.0547,1
3401.5,-1.0556,1
3054.1,-1.0731,1
2941.7,-1.1214,1
2857.4,-1.1733,1
2993.6,-1.0689,1
2809.4,-1.0062,1
2897,-1.1383,1
2921.1,-1.2689,1
3196,-1.139,1
3245.7,-1.2345,1
3262.8,-1.1796,1
3208.2,-1.17,1
3208.3,-1.057,1
3284.9,-1.1176,1
3417.2,-1.3049,1
3494.2,-1.3257,1
3596.6,-1.3056,1
3678.7,-1.3997,1
3761.1,-1.3384,1
3772.8,-1.4434,1
3837.5,-1.4419,1
3925.1,-1.3477,1
3925.4,-1.3137,1
3952.4,-1.3963,1
3808,-1.5389,1
3530.5,-1.6241,1
3353.9,-1.6954,1
3356.7,-1.6964,1
3541.6,-1.8046,1
3855.5,-1.9313,1
3259.6,-1.9034,1
2710.1,-1.6879,1
1808.1,-1.5678,1
1567,-1.4948,1
501.32,-0.9027,1
85.688,-0.30509,1
7.1929,0,1
9.2935,-0.11147,1
13.358,-0.24296,1
0,-0.6917,0
10.662,-0.54278,0
10.671,-0.54078,0
15.07,-0.34574,0
15.997,-0.37783,0
23.348,-0.25058,0
30.255,-0.20951,0
36.757,-0.16818,0
23.758,-0.2605,0
0.55085,-0.30648,0
35.624,-0.087401,0
35.419,-0.076452,0
53.087,0,0
54.157,0,0
37.883,-0.15631,0
48.124,-0.06169,0
48.154,-0.040453,0
32.178,-0.16387,0
23.604,-0.0759,0
10.425,-0.20048,0
0,-0.29194,0
0,-0.24085,0
1.3852,-0.15474,0
23.648,-0.11926,0
43.8,-0.053902,0
44.562,-0.16371,1
844.92,-1.1213,1
1193.6,-1.3084,1
1654.7,-1.0592,1
1871.5,-1.0171,1
1940.3,-1.1388,1
2086.5,-1.1285,1
2266.3,-1.0031,1
2243.5,-1.1738,1
2310.1,-1.1226,1
2296,-1.1946,1
2304.9,-1.1093,1
2312.3,-1.1241,1
2327.7,-1.1825,1
2409.6,-1.034,1
2365.9,-1.1405,1
2298.6,-1.1705,1
2312.5,-1.1072,1
2271.1,-1.2036,1
2287.3,-1.0522,1
2218.9,-1.1481,1
2275.9,-1.0061,1
2249.1,-0.83919,1
2111.7,-1.0992,1
2060.1,-1.0266,1
1960.6,-0.98807,1
1790.6,-0.89623,1
1745.5,-0.91614,1
1784.4,-0.9314,1
1782.6,-0.94994,1
1800.6,-0.96403,1
1843.4,-0.93289,1
1915.2,-0.99249,1
1999.4,-1.0382,1
2000.3,-1.0346,1
1993.5,-1.028,1
2022.3,-1.0206,1
2032.8,-1.1325,1
2075.8,-1.1107,1
2146.4,-1.1161,1
2147.1,-1.0879,1
2195.4,-1.1929,1
2171.4,-1.159,1
2135.3,-1.0232,1
1886,-0.93325,1
1697.2,-0.94348,1
1727.5,-1.0368,1
1831.2,-1.0503,1
1760.3,-1.0925,1
1709.3,-0.96518,1
1684,-1.0289,1
1682,-1.2415,1
1673.7,-1.2696,1
1724.2,-1.4339,1
1785.8,-1.3136,1
1794.3,-1.2972,1
1786.3,-1.4715,1
1882,-1.472,1
1869.7,-1.5349,1
2011.3,-1.4642,1
2211.1,-1.5192,1
2361.6,-1.3287,1
2552.9,-1.2531,1
2565.8,-1.0948,1
2505.8,-1.5682,1
2469.7,-1.5331,1
2439.9,-1.4718,1
2551.8,-1.4707,1
2666.9,-1.4116,1
2794.7,-1.4632,1
2849.9,-1.3677,1
2778.6,-1.3986,1
2781.1,-1.304,1
2776,-1.3208,1
2878.7,-1.2938,1
2834.4,-1.3263,1
2790.3,-1.2616,1
2726.3,-1.2699,1
2539.9,-1.4127,1
2486.8,-1.4393,1
2485.5,-1.2795,1
2548.9,-1.1908,1
2570.1,-1.1934,1
2308.7,-1.5041,1
2314.8,-1.367,1
2165.2,-1.2689,1
1996.1,-1.2977,1
2025.5,-1.396,1
1821.3,-1.1393,1
1859.7,-1.2393,1
1999.6,-1.2844,1
2108.4,-1.3783,1
1895,-1.2963,1
1149.7,-1.2116,1
1010.5,-1.1169,1
983.71,-1.0826,1
621.11,-0.99221,1
780.08,-0.88995,1
983.14,-0.99218,1
928.22,-1.0647,1
546.2,-1.0616,1
1116.1,-1.2844,1
944.98,-1.3114,1
680.03,-1.2753,1
899.25,-1.4141,1
712.49,-1.6166,1
602.45,-1.8002,1
261.37,-2.0005,1
0,-0.96739,1
0,-1.1172,1
11.775,-1.0974,1
37.024,-0.7456,1
55.854,-0.3996,1
40.459,-0.66132,1
24.833,-0.96839,0
21.947,-1.1276,0
32.332,-0.79109,0
42.127,-0.34207,0
45.873,-0.16095,0
39.456,-0.12843,0
37.816,-0.25593,0
35.565,-0.14245,0
30.738,-0.087302,0
32.843,-0.15453,0
29.594,-0.14376,0
29.015,-0.093574,0
31.006,-0.020905,0
33.428,-0.066148,0
29.986,-0.091024,0
26.987,-0.14217,0
29.427,-0.13813,0
30.429,-0.023164,0
26.829,0,0
28.45,-0.035265,0
27.744,-0.055128,0
24.707,-0.008521,0
21.17,-0.036326,0
19.643,-0.10716,0
23.08,-0.11103,0
25.659,-0.031909,0
21.382,-0.045643,0
16.346,-0.069428,0
18.96,-0.18599,0
19.308,-0.20463,0
18.37,-0.1649,0
14.414,-0.18358,0
17.025,-0.16111,0
17.689,-0.20929,0
19.751,-0.17857,0
17.72,-0.072073,0
18.507,-0.15383,0
19.328,-0.13659,0
21.667,-0.098799,0
21.006,-0.09293,0
22.692,-0.13261,0
29.311,-0.057131,0
40.282,0,0
32.772,-0.036427,0
33.072,-0.061408,0
36.574,-0.006681,0
41.301,-0.00759,0
39.165,-0.035003,0
43.188,-0.070487,0
50.521,0,0
48.524,-0.10251,0
39.071,-0.17015,0
36.824,-0.3293,0
36.272,-0.54289,0
25.511,-0.64356,0
29.854,-0.41393,0
18.62,-0.74094,0
16.951,-0.41941,0
19.405,-0.30426,0
19.598,-0.099996,0
15.495,-0.52828,0
14.887,-0.43497,0
14.431,-0.44449,0
17.248,-0.60651,0
14.802,-0.72015,0
18.551,-0.45301,0
18.465,-0.61061,0
21.714,-0.29275,0
17.282,-0.46653,0
16.48,-0.29453,0
17.655,-0.32492,0
21.082,-0.20642,0
18.333,-0.30797,0
17.21,-0.51633,0
17.221,-0.60227,0
16.238,-0.42764,0
15.52,-0.46885,0
14.263,-0.30035,0
15.374,-0.27736,0
17.322,-0.56363,0
14.787,-0.41505,0
14.009,-0.62787,0
14.272,-0.37111,0
14.562,-0.5877,0
12.62,-0.80117,0
11.806,-0.43765,0
12.799,-0.44823,0
22.269,-0.064694,0
16.159,-0.27043,0
14.042,-0.37393,0
11.736,-0.36676,0
12.125,-0.21149,0
30.476,-0.11699,0
32.088,-0.17505,0
30.341,-0.25358,0
26.639,-0.19998,0
23.986,-0.28972,0
21.37,-0.32921,0
20.183,-0.27664,0
28.583,-0.30704,0
31.483,-0.055614,0
20.832,-0.16517,0
14.559,-0.22209,0
11.391,-0.2803,0
10.116,-0.42564,0
11.761,-0.46509,0
11.428,-0.42618,0
19.941,-0.1997,0
11.97,-0.41304,0
15.454,-0.59491,0
16.867,-0.75449,0
15.511,-0.56993,0
15.342,-0.44248,0
14.222,-0.44782,0
18.431,-0.50134,0
18.902,-0.45757,0
15.937,-0.46567,0
16.153,-0.38501,0
40.643,-0.17685,0
63.9,-0.050501,0
63.245,-0.069462,0
52.784,-0.1118,0
45.324,-0.18297,0
32.104,-0.21737,0
26.081,-0.32217,0
31.809,-0.052136,0
64.454,0,0
57.788,-0.046992,0
48.472,-0.08882,0
50.296,-0.1601,0
52.214,-0.37776,0
45.485,-0.41902,0
58.163,-0.1503,0
54.9,-0.12446,0
53.74,-0.085,0
39.085,-0.10001,0
38.665,-0.17665,0
48.535,-0.25983,0
62.367,-0.29765,0
72.271,-0.29442,0
73.742,-0.31175,0
73.851,-0.31318,0
75.433,-0.29525,0
83.882,-0.20055,0
80.607,-0.23703,0
85.652,-0.18028,0
83.92,-0.19899,0
78.944,-0.25092,0
73.833,-0.29158,0
68.124,-0.33359,0
60.467,-0.34565,0
50.844,-0.27714,0
46.467,-0.375,0
42.357,-0.37803,0
41.351,-0.39403,0
40.966,-0.4702,0
60.309,-0.27217,0
67.58,-0.31732,0
64.494,-0.38472,0
73.444,-0.28475,0
72.729,-0.28587,0
67.737,-0.31724,0
90.667,-0.11127,0
52.01,-0.27376,0
76.397,-0.27786,0
67.414,-0.39293,0
56.944,-0.51025,0
40.418,-0.67691,0
36.988,-0.40348,0
37.333,-0.31135,0
39.643,-0.32993,0
42.625,-0.21304,0
130.49,-1.3025,1
831.48,-1.1598,1
656.35,-1.2736,1
649.94,-0.89099,1
1196.3,-1.2162,1
1530.1,-1.3916,1
1049.8,-1.2314,1
1123.2,-1.3674,1
1116,-1.4888,1
1312.5,-1.7203,1
1300.4,-1.8069,1
1294.1,-1.882,1
1171.3,-1.6701,1
1007.5,-1.6434,1
912.21,-1.5017,1
786.47,-1.441,1
765.47,-1.4572,1
767.42,-1.4274,1
725.05,-1.3455,1
659.55,-1.4166,1
803.11,-1.4053,1
798.85,-1.4964,1
974.99,-1.7247,1
889.44,-1.4085,1
738.39,-1.1701,1
531.77,-0.99692,1
455.33,-1.024,1
368.08,-1.0561,1
355.37,-1.1965,1
357.94,-1.2722,1
344.64,-1.1435,1
645.58,-0.79488,1
586.41,-0.91659,1
426.67,-1.0054,1
467.23,-1.0579,1
411.41,-1.0879,1
407.47,-1.2382,1
389.6,-1.2209,1
414.74,-1.1401,1
427.35,-1.1639,1
407.26,-1.2649,1
405.78,-1.2762,1
449.85,-1.2623,1
495.36,-1.378,1
453.54,-1.3487,1
442.81,-1.1786,1
404.24,-1.2167,1
579.43,-0.90934,1
983.29,-0.9526,1
2177.9,-0.95534,1
3930.4,-1.3784,1
3926.2,-1.8342,1
3246.5,-1.7191,1
4168.2,-1.6999,1
5155.9,-1.4685,1
7591.3,-1.3886,1
7332.8,-1.6891,1
6606,-1.685,1
5751.1,-2.1396,1
4977.5,-2.1002,1
4527,-1.9403,1
3660.8,-1.8,1
2968.3,-1.7863,1
2645.2,-1.875,1
2105.8,-1.8303,1
1675.1,-1.7575,1
1888.7,-1.6742,1
