@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
17.221,5.0995,0
16.238,5.2741,0
15.52,5.2329,0
14.263,5.4014,0
15.374,5.4244,0
17.322,5.1381,0
14.787,5.2867,0
14.009,5.0739,0
14.272,5.3307,0
14.562,5.1141,0
12.62,4.9006,0
11.806,5.2641,0
12.799,5.2535,0
22.269,5.6371,0
16.159,5.4313,0
14.042,5.3278,0
11.736,5.335,0
12.125,5.4903,0
30.476,5.5848,0
32.088,5.5267,0
30.341,5.4482,0
26.639,5.5018,0
23.986,5.412,0
21.37,5.3726,0
20.183,5.4251,0
28.583,5.3947,0
31.483,5.6461,0
20.832,5.5366,0
14.559,5.4797,0
11.391,5.4215,0
10.116,5.2761,0
11.761,5.2367,0
11.428,5.2756,0
19.941,5.5021,0
11.97,5.2887,0
15.454,5.1069,0
16.867,4.9473,0
15.511,5.1318,0
15.342,5.2593,0
14.222,5.2539,0
18.431,5.2004,0
18.902,5.2442,0
15.937,5.2361,0
16.153,5.3168,0
40.643,5.5249,0
63.9,5.6513,0
63.245,5.6323,0
52.784,5.59,0
45.324,5.5188,0
32.104,5.4844,0
26.081,5.3796,0
31.809,5.6496,0
64.454,5.7457,0
57.788,5.6987,0
48.472,5.6569,0
50.296,5.5856,0
52.214,5.368,0
45.485,5.3267,0
58.163,5.5954,0
54.9,5.6213,0
53.74,5.6607,0
39.085,5.6457,0
38.665,5.5691,0
48.535,5.4859,0
62.367,5.4481,0
72.271,5.4513,0
73.742,5.434,0
73.851,5.4326,0
75.433,5.4505,0
83.882,5.5452,0
80.607,5.5087,0
85.652,5.5655,0
83.92,5.5468,0
78.944,5.4948,0
73.833,5.4542,0
68.124,5.4121,0
60.467,5.4001,0
50.844,5.4686,0
46.467,5.3707,0
42.357,5.3677,0
41.351,5.3517,0
40.966,5.2755,0
60.309,5.4736,0
67.58,5.4284,0
64.494,5.361,0
73.444,5.461,0
72.729,5.4599,0
67.737,5.4285,0
90.667,5.6345,0
52.01,5.472,0
76.397,5.4679,0
67.414,5.3528,0
56.944,5.2355,0
40.418,5.0688,0
36.988,5.3423,0
37.333,5.4344,0
39.643,5.4158,0
42.625,5.5327,0
130.49,4.4432,1
831.48,4.586,1
656.35,4.4722,1
649.94,4.8548,1
1196.3,4.5296,1
1530.1,4.3542,1
1049.8,4.5143,1
1123.2,4.3783,1
1116,4.2569,1
1312.5,4.0254,1
1300.4,3.9388,1
1294.1,3.8637,1
1171.3,4.0757,1
1007.5,4.1023,1
912.21,4.244,1
786.47,4.3047,1
765.47,4.2886,1
767.42,4.3184,1
725.05,4.4002,1
659.55,4.3291,1
803.11,4.3405,1
798.85,4.2494,1
974.99,4.021,1
889.44,4.3373,1
738.39,4.5756,1
531.77,4.7488,1
455.33,4.7217,1
368.08,4.6896,1
355.37,4.5492,1
357.94,4.4735,1
344.64,4.6022,1
645.58,4.9509,1
586.41,4.8292,1
426.67,4.7403,1
467.23,4.6878,1
411.41,4.6578,1
407.47,4.5076,1
389.6,4.5249,1
414.74,4.6057,1
427.35,4.5818,1
407.26,4.4808,1
405.78,4.4695,1
449.85,4.4835,1
495.36,4.3678,1
453.54,4.397,1
442.81,4.5672,1
404.24,4.529,1
579.43,4.8364,1
983.29,4.7931,1
2177.9,4.7904,1
3930.4,4.3673,1
3926.2,3.9116,1
3246.5,4.0267,1
