@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
0,4.6796,0
0,4.9382,0
9.3537,4.9371,0
0,5.0939,0
0,5.0679,1
190.41,4.9051,1
961.64,4.8266,1
1687.1,4.8239,1
1570.2,4.7914,1
1810.6,4.8627,1
2538.5,4.9133,1
2935.4,4.9451,1
3399.7,4.8651,1
3820.8,4.8772,1
3609.9,4.964,1
3880.5,5.1348,1
3937.7,4.9725,1
4244.7,5.0212,1
4841.1,4.9261,1
4139,4.9954,1
4449.2,4.7032,1
3900.6,4.8149,1
3122.3,4.8135,1
2617.1,4.7859,1
2627.6,4.7373,1
2668.6,4.6844,1
2910,4.7754,1
2401.9,4.8191,1
2715.8,4.6976,1
2714,4.6158,1
2760.2,4.6229,1
3303.1,4.6717,1
3187.7,4.7508,1
2995.6,4.6575,1
2896.4,4.7433,1
3166.1,4.6752,1
3502,4.7114,1
4065.3,4.7048,1
4396.3,4.7507,1
4097.2,4.712,1
4081.5,4.4253,1
3788.1,4.5569,1
3836.4,4.4638,1
3705.2,4.5998,1
3395.6,4.7,1
3742.9,4.5498,1
3641.3,4.4958,1
3309.6,4.3497,1
3216.5,4.2669,1
3249.7,4.1788,1
3528.3,4.2025,1
3582.3,3.9949,1
2720.5,4.0479,1
2284.9,4.1294,1
1328.1,4.2659,1
1451.5,4.3609,1
488.08,5.014,1
318.76,5.2233,1
295.84,5.1267,1
361.25,4.8879,1
192.53,4.8316,1
115.15,4.8061,0
41.352,4.8271,0
145.98,4.5488,0
248.63,4.4704,0
15.035,4.8067,0
352.63,4.5051,0
1111.7,4.1814,0
1777.1,3.985,0
2514.9,4.0556,0
2643.8,4.1077,0
2804.4,4.067,0
2967.1,4.0665,0
3109.3,4.1111,0
3150.7,4.1539,0
1954.3,4.4357,0
2110.2,4.3797,0
2538.1,4.3152,0
1543.6,4.4477,0
2035.1,4.2209,0
2097.7,4.3532,0
1644.5,4.1514,0
821.61,4.4716,0
573.89,4.5391,0
703.03,4.6188,0
401.43,4.8599,0
323.16,4.9818,1
893.88,4.881,1
951.99,4.8641,1
1762,4.851,1
2009.4,4.8055,1
1826.9,4.782,1
2606.1,4.7769,1
2842,4.8614,1
2950.9,4.7582,1
2569.9,4.7679,1
2145.1,4.8139,1
2003.2,4.8205,1
2620.4,4.7392,1
2316,4.9073,1
2158.3,4.8942,1
2469.6,4.7913,1
2602.7,4.7683,1
1937.3,4.8212,1
2500.1,4.6737,1
2659.6,4.7117,1
2307,4.6955,1
2680.6,4.7943,1
2517.8,4.8949,1
2402.9,4.7714,1
2078.2,4.7499,1
1940.2,4.859,1
1380.7,5.0201,1
1249.7,4.9619,1
1540.7,4.8698,1
1354.7,4.8843,1
1654.8,4.8885,1
1533.1,4.9044,1
1712,4.8087,1
1889.1,4.8085,1
1985,4.7974,1
2225.3,4.817,1
1783.3,4.9215,1
1708.9,4.7409,1
1600.2,4.7664,1
1765.2,4.7766,1
1859.5,4.7675,1
2014.4,4.7671,1
1983.9,4.7454,1
1808.1,4.8963,1
1650.8,4.9031,1
1723,4.9313,1
1555.9,4.8602,1
1638.8,4.913,1
1638.2,4.916,1
1719,4.9579,1
1832.6,4.9041,1
1596.1,4.9254,1
1884.2,4.8022,1
1727.9,4.714,1
1424.1,4.9202,1
1769.3,4.8525,1
1619.8,4.6931,1
1580.6,4.6388,1
1549.3,4.548,1
1635.7,4.52,1
1828,4.5151,1
1978.1,4.6219,1
2229.2,4.4961,1
2268.7,4.6616,1
1972.9,4.4077,1
2226.3,4.4681,1
2073.7,4.3517,1
2157.3,4.3226,1
2193,4.4203,1
2308,4.4337,1
2492.3,4.4375,1
2699.1,4.4177,1
2746,4.5918,1
2319.3,4.6309,1
2684.3,4.62,1
2654.2,4.6345,1
2714.1,4.6689,1
2892.7,4.6196,1
2970.1,4.5457,1
2600.7,4.6169,1
2534.3,4.5855,1
2436.6,4.6408,1
3919.1,4.9343,1
5924.5,4.8411,1
4632.8,4.8481,1
8057.8,4.821,1
7327.9,4.8637,1
7570,4.7009,1
6760.7,4.6821,1
6186.1,4.6904,1
5850.3,4.6031,1
4648.1,4.7373,1
4824.4,4.616,1
3980.4,4.4982,1
3633.3,5.012,1
3833.7,5.0898,1
2131.9,4.9735,1
2423,4.7737,1
2022.5,4.674,1
1503.9,4.8352,1
1559.6,4.6311,1
1730.3,4.6244,1
2106.2,4.7526,1
2166.9,5.1618,1
3928,5.3954,1
2597.8,5.2084,1
2413.1,5.0989,1
1986.8,4.9352,1
1804.8,4.9115,1
923.3,5.0569,1
416.55,5.2012,1
906.18,4.9446,1
454.22,4.91,1
462.72,4.9182,1
343.51,4.9199,0
150.94,5.0332,0
78.903,4.98,0
55.293,4.971,0
107.45,4.8658,0
15.192,4.8316,0
0,4.8482,0
0,4.9448,0
0,4.9856,0
15.714,4.9162,0
0,5.1063,0
0,5.1439,0
62.588,5.0406,0
89.512,4.9987,0
26.041,5.1502,0
34.301,5.0889,0
78.635,5.0291,0
32.202,5.1089,0
7.4967,5.2044,0
131.15,5.1532,0
80.446,5.1125,0
150.39,5.0154,0
111.91,5.0236,0
131.63,5.0065,0
108.38,4.9514,0
85.89,4.9948,0
79.522,5.1967,0
80.272,5.2008,0
147.65,5.1494,0
176.63,5.0336,0
208.56,5.0861,0
222.81,5.2147,0
439.67,5.1927,0
342.29,5.1976,0
552.3,5.0325,0
502.07,5.1095,0
416.8,5.1777,0
223.86,5.3256,0
273.71,5.2105,0
195.78,5.312,0
368.45,5.1153,0
555.42,5.1546,0
632.39,5.0311,0
458.93,5.0551,0
683.86,4.9815,0
603.84,5.0191,0
658.48,5.0032,0
1047.4,4.9518,0
859.5,5.0227,0
716.32,4.9427,0
705.99,4.9075,0
830.53,4.9974,0
820.96,4.9871,0
746.8,4.8388,0
843.01,4.8842,0
973.16,5.0882,0
1005.8,5.0033,0
619.92,5.01,0
819.07,4.9879,0
760.7,4.8705,0
1124.6,4.6981,0
1191.1,4.6074,0
1736.7,4.5141,0
2844.1,4.2385,0
2982.6,4.1913,0
2540.4,4.4661,0
1216.8,4.6942,0
1087.2,4.6248,0
1114.4,4.7179,0
1186.8,5.2107,0
878.85,4.9153,0
858.84,4.9254,0
604.98,4.9879,0
979.99,4.7639,0
989.62,4.9681,0
1415.2,5.0885,0
1100.8,4.9661,0
656.37,5.0641,0
759.42,5.0229,0
991.35,4.9023,0
1110,4.9286,0
807.62,5.0371,0
1288.2,4.9781,0
1503.1,4.9878,0
1154.7,4.994,0
745.01,5.1278,0
1272.7,5.1167,0
1263.3,4.953,0
765.47,5.1082,0
752.67,5.0654,0
610.77,5.1063,0
459.15,5.1691,0
344.01,5.268,0
463.64,5.1724,0
586.39,5.1772,0
771.19,5.0532,0
784.87,4.9819,0
616.27,5.1328,0
1154.1,5.273,0
663.81,5.122,0
626.13,5.1282,0
480.54,5.124,0
297.05,5.2217,0
306,5.0902,0
412.23,4.7896,0
325.28,4.9372,0
181.79,5.0622,0
209.59,5.2119,0
209.91,5.2096,0
170.91,5.1557,0
127.79,5.22,0
119.11,5.2407,0
93.388,5.2601,0
117.9,5.1672,0
204.13,5.2336,0
161.16,5.2153,0
250.84,5.0073,0
455.44,4.9598,0
477.87,4.955,0
340.98,5.1114,0
413.23,4.9827,0
412.99,5.0454,0
242.48,5.1545,0
344.74,5.2102,0
169.52,5.2794,0
271.76,5.2777,0
154.73,5.3159,0
169.81,5.1286,0
123.91,5.2018,0
58.649,5.2612,0
202.98,5.0345,0
364.29,5.1535,0
435.81,5.0408,0
395.06,5.0712,0
339.73,5.0858,0
252.62,5.1242,0
230.47,5.135,0
259.29,5.1538,0
411.91,5.0925,0
311.11,5.122,0
294.92,5.1434,0
219.57,5.2044,0
291.61,5.1042,0
317.73,5.1031,0
394.53,5.127,0
296.34,5.1713,0
275.16,5.2049,0
215.49,5.2107,0
257.17,5.1427,0
141.97,5.1663,0
325.53,5.2943,0
374.83,5.3401,0
411.9,5.1458,0
367.78,5.196,0
711.03,5.0386,0
664.48,4.9926,0
776.48,4.7891,0
721.48,4.9296,0
814.81,5.1069,0
1016.7,5.0241,0
614.45,5.0625,0
782.36,5.1617,0
415.02,5.259,0
357.14,5.2682,0
180.85,5.2915,0
192.41,5.2185,0
267.41,5.0549,0
421.97,4.8987,0
1478.4,5.4684,0
1992.6,5.4278,0
1621,5.3218,0
1393.5,5.1312,0
1201.4,5.1643,1
1512.5,5.0418,1
1112.9,4.9835,1
802.04,5.1127,1
1738.9,4.8151,1
1566.1,4.6501,1
1012.3,4.9278,1
1178.3,4.8079,1
984.45,4.7657,1
1329.8,4.5566,1
1120.4,4.5969,1
1286.7,4.6524,1
1091.7,4.7633,1
851.28,4.8618,1
789.51,4.9442,1
1275,5.0767,1
1300.7,5.1108,1
948.65,5.0671,1
1080,5.0171,1
1083.3,5.0253,1
1176.9,4.8547,1
1187.4,4.838,1
990.73,4.8853,1
997.3,4.8988,1
1112.8,4.9785,1
886.63,5.0452,1
1053.7,5.0274,1
774.78,5.1032,1
785.87,5.1015,1
1048.5,5.0762,1
996.83,5.0259,1
1077.1,5.0392,1
855.06,5.0568,1
823.73,5.1259,1
636.09,5.0636,1
610.16,5.0739,1
740.58,5.058,1
1057.4,4.8867,1
973.68,5.0061,1
828.04,4.9732,1
821.87,4.9377,1
714.53,5.1621,1
975.92,5.0113,1
719.65,5.0985,1
799.11,4.9734,1
770.26,5.3146,1
1218.6,5.2457,1
1015.7,5.2266,1
1284.7,5.1065,1
1925,4.9715,1
3658.7,4.4892,1
3722.8,4.2431,1
2911.4,4.3315,1
4077.8,4.2428,1
4670.4,4.4053,1
6804.6,4.4445,1
6356.7,4.044,1
6245.3,4.3544,1
6074.2,4.3802,1
4948.3,4.3291,1
4469.3,4.4276,1
3647.9,4.7228,1
2770,4.6383,1
2963.5,4.6091,1
2568.8,4.8706,1
2132.7,5.0141,1
2409.7,4.8976,1
2326,5.0636,1
2173.2,5.0612,1
2049.3,4.8763,1
1857,4.7648,1
1908.1,4.802,1
2090.9,4.7137,1
1748.5,4.6843,1
1804.1,4.61,1
2103.4,4.8287,1
1674.7,5.0242,1
1896.8,4.9632,1
2034.3,4.884,1
1980.4,4.7315,1
2173.7,4.8497,1
2252.6,4.9197,1
2297.1,4.7163,1
2785.6,4.4248,1
3259.2,4.4929,1
2755.1,4.7133,1
1961.5,4.8776,1
2501.2,4.899,1
2601.3,4.9966,1
2801.6,4.9757,1
2926.4,4.8666,1
2231.9,4.8545,1
2478.8,4.6808,1
2863.2,4.8751,1
3530.9,4.7905,1
3600.9,4.7044,1
4521.2,4.9672,1
4579.5,5.0657,1
4470,4.9627,1
4894.2,4.9365,1
4584.4,4.9897,1
5710.3,4.9759,1
5195.7,4.9346,1
4481.5,4.8719,1
4286.4,4.8308,1
3913,4.7916,1
3546.3,4.6918,1
3191.1,4.6419,1
3359.7,4.6441,1
3356,4.5482,1
4156.7,4.1272,1
4216,4.0538,1
5042.3,4.4022,1
4445.6,4.2481,1
4195.8,4.4025,1
3494.8,4.4114,1
2193.4,4.4121,1
3006.4,5.0619,1
2379.2,5.2177,1
1972.8,5.1852,1
1405.9,5.2171,1
1125.3,5.2017,0
1247.8,5.3836,0
1786.7,5.317,0
1056.9,5.3558,0
854.7,5.3796,0
658.52,5.4124,0
673.28,5.3678,0
438.35,5.4495,0
554.48,5.3322,0
478.37,5.3011,0
388.41,5.2971,0
480.66,5.2146,0
318.71,5.2471,0
487.38,5.1966,0
281.48,5.1958,0
172.15,5.2812,0
367.58,5.2343,0
261.38,5.2135,0
117.09,5.3429,0
53.255,5.3789,0
81.421,5.3597,0
87.361,5.4188,0
142.44,5.4603,0
119.07,5.3964,0
82.886,5.3681,0
105.69,5.3913,0
81.636,5.3463,0
120.89,5.3794,0
151.06,5.281,0
251.33,5.4235,0
754.23,5.6564,0
484.23,5.5787,0
534.58,5.4601,0
520.96,5.442,0
436.32,5.4021,0
456.13,5.216,0
373.66,5.2651,0
393.28,5.1357,0
439.42,4.9629,0
346.68,5.1094,0
517.89,4.956,0
716.98,4.9049,0
555.32,5.2401,0
807.85,5.261,0
583.34,5.3063,0
250.15,5.4114,0
400.44,5.5542,0
291.73,5.4578,0
377.93,5.2706,0
144.49,5.3793,0
340.11,5.3031,0
627.62,5.3136,1
1061.1,5.3344,1
3026.6,5.2663,1
3969.9,4.8832,1
4003.1,5.0739,1
3162.9,5.1233,1
4181.1,4.7291,1
4363.5,4.5896,1
3118.4,4.7921,1
2904.8,4.8953,1
2774.1,5.0408,1
1957,5.1645,1
1516.9,5.1552,1
1249.4,5.3153,1
1022.9,5.3355,1
644.74,5.3184,1
612.07,5.4274,1
448.65,5.33,0
352.84,5.245,0
847.1,5.2407,0
1910.2,5.2435,0
1100.4,5.3764,0
689.53,5.3663,0
659.02,5.3781,0
690.35,5.4564,0
599.57,5.3433,0
360.53,5.3803,0
496.19,5.2672,0
868.53,4.9107,0
994.22,4.5631,0
1068.4,4.6665,0
700.17,5.0438,0
779.91,5.0228,0
926,4.8422,0
746.19,4.9189,0
686.4,4.9504,0
589.31,4.9271,0
759.71,4.7582,0
944.19,4.7515,0
697.39,4.9351,0
516.24,5.0106,0
621.11,4.8407,0
558.8,4.9608,0
591.32,4.8869,0
881.05,4.7849,0
983.5,4.8372,0
1128.4,4.6326,0
825.57,4.7643,0
796.7,4.6842,0
893.36,4.6351,0
612.72,4.7615,0
476.45,4.8487,0
273.01,4.7543,0
211,4.958,0
225.7,4.9551,0
219.08,4.9672,0
47.604,5.1205,0
72.427,5.0775,0
111.83,4.9247,0
94.2,5.0038,0
277.8,4.808,0
344.41,4.7068,0
237.3,4.8498,0
203.07,4.9739,0
373.73,4.7751,0
539.01,4.6844,0
230.22,4.9762,0
493.63,4.73,0
247.78,4.8972,0
582.99,4.7554,0
280.83,4.8898,0
402.67,4.8752,0
286.16,4.8645,0
377.64,4.8029,0
555.9,4.7572,0
453.89,4.7871,0
589.78,4.7785,0
634.06,4.7553,0
501.13,4.7073,0
307.17,4.8701,0
330.33,4.8843,0
191.9,4.9652,0
332.76,4.7386,0
575.14,4.9054,0
633.57,4.9797,0
350.9,4.9055,0
508.84,4.5765,0
617.47,4.5902,0
294.72,4.7054,0
171.51,4.9146,0
188.55,4.8299,0
36.87,4.9632,0
33.642,5.1644,0
198.49,4.9865,0
328.26,4.8286,0
524.72,4.6109,0
1129.6,4.2375,0
352.79,4.8341,0
213.03,5.1123,0
243.13,5.2996,0
340.66,5.188,0
79.868,5.3672,0
178.87,5.3724,0
170.26,5.4016,0
178.55,5.3849,0
164.72,5.4251,0
362.8,5.2019,0
268.6,5.217,0
293.66,5.1859,0
196.38,5.2997,0
288.25,5.1766,0
239.31,5.0808,0
83.525,5.1781,0
406.15,4.8729,0
349.93,4.9261,0
218.08,4.9658,0
492.24,4.7886,0
452.36,4.7362,0
458.27,4.6944,0
1077.1,4.3876,0
2513.2,3.9899,0
1965,3.9946,0
1083.6,4.3704,0
957.9,4.2644,0
881.46,4.3764,0
894.94,4.3327,0
265.41,4.6385,0
620.84,4.4738,0
763.9,4.6971,0
632.74,4.6308,0
1010.2,4.9083,0
738.88,5.0169,0
747.78,5.0125,0
701.64,5.1367,0
592.5,5.0757,0
200.26,5.374,0
385.46,5.2006,0
357.97,5.184,0
484.74,5.0074,1
671.39,4.8514,1
652.37,4.8551,1
850.64,4.7421,1
967.92,4.7484,1
772.69,4.7686,1
930.88,4.6385,1
735.48,4.713,1
366.52,4.8437,1
403.95,5.01,1
579.05,4.6601,1
608.39,4.5311,1
642.05,4.5832,1
342.11,4.9608,1
242.77,5.1601,1
134.22,5.2087,1
212.43,5.0718,1
252.23,4.9939,1
52.867,5.0996,1
128.65,5.1314,1
184.23,4.9648,1
189.89,4.92,1
799.18,4.4961,1
491.75,4.6328,0
519.33,4.5866,0
846.63,4.3421,0
993.9,4.39,0
900.33,4.3709,0
714.83,4.4645,0
459.95,4.6871,0
429.69,4.6251,0
509.97,4.5838,0
464.2,4.7625,0
338.14,4.8835,0
416.5,4.8437,0
1080.7,4.5781,0
1359.4,4.5056,0
1105.6,4.6094,0
1208.7,4.7414,0
1893.1,4.4854,0
1491.9,4.6752,0
0,4.8453,0
26.922,4.9901,0
38.302,5.1259,0
43.815,5.2375,0
2.7605,5.044,1
0,5.0584,1
844.77,4.748,1
1111.1,4.806,1
953.75,4.6437,1
1048.7,4.7519,1
1223,4.8877,1
1449.7,4.7093,1
1666,4.517,1
1767.8,4.6848,1
1759.6,4.771,1
1959,4.8914,1
2001.3,4.621,1
2223.5,4.7357,1
2272.2,4.8744,1
2635.2,4.7318,1
2493.1,4.5075,1
2590.8,4.5579,1
2438.9,4.5524,1
2239.2,4.547,1
2190.6,4.5099,1
2208.5,4.4493,1
2325.2,4.4914,1
2099.6,4.5841,1
2168.2,4.4918,1
2353.9,4.4115,1
2588.8,4.5148,1
2574,4.4007,1
2626.7,4.4487,1
2493.7,4.4508,1
2576.3,4.5456,1
2619.4,4.5109,1
2786.7,4.3779,1
2995.5,4.3406,1
2929.9,4.3252,1
3022.5,4.2265,1
3192.8,4.3283,1
3054.5,4.2789,1
3529,4.3728,1
3372.8,4.3414,1
3153.8,4.3392,1
3526.8,4.2969,1
3086.5,4.1875,1
3004.6,4.1486,1
2980.6,4.0873,1
2656.3,3.9868,1
3085.7,3.9062,1
3435.3,3.7792,1
2509.8,3.825,1
1961.5,4.011,1
1369.6,4.1925,1
1172.1,4.198,1
429.04,4.721,1
101.33,5.2298,1
27.527,5.1993,1
4.8003,5.111,1
28.758,5.1413,1
0,4.9167,0
40.387,5.1143,0
66.013,4.6029,0
54.497,4.5863,0
6.296,4.852,0
0,4.9098,0
31.23,4.7369,0
37.875,4.7615,0
12.022,5.1312,0
14.09,5.0847,0
1.081,5.155,0
44.3,5.3102,0
64.424,4.918,0
26.545,4.9274,0
3.2721,5.0751,0
33.946,5.1675,0
5.9863,4.9097,0
28.545,4.8014,0
18.98,4.782,0
27.775,4.9298,0
0.51975,4.7518,0
3.5924,4.8763,0
15.105,4.915,0
14.379,4.8656,0
3.1429,5.0213,0
13.779,4.9572,1
662.42,4.6557,1
826.36,4.5803,1
1196.7,4.7132,1
1215,4.7592,1
1425.4,4.7096,1
1410.5,4.6542,1
1626.2,4.7255,1
1699.1,4.5782,1
1650.6,4.6258,1
1710,4.5735,1
1804.8,4.6889,1
1680.8,4.6494,1
1808.8,4.5655,1
1899,4.6449,1
1749.7,4.5956,1
1720.3,4.596,1
1612.6,4.6578,1
1548.1,4.5559,1
1574.5,4.6957,1
1716.6,4.5918,1
1683.1,4.7108,1
1612.9,4.846,1
1314.4,4.6824,1
1479.7,4.6824,1
1344.1,4.6937,1
1190.2,4.8137,1
1264.1,4.767,1
1293,4.7806,1
1155.6,4.8203,1
1221.4,4.7594,1
1359.7,4.7417,1
1403.3,4.7137,1
1368.5,4.7088,1
1385.3,4.7344,1
1303.9,4.6945,1
1375.6,4.7196,1
1460.7,4.6151,1
1494.4,4.633,1
1510.2,4.6191,1
1533.8,4.6209,1
1540.7,4.5621,1
1476.6,4.5746,1
1502.8,4.669,1
1266,4.7267,1
1075.8,4.7767,1
1103.8,4.7118,1
1219.5,4.6348,1
1213,4.6498,1
1097.9,4.769,1
1220.3,4.6845,1
1062,4.5487,1
1149.7,4.5152,1
1175.1,4.441,1
1298.7,4.4961,1
1203.6,4.5207,1
1303.1,4.455,1
1437.7,4.4969,1
1396.3,4.4733,1
1451.5,4.4754,1
1625.2,4.3881,1
1816.7,4.4654,1
1857.3,4.4521,1
1888.2,4.506,1
1832.8,4.26,1
1755.6,4.2631,1
1697.2,4.3412,1
1797.7,4.3424,1
1883.1,4.2736,1
2102.1,4.2375,1
2053.6,4.3541,1
1940.3,4.3091,1
2053,4.4511,1
2050.3,4.3492,1
2048.8,4.3904,1
2028.4,4.3873,1
2145.4,4.3776,1
1997.6,4.3905,1
1883.4,4.3135,1
1912.6,4.2764,1
1813.9,4.4112,1
1906,4.4216,1
1856.5,4.4178,1
1662.7,4.2797,1
