@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
31.483,86.133,0
20.832,323,0
14.559,64.6,0
11.391,43.066,0
10.116,172.27,0
11.761,193.8,0
11.428,0,0
19.941,344.53,0
11.97,323,0
15.454,473.73,0
16.867,150.73,0
15.511,193.8,0
15.342,279.93,0
14.222,279.93,0
18.431,279.93,0
18.902,172.27,0
15.937,129.2,0
16.153,129.2,0
40.643,172.27,0
63.9,1442.7,0
63.245,2863.9,0
52.784,215.33,0
45.324,215.33,0
32.104,150.73,0
26.081,215.33,0
31.809,236.87,0
64.454,3919,0
57.788,2885.4,0
48.472,129.2,0
50.296,150.73,0
52.214,150.73,0
45.485,1119.7,0
58.163,172.27,0
54.9,86.133,0
53.74,129.2,0
39.085,172.27,0
38.665,172.27,0
48.535,0,0
62.367,904.39,0
72.271,818.26,0
73.742,2433.3,0
73.851,1894.9,0
75.433,2304.1,0
83.882,1916.5,0
80.607,2325.6,0
85.652,2433.3,0
83.92,2174.9,0
78.944,473.73,0
73.833,2045.7,0
68.124,279.93,0
60.467,301.46,0
50.844,495.26,0
46.467,172.27,0
42.357,452.2,0
41.351,0,0
40.966,409.13,0
60.309,387.6,0
67.58,1894.9,0
64.494,2045.7,0
73.444,279.93,0
72.729,279.93,0
67.737,215.33,0
90.667,8053.4,0
52.01,344.53,0
76.397,129.2,0
67.414,2045.7,0
56.944,150.73,0
40.418,150.73,0
36.988,43.066,0
37.333,43.066,0
39.643,43.066,0
42.625,0,0
130.49,646,1
831.48,689.06,1
656.35,753.66,1
649.94,538.33,1
1196.3,624.46,1
1530.1,689.06,1
1049.8,387.6,1
1123.2,409.13,1
1116,430.66,1
1312.5,430.66,1
1300.4,430.66,1
1294.1,430.66,1
1171.3,430.66,1
1007.5,430.66,1
912.21,409.13,1
786.47,409.13,1
765.47,387.6,1
767.42,387.6,1
725.05,732.13,1
659.55,710.6,1
803.11,667.53,1
798.85,646,1
974.99,624.46,1
889.44,602.93,1
738.39,559.86,1
531.77,516.8,1
455.33,473.73,1
368.08,452.2,1
355.37,452.2,1
357.94,452.2,1
344.64,452.2,1
645.58,452.2,1
586.41,430.66,1
426.67,452.2,1
467.23,452.2,1
411.41,473.73,1
407.47,473.73,1
389.6,473.73,1
414.74,473.73,1
427.35,473.73,1
407.26,495.26,1
405.78,495.26,1
449.85,495.26,1
495.36,495.26,1
453.54,516.8,1
442.81,516.8,1
404.24,516.8,1
579.43,538.33,1
983.29,624.46,1
2177.9,473.73,1
3930.4,516.8,1
3926.2,516.8,1
3246.5,495.26,1
4168.2,516.8,1
5155.9,559.86,1
7591.3,559.86,1
7332.8,559.86,1
6606,559.86,1
5751.1,538.33,1
4977.5,538.33,1
4527,516.8,1
3660.8,516.8,1
2968.3,495.26,1
2645.2,495.26,1
2105.8,473.73,1
1675.1,473.73,1
1888.7,452.2,1
1718.3,452.2,1
1582,452.2,1
1756.2,452.2,1
1922.3,452.2,1
1943.8,452.2,1
1910,452.2,1
1825.5,452.2,1
1705.2,430.66,1
1544.6,430.66,1
1432.1,430.66,1
1377,430.66,1
1462,430.66,1
1422.7,430.66,1
1871.7,430.66,1
1831.6,452.2,1
1960,452.2,1
2087.9,452.2,1
2103.2,452.2,1
2054.5,452.2,1
1988.2,452.2,1
1987.2,473.73,1
2101.1,473.73,1
2330.5,473.73,1
2403.5,473.73,1
2366.1,473.73,1
2458.7,473.73,1
2557.6,495.26,1
2814.8,495.26,1
3124.8,495.26,1
3204.5,495.26,1
3207.8,495.26,1
3307.7,495.26,1
3351.8,495.26,1
3370.2,495.26,1
3453.6,495.26,1
3554.6,495.26,1
3507.9,495.26,1
3379.1,495.26,1
3330.5,495.26,1
3262.1,473.73,1
2981.9,473.73,1
2909.2,473.73,1
3529.8,473.73,1
4153.6,473.73,1
4432.2,473.73,1
4665.1,473.73,1
4297.6,473.73,1
4036.4,452.2,1
3231.5,452.2,1
2110.6,430.66,1
1271.5,409.13,1
468.85,409.13,1
0,387.6,1
9.6218,473.73,1
21.408,430.66,0
32.87,409.13,0
35.01,452.2,0
38.981,473.73,0
37.336,409.13,0
40.884,430.66,0
40.335,2088.7,0
41.025,2024.1,0
43.782,2174.9,0
45.625,559.86,0
45.992,2067.2,0
43.575,2110.3,0
43.776,2153.3,0
44.22,2196.4,0
41.013,2217.9,0
37.229,2088.7,0
38.648,689.06,0
48.971,86.133,0
49.866,0,0
54.732,129.2,0
54.015,1119.7,0
53.287,0,0
56.207,43.066,0
64.719,0,0
61.955,323,0
57.196,0,0
47.726,753.66,0
39.396,775.2,0
49.204,753.66,0
44.291,732.13,0
26.454,732.13,0
56.814,775.2,0
35.413,753.66,0
64.916,753.66,0
41.587,753.66,0
21.256,753.66,0
6.6526,710.6,0
37.858,775.2,0
109.06,775.2,0
99.887,753.66,0
127.61,775.2,0
94.392,667.53,0
84.385,667.53,0
74.199,796.73,0
82.955,753.66,0
17.783,2024.1,0
0,796.73,0
9.4136,753.66,0
12.958,753.66,0
0,2045.7,0
4.3025,2131.8,0
73.494,796.73,1
577.79,2196.4,1
2363.8,473.73,1
3540.4,495.26,1
3554.1,538.33,1
2875.4,495.26,1
4384.6,624.46,1
4886.6,538.33,1
3232.9,516.8,1
3140.8,495.26,1
2530.1,495.26,1
1773.2,452.2,1
1515.6,753.66,1
662.06,710.6,1
210.73,2131.8,1
18.825,495.26,1
44.015,516.8,1
44.943,2239.5,0
42,495.26,0
39.034,753.66,0
41.184,818.26,0
32.657,495.26,0
35.544,344.53,0
27.264,107.67,0
26.835,344.53,0
58.9,2239.5,0
48.125,753.66,0
24.974,732.13,0
3.9741,732.13,0
3.0188,732.13,0
0,710.6,0
11.973,732.13,0
22.566,775.2,0
17.889,710.6,0
28.833,710.6,0
26.226,753.66,0
13.193,732.13,0
9.1025,710.6,0
0,710.6,0
1.0661,710.6,0
3.4849,689.06,0
2.2107,775.2,0
17.883,710.6,0
23.424,732.13,0
19.357,775.2,0
29.832,775.2,0
55.208,753.66,0
29.491,753.66,0
54.068,753.66,0
56.39,2067.2,0
