@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3'

@attribute energy_min numeric
@attribute zeroCrossingRate_min numeric
@attribute class {0,1}

@data
0.053415,-0.03902,0
0.061213,-0.033575,0
0.07015,-0.033575,0
0.068055,-0.043557,0
0.067325,-0.044465,0
0.068001,-0.046279,0
0.066627,-0.049002,0
0.069634,-0.04265,0
0.068659,-0.040835,0
0.071673,-0.039927,0
0.0691,-0.037205,0
0.060604,-0.04265,0
0.059342,-0.043557,0
0.055751,-0.03902,0
0.072064,-0.049002,0
0.099267,-0.058076,0
0.10596,-0.058076,0
0.13785,-0.062613,0
0.20144,-0.061706,0
0.24618,-0.059891,0
0.20558,-0.047187,0
0.12093,-0.04265,0
0.10316,-0.043557,0
0.083361,-0.039927,0
0.078281,-0.04265,0
0.084711,-0.045372,0
0.06307,-0.038113,0
0.051216,-0.03539,0
0.07331,-0.040835,0
0.10073,-0.039927,0
0.10627,-0.043557,0
0.089418,-0.047187,0
0.066145,-0.032668,0
0.068553,-0.034483,0
0.076516,-0.04265,0
0.077869,-0.033575,0
0.082318,-0.029038,0
0.091105,-0.03176,0
0.10089,-0.027223,0
0.082004,-0.019056,0
0.076783,-0.022686,0
0.096824,-0.032668,0
0.0982,-0.036298,0
0.076942,-0.028131,0
0.058331,-0.024501,0
0.052942,-0.017241,0
0.044583,-0.010889,0
0.035729,-0.009074,0
0.035697,-0.00363,0
0.054347,-0.026316,0
0.067236,-0.046279,0
0.063584,-0.039927,0
0.066307,-0.029038,0
0.065221,-0.013612,0
0.05901,-0.016334,0
0.063428,-0.024501,0
0.051954,-0.021779,0
0.03842,-0.029038,0
0.043537,-0.03539,0
0.054188,-0.046279,0
0.04863,-0.049002,0
0.029378,-0.043557,0
0.021145,-0.030853,0
0.019481,-0.020871,0
0.022333,-0.019964,0
0.013975,-0.00363,0
0.008551,-0.005445,0
0.01203,-0.019056,0
0.009486,-0.015426,0
0.014212,-0.019964,0
0.021538,-0.03176,0
0.026194,-0.036298,0
0.046833,-0.03539,0
0.051266,-0.03539,0
0.037706,-0.037205,0
0.041088,-0.03902,0
0.040864,-0.03902,0
0.030188,-0.034483,0
0.039204,-0.033575,0
0.035685,-0.029038,0
0.017521,-0.015426,0
0.013704,-0.017241,0
0.01341,-0.016334,0
0.012667,-0.017241,0
0.00565,-0.019964,0
0.018462,-0.028131,0
0.03609,-0.043557,0
0.047463,-0.040835,0
0.039079,-0.028131,0
0.027007,-0.029038,0
0.026759,-0.032668,0
0.019901,-0.032668,0
0.023672,-0.029946,0
0.030241,-0.027223,0
0.027108,-0.034483,0
0.02398,-0.021779,0
0.022539,-0.009982,0
0.023056,-0.009074,0
0.02594,-0.014519,0
0.026643,-0.018149,0
0.026755,-0.016334,0
0.01741,0,0
0.016435,-0.00726,0
0.01741,-0.019056,0
0.015286,-0.009982,0
0.028384,-0.013612,0
0.036022,-0.010889,0
0.029378,-0.008167,0
0.035027,-0.024501,0
0.050077,-0.03539,0
0.066665,-0.03539,0
0.077933,-0.051724,0
0.069832,-0.053539,0
0.058574,-0.036298,0
0.07059,-0.030853,0
0.07348,-0.033575,0
0.059556,-0.019056,0
0.045792,-0.012704,0
0.028772,-0.018149,0
0.020439,-0.026316,0
0.017169,-0.033575,0
0.027685,-0.040835,0
0.039998,-0.043557,0
0.095288,-0.024501,0
0.10643,-0.005445,0
0.092445,-0.022686,0
0.097162,-0.033575,0
0.089413,-0.025408,1
0.092038,-0.03176,1
0.084138,-0.03902,1
0.080269,-0.038113,1
0.12653,-0.044465,1
0.12999,-0.039927,1
0.092544,-0.03176,1
0.094783,-0.039927,1
0.097709,-0.034483,1
0.10879,-0.030853,1
0.11361,-0.033575,1
0.11402,-0.030853,1
0.10222,-0.029946,1
0.077406,-0.033575,1
0.080363,-0.033575,1
0.090566,-0.024501,1
0.084963,-0.019056,1
0.074614,-0.027223,1
0.073955,-0.029038,1
0.079374,-0.036298,1
0.097048,-0.043557,1
0.10269,-0.044465,1
0.094988,-0.04265,1
0.093199,-0.03902,1
0.083552,-0.037205,1
0.069744,-0.032668,1
0.069224,-0.038113,1
0.070326,-0.04265,1
0.06722,-0.037205,1
0.073231,-0.030853,1
0.072589,-0.029038,1
0.068217,-0.030853,1
0.070779,-0.03176,1
0.06169,-0.025408,1
0.051685,-0.028131,1
0.051016,-0.030853,1
0.063409,-0.029038,1
0.07114,-0.034483,1
0.069998,-0.037205,1
0.069623,-0.037205,1
0.067077,-0.03902,1
0.070426,-0.032668,1
0.067353,-0.026316,1
0.064874,-0.03539,1
0.058759,-0.026316,1
0.05826,-0.001815,1
0.072598,0,1
0.082709,-0.025408,1
0.08786,-0.037205,1
0.19237,-0.041742,1
0.32618,-0.057169,1
0.38573,-0.058984,1
0.37606,-0.057169,1
0.40238,-0.055354,1
0.47413,-0.051724,1
0.55342,-0.052632,1
0.58618,-0.055354,1
0.56802,-0.057169,1
0.53219,-0.058984,1
0.4826,-0.059891,1
0.4057,-0.059891,1
0.31669,-0.059891,1
0.29712,-0.060799,1
0.27289,-0.058076,1
0.22202,-0.049002,1
0.18628,-0.037205,1
0.17382,-0.029946,1
0.16445,-0.029946,1
0.15684,-0.034483,1
0.16887,-0.043557,1
0.16712,-0.045372,1
0.16211,-0.041742,1
0.16653,-0.048094,1
0.16525,-0.050817,1
0.16533,-0.049909,1
0.16331,-0.040835,1
0.13729,-0.021779,1
0.13771,-0.025408,1
0.16164,-0.041742,1
0.16018,-0.047187,1
0.15419,-0.036298,1
0.15927,-0.030853,1
0.19706,-0.039927,1
0.24505,-0.049909,1
0.25952,-0.056261,1
0.22094,-0.039927,1
0.16569,-0.020871,1
0.18855,-0.029946,1
0.19614,-0.032668,1
0.19796,-0.03176,1
0.20445,-0.037205,1
0.18435,-0.034483,1
0.19416,-0.03539,1
0.22498,-0.033575,1
0.26405,-0.038113,1
0.29402,-0.046279,1
0.3055,-0.049909,1
0.31037,-0.046279,1
0.3207,-0.040835,1
0.33803,-0.049909,1
0.34045,-0.052632,1
0.34577,-0.046279,1
0.36559,-0.051724,1
0.35383,-0.057169,1
0.33585,-0.057169,1
0.34308,-0.059891,1
0.32322,-0.059891,1
0.29329,-0.058076,1
0.2996,-0.058984,1
0.36431,-0.060799,1
0.43108,-0.061706,1
0.45988,-0.059891,1
0.46749,-0.060799,1
0.45149,-0.062613,1
0.41661,-0.062613,1
0.33721,-0.062613,1
0.25219,-0.062613,1
0.2016,-0.029038,1
0.14344,-0.008167,1
0.11078,-0.017241,1
0.081327,-0.010889,1
0.066454,-0.022686,0
0.084831,-0.013612,0
0.085024,0,0
0.069063,-0.00363,0
0.053963,0,0
0.046173,0,0
0.036997,0,0
0.031004,0,0
0.035757,-0.00726,0
0.032405,-0.024501,0
0.028084,-0.029038,0
0.032116,-0.029946,0
0.030184,-0.041742,0
0.025293,-0.041742,0
0.019024,-0.036298,0
0.020588,-0.033575,0
0.019553,-0.025408,0
0.015711,-0.027223,0
0.011367,-0.029946,0
0.002862,-0.021779,0
0.003031,-0.019964,0
0.004583,-0.012704,0
0.00937,0,0
0.017358,-0.030853,0
0.016999,-0.051724,0
0.010928,-0.04265,0
0.008388,-0.036298,0
0.01356,-0.037205,0
0.015398,-0.023593,0
0.022546,0,0
0.035683,0,0
0.035229,-0.00726,0
0.038359,-0.038113,0
0.037931,-0.058076,0
0.031556,-0.050817,0
0.030875,-0.052632,0
0.02886,-0.058984,0
0.0423,-0.073503,0
0.042141,-0.087114,0
0.033466,-0.083485,0
0.055728,-0.088022,0
0.072678,-0.087114,0
0.057424,-0.062613,0
0.052613,-0.049002,0
0.048205,-0.050817,0
0.022253,-0.048094,0
0.02247,-0.026316,0
0.022392,-0.023593,0
0.022202,-0.052632,0
0.020076,-0.056261,0
0.024042,-0.055354,0
0.040586,-0.055354,1
0.084367,-0.056261,1
0.17001,-0.067151,1
0.27422,-0.084392,1
0.26725,-0.079855,1
0.22131,-0.078947,1
0.30659,-0.097096,1
0.32814,-0.098004,1
0.26962,-0.084392,1
0.23756,-0.062613,1
0.19034,-0.049909,1
0.13243,-0.043557,1
0.1122,-0.049909,1
0.084757,-0.055354,1
0.060348,-0.049909,1
0.042716,-0.041742,1
0.037451,-0.052632,1
0.034511,-0.063521,0
0.02639,-0.067151,0
0.076495,-0.058076,0
0.094051,-0.033575,0
0.06664,-0.03176,0
0.047959,-0.044465,0
0.039116,-0.03902,0
0.041917,-0.034483,0
0.040243,-0.053539,0
0.034309,-0.056261,0
0.035608,-0.059891,0
0.078751,-0.083485,0
0.10492,-0.098004,0
0.10173,-0.093466,0
0.080157,-0.088929,0
0.081401,-0.087114,0
0.089192,-0.082577,0
0.073511,-0.085299,0
0.063286,-0.080762,0
0.059822,-0.07804,0
0.085329,-0.092559,0
0.098592,-0.10254,0
0.07852,-0.098004,0
0.051126,-0.08167,0
0.057279,-0.083485,0
0.060872,-0.094374,0
0.070191,-0.098911,0
0.084513,-0.097096,0
0.092639,-0.098004,0
0.10481,-0.10254,0
0.098524,-0.10617,0
0.084799,-0.099819,0
0.08196,-0.092559,0
0.072795,-0.10254,0
0.050225,-0.10526,0
0.029577,-0.096189,0
0.018282,-0.085299,0
0.019907,-0.089837,0
0.020366,-0.088929,0
0.012734,-0.079855,0
0.011011,-0.07804,0
0.011924,-0.078947,0
0.020089,-0.088022,0
0.028001,-0.092559,0
0.029843,-0.090744,0
0.030976,-0.085299,0
0.027088,-0.086207,0
0.039271,-0.094374,0
0.040154,-0.093466,0
0.030776,-0.095281,0
0.032577,-0.092559,0
0.038881,-0.086207,0
0.037802,-0.082577,0
0.026355,-0.079855,0
0.027982,-0.086207,0
0.036752,-0.094374,0
0.042842,-0.093466,0
0.044436,-0.094374,0
0.04093,-0.088929,0
0.048532,-0.087114,0
0.062783,-0.095281,0
0.051812,-0.089837,0
0.034817,-0.085299,0
0.028863,-0.072595,0
0.032297,-0.083485,0
0.04353,-0.10617,0
0.054909,-0.096189,0
0.046977,-0.082577,0
0.036123,-0.086207,0
0.054648,-0.095281,0
0.062317,-0.10163,0
0.041469,-0.093466,0
0.018845,-0.079855,0
0.020315,-0.090744,0
0.009637,-0.094374,0
0.003392,-0.076225,0
0.01862,-0.07804,0
0.029447,-0.095281,0
0.076667,-0.10345,0
0.10074,-0.10889,0
0.066639,-0.10436,0
0.02528,-0.076225,0
0.01964,-0.051724,0
0.023686,-0.046279,0
0.020417,-0.049002,0
0.014672,-0.019964,0
0.015173,0,0
0.022841,-0.021779,0
0.026955,-0.029038,0
0.036091,-0.03539,0
0.039169,-0.058984,0
0.028627,-0.069873,0
0.024312,-0.068966,0
0.025284,-0.07078,0
0.020779,-0.082577,0
0.021398,-0.088022,0
0.031255,-0.091652,0
0.029428,-0.092559,0
0.024537,-0.099819,0
0.035242,-0.099819,0
0.03888,-0.097096,0
0.04901,-0.10799,0
0.1168,-0.11797,0
0.2074,-0.11978,0
0.19352,-0.11887,0
0.10221,-0.11797,0
0.087276,-0.11706,0
0.087755,-0.11615,0
0.07585,-0.11887,0
0.048271,-0.11706,0
0.06078,-0.11706,0
0.069769,-0.11978,0
0.062133,-0.11797,0
0.077845,-0.10799,0
0.065701,-0.087114,0
0.05364,-0.07804,0
0.056743,-0.07804,0
0.045105,-0.077132,0
0.029297,-0.057169,0
0.029768,-0.049909,0
0.0328,-0.052632,0
0.046146,-0.068966,1
0.068615,-0.10073,1
0.069809,-0.10345,1
0.06768,-0.10799,1
0.072195,-0.10708,1
0.068106,-0.095281,1
0.076696,-0.10073,1
0.066247,-0.10345,1
0.037877,-0.096189,1
0.031462,-0.098004,1
0.055677,-0.1098,1
0.078533,-0.11706,1
0.067667,-0.11252,1
0.042631,-0.10073,1
0.020768,-0.082577,1
0.013562,-0.076225,1
0.019793,-0.077132,1
0.023301,-0.080762,1
0.015328,-0.086207,1
0.012851,-0.094374,1
0.014124,-0.098911,1
0.02245,-0.10617,1
0.056469,-0.11615,1
0.056878,-0.1098,0
0.054783,-0.10708,0
0.074296,-0.1098,0
0.069485,-0.11071,0
0.080537,-0.11797,0
0.073382,-0.11706,0
0.043115,-0.11162,0
0.043172,-0.11887,0
0.042005,-0.11343,0
0.038261,-0.10163,0
0.031856,-0.10163,0
0.03605,-0.10073,0
0.08477,-0.10526,0
0.10234,-0.10708,0
0.088208,-0.10073,0
0.090591,-0.10073,0
0.12807,-0.097096,0
0.10149,-0.11525,0
0,0,0
0,0,0
0,-0.00363,0
0.007088,-0.004537,0
0.018193,0,1
0.018411,0,1
0.049484,-0.00726,1
0.073532,-0.000907,1
0.075017,0,1
0.064693,0,1
0.069222,0,1
0.085335,0,1
0.10259,0,1
0.10342,0,1
0.097705,0,1
0.1165,-0.00726,1
0.1323,0,1
0.12839,0,1
0.12555,-0.005445,1
0.15086,-0.013612,1
0.17258,-0.028131,1
0.16764,-0.029946,1
0.15082,-0.019964,1
0.14862,-0.017241,1
0.15578,-0.019964,1
0.15935,-0.025408,1
0.15198,-0.029038,1
0.14356,-0.040835,1
0.15528,-0.046279,1
0.17915,-0.047187,1
0.19184,-0.060799,1
0.19003,-0.04265,1
0.18397,-0.041742,1
0.17312,-0.041742,1
0.17198,-0.025408,1
0.18895,-0.033575,1
0.21805,-0.037205,1
0.22637,-0.039927,1
0.22331,-0.051724,1
0.24232,-0.047187,1
0.24717,-0.048094,1
0.25058,-0.056261,1
0.26475,-0.048094,1
0.26002,-0.051724,1
0.24953,-0.044465,1
0.26904,-0.033575,1
0.27519,-0.052632,1
0.26306,-0.059891,1
0.26622,-0.055354,1
0.27552,-0.060799,1
0.30823,-0.064428,1
0.32395,-0.063521,1
0.28154,-0.063521,1
0.21159,-0.061706,1
0.15943,-0.061706,1
0.10698,-0.057169,1
0.046324,-0.057169,1
0.019342,-0.056261,1
0.013494,-0.066243,1
0,-0.058984,1
0,-0.050817,1
0.019846,-0.073503,0
0.041768,-0.077132,0
0.041197,-0.07804,0
0.019907,-0.079855,0
0.011418,-0.078947,0
0.04136,-0.078947,0
0.03746,-0.056261,0
0.010005,-0.03902,0
0.023607,-0.059891,0
0.034809,-0.068966,0
