@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3,5-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy_min numeric
@attribute class {0,1}

@data
705.99,-0.4879,0
830.53,-0.39799,0
820.96,-0.40829,0
746.8,-0.5566,0
843.01,-0.51124,0
973.16,-0.30724,0
1005.8,-0.3921,0
619.92,-0.38543,0
819.07,-0.40752,0
760.7,-0.52491,0
1124.6,-0.6973,0
1191.1,-0.78804,0
1736.7,-0.8813,0
2844.1,-1.1569,0
2982.6,-1.2041,0
2540.4,-0.92931,0
1216.8,-0.70115,0
1087.2,-0.77063,0
1114.4,-0.67748,0
1186.8,-0.18468,0
878.85,-0.48009,0
858.84,-0.46997,0
604.98,-0.4075,0
979.99,-0.6315,0
989.62,-0.42727,0
1415.2,-0.30692,0
1100.8,-0.42927,0
656.37,-0.33135,0
759.42,-0.37245,0
991.35,-0.4931,0
1110,-0.46678,0
807.62,-0.35827,0
1288.2,-0.4173,0
1503.1,-0.40763,0
1154.7,-0.4014,0
745.01,-0.26765,0
1272.7,-0.27866,0
1263.3,-0.44243,0
765.47,-0.28721,0
752.67,-0.33003,0
610.77,-0.28914,0
459.15,-0.22627,0
344.01,-0.1274,0
463.64,-0.22304,0
586.39,-0.21822,0
771.19,-0.34224,0
784.87,-0.41348,0
616.27,-0.26257,0
1154.1,-0.12241,0
663.81,-0.27342,0
626.13,-0.26723,0
480.54,-0.27143,0
297.05,-0.17367,0
306,-0.30516,0
412.23,-0.60578,0
325.28,-0.45815,0
181.79,-0.33323,0
209.59,-0.18346,0
209.91,-0.18577,0
170.91,-0.23965,0
127.79,-0.17545,0
119.11,-0.15466,0
93.388,-0.13527,0
117.9,-0.22816,0
204.13,-0.16182,0
161.16,-0.18009,0
250.84,-0.38811,0
455.44,-0.43561,0
477.87,-0.44036,0
340.98,-0.28398,0
413.23,-0.41268,0
412.99,-0.35001,0
242.48,-0.24094,0
344.74,-0.18525,0
169.52,-0.11598,0
271.76,-0.1177,0
154.73,-0.079463,0
169.81,-0.26675,0
123.91,-0.19362,0
58.649,-0.13422,0
202.98,-0.36088,0
364.29,-0.24189,0
435.81,-0.35457,0
395.06,-0.32422,0
339.73,-0.3096,0
252.62,-0.27121,0
230.47,-0.26036,0
259.29,-0.24161,0
411.91,-0.30287,0
311.11,-0.27342,0
294.92,-0.25196,0
219.57,-0.19101,0
291.61,-0.29116,0
317.73,-0.29225,0
394.53,-0.26841,0
296.34,-0.22405,0
275.16,-0.19054,0
215.49,-0.18468,0
257.17,-0.2527,0
141.97,-0.22914,0
325.53,-0.10112,0
374.83,-0.055287,0
411.9,-0.24963,0
367.78,-0.19939,0
711.03,-0.35677,0
664.48,-0.40284,0
776.48,-0.60635,0
721.48,-0.46576,0
814.81,-0.28846,0
1016.7,-0.37132,0
614.45,-0.33294,0
782.36,-0.23367,0
415.02,-0.13641,0
357.14,-0.12719,0
180.85,-0.10394,0
192.41,-0.1769,0
267.41,-0.34052,0
421.97,-0.49665,0
1478.4,0,0
1992.6,-0.040587,0
1621,-0.14663,0
1393.5,-0.33719,0
1201.4,-0.30413,1
1512.5,-0.42666,1
1112.9,-0.48493,1
802.04,-0.35575,1
1738.9,-0.65336,1
1566.1,-0.81831,1
1012.3,-0.54065,1
1178.3,-0.66055,1
984.45,-0.70272,1
1329.8,-0.91181,1
1120.4,-0.87153,1
1286.7,-0.81605,1
1091.7,-0.70508,1
851.28,-0.60657,1
789.51,-0.52417,1
1275,-0.3917,1
1300.7,-0.35765,1
948.65,-0.40132,1
1080,-0.45136,1
1083.3,-0.44316,1
1176.9,-0.61368,1
1187.4,-0.63044,1
990.73,-0.58306,1
997.3,-0.56966,1
1112.8,-0.48989,1
