@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
170.91,43.066,0
127.79,732.13,0
119.11,129.2,0
93.388,43.066,0
117.9,323,0
204.13,64.6,0
161.16,21.533,0
250.84,21.533,0
455.44,839.79,0
477.87,839.79,0
340.98,64.6,0
413.23,366.06,0
412.99,366.06,0
242.48,344.53,0
344.74,21.533,0
169.52,21.533,0
271.76,366.06,0
154.73,602.93,0
169.81,624.46,0
123.91,344.53,0
58.649,366.06,0
202.98,236.87,0
364.29,258.4,0
435.81,43.066,0
395.06,193.8,0
339.73,323,0
252.62,43.066,0
230.47,387.6,0
259.29,581.4,0
411.91,538.33,0
311.11,21.533,0
294.92,172.27,0
219.57,602.93,0
291.61,409.13,0
317.73,301.46,0
394.53,366.06,0
296.34,387.6,0
275.16,301.46,0
215.49,344.53,0
257.17,624.46,0
141.97,366.06,0
325.53,64.6,0
374.83,1658.1,0
411.9,366.06,0
367.78,366.06,0
711.03,366.06,0
664.48,344.53,0
776.48,344.53,0
721.48,344.53,0
814.81,344.53,0
1016.7,344.53,0
614.45,344.53,0
782.36,344.53,0
415.02,366.06,0
357.14,344.53,0
180.85,624.46,0
192.41,646,0
267.41,646,0
421.97,387.6,0
1478.4,236.87,0
1992.6,193.8,0
1621,387.6,0
1393.5,387.6,0
1201.4,667.53,1
1512.5,624.46,1
1112.9,689.06,1
802.04,732.13,1
1738.9,559.86,1
1566.1,624.46,1
1012.3,344.53,1
1178.3,344.53,1
984.45,366.06,1
1329.8,366.06,1
1120.4,366.06,1
1286.7,366.06,1
1091.7,366.06,1
851.28,366.06,1
789.51,344.53,1
1275,344.53,1
1300.7,323,1
948.65,323,1
1080,667.53,1
1083.3,646,1
1176.9,602.93,1
1187.4,581.4,1
990.73,559.86,1
997.3,538.33,1
1112.8,473.73,1
886.63,452.2,1
1053.7,430.66,1
774.78,387.6,1
785.87,387.6,1
1048.5,387.6,1
996.83,387.6,1
1077.1,602.93,1
855.06,387.6,1
823.73,366.06,1
636.09,602.93,1
610.16,624.46,1
740.58,387.6,1
1057.4,409.13,1
973.68,538.33,1
828.04,538.33,1
821.87,409.13,1
714.53,430.66,1
975.92,430.66,1
719.65,430.66,1
799.11,452.2,1
770.26,452.2,1
1218.6,430.66,1
1015.7,473.73,1
1284.7,559.86,1
1925,387.6,1
3658.7,452.2,1
3722.8,430.66,1
2911.4,409.13,1
4077.8,430.66,1
4670.4,473.73,1
6804.6,473.73,1
6356.7,473.73,1
6245.3,473.73,1
6074.2,452.2,1
4948.3,452.2,1
4469.3,430.66,1
3647.9,430.66,1
2770,409.13,1
2963.5,409.13,1
2568.8,387.6,1
2132.7,366.06,1
2409.7,366.06,1
2326,366.06,1
2173.2,366.06,1
2049.3,366.06,1
1857,366.06,1
1908.1,366.06,1
2090.9,366.06,1
1748.5,366.06,1
1804.1,344.53,1
2103.4,344.53,1
1674.7,344.53,1
1896.8,344.53,1
2034.3,344.53,1
1980.4,344.53,1
2173.7,344.53,1
2252.6,366.06,1
2297.1,366.06,1
2785.6,366.06,1
3259.2,366.06,1
2755.1,366.06,1
1961.5,387.6,1
2501.2,387.6,1
2601.3,387.6,1
2801.6,387.6,1
2926.4,387.6,1
2231.9,387.6,1
2478.8,387.6,1
2863.2,409.13,1
3530.9,409.13,1
3600.9,409.13,1
4521.2,409.13,1
4579.5,409.13,1
4470,409.13,1
4894.2,409.13,1
4584.4,409.13,1
5710.3,409.13,1
5195.7,409.13,1
4481.5,409.13,1
4286.4,409.13,1
3913,409.13,1
3546.3,387.6,1
3191.1,387.6,1
3359.7,387.6,1
3356,387.6,1
4156.7,387.6,1
4216,387.6,1
5042.3,387.6,1
4445.6,387.6,1
4195.8,366.06,1
3494.8,366.06,1
2193.4,344.53,1
3006.4,323,1
2379.2,882.86,1
1972.8,904.39,1
1405.9,301.46,1
1125.3,904.39,0
1247.8,775.2,0
1786.7,1442.7,0
1056.9,1162.8,0
854.7,473.73,0
658.52,193.8,0
673.28,839.79,0
438.35,409.13,0
554.48,882.86,0
478.37,366.06,0
388.41,904.39,0
480.66,904.39,0
318.71,215.33,0
487.38,947.46,0
281.48,882.86,0
172.15,301.46,0
367.58,258.4,0
261.38,1033.6,0
117.09,968.99,0
53.255,301.46,0
81.421,150.73,0
87.361,387.6,0
142.44,1184.3,0
119.07,0,0
82.886,21.533,0
105.69,0,0
81.636,21.533,0
120.89,301.46,0
