@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3'

@attribute energy_min numeric
@attribute zeroCrossingRate_min numeric
@attribute class {0,1}

@data
0,0,0
0.000525,-0.004537,0
0.001265,-0.005445,0
0.002677,0,0
0.002999,0,1
0.042627,-0.040835,1
0.11798,-0.11071,1
0.15303,-0.1216,1
0.15311,-0.11252,1
0.16563,-0.10889,1
0.17419,-0.10526,1
0.18614,-0.095281,1
0.21247,-0.08167,1
0.21822,-0.072595,1
0.21259,-0.072595,1
0.22416,-0.07804,1
0.24417,-0.07804,1
0.24634,-0.060799,1
0.25649,-0.057169,1
0.28668,-0.07441,1
0.29696,-0.080762,1
0.29598,-0.088022,1
0.28746,-0.088929,1
0.27694,-0.075318,1
0.27114,-0.064428,1
0.26547,-0.082577,1
0.27311,-0.097096,1
0.27822,-0.10254,1
0.2861,-0.10799,1
0.31124,-0.11525,1
0.33114,-0.13521,1
0.33227,-0.13339,1
0.32134,-0.1216,1
0.31171,-0.12069,1
0.30846,-0.11797,1
0.31933,-0.11525,1
0.34308,-0.11978,1
0.3595,-0.1216,1
0.36974,-0.12069,1
0.3789,-0.11887,1
0.38529,-0.11887,1
0.39849,-0.13158,1
0.40678,-0.14065,1
0.40336,-0.13158,1
0.39726,-0.1216,1
0.4029,-0.11978,1
0.41399,-0.12523,1
0.41424,-0.13521,1
0.41366,-0.14065,1
0.42817,-0.13612,1
0.45851,-0.13521,1
0.47576,-0.13975,1
0.43847,-0.14156,1
0.35914,-0.14247,1
0.28869,-0.14247,1
0.21964,-0.14338,1
0.13372,-0.12704,1
0.056478,-0.080762,1
0.018861,-0.049909,1
0.009031,-0.068966,1
0.006551,-0.10254,1
0.00651,-0.11978,0
0.004416,-0.10526,0
0.000157,-0.095281,0
0,-0.087114,0
0.001428,-0.092559,0
0.001533,-0.10617,0
0.001436,-0.07804,0
0.003516,-0.058076,0
0.009236,-0.066243,0
0.011616,-0.065336,0
0.009861,-0.051724,0
0.0085,-0.034483,0
0.005876,-0.016334,0
0.004454,-0.00726,0
0.004678,-0.019964,0
0.00411,-0.036298,0
0.00239,-0.04265,0
0,-0.036298,0
0,-0.043557,0
0,-0.07078,0
0,-0.050817,0
0,-0.056261,0
0.000339,-0.051724,0
0.001166,-0.03539,0
0.00429,-0.034483,0
0.022135,-0.053539,1
0.11168,-0.11434,1
0.16744,-0.13249,1
0.1945,-0.12523,1
0.20869,-0.12069,1
0.21379,-0.11887,1
0.22045,-0.11887,1
0.22929,-0.1225,1
0.23873,-0.1225,1
0.24539,-0.11615,1
0.24844,-0.11252,1
0.24763,-0.11887,1
0.24662,-0.12432,1
0.24612,-0.12341,1
0.24966,-0.1225,1
0.24867,-0.1225,1
0.24675,-0.1225,1
0.24603,-0.12432,1
0.24227,-0.11797,1
0.24055,-0.10889,1
0.23991,-0.098004,1
0.23254,-0.10073,1
0.22341,-0.10436,1
0.21503,-0.10254,1
0.20927,-0.099819,1
0.19845,-0.091652,1
0.18318,-0.093466,1
0.18056,-0.094374,1
0.17793,-0.090744,1
0.18083,-0.090744,1
0.18503,-0.092559,1
0.18837,-0.089837,1
0.19588,-0.097096,1
0.20191,-0.10526,1
0.20131,-0.10526,1
0.19937,-0.10617,1
0.20071,-0.10163,1
0.2069,-0.10345,1
0.21275,-0.11071,1
0.21645,-0.11162,1
0.21835,-0.10617,1
0.22031,-0.096189,1
0.2173,-0.092559,1
0.20345,-0.090744,1
0.18426,-0.086207,1
0.17229,-0.088022,1
0.17555,-0.08167,1
0.17746,-0.078947,1
0.17336,-0.088929,1
0.17306,-0.091652,1
0.17447,-0.10073,1
0.17137,-0.10799,1
0.17342,-0.10799,1
0.17992,-0.11252,1
0.18298,-0.11887,1
0.18706,-0.11252,1
0.19271,-0.10345,1
0.19454,-0.10073,1
0.20246,-0.10889,1
0.2141,-0.11252,1
0.23024,-0.10526,1
0.24933,-0.10345,1
0.26158,-0.10799,1
0.27033,-0.1098,1
0.2708,-0.10254,1
0.26842,-0.10073,1
0.26818,-0.10073,1
0.27803,-0.1098,1
0.29537,-0.1225,1
0.30449,-0.13249,1
0.30781,-0.14156,1
0.30393,-0.14338,1
0.29742,-0.14428,1
0.29219,-0.14247,1
0.29564,-0.13702,1
0.30033,-0.13702,1
0.2934,-0.13793,1
0.28454,-0.13158,1
0.27155,-0.1225,1
0.26487,-0.11887,1
0.26378,-0.1216,1
0.25317,-0.12341,1
0.24702,-0.1225,1
0.23802,-0.13067,1
0.23313,-0.13158,1
0.22193,-0.11343,1
0.20106,-0.11252,1
0.20402,-0.12341,1
0.19735,-0.12523,1
0.19263,-0.12795,1
0.22543,-0.13158,1
0.24277,-0.12976,1
0.20881,-0.12886,1
0.15739,-0.13339,1
0.14006,-0.12886,1
0.12612,-0.12432,1
0.095351,-0.1216,1
0.085524,-0.12341,1
0.1027,-0.13249,1
0.10916,-0.13158,1
0.10594,-0.13158,1
0.1169,-0.1343,1
0.11644,-0.13339,1
0.11379,-0.13521,1
0.11397,-0.13702,1
0.11152,-0.14065,1
0.10975,-0.14338,1
0.076888,-0.13702,1
0.029784,-0.1216,1
0.018392,-0.12886,1
0.017244,-0.14701,1
0.009286,-0.12069,1
0.008132,-0.11162,1
0.010933,-0.13339,1
0.011548,-0.13975,0
0.010044,-0.14156,0
0.005248,-0.12704,0
0.002085,-0.076225,0
0.000758,-0.046279,0
0.000169,-0.050817,0
0.000279,-0.050817,0
0.000001,-0.038113,0
0,-0.016334,0
0,-0.014519,0
0,-0.018149,0
0,-0.025408,0
0,-0.026316,0
0.000028,-0.018149,0
0.000057,-0.012704,0
0.000051,-0.03539,0
0.000075,-0.041742,0
0,-0.011797,0
0,-0.005445,0
0.00006,0,0
0.000088,0,0
0,0,0
0,-0.001815,0
0.000072,-0.009982,0
